# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.211
metadata : {}


# id : NWRW1800000025.211.1.1
[부산/경남]동아대 취업동아리 3년째 취업률 100%

[부산/경남]동아대	[/SS+부산/NNP+//SP+경남/NNP+]/SS+동아대/NNP
94.6%로	94/SN+./SP+6/SN+%/SW+로/JKB
곧	곧/MAG
100%를	100/SN+%/SW+를/JKO
달성할	달성/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.211.2.4
이들은 대기업(47%), 금융계(23%), 중견기업(16%), 외국계 기업(9%), 공기업(3%) 등에 취업했다.

이들은	이/NP+들/XSN+은/JX
대기업(47%),	대/XPN+기업/NNG+(/SS+47/SN+%/SW+)/SS+,/SP
금융계(23%),	금융/NNG+계/XSN+(/SS+23/SN+%/SW+)/SS+,/SP
중견기업(16%),	중견/NNG+기업/NNG+(/SS+16/SN+%/SW+)/SS+,/SP
외국계	외국/NNG+계/XSN
기업(9%),	기업/NNG+(/SS+9/SN+%/SW+)/SS+,/SP
공기업(3%)	공기업/NNG+(/SS+3/SN+%/SW+)/SS
등에	등/NNB+에/JKB
취업했다.	취업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.211.3.1
동아리는 대기업, 금융계, 공사 국영기업, 외국계 기업, 영업 관리직반 등으로 나눠 회원을 모집한다.

동아리는	동아리/NNG+는/JX
대기업,	대/XPN+기업/NNG+,/SP
금융계,	금융/NNG+계/XSN+,/SP
공사	공사/NNG
국영기업,	국영/NNG+기업/NNG+,/SP
외국계	외국/NNG+계/XSN
기업,	기업/NNG+,/SP
영업	영업/NNG
관리직반	관리직/NNG+반/NNG
등으로	등/NNB+으로/JKB
나눠	나누/VV+어/EC
회원을	회원/NNG+을/JKO
모집한다.	모집/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.211.3.2
해당 분야 선배들이 채용 정보와 상담을 책임진다.

해당	해당/NNG
분야	분야/NNG
선배들이	선배/NNG+들/XSN+이/JKS
채용	채용/NNG
정보와	정보/NNG+와/JC
상담을	상담/NNG+을/JKO
책임진다.	책임지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.211.3.3
대학 측은 공동학습 강의실, 도서 구입비 및 어학능력시험 응시료, 교육 기자재 대여, 모의 면접, 취업 특강 등을 지원한다.

대학	대학/NNG
측은	측/NNB+은/JX
공동학습	공동/NNG+학습/NNG
강의실,	강의실/NNG+,/SP
도서	도서/NNG
구입비	구입비/NNG
및	및/MAG
어학능력시험	어학/NNG+능력/NNG+시험/NNG
응시료,	응시료/NNG+,/SP
교육	교육/NNG
기자재	기자재/NNG
대여,	대여/NNG+,/SP
모의	모의/NNG
면접,	면접/NNG+,/SP
취업	취업/NNG
특강	특강/NNG
등을	등/NNB+을/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.211.3.4
올 5월부터는 동아리 출신 선배들이 매달 1만 원씩 기부하는 ‘동아 리더스 클럽 교육 기금’도 마련했다.

올	올/NNG
5월부터는	5/SN+월/NNB+부터/JX+는/JX
동아리	동아리/NNG
출신	출신/NNG
선배들이	선배/NNG+들/XSN+이/JKS
매달	매달/MAG
1만	1/SN+만/NR
원씩	원/NNB+씩/XSN
기부하는	기부/NNG+하/XSV+는/ETM
‘동아	‘/SS+동아/NNP
리더스	리더스/NNP
클럽	클럽/NNG
교육	교육/NNG
기금’도	기금/NNG+’/SS+도/JX
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.211.4.1
현재 회원은 300여 명.

현재	현재/MAG
회원은	회원/NNG+은/JX
300여	300/SN+여/XSN
명.	명/NNB+./SF


# id : NWRW1800000025.211.4.2
1년 내에 1억 원 기금 달성이 목표다.

1년	1/SN+년/NNB
내에	내/NNB+에/JKB
1억	1/SN+억/NR
원	원/NNB
기금	기금/NNG
달성이	달성/NNG+이/JKS
목표다.	목표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.211.4.3
학점, 어학점수 등을 기재한 서류전형과 면접을 거쳐야 할 만큼 학생들에게서 인기가 높다.

학점,	학점/NNG+,/SP
어학점수	어학/NNG+점수/NNG
등을	등/NNB+을/JKO
기재한	기재/NNG+하/XSV+ㄴ/ETM
서류전형과	서류/NNG+전형/NNG+과/JC
면접을	면접/NNG+을/JKO
거쳐야	거치/VV+어야/EC
할	하/VX+ㄹ/ETM
만큼	만큼/NNB
학생들에게서	학생/NNG+들/XSN+에게서/JKB
인기가	인기/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000025.211.4.4
동아리 가입 평균 경쟁률은 4 대 1가량이다.

동아리	동아리/NNG
가입	가입/NNG
평균	평균/NNG
경쟁률은	경쟁/NNG+률/XSN+은/JX
4	4/SN
대	대/NNB
1가량이다.	1/SN+가량/XSN+이/VCP+다/EF+./SF


