# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.186
metadata : {}


# id : NWRW1800000037.186.1.1
국회출석 거부 정용진-신동빈 등… 재벌 2, 3세들 정식재판에 회부

국회출석	국회/NNG+출석/NNG
출석을	출석/NNG+을/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
약식	약식/NNG
기소된	기소/NNG+되/XSV+ㄴ/ETM
재벌이	재벌/NNG+이/JKS
정식재판에	정식/NNG+재판/NNG+에/JKB
회부된	회부/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.186.5.3
법원 관계자는 “피고인들이 무죄를 주장하고 있어 법정에 불러 이들의 주장을 들어보기 위해 정식재판에 회부한 것일 뿐 다른 뜻은 없다”고 설명했다.

법원	법원/NNG
관계자는	관계자/NNG+는/JX
“피고인들이	“/SS+피고인/NNG+들/XSN+이/JKS
무죄를	무죄/NNG+를/JKO
주장하고	주장/NNG+하/XSV+고/EC
있어	있/VX+어/EC
법정에	법정/NNG+에/JKB
불러	부르/VV+어/EC
이들의	이/NP+들/XSN+의/JKG
주장을	주장/NNG+을/JKO
들어보기	듣/VV+어/EC+보/VX+기/ETN
위해	위하/VV+아/EC
정식재판에	정식/NNG+재판/NNG+에/JKB
회부한	회부/NNG+하/XSV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐	뿐/NNB
다른	다른/MMD
뜻은	뜻/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.186.6.1
통상 검찰이 약식 기소한 사건은 재판부가 유무죄 판단 대신 벌금액만 조정해 약식 명령을 내리는 것으로 절차가 마무리된다.

통상	통상/MAG
검찰이	검찰/NNG+이/JKS
약식	약식/NNG
기소한	기소/NNG+하/XSV+ㄴ/ETM
사건은	사건/NNG+은/JX
재판부가	재판부/NNG+가/JKS
유무죄	유무죄/NNG
판단	판단/NNG
대신	대신/NNG
벌금액만	벌금액/NNG+만/JX
조정해	조정/NNG+하/XSV+아/EC
명령을	명령/NNG+을/JKO
내리는	내리/VV+는/ETM
것으로	것/NNB+으로/JKB
절차가	절차/NNG+가/JKS
마무리된다.	마무리/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.186.6.2
그러나 정식재판은 피고인이 반드시 출석한 상태에서 재판부가 유무죄 판단을 한 이후 벌금액 등 양형을 정한다.

그러나	그러나/MAJ
정식재판은	정식/NNG+재판/NNG+은/JX
피고인이	피고인/NNG+이/JKS
반드시	반드시/MAG
출석한	출석/NNG+하/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
재판부가	재판부/NNG+가/JKS
유무죄	유무죄/NNG
판단을	판단/NNG+을/JKO
한	하/VV+ㄴ/ETM
이후	이후/NNG
벌금액	벌금액/NNG
등	등/NNB
양형을	양형/NNG+을/JKO
정한다.	정하/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.186.7.1
앞서 정 부회장은 벌금 700만 원, 정 부사장은 400만 원, 신 회장은 500만 원, 정 회장은 400만 원에 약식 기소됐다.

앞서	앞서/MAG
정	정/NNP
부회장은	부회장/NNG+은/JX
벌금	벌금/NNG
700만	700/SN+만/NR
원,	원/NNB+,/SP
부사장은	부사장/NNG+은/JX
400만	400/SN+만/NR
신	신/NNP
회장은	회장/NNG+은/JX
500만	500/SN+만/NR
원에	원/NNB+에/JKB
약식	약식/NNG
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.186.7.2
일각에서는 이들에게 벌금 수백만 원을 부과하는 건 형벌로서 의미가 없다고 지적하기도 했다.

일각에서는	일각/NNG+에서/JKB+는/JX
이들에게	이/NP+들/XSN+에게/JKB
벌금	벌금/NNG
수백만	수백만/NR
원을	원/NNB+을/JKO
부과하는	부과/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
형벌로서	형벌/NNG+로서/JKB
의미가	의미/NNG+가/JKS
없다고	없/VA+다고/EC
지적하기도	지적/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


