# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.295
metadata : {}


# id : NWRW1800000032.295.1.1
현대, 또 삼성에 덜미

현대,	현대/NNP+,/SP
몰린	몰리/VV+ㄴ/ETM
삼성화재의	삼성화재/NNP+의/JKG
조직력이	조직력/NNG+이/JKS
6연승으로	6/SN+연승/NNG+으로/JKB
잘나가던	잘나가/VV+던/ETM
현대의	현대/NNP+의/JKG
공격력을	공격력/NNG+을/JKO
무너뜨린	무너뜨리/VV+ㄴ/ETM
경기였다.	경기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.295.5.3
여오현이 21개의 서브리시브 외에도 상대의 스파이크를 21개나 받아낸 것이 승패의 결정적인 요인이 됐다.

여오현이	여오현/NNP+이/JKS
21개의	21/SN+개/NNB+의/JKG
서브리시브	서브/NNG+리시브/NNG
외에도	외/NNB+에/JKB+도/JX
상대의	상대/NNG+의/JKG
스파이크를	스파이크/NNG+를/JKO
21개나	21/SN+개/NNB+나/JX
받아낸	받/VV+아/EC+내/VX+ㄴ/ETM
것이	것/NNB+이/JKS
승패의	승패/NNG+의/JKG
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
요인이	요인/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.295.6.1
2세트가 승부처였다.

2세트가	2/SN+세트/NNG+가/JKS
승부처였다.	승부처/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.295.6.2
19-25로 1세트를 쉽게 내준 삼성화재는 2세트 후반 한때 22-23으로 뒤져 패색이 짙어졌지만 상대 실책으로 얻은 동점 기회에서 한번도 기선을 내주지 않고 듀스 접전을 펼치다 28-28에서 가빈의 오픈공격과 상대 실책으로 세트 균형을 맞춘 뒤 팀 분위기가 살아났다.

19-25로	19/SN+-/SO+25/SN+로/JKB
1세트를	1/SN+세트/NNG+를/JKO
쉽게	쉽/VA+게/EC
내준	내주/VV+ㄴ/ETM
삼성화재는	삼성화재/NNP+는/JX
2세트	2/SN+세트/NNG
후반	후반/NNG
한때	한때/NNG
22-23으로	22/SN+-/SO+23/SN+으로/JKB
뒤져	뒤지/VV+어/EC
패색이	패색/NNG+이/JKS
짙어졌지만	짙어지/VV+었/EP+지만/EC
상대	상대/NNG
실책으로	실책/NNG+으로/JKB
얻은	얻/VV+은/ETM
동점	동점/NNG
기회에서	기회/NNG+에서/JKB
한번도	한/MMN+번/NNB+도/JX
기선을	기선/NNG+을/JKO
내주지	내주/VV+지/EC
않고	않/VX+고/EC
듀스	듀스/NNG
접전을	접전/NNG+을/JKO
펼치다	펼치/VV+다/EC
28-28에서	28/SN+-/SO+28/SN+에서/JKB
가빈의	가빈/NNP+의/JKG
오픈공격과	오픈/NNG+공격/NNG+과/JC
세트	세트/NNG
균형을	균형/NNG+을/JKO
맞춘	맞추/VV+ㄴ/ETM
뒤	뒤/NNG
팀	팀/NNG
분위기가	분위기/NNG+가/JKS
살아났다.	살아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.295.7.1
신치용 감독은 “역시 여오현은 국내 최고의 리베로로 좋은 활약을 펼쳤고, 주장 고희진이 제몫을 다하며 팀 분위기를 살리는 데 앞장섰다”고 말했다.

신치용	신치용/NNP
감독은	감독/NNG+은/JX
“역시	“/SS+역시/MAG
여오현은	여오현/NNP+은/JX
국내	국내/NNG
최고의	최고/NNG+의/JKG
리베로로	리베로/NNG+로/JKB
좋은	좋/VA+은/ETM
활약을	활약/NNG+을/JKO
펼쳤고,	펼치/VV+었/EP+고/EC+,/SP
주장	주장/NNG
고희진이	고희진/NNP+이/JKS
제몫을	저/NP+의/JKG+몫/NNG+을/JKO
다하며	다/MAG+하/XSV+며/EC
팀	팀/NNG
분위기를	분위기/NNG+를/JKO
살리는	살리/VV+는/ETM
데	데/NNB
앞장섰다”고	앞장서/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.295.7.2
현대캐피탈은 문성민(27점)과 소토(16점)가 분전했지만, 두 선수의 실책이 팀 실책(29개)의 절반이 훨씬 넘는 18개나 돼 승리의 기회를 번번이 놓쳤다.

현대캐피탈은	현대캐피탈/NNP+은/JX
문성민(27점)과	문성민/NNP+(/SS+27/SN+점/NNB+)/SS+과/JC
소토(16점)가	소토/NNP+(/SS+16/SN+점/NNB+)/SS+가/JKS
분전했지만,	분전/NNG+하/XSV+았/EP+지만/EC+,/SP
두	두/MMN
선수의	선수/NNG+의/JKG
실책이	실책/NNG+이/JKS
팀	팀/NNG
실책(29개)의	실책/NNG+(/SS+29/SN+개/NNB+)/SS+의/JKG
절반이	절반/NNG+이/JKS
훨씬	훨씬/MAG
넘는	넘/VV+는/ETM
18개나	18/SN+개/NNB+나/JX
돼	되/VV+어/EC
승리의	승리/NNG+의/JKG
기회를	기회/NNG+를/JKO
번번이	번번이/MAG
놓쳤다.	놓치/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.295.8.1
한편 새해 첫날 대한항공은 엘아이지손해보험에 0-3으로 져 연승 행진이 ‘8’에서 멈췄다.

한편	한편/MAG
새해	새해/NNG
첫날	첫날/NNG
대한항공은	대한항공/NNP+은/JX
엘아이지손해보험에	엘아이지손해보험/NNP+에/JKB
0-3으로	0/SN+-/SO+3/SN+으로/JKB
져	지/VV+어/EC
연승	연승/NNG
행진이	행진/NNG+이/JKS
‘8’에서	‘/SS+8/SN+’/SS+에서/JKB
멈췄다.	멈추/VV+었/EP+다/EF+./SF


