# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.146
metadata : {}


# id : NWRW1800000036.146.1.1
“시니컬한 인물 통한 반전의 인간애가 인기 비결”

“시니컬한	“/SS+시니컬/NNG+하/XSA+ㄴ/ETM
명예퇴직을 당한 스파이의 좌충우돌을 그린 미국 드라마 <번 노티스>의 작가 맷 닉스(41)도 쇼어와 함께 내한했다.

명예퇴직을	명예퇴직/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
스파이의	스파이/NNG+의/JKG
좌충우돌을	좌충우돌/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
미국	미국/NNP
드라마	드라마/NNG
<번	</SS+번/NNP
노티스>의	노티스/NNP+>/SS+의/JKG
작가	작가/NNG
맷	맷/NNP
닉스(41)도	닉스/NNP+(/SS+41/SN+)/SS+도/JX
쇼어와	쇼어/NNP+와/JKB
함께	함께/MAG
내한했다.	내한/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.146.7.2
닉스는 “에스비에스의 드라마 <드라마의 제왕>을 재미있게 보면서 한국의 제작 현실도 알게 됐다.

닉스는	닉스/NNP+는/JX
“에스비에스의	“/SS+에스비에스/NNP+의/JKG
드라마	드라마/NNG
<드라마의	</SS+드라마/NNG+의/JKG
제왕>을	제왕/NNG+>/SS+을/JKO
재미있게	재미있/VA+게/EC
보면서	보/VV+면서/EC
한국의	한국/NNP+의/JKG
제작	제작/NNG
현실도	현실/NNG+도/JX
알게	알/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.146.7.3
한국행 비행기에서 영화 <500만불의 사나이>를 봤는데, 원래 가수인 박진영씨가 연기를 잘해서 놀랐다”고 말했다.

한국행	한국행/NNG
비행기에서	비행기/NNG+에서/JKB
영화	영화/NNG
<500만불의	</SS+500/SN+만/NR+불/NNB+의/JKG
사나이>를	사나이/NNG+>/SS+를/JKO
봤는데,	보/VV+았/EP+는데/EC+,/SP
원래	원래/MAG
가수인	가수/NNG+이/VCP+ㄴ/ETM
박진영씨가	박진영/NNP+씨/NNB+가/JKS
연기를	연기/NNG+를/JKO
잘해서	잘/MAG+하/XSV+아서/EC
놀랐다”고	놀라/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.146.8.1
닉스는 “내 딸도 봤다”는 ‘강남스타일’ 열풍에서 한국 드라마의 가능성을 찾아야 한다고 조언하기도 했다.

닉스는	닉스/NNP+는/JX
“내	“/SS+나/NP+의/JKG
딸도	딸/NNG+도/JX
봤다”는	보/VV+았/EP+다/EF+”/SS+는/ETM
‘강남스타일’	‘/SS+강남스타일/NNP+’/SS
열풍에서	열풍/NNG+에서/JKB
한국	한국/NNP
드라마의	드라마/NNG+의/JKG
가능성을	가능/NNG+성/XSN+을/JKO
찾아야	찾/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
조언하기도	조언/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


