# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.169
metadata : {}


# id : NWRW1800000048.169.1.1
당신의 인생이자 우리 모두의 인생

당신의	당신/NP+의/JKG
1944년 3월 20일 경북 김천 아포읍 대신리에서 태어나 지금까지 같은 마을에 살고 있는 농부 권순덕(71)씨가 25살 때인 1969년 초부터 지금까지 매일 써온 일기 중에서 2000년 말까지의 일기를 엮은 책 <농민 권순덕의 삶과 기록- 아포일기>(전북대 출판문화원 펴냄)가 모두 5권으로 완간됐다.

1944년	1944/SN+년/NNB
3월	3/SN+월/NNB
20일	20/SN+일/NNB
경북	경북/NNP
김천	김천/NNP
아포읍	아포읍/NNP
대신리에서	대신리/NNP+에서/JKB
태어나	태어나/VV+아/EC
지금까지	지금/NNG+까지/JX
같은	같/VA+은/ETM
마을에	마을/NNG+에/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
농부	농부/NNG
권순덕(71)씨가	권순덕/NNP+(/SS+71/SN+)/SS+씨/NNB+가/JKS
25살	25/SN+살/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
1969년	1969/SN+년/NNB
초부터	초/NNB+부터/JX
매일	매일/MAG
써온	쓰/VV+어/EC+오/VX+ㄴ/ETM
일기	일기/NNG
중에서	중/NNB+에서/JKB
2000년	2000/SN+년/NNB
말까지의	말/NNB+까지/JX+의/JKG
일기를	일기/NNG+를/JKO
엮은	엮/VV+은/ETM
책	책/NNG
<농민	</SS+농민/NNG
권순덕의	권순덕/NNP+의/JKG
삶과	삶/NNG+과/JC
기록-	기록/NNG+-/SO
아포일기>(전북대	아포일기/NNP+>/SS+(/SS+전북대/NNP
출판문화원	출판/NNG+문화원/NNG
펴냄)가	펴내/VV+ㅁ/ETN+)/SS+가/JKS
모두	모두/MAG
5권으로	5/SN+권/NNB+으로/JKB
완간됐다.	완간/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.169.7.2
지난해에 1985년까지 1, 2권을 먼저 펴낸 데 이은 연속작업으로 분석·연구작업은 앞으로도 계속된다.

지난해에	지난해/NNG+에/JKB
1985년까지	1985/SN+년/NNB+까지/JX
1,	1/SN+,/SP
2권을	2/SN+권/NNB+을/JKO
먼저	먼저/MAG
펴낸	펴내/VV+ㄴ/ETM
데	데/NNB
이은	잇/VV+은/ETM
연속작업으로	연속/NNG+작업/NNG+으로/JKB
분석·연구작업은	분석/NNG+·/SP+연구/NNG+작업/NNG+은/JX
앞으로도	앞/NNG+으로/JKB+도/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.169.8.1
역시 맑은 날이었던 2000년 12월 4일 일기는 이렇다.

역시	역시/MAG
맑은	맑/VA+은/ETM
날이었던	날/NNG+이/VCP+었/EP+던/ETM
2000년	2000/SN+년/NNB
12월	12/SN+월/NNB
4일	4/SN+일/NNB
일기는	일기/NNG+는/JX
이렇다.	이렇/VA+다/EF+./SF


# id : NWRW1800000048.169.8.2
“오늘 오전은 친구와 농약방에 포도약 외상한 것 같푸로(갚으러) 같쓰며 둘리서 80만원 돈을 갑는돼도 올해는 정심(점심) 값도 주지 않코 그냥 밭고 말드라.

“오늘	“/SS+오늘/NNG
오전은	오전/NNG+은/JX
친구와	친구/NNG+와/JC
농약방에	농약/NNG+방/NNG+에/JKB
포도약	포도/NNG+약/NNG
외상한	외상/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같푸로(갚으러)	같푸로/NA+(/SS+갚/VV+으러/EC+)/SS
같쓰며	같쓰며/NA
둘리서	둘/NR+리서/NA
80만원	80/SN+만/NR+원/NNB
돈을	돈/NNG+을/JKO
갑는돼도	갑는돼도/NA
올해는	올해/NNG+는/JX
정심(점심)	정심/NNG+(/SS+점심/NNG+)/SS
값도	값/NNG+도/JX
주지	주/VV+지/EC
않코	않/VX+코/EC
그냥	그냥/MAG
밭고	밭/VV+고/EC
말드라.	말/VX+드라/EF+./SF


# id : NWRW1800000048.169.8.3
매년 외상 약값 같푸면 고맡따(고맙다)고 정심 값으로 주든이(주더니) 올해는 어르어서(어려워서) 그른지 아무것도 주지 않코 잊꾸나.

매년	매년/MAG
외상	외상/NNG
약값	약값/NNG
같푸면	같푸/VV+면/EC
고맡따(고맙다)고	고맡따/NA+(/SS+고맙/VA+다/EF+)/SS+고/JKQ
정심	정심/NNG
값으로	값/NNG+으로/JKB
주든이(주더니)	주든이/NA+(/SS+주/VV+더니/EC+)/SS
올해는	올해/NNG+는/JX
어르어서(어려워서)	어릅/VV+어서/EC+(/SS+어렵/VA+어서/EC+)/SS
그른지	그릏/VA+ㄴ지/EF
아무것도	아무것/NNG+도/JX
주지	주/VV+지/EC
않코	않/VX+코/EC
잊꾸나.	잊꾸나/NA+./SF


# id : NWRW1800000048.169.8.4
그리고 우리 농촌만 어르운 것이 아니라 농약방도 어르꾸나(어렵구나) 하는 생각이 들드라.”

그리고	그리고/MAJ
우리	우리/NP
농촌만	농촌/NNG+만/JX
어르운	어릅/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
농약방도	농약/NNG+방/NNG+도/JX
어르꾸나(어렵구나)	어릅/VV+꾸나/EF+(/SS+어렵/VA+구나/EF+)/SS
하는	하/VV+는/ETM
생각이	생각/NNG+이/JKS
들드라.”	들/VV+드라/EF+./SF+”/SS


# id : NWRW1800000048.169.8.5
이날 권씨는 포도약 외상값 27만 5천원을 지출하고, 비료 구입 대행으로 7만원을 벌었다는 사실도 기록했다.

이날	이날/NNG
권씨는	권/NNP+씨/NNB+는/JX
포도약	포도/NNG+약/NNG
외상값	외상값/NNG
27만	27/SN+만/NR
5천원을	5/SN+천/NR+원/NNB+을/JKO
지출하고,	지출/NNG+하/XSV+고/EC+,/SP
비료	비료/NNG
구입	구입/NNG
대행으로	대행/NNG+으로/JKB
7만원을	7/SN+만/NR+원/NNB+을/JKO
벌었다는	벌/VV+었/EP+다는/ETM
사실도	사실/NNG+도/JX
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.169.8.6
1974년 1월 31일 일기에는 ‘월말 총지출금액’ 1만 440원의 내역이 옷값, 쌀값, 의료비에서부터 교통비, 빨래줄 값, 감기약값, 조합비, 아이 용돈까지 수십 가지 세목으로 꼼꼼하게 기록돼 있다.

1974년	1974/SN+년/NNB
1월	1/SN+월/NNB
31일	31/SN+일/NNB
일기에는	일기/NNG+에/JKB+는/JX
‘월말	‘/SS+월말/NNG
총지출금액’	총지출/NNG+금액/NNG+’/SS
1만	1/SN+만/NR
440원의	440/SN+원/NNB+의/JKG
내역이	내역/NNG+이/JKS
옷값,	옷값/NNG+,/SP
쌀값,	쌀값/NNG+,/SP
의료비에서부터	의료비/NNG+에서부터/JKB
교통비,	교통비/NNG+,/SP
빨래줄	빨래줄/NNG
값,	값/NNG+,/SP
감기약값,	감기약값/NNG+,/SP
조합비,	조합비/NNG+,/SP
아이	아이/NNG
용돈까지	용돈/NNG+까지/JX
수십	수십/NR
가지	가지/NNB
세목으로	세목/NNG+으로/JKB
꼼꼼하게	꼼꼼/MAG+하/XSA+게/EC
기록돼	기록/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.169.9.1
2년여에 걸쳐 이 작업을 해 온 전북대학교 ‘SSK 개인기록연구실’(이하 연구실, 책임연구원 전북대 고고문화인류학과 이정덕 교수)은 “일기가 한 개인과 그가 속한 사회 사이의 다양한 관계 맺기를 가장 생생하게 보여주는 기록”이라며 권씨의 일기는 “한 개인의 삶이 밟아온 생애의 궤적으로 보여주는 다큐멘터리인 동시에 격변하는 한국의 근대화가 농촌사회, 그리고 농민의 삶에 새겨 놓은 무늬와 흔적을 담고 있는 화석”이라고 했다.

2년여에	2/SN+년/NNB+여/XSN+에/JKB
걸쳐	걸치/VV+어/EC
이	이/MMD
작업을	작업/NNG+을/JKO
해	하/VV+아/EC
온	오/VX+ㄴ/ETM
전북대학교	전북대학교/NNP
‘SSK	‘/SS+SSK/SL
개인기록연구실’(이하	개인/NNG+기록/NNG+연구실/NNG+’/SS+(/SS+이하/NNG
연구실,	연구실/NNG+,/SP
책임연구원	책임/NNG+연구원/NNG
전북대	전북대/NNP
고고문화인류학과	고고/NNG+문화/NNG+인류학과/NNG
이정덕	이정덕/NNP
교수)은	교수/NNG+)/SS+은/JX
“일기가	“/SS+일기/NNG+가/JKS
한	한/MMN
개인과	개인/NNG+과/JC
그가	그/NP+가/JKS
속한	속하/VV+ㄴ/ETM
사회	사회/NNG
사이의	사이/NNG+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
관계	관계/NNG
맺기를	맺/VV+기/ETN+를/JKO
가장	가장/MAG
생생하게	생생하/VA+게/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
기록”이라며	기록/NNG+”/SS+이/VCP+라며/EC
권씨의	권/NNP+씨/NNB+의/JKG
일기는	일기/NNG+는/JX
“한	“/SS+한/MMN
개인의	개인/NNG+의/JKG
삶이	삶/NNG+이/JKS
밟아온	밟/VV+아/EC+오/VX+ㄴ/ETM
생애의	생애/NNG+의/JKG
궤적으로	궤적/NNG+으로/JKB
다큐멘터리인	다큐멘터리/NNG+이/VCP+ㄴ/ETM
동시에	동시/NNG+에/JKB
격변하는	격변/NNG+하/XSV+는/ETM
한국의	한국/NNP+의/JKG
근대화가	근대/NNG+화/XSN+가/JKS
농촌사회,	농촌/NNG+사회/NNG+,/SP
그리고	그리고/MAJ
농민의	농민/NNG+의/JKG
삶에	삶/NNG+에/JKB
새겨	새기/VV+어/EC
놓은	놓/VX+은/ETM
무늬와	무늬/NNG+와/JC
흔적을	흔적/NNG+을/JKO
담고	담/VV+고/EC
있는	있/VX+는/ETM
화석”이라고	화석/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.169.10.1
군에서 막 제대한 가난했던 20대 농촌청년의 도시를 향한 열망과 좌절에서부터 자신과 가족의 ‘노동착취’를 통해 중농으로 성장해 가는 과정, 농삿일을 자녀들에게 물려주지 않으려는 장년의 고뇌에 이르기까지 근대화 과정의 이면에 묻힌 한 시골 농민의 생애 발굴과 재구성.

군에서	군/NNG+에서/JKB
막	막/MAG
제대한	제대/NNG+하/XSV+ㄴ/ETM
가난했던	가난/NNG+하/XSA+았/EP+던/ETM
20대	20/SN+대/NNB
농촌청년의	농촌/NNG+청년/NNG+의/JKG
도시를	도시/NNG+를/JKO
향한	향하/VV+ㄴ/ETM
열망과	열망/NNG+과/JC
좌절에서부터	좌절/NNG+에서부터/JKB
자신과	자신/NNG+과/JC
가족의	가족/NNG+의/JKG
‘노동착취’를	‘/SS+노동/NNG+착취/NNG+’/SS+를/JKO
통해	통하/VV+아/EC
중농으로	중농/NNG+으로/JKB
성장해	성장/NNG+하/XSV+아/EC
가는	가/VX+는/ETM
과정,	과정/NNG+,/SP
농삿일을	농삿일/NNG+을/JKO
자녀들에게	자녀/NNG+들/XSN+에게/JKB
물려주지	물려주/VV+지/EC
않으려는	않/VX+으려는/ETM
장년의	장년/NNG+의/JKG
고뇌에	고뇌/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
근대화	근대/NNG+화/XSN
과정의	과정/NNG+의/JKG
이면에	이면/NNG+에/JKB
묻힌	묻히/VV+ㄴ/ETM
한	한/MMN
시골	시골/NNG
농민의	농민/NNG+의/JKG
생애	생애/NNG
발굴과	발굴/NNG+과/JC
재구성.	재/XPN+구성/NNG+./SF


# id : NWRW1800000048.169.10.2
연구실은 “동원 가능한 모든 자원을 집중시켜온 한국사회의 근대화 과정과 빼다 박은 듯 닯았다”고 했다.

연구실은	연구실/NNG+은/JX
“동원	“/SS+동원/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
모든	모든/MMN
자원을	자원/NNG+을/JKO
집중시켜온	집중/NNG+시키/XSV+어/EC+오/VX+ㄴ/ETM
한국사회의	한국/NNP+사회/NNG+의/JKG
근대화	근대/NNG+화/XSN
과정과	과정/NNG+과/JKB
빼다	빼/VV+어다/EC
박은	박/VV+은/ETM
듯	듯/NNB
닯았다”고	닯/VV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.169.10.3
이는 일본의 근대화 과정과도 매우 닮았다.

이는	이/NP+는/JX
일본의	일본/NNP+의/JKG
근대화	근대/NNG+화/XSN
과정과도	과정/NNG+과/JKB+도/JX
매우	매우/MAG
닮았다.	닮/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.169.10.4
작업은 인류학·경제학·사회학·과학사 등을 전공하는 6명의 연구자들이 맡았다.

작업은	작업/NNG+은/JX
인류학·경제학·사회학·과학사	인류학/NNG+·/SP+경제학/NNG+·/SP+사회학/NNG+·/SP+과학사/NNG
등을	등/NNB+을/JKO
전공하는	전공/NNG+하/XSV+는/ETM
6명의	6/SN+명/NNB+의/JKG
연구자들이	연구자/NNG+들/XSN+이/JKS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.169.10.5
이번 책은 연구실이 2011년부터 2년간 작업을 거쳐 먼저 펴낸 전북 임실의 농민일기인 <창평 일기>에 이은 두 번째 성과다.

이번	이번/NNG
책은	책/NNG+은/JX
연구실이	연구실/NNG+이/JKS
2011년부터	2011/SN+년/NNB+부터/JX
2년간	2/SN+년/NNB+간/XSN
작업을	작업/NNG+을/JKO
거쳐	거치/VV+어/EC
먼저	먼저/MAG
펴낸	펴내/VV+ㄴ/ETM
전북	전북/NNP
임실의	임실/NNP+의/JKG
농민일기인	농민/NNG+일기/NNG+이/VCP+ㄴ/ETM
<창평	</SS+창평/NNP
일기>에	일기/NNG+>/SS+에/JKB
이은	잇/VV+은/ETM
두	두/MMN
번째	번/NNB+째/XSN
성과다.	성과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.169.10.6
연구실은 “같은 시기 한국 근대화 과정에 대한 영호남간 비교연구 기초자료를 구축했다”고 자평했다.

연구실은	연구실/NNG+은/JX
“같은	“/SS+같/VA+은/ETM
시기	시기/NNG
한국	한국/NNP
근대화	근대/NNG+화/XSN
과정에	과정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
영호남간	영호남/NNP+간/NNB
비교연구	비교/NNG+연구/NNG
기초자료를	기초/NNG+자료/NNG+를/JKO
구축했다”고	구축/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
자평했다.	자평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.169.10.7
연구실은 국내 다른 지역과 동남아, 중·일·대만 등까지 작업 영역을 확대하는, “개인기록을 통한 동아시아의 압축적 근대성 비교연구”를 목표로 삼고 있다.

연구실은	연구실/NNG+은/JX
국내	국내/NNG
다른	다른/MMD
지역과	지역/NNG+과/JC
동남아,	동남아/NNP+,/SP
중·일·대만	중·일/NNP+·/SP+대만/NNP
등까지	등/NNB+까지/JX
작업	작업/NNG
영역을	영역/NNG+을/JKO
확대하는,	확대/NNG+하/XSV+는/ETM+,/SP
“개인기록을	“/SS+개인/NNG+기록/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
동아시아의	동아시아/NNP+의/JKG
압축적	압축/NNG+적/XSN
근대성	근대/NNG+성/XSN
비교연구”를	비교/NNG+연구/NNG+”/SS+를/JKO
목표로	목표/NNG+로/JKB
삼고	삼/VV+고/EC
있다.	있/VX+다/EF+./SF


