# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.337
metadata : {}


# id : NWRW1800000041.337.1.1
[단독]팽목항의 이주영 장관 사퇴 뜻 굳혀

[단독]팽목항의	[/SS+단독/NNG+]/SS+팽목항/NNP+의/JKG
이	이/NNP
장관은	장관/NNG+은/JX
지난달	지난달/NNG
13일	13/SN+일/NNB
보도자료를	보도/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
“사고	“/SS+사고/NNG
수습이	수습/NNG+이/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
져야	지/VV+어야/EC
할	하/VV+ㄹ/ETM
책임에	책임/NNG+에/JKB
따라	따르/VV+아/EC
합당한	합당하/VA+ㄴ/ETM
처신을	처신/NNG+을/JKO
것”이라고	것/NNB+”/SS+이라고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.337.5.2
다만 실종자 10명을 모두 찾을 때까지 이 장관은 자리를 지켜야 한다고 유가족들이 강력히 요구할 경우 이 장관의 사퇴 시기가 늦춰질 가능성도 있다.

다만	다만/MAG
실종자	실종자/NNG
10명을	10/SN+명/NNB+을/JKO
모두	모두/MAG
찾을	찾/VV+을/ETM
때까지	때/NNG+까지/JX
이	이/NNP
장관은	장관/NNG+은/JX
자리를	자리/NNG+를/JKO
지켜야	지키/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
유가족들이	유가족/NNG+들/XSN+이/JKS
강력히	강력히/MAG
요구할	요구/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
장관의	장관/NNG+의/JKG
사퇴	사퇴/NNG
시기가	시기/NNG+가/JKS
늦춰질	늦추/VV+어/EC+지/VX+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.337.6.1
이 장관은 이달 25일 일본에서 열리는 한중일 물류장관회의 등의 참석 여부를 놓고도 고심 중인 것으로 알려졌다.

이	이/NNP
장관은	장관/NNG+은/JX
이달	이달/NNG
25일	25/SN+일/NNB
일본에서	일본/NNP+에서/JKB
열리는	열리/VV+는/ETM
한중일	한중일/NNP
물류장관회의	물류/NNG+장관/NNG+회의/NNG
등의	등/NNB+의/JKG
참석	참석/NNG
여부를	여부/NNG+를/JKO
놓고도	놓/VV+고/EC+도/JX
고심	고심/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.337.6.2
새누리당 김무성 대표가 6일 4선 국회의원인 이 장관을 향해 장관으로서 정상적인 업무에 복귀할 것을 공개적으로 요청한 가운데 국익을 위해서라도 국제회의에 참석하는 것이 맞지만 실종자 수색작업에 차질이 빚어질 것을 우려하는 것으로 보인다.

새누리당	새누리당/NNP
김무성	김무성/NNP
대표가	대표/NNG+가/JKS
6일	6/SN+일/NNB
4선	4/SN+선/NNB
국회의원인	국회/NNG+의원/NNG+이/VCP+ㄴ/ETM
이	이/NNP
장관을	장관/NNG+을/JKO
향해	향하/VV+아/EC
장관으로서	장관/NNG+으로서/JKB
정상적인	정상/NNG+적/XSN+이/VCP+ㄴ/ETM
업무에	업무/NNG+에/JKB
복귀할	복귀/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
요청한	요청/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
국익을	국익/NNG+을/JKO
위해서라도	위하/VV+아서/EC+라도/JX
국제회의에	국제회의/NNG+에/JKB
참석하는	참석/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
맞지만	맞/VV+지만/EC
실종자	실종자/NNG
수색작업에	수색/NNG+작업/NNG+에/JKB
차질이	차질/NNG+이/JKS
빚어질	빚어지/VV+ㄹ/ETM
우려하는	우려/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


