# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.64
metadata : {}


# id : NWRW1800000038.64.1.1
[건축 거장들 나의 대표작] (5) 건축가 조병수의 '심심촌'

[건축	[/SS+건축/NNG
좁은	좁/VA+은/ETM
앞마당과	앞마당/NNG+과/JC
작은	작/VA+은/ETM
집이	집/NNG+이/JKS
긴장감	긴장감/NNG
있게	있/VA+게/EC
들어서	들어서/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.64.3.5
건축가 조병수(56·조병수건축연구소 소장)씨의 '땅집'이다.

건축가	건축가/NNG
조병수(56·조병수건축연구소	조병수/NNP+(/SS+56/SN+·/SP+조병수건축연구소/NNP
소장)씨의	소장/NNG+)/SS+씨/NNB+의/JKG
'땅집'이다.	'/SS+땅집/NNP+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.4.1
경기도 화천 '이외수 집필실'과 서울 광화문 '트윈트리' 등을 설계한 조병수씨는 이 '땅집'을 비롯해 총 3개의 건물이 자신의 대표작이라고 했다.

경기도	경기도/NNP
화천	화천/NNP
'이외수	'/SS+이외수/NNP
집필실'과	집필실/NNG+'/SS+과/JC
서울	서울/NNP
광화문	광화문/NNP
'트윈트리'	'/SS+트윈트리/NNP+'/SS
등을	등/NNB+을/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
조병수씨는	조병수/NNP+씨/NNB+는/JX
이	이/MMD
'땅집'을	'/SS+땅집/NNP+'/SS+을/JKO
비롯해	비롯하/VV+아/EC
총	총/MMA
3개의	3/SN+개/NNB+의/JKG
건물이	건물/NNG+이/JKS
자신의	자신/NNG+의/JKG
대표작이라고	대표작/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.64.4.2
'땅집'에서 50m쯤 올라간 언덕에 솟아 있는 'ㅁ(미음)자 집', 또 거기에서 50여m 정도 떨어진 마을회관 '마을집'이다.

'땅집'에서	'/SS+땅집/NNP+'/SS+에서/JKB
50m쯤	50/SN+m/SW+쯤/XSN
올라간	올라가/VV+ㄴ/ETM
언덕에	언덕/NNG+에/JKB
솟아	솟/VV+아/EC
있는	있/VX+는/ETM
'ㅁ(미음)자	'/SS+ㅁ/NNG+(/SS+미음/NNG+)/SS+자/NNG
집',	집/NNG+'/SS+,/SP
또	또/MAG
거기에서	거기/NP+에서/JKB
50여m	50/SN+여/XSN+m/SW
정도	정도/NNG
떨어진	떨어지/VV+ㄴ/ETM
마을회관	마을/NNG+회관/NNG
'마을집'이다.	'/SS+마을/NNG+집/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.4.3
이른바 '심심촌(心心村)'이다.

이른바	이른바/MAG
'심심촌(心心村)'이다.	'/SS+심심촌/NNP+(/SS+心心村/SH+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.4.4
"마음과 마음이 통하는 집이에요.

"마음과	"/SS+마음/NNG+과/JC
마음이	마음/NNG+이/JKS
통하는	통하/VV+는/ETM
집이에요.	집/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000038.64.4.5
하늘과 땅이 통하는 집이기도 하지요."

하늘과	하늘/NNG+과/JC
땅이	땅/NNG+이/JKS
통하는	통하/VV+는/ETM
집이기도	집/NNG+이/VCP+기/ETN+도/JX
하지요."	하/VX+지요/EF+./SF+"/SS


# id : NWRW1800000038.64.5.1
2004년(ㅁ자 집)과 2008년(마을집), 2009년(땅집) 잇따라 완성된 집들은 모두 하나의 정서에서 출발한다.

2004년(ㅁ자	2004/SN+년/NNB+(/SS+ㅁ/NNG+자/NNG
집)과	집/NNG+)/SS+과/JC
2008년(마을집),	2008/SN+년/NNB+(/SS+마을/NNG+집/NNG+)/SS+,/SP
2009년(땅집)	2009/SN+년/NNB+(/SS+땅집/NNP+)/SS
잇따라	잇따르/VV+아/EC
완성된	완성/NNG+되/XSV+ㄴ/ETM
집들은	집/NNG+들/XSN+은/JX
모두	모두/MAG
하나의	하나/NR+의/JKG
정서에서	정서/NNG+에서/JKB
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.64.5.2
땅에 대한 깊은 관심, 땅과 하늘의 관계에 대한 조명, 건축이 자연과 사람을 잇는 매개체라는 관점이다.

땅에	땅/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
깊은	깊/VA+은/ETM
관심,	관심/NNG+,/SP
땅과	땅/NNG+과/JC
하늘의	하늘/NNG+의/JKG
관계에	관계/NNG+에/JKB
조명,	조명/NNG+,/SP
건축이	건축/NNG+이/JKS
자연과	자연/NNG+과/JC
사람을	사람/NNG+을/JKO
잇는	잇/VV+는/ETM
매개체라는	매개체/NNG+이/VCP+라는/ETM
관점이다.	관점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.5.3
특히 땅에 대한 관심은 지극하다.

특히	특히/MAG
땅에	땅/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심은	관심/NNG+은/JX
지극하다.	지극하/VA+다/EF+./SF


# id : NWRW1800000038.64.5.4
"땅은 어머니이기도 하고, 따뜻하고 감동적인 공간이죠." '건폐율(대지면적에 대한 건축물의 비율) 0%'란 독특한 기록을 남긴 '땅집'이 탄생한 배경일 것이다.

"땅은	"/SS+땅/NNG+은/JX
어머니이기도	어머니/NNG+이/VCP+기/ETN+도/JX
하고,	하/VX+고/EC+,/SP
따뜻하고	따뜻하/VA+고/EC
감동적인	감동/NNG+적/XSN+이/VCP+ㄴ/ETM
공간이죠."	공간/NNG+이/VCP+죠/EF+./SF+"/SS
'건폐율(대지면적에	'/SS+건폐/NNG+율/XSN+(/SS+대지/NNG+면적/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
건축물의	건축물/NNG+의/JKG
비율)	비율/NNG+)/SS
0%'란	0/SN+%/SW+'/SS+이/VCP+란/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
기록을	기록/NNG+을/JKO
남긴	남기/VV+ㄴ/ETM
'땅집'이	'/SS+땅집/NNP+'/SS+이/JKS
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
배경일	배경/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.6.1
건물들은 지극히 단순한 네모상자를 모티브로 한다.

건물들은	건물/NNG+들/XSN+은/JX
지극히	지극히/MAG
단순한	단순/NNG+하/XSA+ㄴ/ETM
네모상자를	네모/NNG+상자/NNG+를/JKO
모티브로	모티브/NNG+로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.64.6.2
마당을 앞에 두고 땅 속에 네모상자를 박아넣은 땅집, 네모 상자 안에 작은 네모를 파낸 ㅁ자 집, 경사지를 그대로 살린 계단식의 긴 네모 상자 모양 마을집이다.

마당을	마당/NNG+을/JKO
앞에	앞/NNG+에/JKB
두고	두/VV+고/EC
땅	땅/NNG
속에	속/NNG+에/JKB
네모상자를	네모/NNG+상자/NNG+를/JKO
박아넣은	박/VV+아/EC+넣/VV+은/ETM
땅집,	땅집/NNP+,/SP
네모	네모/NNG
상자	상자/NNG
안에	안/NNG+에/JKB
작은	작/VA+은/ETM
네모를	네모/NNG+를/JKO
파낸	파내/VV+ㄴ/ETM
ㅁ자	ㅁ/NNG+자/NNG
집,	집/NNG+,/SP
경사지를	경사지/NNG+를/JKO
그대로	그대로/MAG
살린	살리/VV+ㄴ/ETM
계단식의	계단식/NNG+의/JKG
긴	길/VA+ㄴ/ETM
모양	모양/NNG
마을집이다.	마을/NNG+집/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.6.3
"사각형은 형태보다 공간이 두드러지는, 기능적이면서도 추상적인 틀(프레임)이죠.

"사각형은	"/SS+사각/NNG+형/XSN+은/JX
형태보다	형태/NNG+보다/JKB
공간이	공간/NNG+이/JKS
두드러지는,	두드러지/VV+는/ETM+,/SP
기능적이면서도	기능/NNG+적/XSN+이/VCP+면서/EC+도/JX
추상적인	추상/NNG+적/XSN+이/VCP+ㄴ/ETM
틀(프레임)이죠.	틀/NNG+(/SS+프레임/NNG+)/SS+이/VCP+죠/EF+./SF


# id : NWRW1800000038.64.6.4
그 안에서 사람들은 시시각각 달라지는 자연과 계절, 하늘과 풍경을 마주하게 됩니다."

그	그/MMD
안에서	안/NNG+에서/JKB
사람들은	사람/NNG+들/XSN+은/JX
시시각각	시시각각/NNG
달라지는	달라지/VV+는/ETM
자연과	자연/NNG+과/JC
계절,	계절/NNG+,/SP
하늘과	하늘/NNG+과/JC
풍경을	풍경/NNG+을/JKO
마주하게	마주/MAG+하/XSV+게/EC
됩니다."	되/VV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.64.7.1
비슷한 출발임에도 불구하고 세 건물의 인상은 다르다.

비슷한	비슷하/VA+ㄴ/ETM
출발임에도	출발/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
세	세/MMN
건물의	건물/NNG+의/JKG
인상은	인상/NNG+은/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000038.64.7.2
건축가가 각각의 쓰임과 의도에 따라 모두 다른 소재와 접근법을 택했기 때문이다.

건축가가	건축가/NNG+가/JKS
각각의	각각/NNG+의/JKG
쓰임과	쓰이/VV+ㅁ/ETN+과/JC
의도에	의도/NNG+에/JKB
따라	따르/VV+아/EC
모두	모두/MAG
다른	다른/MMD
소재와	소재/NNG+와/JC
접근법을	접근법/NNG+을/JKO
택했기	택하/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.7.3
가로세로 14m짜리 직사각형 건물인 ㅁ자 집의 경우, 보 없이 30㎝ 두께의 콘크리트 지붕을 올린 뒤 그 아래를 고목(古木) 기둥 10개로 받쳤다.

가로세로	가로세로/NNG
14m짜리	14/SN+m/SW+짜리/XSN
직사각형	직사각형/NNG
건물인	건물/NNG+이/VCP+ㄴ/ETM
ㅁ자	ㅁ/NNG+자/NNG
집의	집/NNG+의/JKG
경우,	경우/NNG+,/SP
보	보/NNG
없이	없이/MAG
30㎝	30/SN+㎝/SW
두께의	두께/NNG+의/JKG
콘크리트	콘크리트/NNG
지붕을	지붕/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
뒤	뒤/NNG
그	그/MMD
아래를	아래/NNG+를/JKO
고목(古木)	고목/NNG+(/SS+古木/SH+)/SS
기둥	기둥/NNG
10개로	10/SN+개/NNB+로/JKB
받쳤다.	받치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.64.7.4
네모 반듯한 중정(中庭)에 여과 없이 쏟아지는 비와 눈, 햇살은 말 그대로 서정적일 것이다.

네모	네모/NNG
반듯한	반듯하/VA+ㄴ/ETM
중정(中庭)에	중정/NNG+(/SS+中庭/SH+)/SS+에/JKB
여과	여과/NNG
없이	없이/MAG
쏟아지는	쏟아지/VV+는/ETM
비와	비/NNG+와/JC
눈,	눈/NNG+,/SP
햇살은	햇살/NNG+은/JX
말	말/NNG
그대로	그대로/MAG
서정적일	서정/NNG+적/XSN+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.8.1
'땅집'은 터를 파며 나온 흙을 활용해 지은 흙집이기도 한데, 흙은 곱게 다져 5㎝ 두께로 쌓고 그걸 60번 반복해 3m 높이로 쌓아올렸다고 한다.

'땅집'은	'/SS+땅집/NNP+'/SS+은/JX
터를	터/NNG+를/JKO
파며	파/VV+며/EC
나온	나오/VV+ㄴ/ETM
흙을	흙/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
지은	짓/VV+은/ETM
흙집이기도	흙집/NNG+이/VCP+기/ETN+도/JX
한데,	하/VX+ㄴ데/EC+,/SP
흙은	흙/NNG+은/JX
곱게	곱/VA+게/EC
다져	다지/VV+어/EC
5㎝	5/SN+㎝/SW
두께로	두께/NNG+로/JKB
쌓고	쌓/VV+고/EC
그걸	그거/NP+ㄹ/JKO
60번	60/SN+번/NNB
반복해	반복/NNG+하/XSV+아/EC
3m	3/SN+m/SW
높이로	높이/NNG+로/JKB
쌓아올렸다고	쌓/VV+아/EC+올리/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.64.8.2
마당과 집을 감싸는 콘크리트 벽체엔 터를 다지며 자른 소나무 기둥을 박아 넣어 "나무가 썩으면 이끼와 풀이 자라도록 유도했다"고 한다.

마당과	마당/NNG+과/JC
집을	집/NNG+을/JKO
감싸는	감싸/VV+는/ETM
콘크리트	콘크리트/NNG
벽체엔	벽체/NNG+에/JKB+ㄴ/JX
터를	터/NNG+를/JKO
다지며	다지/VV+며/EC
자른	자르/VV+ㄴ/ETM
소나무	소나무/NNG
기둥을	기둥/NNG+을/JKO
박아	박/VV+아/EC
넣어	넣/VV+어/EC
"나무가	"/SS+나무/NNG+가/JKS
썩으면	썩/VV+으면/EC
이끼와	이끼/NNG+와/JC
풀이	풀/NNG+이/JKS
자라도록	자라/VV+도록/EC
유도했다"고	유도/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.64.8.3
6평에 불과한 좁은 집은 흙과 종이, 나무만으로 만들었고, 높이 1m가 채 되지 않는 작은 방문들은 "허리와 고개를 숙이도록 하는 '겸손함의 장치'"다.

6평에	6/SN+평/NNB+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
좁은	좁/VA+은/ETM
집은	집/NNG+은/JX
흙과	흙/NNG+과/JC
종이,	종이/NNG+,/SP
나무만으로	나무/NNG+만/JX+으로/JKB
만들었고,	만들/VV+었/EP+고/EC+,/SP
높이	높이/NNG
1m가	1/SN+m/SW+가/JKS
채	채/MAG
되지	되/VV+지/EC
않는	않/VX+는/ETM
작은	작/VA+은/ETM
방문들은	방문/NNG+들/XSN+은/JX
"허리와	"/SS+허리/NNG+와/JC
고개를	고개/NNG+를/JKO
숙이도록	숙이/VV+도록/EC
하는	하/VX+는/ETM
'겸손함의	'/SS+겸손/NNG+하/XSA+ㅁ/ETN+의/JKG
장치'"다.	장치/NNG+'/SS+"/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.64.8.4
'마을집'의 계단식 지붕은 마을 주민들의 공용 공간이자 수곡리의 때 묻지 않은 자연을 즐기는 야외 데크가 된다.

'마을집'의	'/SS+마을/NNG+집/NNG+'/SS+의/JKG
계단식	계단식/NNG
지붕은	지붕/NNG+은/JX
마을	마을/NNG
주민들의	주민/NNG+들/XSN+의/JKG
공용	공용/NNG
공간이자	공간/NNG+이/VCP+자/EC
수곡리의	수곡리/NNP+의/JKG
때	때/NNG
묻지	묻/VV+지/EC
않은	않/VX+은/ETM
자연을	자연/NNG+을/JKO
즐기는	즐기/VV+는/ETM
야외	야외/NNG
데크가	데크/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.64.9.1
3개 건물을 이으면 삼각형이 그려지는 '심심촌'에서 건축가는 종종 머리를 식힌다.

3개	3/SN+개/NNB
건물을	건물/NNG+을/JKO
이으면	잇/VV+으면/EC
삼각형이	삼각/NNG+형/XSN+이/JKS
그려지는	그리/VV+어/EC+지/VX+는/ETM
'심심촌'에서	'/SS+심심촌/NNP+'/SS+에서/JKB
건축가는	건축가/NNG+는/JX
종종	종종/MAG
머리를	머리/NNG+를/JKO
식힌다.	식히/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.64.9.2
특히 시인 윤동주의 시 낭송회를 연다는 땅집의 경우, 그에겐 의미가 남다르다.

특히	특히/MAG
시인	시인/NNG
윤동주의	윤동주/NNP+의/JKG
시	시/NNG
낭송회를	낭송회/NNG+를/JKO
연다는	열/VV+ㄴ다는/ETM
땅집의	땅집/NNP+의/JKG
경우,	경우/NNG+,/SP
그에겐	그/NP+에게/JKB+ㄴ/JX
의미가	의미/NNG+가/JKS
남다르다.	남다르/VA+다/EF+./SF


# id : NWRW1800000038.64.9.3
"한창 일 많고 정신없을 때, 대학 시절 좋아했던 윤동주 시인이 떠오르더라고요.

"한창	"/SS+한창/MAG
일	일/NNG
많고	많/VA+고/EC
정신없을	정신없/VA+을/ETM
때,	때/NNG+,/SP
대학	대학/NNG
시절	시절/NNG
좋아했던	좋아하/VV+았/EP+던/ETM
윤동주	윤동주/NNP
시인이	시인/NNG+이/JKS
떠오르더라고요.	떠오르/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000038.64.9.4
자기 성찰이랄까, 내가 지금 여기서 뭐 하고 있는지, 내가 나를 제대로 돌아보며 살고 있는 건지….

자기	자기/NP
성찰이랄까,	성찰/NNG+이/VCP+라/EC+ㄹ까/EF+,/SP
내가	내/NP+가/JKS
지금	지금/MAG
여기서	여기/NP+서/JKB
뭐	뭐/NP
하고	하/VV+고/EC
있는지,	있/VX+는지/EC+,/SP
나를	나/NP+를/JKO
제대로	제대로/MAG
돌아보며	돌아보/VV+며/EC
살고	살/VV+고/EC
있는	있/VX+는/ETM
건지….	거/NNB+이/VCP+ㄴ지/EC+…/SE+./SF


# id : NWRW1800000038.64.9.5
그래서 그의 시집 '하늘과 바람과 별과 시'처럼 집을 만든 건데, 보세요.

그래서	그래서/MAJ
그의	그/NP+의/JKG
시집	시집/NNG
'하늘과	'/SS+하늘/NNG+과/JC
바람과	바람/NNG+과/JC
별과	별/NNG+과/JC
시'처럼	시/NNG+'/SS+처럼/JKB
집을	집/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
건데,	거/NNB+이/VCP+ㄴ데/EC+,/SP
보세요.	보/VV+시/EP+어요/EF+./SF


# id : NWRW1800000038.64.9.6
내가 자기 반성의 삶을 살고 있는 건지, 여전히 앞만 보며 살고 있는 건 아닌지, 영 자신이 없네요…."

내가	내/NP+가/JKS
자기	자기/NP
반성의	반성/NNG+의/JKG
삶을	삶/NNG+을/JKO
살고	살/VV+고/EC
있는	있/VX+는/ETM
건지,	거/NNB+이/VCP+ㄴ지/EC+,/SP
여전히	여전히/MAG
앞만	앞/NNG+만/JX
보며	보/VV+며/EC
건	거/NNB+ㄴ/JX
아닌지,	아니/VCN+ㄴ지/EC+,/SP
영	영/MAG
자신이	자신/NNG+이/JKS
없네요…."	없/VA+네요/EF+…/SE+./SF+"/SS


