# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.340
metadata : {}


# id : NWRW1800000026.340.1.1
[울산] 2015년 울산 교실당 학생 수 30명 미만;저출산 여파 학생 수 감소로 현 33.4명서 5년 후 29.8명

[울산]	[/SS+울산/NNP+]/SS
초등학교	초등학교/NNG
28.3명,	28/SN+./SP+3/SN+명/NNB+,/SP
중학교	중학교/NNG
35명,	35/SN+명/NNB+,/SP
고등학교	고등학교/NNG
37명	37/SN+명/NNB
등으로	등/NNB+으로/JKB
전체	전체/NNG
평균	평균/NNG
33.4명이다.	33/SN+./SP+4/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.340.3.3
따라서 앞으로 5년 사이 평균 학생 수가 3.6명 감소할 것이란 전망이다.

따라서	따라서/MAJ
앞으로	앞/NNG+으로/JKB
5년	5/SN+년/NNB
사이	사이/NNG
평균	평균/NNG
학생	학생/NNG
수가	수/NNG+가/JKS
3.6명	3/SN+./SP+6/SN+명/NNB
감소할	감소/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.340.3.4
울산시교육청은 "저출산 여파로 초·중·고교 모두 입학 인원이 줄어드는 때문"으로 분석했다.

울산시교육청은	울산시교육청/NNP+은/JX
"저출산	"/SS+저/XPN+출산/NNG
여파로	여파/NNG+로/JKB
초·중·고교	초·중·고교/NNG
모두	모두/MAG
입학	입학/NNG
인원이	인원/NNG+이/JKS
줄어드는	줄어들/VV+는/ETM
때문"으로	때문/NNB+"/SS+으로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.340.3.5
현재 학급당 학생 수가 가장 많은 일반계 고교의 경우 올해 39.1명에서 2011년에 38.8명, 2012년 38명, 2013년 37.4명, 2014년 36명, 2015년 34.4명으로 4.7명이 감소하는 것으로 조사됐다.

현재	현재/MAG
학급당	학급/NNG+당/XSN
학생	학생/NNG
수가	수/NNG+가/JKS
가장	가장/MAG
많은	많/VA+은/ETM
일반계	일반/NNG+계/XSN
고교의	고교/NNG+의/JKG
경우	경우/NNG
올해	올해/NNG
39.1명에서	39/SN+./SP+1/SN+명/NNB+에서/JKB
2011년에	2011/SN+년/NNB+에/JKB
38.8명,	38/SN+./SP+8/SN+명/NNB+,/SP
2012년	2012/SN+년/NNB
38명,	38/SN+명/NNB+,/SP
2013년	2013/SN+년/NNB
37.4명,	37/SN+./SP+4/SN+명/NNB+,/SP
2014년	2014/SN+년/NNB
36명,	36/SN+명/NNB+,/SP
2015년	2015/SN+년/NNB
34.4명으로	34/SN+./SP+4/SN+명/NNB+으로/JKB
4.7명이	4/SN+./SP+7/SN+명/NNB+이/JKS
감소하는	감소/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.340.4.1
반면 학교 수는 2015년이 되면 초등학교 121개교, 중학교 65개교, 고등학교 57개교로 올해보다 각각 3개, 4개, 6개 학교씩 총 13개 학교가 증가한다.

반면	반면/NNG
학교	학교/NNG
수는	수/NNG+는/JX
2015년이	2015/SN+년/NNB+이/JKC
되면	되/VV+면/EC
초등학교	초등학교/NNG
121개교,	121/SN+개교/NNB+,/SP
중학교	중학교/NNG
65개교,	65/SN+개교/NNB+,/SP
고등학교	고등학교/NNG
57개교로	57/SN+개교/NNB+로/JKB
올해보다	올해/NNG+보다/JKB
각각	각각/MAG
3개,	3/SN+개/NNB+,/SP
4개,	4/SN+개/NNB+,/SP
6개	6/SN+개/NNB
학교씩	학교/NNG+씩/XSN
총	총/MMA
13개	13/SN+개/NNB
학교가	학교/NNG+가/JKS
증가한다.	증가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.340.5.1
시교육청은 "학생 수 감소에 따른 교원 수급, 학교 신설 계획 등 교육행정 전반에 걸쳐 상당한 변화와 수정이 예상된다"고 밝혔다.

시교육청은	시/NNG+교육청/NNG+은/JX
"학생	"/SS+학생/NNG
수	수/NNG
감소에	감소/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
교원	교원/NNG
수급,	수급/NNG+,/SP
학교	학교/NNG
신설	신설/NNG
계획	계획/NNG
등	등/NNB
교육행정	교육/NNG+행정/NNG
전반에	전반/NNG+에/JKB
걸쳐	걸치/VV+어/EC
상당한	상당/NNG+하/XSA+ㄴ/ETM
변화와	변화/NNG+와/JC
수정이	수정/NNG+이/JKS
예상된다"고	예상/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


