# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.52
metadata : {}


# id : NWRW1800000030.52.1.1
하마스, 팔레스타인 자치정부에 동참

하마스,	하마스/NNP+,/SP
# id : NWRW1800000030.52.4.2
하마스는 파타와 이스라엘의 평화협상도 반대해왔기 때문에 서방에 의해 테러단체로 낙인찍혀 있다.

하마스는	하마스/NNP+는/JX
파타와	파타/NNP+와/JKB
이스라엘의	이스라엘/NNP+의/JKG
평화협상도	평화/NNG+협상/NNG+도/JX
반대해왔기	반대/NNG+하/XSV+아/EC+오/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
서방에	서방/NNG+에/JKB
의해	의하/VV+아/EC
테러단체로	테러/NNG+단체/NNG+로/JKB
낙인찍혀	낙인찍히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.52.4.3
따라서 하마스와 파타의 동거는 이미 교착상태에 빠진 중동 평화협상에 더 큰 악재가 될 것이란 전망이 나온다.

따라서	따라서/MAJ
하마스와	하마스/NNP+와/JKB
파타의	파타/NNP+의/JKG
동거는	동거/NNG+는/JX
이미	이미/MAG
교착상태에	교착/NNG+상태/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
중동	중동/NNP
평화협상에	평화/NNG+협상/NNG+에/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
악재가	악재/NNG+가/JKS
될	되/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.52.4.4
이스라엘은 이날 합의에 대해 "국제사회 누구도 하마스에 대해 환상을 가져선 안 된다"며 "압바스(자치정부 수반)가 하마스에 다가서면 평화에서는 멀어질 것"이라고 반발했다.

이스라엘은	이스라엘/NNP+은/JX
이날	이날/NNG
합의에	합의/NNG+에/JKB
대해	대하/VV+아/EC
"국제사회	"/SS+국제/NNG+사회/NNG
누구도	누구/NP+도/JX
하마스에	하마스/NNP+에/JKB
환상을	환상/NNG+을/JKO
가져선	가지/VV+어서/EC+ㄴ/JX
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
"압바스(자치정부	"/SS+압바스/NNP+(/SS+자치/NNG+정부/NNG
수반)가	수반/NNG+)/SS+가/JKS
다가서면	다가서/VV+면/EC
평화에서는	평화/NNG+에서/JKB+는/JX
멀어질	멀어지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.52.5.1
파타와 하마스는 2006~2007년 단일정부를 구성했다가 차이를 극복하지 못하고 1년 만에 결별했다.

파타와	파타/NNP+와/JKB
하마스는	하마스/NNP+는/JX
2006~2007년	2006/SN+~/SO+2007/SN+년/NNB
단일정부를	단일/NNG+정부/NNG+를/JKO
구성했다가	구성/NNG+하/XSV+았/EP+다가/EC
차이를	차이/NNG+를/JKO
극복하지	극복/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
결별했다.	결별/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.52.5.2
4년 만에 다시 동거 수순에 들어간 것은 중동 정세의 급변 때문이라고 AP통신은 분석했다.

4년	4/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
동거	동거/NNG
수순에	수순/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것은	것/NNB+은/JX
중동	중동/NNP
정세의	정세/NNG+의/JKG
급변	급변/NNG
때문이라고	때문/NNB+이/VCP+라고/EC
AP통신은	AP통신/NNP+은/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.52.5.3
하마스는 이집트·튀니지의 친미정권 붕괴와 이슬람 정당의 승리에 고무돼 운신의 폭이 넓어졌지만 동시에 자신들을 지원해온 시리아·이란은 내정 불안으로 관계가 소원해지자 동맹 구도를 재편해야 할 필요를 느꼈다는 것이다.

하마스는	하마스/NNP+는/JX
이집트·튀니지의	이집트/NNP+·/SP+튀니지/NNP+의/JKG
친미정권	친미/NNG+정권/NNG
붕괴와	붕괴/NNG+와/JC
이슬람	이슬람/NNG
정당의	정당/NNG+의/JKG
승리에	승리/NNG+에/JKB
고무돼	고무/NNG+되/XSV+어/EC
운신의	운신/NNG+의/JKG
폭이	폭/NNG+이/JKS
넓어졌지만	넓어지/VV+었/EP+지만/EC
동시에	동시/NNG+에/JKB
자신들을	자신/NNG+들/XSN+을/JKO
지원해온	지원/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
시리아·이란은	시리아/NNP+·/SP+이란/NNP+은/JX
내정	내정/NNG
불안으로	불안/NNG+으로/JKB
관계가	관계/NNG+가/JKS
소원해지자	소원/NNG+하/XSA+아/EC+지/VX+자/EC
동맹	동맹/NNG
구도를	구도/NNG+를/JKO
재편해야	재편/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
필요를	필요/NNG+를/JKO
느꼈다는	느끼/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


