# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.356
metadata : {}


# id : NWRW1800000044.356.1.1
새누리 새 사무총장 윤상현…박 대통령 당 장악력 커질 듯

새누리	새누리/NNP
특히	특히/MAG
당직	당직/NNG
서열로는	서열/NNG+로/JKB+는/JX
중하위인	중하위/NNG+이/VCP+ㄴ/ETM
원내수석부대표	원내/NNG+수석/NNG+부대표/NNG
때는	때/NNG+는/JX
매주	매주/MAG
일요일	일요일/NNG
오후	오후/NNG
정례	정례/NNG
간담회를	간담회/NNG+를/JKO
열어	열/VV+어/EC
당	당/NNG
안팎의	안팎/NNG+의/JKG
현안을	현안/NNG+을/JKO
주도해	주도/NNG+하/XSV+아/EC
‘실세	‘/SS+실세/NNG
중의	중/NNB+의/JKG
실세’라는	실세/NNG+’/SS+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.356.4.3
친화력이 뛰어나지만, 직설적이고 거친 발언을 자주 쏟아내 적지 않은 막말 논란을 불러일으켰고, 서울시 공무원 간첩증거 조작 사건과 관련해 주한 중국대사관과 민주사회를 위한 변호사모임의 커넥션 의혹을 제기하는 등 대야 공격에도 앞장섰다.

친화력이	친화력/NNG+이/JKS
뛰어나지만,	뛰어나/VA+지만/EC+,/SP
직설적이고	직설/NNG+적/XSN+이/VCP+고/EC
거친	거칠/VA+ㄴ/ETM
발언을	발언/NNG+을/JKO
자주	자주/MAG
쏟아내	쏟/VV+아/EC+내/VX+어/EC
적지	적/VA+지/EC
않은	않/VX+은/ETM
막말	막말/NNG
논란을	논란/NNG+을/JKO
불러일으켰고,	불러일으키/VV+었/EP+고/EC+,/SP
서울시	서울시/NNP
공무원	공무원/NNG
간첩증거	간첩/NNG+증거/NNG
조작	조작/NNG
사건과	사건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
주한	주한/NNG
중국대사관과	중국/NNP+대사관/NNG+과/JC
민주사회를	민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사모임의	변호사/NNG+모임/NNG+의/JKG
커넥션	커넥션/NNG
의혹을	의혹/NNG+을/JKO
제기하는	제기/NNG+하/XSV+는/ETM
등	등/NNB
대야	대야/NNG
공격에도	공격/NNG+에/JKB+도/JX
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.356.4.4
지난해엔 노무현 전 대통령의 ‘엔엘엘(NLL) 포기 발언 의혹’ 정국을 이끌었으나, 최근 “노 전 대통령은 그런 발언을 하지 않았다”고 말한 바 있다.

지난해엔	지난해/NNG+에/JKB+ㄴ/JX
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
‘엔엘엘(NLL)	‘/SS+엔엘엘/NNG+(/SS+NLL/SL+)/SS
포기	포기/NNG
발언	발언/NNG
의혹’	의혹/NNG+’/SS
정국을	정국/NNG+을/JKO
이끌었으나,	이끌/VV+었/EP+으나/EC+,/SP
최근	최근/MAG
“노	“/SS+노/NNP
대통령은	대통령/NNG+은/JX
그런	그런/MMD
발언을	발언/NNG+을/JKO
하지	하/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.356.5.1
당 내부에선 윤 의원의 사무총장직 내정에 ‘박심’(박근혜 대통령의 의중)이 강하게 실려 있는 게 아니냐는 말이 나온다.

당	당/NNG
내부에선	내부/NNG+에서/JKB+ㄴ/JX
윤	윤/NNP
의원의	의원/NNG+의/JKG
사무총장직	사무총장/NNG+직/NNG
내정에	내정/NNG+에/JKB
‘박심’(박근혜	‘/SS+박심/NNG+’/SS+(/SS+박근혜/NNP
대통령의	대통령/NNG+의/JKG
의중)이	의중/NNG+)/SS+이/JKS
강하게	강하/VA+게/EC
실려	실리/VV+어/EC
있는	있/VX+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
말이	말/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.356.5.2
이 원내대표도 친박계이긴 하지만 박 대통령과의 인연은 윤 의원이 훨씬 더 오래됐고 깊은 탓이다.

이	이/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
친박계이긴	친/XPN+박/NNP+계/XSN+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
박	박/NNP
대통령과의	대통령/NNG+과/JKB+의/JKG
인연은	인연/NNG+은/JX
윤	윤/NNP
의원이	의원/NNG+이/JKS
훨씬	훨씬/MAG
더	더/MAG
오래됐고	오래/MAG+되/XSA+었/EP+고/EC
깊은	깊/VA+은/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.356.5.3
친박계 인사들 사이에선 두세달 전부터 “홍 사무총장 후임은 윤 의원”이라는 이야기가 공공연하게 나돌았는데, 그대로 현실화된 것이다.

친박계	친/XPN+박/NNP+계/XSN
인사들	인사/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
두세달	두세/MMN+달/NNB
전부터	전/NNG+부터/JX
“홍	“/SS+홍/NNP
사무총장	사무총장/NNG
후임은	후임/NNG+은/JX
윤	윤/NNP
의원”이라는	의원/NNG+”/SS+이/VCP+라는/ETM
이야기가	이야기/NNG+가/JKS
공공연하게	공공연하/VA+게/EC
나돌았는데,	나돌/VV+았/EP+는데/EC+,/SP
그대로	그대로/MAG
현실화된	현실/NNG+화/XSN+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.356.5.4
사무총장은 당의 ‘살림’을 도맡아 할 뿐만 아니라 오는 7월 재보궐선거의 공천 책임자이기도 해, 윤 의원 내정은 박 대통령의 당 장악력을 더 높일 것이라는 관측도 나온다.

사무총장은	사무총장/NNG+은/JX
당의	당/NNG+의/JKG
‘살림’을	‘/SS+살림/NNG+’/SS+을/JKO
도맡아	도맡/VV+아/EC
할	하/VX+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
오는	오/VV+는/ETM
7월	7/SN+월/NNB
재보궐선거의	재/XPN+보궐/NNG+선거/NNG+의/JKG
공천	공천/NNG
책임자이기도	책임자/NNG+이/VCP+기/ETN+도/JX
해,	하/VX+아/EC+,/SP
윤	윤/NNP
의원	의원/NNG
내정은	내정/NNG+은/JX
박	박/NNP
대통령의	대통령/NNG+의/JKG
당	당/NNG
장악력을	장악력/NNG+을/JKO
더	더/MAG
높일	높이/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측도	관측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.356.5.5
세월호 참사 이후 대통령 지지율이 하락하는 등 정치적 위기 앞에 친위 체제를 더욱 강화하려는 일환으로 해석되고 있다.

세월호	세월호/NNP
참사	참사/NNG
이후	이후/NNG
대통령	대통령/NNG
지지율이	지지/NNG+율/XSN+이/JKS
하락하는	하락/NNG+하/XSV+는/ETM
등	등/NNB
정치적	정치/NNG+적/XSN
위기	위기/NNG
앞에	앞/NNG+에/JKB
친위	친위/NNG
체제를	체제/NNG+를/JKO
더욱	더욱/MAG
강화하려는	강화/NNG+하/XSV+려는/ETM
일환으로	일환/NNG+으로/JKB
해석되고	해석/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


