# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.234
metadata : {}


# id : NWRW1800000041.234.1.1
[소치]시상대 맨 위에 여성 동성애자

[소치]시상대	[/SS+소치/NNP+]/SS+시상대/NNG
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
듯	듯/NNB
뷔스트는	뷔스트/NNP+는/JX
동성애자	동성애자/NNG
인권	인권/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
언급은	언급/NNG+은/JX
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.234.5.2
그 대신 “1700만 명의 네덜란드 국민이 내 승리를 원했다.

그	그/MMD
대신	대신/NNG
“1700만	“/SS+1700/SN+만/NR
명의	명/NNB+의/JKG
네덜란드	네덜란드/NNP
국민이	국민/NNG+이/JKS
내	나/NP+의/JKG
승리를	승리/NNG+를/JKO
원했다.	원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.234.5.3
금메달을 통해 극도의 부담감에서 벗어나게 됐으니 이제 홀가분하게 더 우승할 수 있을 것 같다”고 말했다.

금메달을	금메달/NNG+을/JKO
통해	통하/VV+아/EC
극도의	극도/NNG+의/JKG
부담감에서	부담감/NNG+에서/JKB
벗어나게	벗어나/VV+게/EC
됐으니	되/VV+었/EP+으니/EC
이제	이제/MAG
홀가분하게	홀가분하/VA+게/EC
더	더/MAG
우승할	우승/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.234.5.4
2010년 9월 난소암 진단을 받아 선수 생명에 위기를 맞았던 그는 종양 제거 수술을 받은 뒤 재기에 성공했다.

2010년	2010/SN+년/NNB
9월	9/SN+월/NNB
난소암	난소암/NNG
진단을	진단/NNG+을/JKO
받아	받/VV+아/EC
선수	선수/NNG
생명에	생명/NNG+에/JKB
위기를	위기/NNG+를/JKO
맞았던	맞/VV+았/EP+던/ETM
그는	그/NP+는/JX
종양	종양/NNG
제거	제거/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
재기에	재기/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.234.6.1
네덜란드는 전날 스피드스케이팅 남자 5000m에서 금, 은, 동을 휩쓴 데 이어 빙속 강국의 면모를 유지했다.

네덜란드는	네덜란드/NNP+는/JX
전날	전날/NNG
스피드스케이팅	스피드/NNG+스케이팅/NNG
남자	남자/NNG
5000m에서	5000/SN+m/SW+에서/JKB
금,	금/NNG+,/SP
은,	은/NNG+,/SP
동을	동/NNG+을/JKO
휩쓴	휩쓸/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
빙속	빙속/NNG
강국의	강국/NNG+의/JKG
면모를	면모/NNG+를/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.234.6.2
역대 겨울올림픽 스피드스케이팅에서 네덜란드가 딴 금메달 수도 29개(전체 금메달 수는 30개)로 늘었다.

역대	역대/NNG
겨울올림픽	겨울/NNG+올림픽/NNG
스피드스케이팅에서	스피드/NNG+스케이팅/NNG+에서/JKB
네덜란드가	네덜란드/NNP+가/JKS
딴	따/VV+ㄴ/ETM
금메달	금메달/NNG
수도	수/NNG+도/JX
29개(전체	29/SN+개/NNB+(/SS+전체/NNG
수는	수/NNG+는/JX
30개)로	30/SN+개/NNB+)/SS+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


