# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.329
metadata : {}


# id : NWRW1800000025.329.1.1
이래도 안끊어?

이래도	이러/VV+어도/EC
통과한	통과/NNG+하/XSV+ㄴ/ETM
새	새/MMA
규제법안에	규제/NNG+법안/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.329.5.2
이에 따라 경고문구도 더욱 구체적이고 직접적으로 바뀐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
경고문구도	경고/NNG+문구/NNG+도/JX
더욱	더욱/MAG
구체적이고	구체/NNG+적/XSN+이/VCP+고/EC
직접적으로	직접/NNG+적/XSN+으로/JKB
바뀐다.	바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.329.5.3
FDA는 ‘흡연이 당신을 죽일 수 있다’ ‘임신 중 흡연은 아이에게 해롭다’ ‘담배는 심장질환을 유발한다’ 등의 문구를 검토하고 있다.

FDA는	FDA/SL+는/JX
‘흡연이	‘/SS+흡연/NNG+이/JKS
당신을	당신/NP+을/JKO
죽일	죽이/VV+ㄹ/ETM
수	수/NNB
있다’	있/VA+다/EF+’/SS
‘임신	‘/SS+임신/NNG
중	중/NNB
흡연은	흡연/NNG+은/JX
아이에게	아이/NNG+에게/JKB
해롭다’	해/NNG+롭/XSA+다/EF+’/SS
‘담배는	‘/SS+담배/NNG+는/JX
심장질환을	심장/NNG+질환/NNG+을/JKO
유발한다’	유발/NNG+하/XSV+ㄴ다/EF+’/SS
등의	등/NNB+의/JKG
문구를	문구/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.329.5.4
1984년 연방법 제정 이후 미국 담뱃갑 한 귀퉁이에 적힌 문구는 “담배는 일산화탄소를 함유하고 있음” 등 네 가지 정도로 한정돼 있었다.

1984년	1984/SN+년/NNB
연방법	연방/NNG+법/NNG
제정	제정/NNG
이후	이후/NNG
미국	미국/NNP
담뱃갑	담뱃갑/NNG
한	한/MMN
귀퉁이에	귀퉁이/NNG+에/JKB
적힌	적히/VV+ㄴ/ETM
문구는	문구/NNG+는/JX
“담배는	“/SS+담배/NNG+는/JX
일산화탄소를	일산화/NNG+탄소/NNG+를/JKO
함유하고	함유/NNG+하/XSV+고/EC
있음”	있/VX+음/ETN+”/SS
등	등/NNB
네	네/MMN
가지	가지/NNB
정도로	정도/NNG+로/JKB
한정돼	한정/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.329.6.1
미국 정부가 나서 특단의 조치를 내린 것은 지난 40년간 흡연율이 떨어지고 있음에도 최근 들어 감소율이 둔화된 데 따른 것이다.

미국	미국/NNP
정부가	정부/NNG+가/JKS
나서	나서/VV+어/EC
특단의	특단/NNG+의/JKG
조치를	조치/NNG+를/JKO
내린	내리/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난	지나/VV+ㄴ/ETM
40년간	40/SN+년/NNB+간/XSN
흡연율이	흡연/NNG+율/XSN+이/JKS
떨어지고	떨어지/VV+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
최근	최근/MAG
들어	들/VV+어/EC
감소율이	감소/NNG+율/XSN+이/JKS
둔화된	둔화/NNG+되/XSV+ㄴ/ETM
데	데/NNB
따른	따르/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.329.6.2
미국인의 흡연율은 20%대이며 매년 44만3000명이 흡연으로 사망하고 있다.

미국인의	미국인/NNG+의/JKG
흡연율은	흡연/NNG+율/XSN+은/JX
20%대이며	20/SN+%/SW+대/XSN+이/VCP+며/EC
매년	매년/MAG
44만3000명이	44/SN+만/NR+3000/SN+명/NNB+이/JKS
흡연으로	흡연/NNG+으로/JKB
사망하고	사망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.329.6.3
또 매일 4000명의 청소년이 처음 담배를 피우며 이 중 1000명이 지속적인 흡연자가 되는 것으로 나타났다.

또	또/MAG
매일	매일/MAG
4000명의	4000/SN+명/NNB+의/JKG
청소년이	청소년/NNG+이/JKS
처음	처음/NNG
담배를	담배/NNG+를/JKO
피우며	피우/VV+며/EC
이	이/MMD
중	중/NNB
1000명이	1000/SN+명/NNB+이/JKS
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
흡연자가	흡연자/NNG+가/JKC
되는	되/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.329.6.4
마거릿 햄버그 FDA 위원은 “FDA는 담뱃갑과 담배광고의 겉모습을 획기적으로 바꿔 흡연으로 인한 사망자를 줄일 것”이라고 말했다.

마거릿	마거릿/NNP
햄버그	햄버그/NNP
FDA	FDA/SL
위원은	위원/NNG+은/JX
“FDA는	“/SS+FDA/SL+는/JX
담뱃갑과	담뱃갑/NNG+과/JC
담배광고의	담배/NNG+광고/NNG+의/JKG
겉모습을	겉모습/NNG+을/JKO
획기적으로	획기적/NNG+으로/JKB
바꿔	바꾸/VV+어/EC
흡연으로	흡연/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사망자를	사망자/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


