# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.6
metadata : {}


# id : NWRW1800000040.6.1.1
미 “다시 금융위기 오면 은행에 정부지원 없다”

미	미/NNP
것인지에	것/NNB+이/VCP+ㄴ지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
내용이	내용/NNG+이/JKS
담겨야	담기/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.6.5.3
주요국 금융당국 수장들과 대형은행 관계자들은 29일 스위스 다보스에서 열리는 다보스세계경제포럼에서 이 문제를 집중적으로 논의할 예정이다.

주요국	주요국/NNG
금융당국	금융/NNG+당국/NNG
수장들과	수장/NNG+들/XSN+과/JC
대형은행	대형/NNG+은행/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
29일	29/SN+일/NNB
스위스	스위스/NNP
다보스에서	다보스/NNP+에서/JKB
열리는	열리/VV+는/ETM
다보스세계경제포럼에서	다보스세계경제포럼/NNP+에서/JKB
이	이/MMD
문제를	문제/NNG+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
논의할	논의/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.6.6.1
주요20개국(G20)의 중앙은행 총재 등은 현재 금융위기 재발을 막기 위해 은행을 규제하는 방안에 대해 막바지 논의를 거듭하고 있고, 은행들은 이 규제안이 너무 강력하다고 볼멘소리를 하고 있다.

주요20개국(G20)의	주요/NNG+20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS+의/JKG
중앙은행	중앙은행/NNG
총재	총재/NNG
등은	등/NNB+은/JX
현재	현재/MAG
금융위기	금융/NNG+위기/NNG
재발을	재발/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
은행을	은행/NNG+을/JKO
규제하는	규제/NNG+하/XSV+는/ETM
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
막바지	막바지/NNG
논의를	논의/NNG+를/JKO
거듭하고	거듭/MAG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
은행들은	은행/NNG+들/XSN+은/JX
이	이/MMD
규제안이	규제안/NNG+이/JKS
너무	너무/MAG
강력하다고	강력/NNG+하/XSA+다고/EC
볼멘소리를	볼멘소리/NNG+를/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.6.6.2
위기가 닥쳤을 때 정부와 국제공조 지원이 없다는 것을 가정할 경우 자구안의 내용은 좀 더 가혹해질 수밖에 없다.

위기가	위기/NNG+가/JKS
닥쳤을	닥치/VV+었/EP+을/ETM
때	때/NNG
정부와	정부/NNG+와/JC
국제공조	국제/NNG+공조/NNG
지원이	지원/NNG+이/JKS
없다는	없/VA+다는/ETM
것을	것/NNB+을/JKO
가정할	가정/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
자구안의	자구안/NNG+의/JKG
내용은	내용/NNG+은/JX
좀	좀/MAG
더	더/MAG
가혹해질	가혹/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.6.6.3
지난해 발표된 자구안의 가이드라인에는 정부의 지원과 관계 당국간의 국제적인 공조를 감안해 작성하라고 돼 있지만 이런 내용이 사라지게 돼 은행의 부담은 더 커진 셈이다.

지난해	지난해/NNG
발표된	발표/NNG+되/XSV+ㄴ/ETM
자구안의	자구안/NNG+의/JKG
가이드라인에는	가이드라인/NNG+에/JKB+는/JX
정부의	정부/NNG+의/JKG
지원과	지원/NNG+과/JC
관계	관계/NNG
당국간의	당국/NNG+간/NNB+의/JKG
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
공조를	공조/NNG+를/JKO
감안해	감안/NNG+하/XSV+아/EC
작성하라고	작성/NNG+하/XSV+라고/EC
돼	되/VV+어/EC
있지만	있/VX+지만/EC
이런	이런/MMD
내용이	내용/NNG+이/JKS
사라지게	사라지/VV+게/EC
은행의	은행/NNG+의/JKG
부담은	부담/NNG+은/JX
더	더/MAG
커진	커지/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.6.7.1
하지만 이미 당국들이 단기유동성비율(LCR) 규제를 대폭 완화해 주는 등 은행 규제안이 흔들리고 있는 상황에서 이같은 약속이 잘 지켜질지는 미지수다.

하지만	하지만/MAJ
이미	이미/MAG
당국들이	당국/NNG+들/XSN+이/JKS
단기유동성비율(LCR)	단기/NNG+유동/NNG+성/XSN+비율/NNG+(/SS+LCR/SL+)/SS
규제를	규제/NNG+를/JKO
대폭	대폭/MAG
완화해	완화/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
등	등/NNB
은행	은행/NNG
규제안이	규제안/NNG+이/JKS
흔들리고	흔들리/VV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
이같은	이/NP+같/VA+은/ETM
약속이	약속/NNG+이/JKS
잘	잘/MAG
지켜질지는	지키/VV+어/EC+지/VX+ㄹ지/EF+는/JX
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.6.7.2
<파이낸셜 타임스>는 여러 규제안과 자구계획 수립 압박에 은행들이 불편해 하고 있지만 결국은 은행들에 유리한 방향으로 정리될 것이라는 낙관론도 있다고 전했다.

<파이낸셜	</SS+파이낸셜/NNP
타임스>는	타임스/NNP+>/SS+는/JX
여러	여러/MMN
규제안과	규제안/NNG+과/JC
자구계획	자구/NNG+계획/NNG
수립	수립/NNG
압박에	압박/NNG+에/JKB
은행들이	은행/NNG+들/XSN+이/JKS
불편해	불편/NNG+하/XSA+아/EC
하고	하/VX+고/EC
있지만	있/VX+지만/EC
결국은	결국/NNG+은/JX
은행들에	은행/NNG+들/XSN+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
정리될	정리/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
낙관론도	낙관/NNG+론/XSN+도/JX
있다고	있/VA+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


