# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.103
metadata : {}


# id : NWRW1800000046.103.1.1
"北은 악랄한 선전으로 만든 기묘한 세상"

"北은	"/SS+北/SH+은/JX
악랄한	악랄/NNG+하/XSA+ㄴ/ETM
웰치(Welch)	웰치/NNP+(/SS+Welch/SL+)/SS
명예교수의	명예/NNG+교수/NNG+의/JKG
'프로파간다	'/SS+프로파간다/NNG
파워'(공존	파워/NNG+'/SS+(/SS+공존/NNP
출간)를	출간/NNG+)/SS+를/JKO
번역해	번역/NNG+하/XSV+아/EC
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.103.4.2
양서(良書)라는 이유 외에 두 가지 목적이 더 있다.

양서(良書)라는	양서/NNG+(/SS+良書/SH+)/SS+이/VCP+라는/ETM
이유	이유/NNG
외에	외/NNB+에/JKB
두	두/MMN
가지	가지/NNB
목적이	목적/NNG+이/JKS
더	더/MAG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.103.4.3
하나는 '선전(Propaganda)'이라는 개념의 최악 실천 사례인 북한의 패악을 알리고 이 개념의 본래의 선의와 장점을 살리자는 것.

하나는	하나/NR+는/JX
'선전(Propaganda)'이라는	'/SS+선전/NNG+(/SS+Propaganda/SL+)/SS+'/SS+이/VCP+라는/ETM
개념의	개념/NNG+의/JKG
최악	최악/NNG
실천	실천/NNG
사례인	사례/NNG+이/VCP+ㄴ/ETM
북한의	북한/NNP+의/JKG
패악을	패악/NNG+을/JKO
알리고	알리/VV+고/EC
이	이/MMD
본래의	본래/NNG+의/JKG
선의와	선의/NNG+와/JC
장점을	장점/NNG+을/JKO
살리자는	살리/VV+자는/ETM
것.	것/NNB+./SF


# id : NWRW1800000046.103.4.4
또 하나는 탈북 청소년을 위한 방과후 학교 '큰샘'(www.keunsaem.net)을 지원하자는 것이다.

또	또/MAG
하나는	하나/NR+는/JX
탈북	탈북/NNG
청소년을	청소년/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방과후	방과/NNG+후/NNG
학교	학교/NNG
'큰샘'(www.keunsaem.net)을	'/SS+큰샘/NNP+'/SS+(/SS+www/SL+./SP+keunsaem/SL+./SP+net/SL+)/SS+을/JKO
지원하자는	지원/NNG+하/XSV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.103.4.5
그는 번역 인세 전액을 '큰샘'에 기부하기로 하고, 책 표지에 명시했다.

그는	그/NP+는/JX
번역	번역/NNG
인세	인세/NNG
전액을	전액/NNG+을/JKO
'큰샘'에	'/SS+큰샘/NNP+'/SS+에/JKB
기부하기로	기부/NNG+하/XSV+기/ETN+로/JKB
하고,	하/VV+고/EC+,/SP
책	책/NNG
표지에	표지/NNG+에/JKB
명시했다.	명시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.103.5.1
2009년 4월 영어 강좌로 시작한 '큰샘'은 탈북 청소년을 통일 한국의 소중한 인재로 키우자는 취지의 '방과후 학교'.

2009년	2009/SN+년/NNB
4월	4/SN+월/NNB
영어	영어/NNP
강좌로	강좌/NNG+로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
'큰샘'은	'/SS+큰샘/NNP+'/SS+은/JX
탈북	탈북/NNG
청소년을	청소년/NNG+을/JKO
통일	통일/NNG
한국의	한국/NNP+의/JKG
소중한	소중하/VA+ㄴ/ETM
인재로	인재/NNG+로/JKB
키우자는	키우/VV+자는/ETM
취지의	취지/NNG+의/JKG
'방과후	'/SS+방과/NNG+후/NNG
학교'.	학교/NNG+'/SS+./SF


# id : NWRW1800000046.103.5.2
주말영어교실과 국영수 수업, 장학금 지원 등이 주요 사업인데, 이 위원의 가족 전원이 '큰샘' 후원에 나섰다.

주말영어교실과	주말/NNG+영어/NNP+교실/NNG+과/JC
국영수	국영수/NNG
수업,	수업/NNG+,/SP
장학금	장학금/NNG
지원	지원/NNG
등이	등/NNB+이/JKS
주요	주요/NNG
사업인데,	사업/NNG+이/VCP+ㄴ데/EC+,/SP
이	이/NNP
위원의	위원/NNG+의/JKG
가족	가족/NNG
전원이	전원/NNG+이/JKS
'큰샘'	'/SS+큰샘/NNP+'/SS
후원에	후원/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.103.5.3
아내 안명숙(51)씨는 큰샘 영어교실의 프로그램 기획과 자원봉사자 코디네이터를 맡고 있고, 대학생 딸 역시 고등학교 시절부터 봉사활동을 하고 있다.

아내	아내/NNG
안명숙(51)씨는	안명숙/NNP+(/SS+51/SN+)/SS+씨/NNB+는/JX
큰샘	큰샘/NNP
영어교실의	영어/NNP+교실/NNG+의/JKG
프로그램	프로그램/NNG
기획과	기획/NNG+과/JC
자원봉사자	자원봉사자/NNG
코디네이터를	코디네이터/NNG+를/JKO
맡고	맡/VV+고/EC
있고,	있/VX+고/EC+,/SP
대학생	대학/NNG+생/XSN
딸	딸/NNG
역시	역시/MAG
고등학교	고등학교/NNG
시절부터	시절/NNG+부터/JX
봉사활동을	봉사/NNG+활동/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.103.5.4
이 위원의 역할은 재정 후원이다.

이	이/NNP
위원의	위원/NNG+의/JKG
역할은	역할/NNG+은/JX
재정	재정/NNG
후원이다.	후원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.103.5.5
'프로파간다 파워'는 이 분야 전문가인 웰치 교수의 2013년 최신작.

'프로파간다	'/SS+프로파간다/NNG
파워'는	파워/NNG+'/SS+는/JX
이	이/MMD
분야	분야/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
웰치	웰치/NNP
교수의	교수/NNG+의/JKG
2013년	2013/SN+년/NNB
최신작.	최신작/NNG+./SF


# id : NWRW1800000046.103.5.6
알렉산더, 나폴레옹, 히틀러, 스탈린, 처칠, 마오쩌둥, 알카에다, 김일성 등을 통해 인간과 세상을 조종하는 선전의 힘을 구체적 사례를 통해 깊이 있게 설명한다.

알렉산더,	알렉산더/NNP+,/SP
나폴레옹,	나폴레옹/NNP+,/SP
히틀러,	히틀러/NNP+,/SP
스탈린,	스탈린/NNP+,/SP
처칠,	처칠/NNP+,/SP
마오쩌둥,	마오쩌둥/NNP+,/SP
알카에다,	알카에다/NNP+,/SP
김일성	김일성/NNP
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
인간과	인간/NNG+과/JC
세상을	세상/NNG+을/JKO
조종하는	조종/NNG+하/XSV+는/ETM
선전의	선전/NNG+의/JKG
힘을	힘/NNG+을/JKO
구체적	구체/NNG+적/XSN
사례를	사례/NNG+를/JKO
깊이	깊이/NNG
있게	있/VA+게/EC
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.103.5.7
폭력으로 변질되는 흑색선전도 있지만, 73억 세계 인구 모두가 행복한 삶을 살 권리를 지닌 존재라는 사실을 일깨우는 '긍정적 선전'도 있음을 보여준다.

폭력으로	폭력/NNG+으로/JKB
변질되는	변질/NNG+되/XSV+는/ETM
흑색선전도	흑색선전/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
73억	73/SN+억/NR
세계	세계/NNG
인구	인구/NNG
모두가	모두/NNG+가/JKS
행복한	행복/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
살	살/VV+ㄹ/ETM
권리를	권리/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
존재라는	존재/NNG+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
일깨우는	일깨우/VV+는/ETM
'긍정적	'/SS+긍정/NNG+적/XSN
선전'도	선전/NNG+'/SS+도/JX
있음을	있/VA+음/ETN+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.103.6.1
북한자유연합 대표인 서울평화상 수상자 수잰 숄티는 추천사에서 "이 책은 김일성 일가에 의해 자행된 선전의 부정적 효과를 바로잡을 수 있을 것"이라고 썼다.

북한자유연합	북한자유연합/NNP
대표인	대표/NNG+이/VCP+ㄴ/ETM
서울평화상	서울/NNP+평화상/NNG
수상자	수상자/NNG
수잰	수잰/NNP
숄티는	숄티/NNP+는/JX
추천사에서	추천사/NNG+에서/JKB
"이	"/SS+이/MMD
책은	책/NNG+은/JX
김일성	김일성/NNP
일가에	일가/NNG+에/JKB
의해	의하/VV+아/EC
자행된	자행/NNG+되/XSV+ㄴ/ETM
선전의	선전/NNG+의/JKG
부정적	부정/NNG+적/XSN
효과를	효과/NNG+를/JKO
바로잡을	바로잡/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.103.6.2
이 위원은 "북한 취재 충격 이후 국내에서 탈북자 돕는 일을 시작한 지 10년이 지났다"면서 "많지 않은 인세지만 탈북자 교육 사업을 지탱하는 안정적 일부가 되기를 소망하고 있다"고 했다.

이	이/NNP
위원은	위원/NNG+은/JX
"북한	"/SS+북한/NNP
취재	취재/NNG
충격	충격/NNG
이후	이후/NNG
국내에서	국내/NNG+에서/JKB
탈북자	탈북자/NNG
돕는	돕/VV+는/ETM
일을	일/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
10년이	10/SN+년/NNB+이/JKS
지났다"면서	지나/VV+았/EP+다/EF+"/SS+면서/EC
"많지	"/SS+많/VA+지/EC
않은	않/VX+은/ETM
인세지만	인세/NNG+이/VCP+지만/EC
교육	교육/NNG
사업을	사업/NNG+을/JKO
지탱하는	지탱/NNG+하/XSV+는/ETM
안정적	안정/NNG+적/XSN
일부가	일부/NNG+가/JKC
되기를	되/VV+기/ETN+를/JKO
소망하고	소망/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


