# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.270
metadata : {}


# id : NWRW1800000032.270.1.1
짜장면 곱빼기 시켜야 1인분?

짜장면	짜장면/NNG
짬뽕의	짬뽕/NNG+의/JKG
경우	경우/NNG
중량이	중량/NNG+이/JKS
최소	최소/NNG
400g,	400/SN+g/SW+,/SP
최대	최대/NNG
840g으로	840/SN+g/SW+으로/JKB
2배	2/SN+배/NNG
정도	정도/NNG
차이가	차이/NNG+가/JKS
났다고	나/VV+았/EP+다고/EC
22일	22/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.270.4.2
이번 조사는 전국을 6개 대지역으로 분류해 3개 중점도시를 선정한 뒤 각 도시마다 4개의 음식점을 골라 분석했다.

이번	이번/NNG
조사는	조사/NNG+는/JX
전국을	전국/NNG+을/JKO
6개	6/SN+개/NNB
대지역으로	대/XPN+지역/NNG+으로/JKB
분류해	분류/NNG+하/XSV+아/EC
3개	3/SN+개/NNB
중점도시를	중점/NNG+도시/NNG+를/JKO
선정한	선정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
각	각/MMD
도시마다	도시/NNG+마다/JX
4개의	4/SN+개/NNB+의/JKG
음식점을	음식점/NNG+을/JKO
골라	고르/VV+아/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.270.4.3
이를 보면 짜장면의 경우 1인분 중량의 평균값은 607g으로 나타났고, 조사 대상 가운데 가장 잦은 빈도를 보인 중량은 650g으로 나타났다.

이를	이/NP+를/JKO
보면	보/VV+면/EC
짜장면의	짜장면/NNG+의/JKG
경우	경우/NNG
1인분	1/SN+인분/NNB
중량의	중량/NNG+의/JKG
평균값은	평균값/NNG+은/JX
607g으로	607/SN+g/SW+으로/JKB
나타났고,	나타나/VV+았/EP+고/EC+,/SP
조사	조사/NNG
대상	대상/NNG
가운데	가운데/NNG
가장	가장/MAG
잦은	잦/VA+은/ETM
빈도를	빈도/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
중량은	중량/NNG+은/JX
650g으로	650/SN+g/SW+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.270.4.4
만두국의 경우에는 1인분으로 제공되는 중량은 최소 340g, 최대 940g으로 2.7배의 차이가 났다.

만두국의	만두국/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
1인분으로	1/SN+인분/NNB+으로/JKB
제공되는	제공/NNG+되/XSV+는/ETM
중량은	중량/NNG+은/JX
최소	최소/NNG
340g,	340/SN+g/SW+,/SP
최대	최대/NNG
940g으로	940/SN+g/SW+으로/JKB
2.7배의	2/SN+./SP+7/SN+배/NNG+의/JKG
차이가	차이/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.270.5.1
식약청은 또 1인분을 기준으로 각 음식마다의 열량을 조사했는데, 이 결과에서는 삼계탕이 1인분(1000g)이 918㎉로 가장 높은 것으로 나타났다.

식약청은	식약청/NNG+은/JX
또	또/MAG
1인분을	1/SN+인분/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
각	각/MMD
음식마다의	음식/NNG+마다/JX+의/JKG
열량을	열량/NNG+을/JKO
조사했는데,	조사/NNG+하/XSV+았/EP+는데/EC+,/SP
이	이/MMD
결과에서는	결과/NNG+에서/JKB+는/JX
삼계탕이	삼계탕/NNG+이/JKS
1인분(1000g)이	1/SN+인분/NNB+(/SS+1000/SN+g/SW+)/SS+이/JKS
918㎉로	918/SN+㎉/SW+로/JKB
가장	가장/MAG
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.270.5.2
이어 잡채밥이 중량은 650g이고 열량은 885㎉이었고, 간짜장(650g·825㎉), 짜장면(650g·797㎉), 제육덮밥(500g, 782㎉) 등의 순이었다.

이어	이어/MAG
잡채밥이	잡채밥/NNG+이/JKS
중량은	중량/NNG+은/JX
650g이고	650/SN+g/SW+이/VCP+고/EC
열량은	열량/NNG+은/JX
885㎉이었고,	885/SN+㎉/SW+이/VCP+었/EP+고/EC+,/SP
간짜장(650g·825㎉),	간짜장/NNG+(/SS+650/SN+g/SW+·/SP+825/SN+㎉/SW+)/SS+,/SP
짜장면(650g·797㎉),	짜장면/NNG+(/SS+650/SN+g/SW+·/SP+797/SN+㎉/SW+)/SS+,/SP
제육덮밥(500g,	제육/NNG+덮밥/NNG+(/SS+500/SN+g/SW+,/SP
782㎉)	782/SN+㎉/SW+)/SS
등의	등/NNB+의/JKG
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.270.6.1
식약청은 이번 조사결과를 바탕으로 외식 음식의 영양성분을 정리한 ‘외식음식 영양성분 자료집’을 식약청 누리집에 공개할 계획이다.

식약청은	식약청/NNG+은/JX
이번	이번/NNG
조사결과를	조사/NNG+결과/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
외식	외식/NNG
음식의	음식/NNG+의/JKG
영양성분을	영양/NNG+성분/NNG+을/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
‘외식음식	‘/SS+외식/NNG+음식/NNG
영양성분	영양/NNG+성분/NNG
자료집’을	자료집/NNG+’/SS+을/JKO
식약청	식약청/NNG
누리집에	누리집/NNG+에/JKB
공개할	공개/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.270.6.2
이번 자료집에는 외식 음식 1인분의 실물 크기 사진과 함께 해당 식품의 1인분당 열량, 탄수화물, 단백질, 나트륨 등 20여종의 영양성분도 표시할 방침이다.

이번	이번/NNG
자료집에는	자료집/NNG+에/JKB+는/JX
외식	외식/NNG
음식	음식/NNG
1인분의	1/SN+인분/NNB+의/JKG
실물	실물/NNG
크기	크기/NNG
사진과	사진/NNG+과/JKB
함께	함께/MAG
해당	해당/NNG
식품의	식품/NNG+의/JKG
1인분당	1/SN+인분/NNB+당/XSN
열량,	열량/NNG+,/SP
탄수화물,	탄수화물/NNG+,/SP
단백질,	단백질/NNG+,/SP
나트륨	나트륨/NNG
등	등/NNB
20여종의	20/SN+여/XSN+종/NNG+의/JKG
영양성분도	영양/NNG+성분/NNG+도/JX
표시할	표시/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.270.6.3
식약청 관계자는 “이번 자료집에 있는 음식은 영양관리 앱인 ‘칼로리 코디’에 추가하는 등 국민들이 실생활에서 다양하게 이용할 수 있도록 제공할 방침”이라고 말했다.

식약청	식약청/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SS+이번/NNG
자료집에	자료집/NNG+에/JKB
있는	있/VA+는/ETM
음식은	음식/NNG+은/JX
영양관리	영양/NNG+관리/NNG
앱인	앱/NNG+이/VCP+ㄴ/ETM
‘칼로리	‘/SS+칼로리/NNG
코디’에	코디/NNG+’/SS+에/JKB
추가하는	추가/NNG+하/XSV+는/ETM
등	등/NNB
국민들이	국민/NNG+들/XSN+이/JKS
실생활에서	실생활/NNG+에서/JKB
다양하게	다양/NNG+하/XSA+게/EC
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
제공할	제공/NNG+하/XSV+ㄹ/ETM
방침”이라고	방침/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


