# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.125
metadata : {}


# id : NWRW1800000049.125.1.1
[책의 향기]거장들이 쓴 흑백영화 같은 범죄 단편들

[책의	[/SS+책/NNG+의/JKG
추려냈다.	추리/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.125.5.1
제목이나 작가의 이름을 보고 손가는 대로 펼쳤다.

제목이나	제목/NNG+이나/JC
작가의	작가/NNG+의/JKG
이름을	이름/NNG+을/JKO
보고	보/VV+고/EC
손가는	손/NNG+가/VV+는/ETM
대로	대로/NNB
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.125.5.2
개성 강한 글쟁이들의 면면만큼이나 작품의 결도 제각각이다.

개성	개성/NNG
강한	강하/VA+ㄴ/ETM
글쟁이들의	글/NNG+쟁이/XSN+들/XSN+의/JKG
면면만큼이나	면면/NNG+만큼/JKB+이나/JX
작품의	작품/NNG+의/JKG
결도	결/NNG+도/JX
제각각이다.	제각각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.125.5.3
‘설탕 한 스푼’(윌리엄 포크너)은 조엘 플린트라는 사내가 아내를 죽였다고 자수하는 것으로 시작된다.

‘설탕	‘/SS+설탕/NNG
한	한/MMN
스푼’(윌리엄	스푼/NNG+’/SS+(/SS+윌리엄/NNP
포크너)은	포크너/NNP+)/SS+은/JX
조엘	조엘/NNP
플린트라는	플린트/NNP+이/VCP+라는/ETM
사내가	사내/NNG+가/JKS
아내를	아내/NNG+를/JKO
죽였다고	죽이/VV+었/EP+다고/EC
자수하는	자수/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.5.4
플린트는 감옥으로 가지만 곧 연기처럼 사라진다.

플린트는	플린트/NNP+는/JX
감옥으로	감옥/NNG+으로/JKB
가지만	가/VV+지만/EC
곧	곧/MAG
연기처럼	연기/NNG+처럼/JKB
사라진다.	사라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.5.5
괴팍한 프리첼 영감은 딸이 죽고 사위가 사라진 후 집에 칩거한 채 챙겨주러 찾아오는 이웃들에게 성질만 낼 뿐이다.

괴팍한	괴팍/NNG+하/XSA+ㄴ/ETM
프리첼	프리첼/NNP
영감은	영감/NNG+은/JX
딸이	딸/NNG+이/JKS
죽고	죽/VV+고/EC
사위가	사위/NNG+가/JKS
사라진	사라지/VV+ㄴ/ETM
후	후/NNG
집에	집/NNG+에/JKB
칩거한	칩거/NNG+하/XSV+ㄴ/ETM
채	채/NNB
챙겨주러	챙기/VV+어/EC+주/VX+러/EC
찾아오는	찾아오/VV+는/ETM
이웃들에게	이웃/NNG+들/XSN+에게/JKB
성질만	성질/NNG+만/JX
낼	내/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.125.5.6
눈치 빠른 이라면 어찌된 상황인지 알아채기 어렵지 않지만 진실이 드러나는 장치가 신선하다.

눈치	눈치/NNG
빠른	빠르/VA+ㄴ/ETM
이라면	이/NNB+이/VCP+라면/EC
어찌된	어찌/MAG+되/XSV+ㄴ/ETM
상황인지	상황/NNG+이/VCP+ㄴ지/EC
알아채기	알아채/VV+기/ETN
어렵지	어렵/VA+지/EC
않지만	않/VX+지만/EC
진실이	진실/NNG+이/JKS
드러나는	드러나/VV+는/ETM
장치가	장치/NNG+가/JKS
신선하다.	신선하/VA+다/EF+./SF


# id : NWRW1800000049.125.6.1
미국 최초의 여성 극작가이자 소설가인 수전 글래스펠이 쓴 ‘여성 배심원단’은 여성의 심리를 세밀하게 포착했다.

미국	미국/NNP
최초의	최초/NNG+의/JKG
여성	여성/NNG
극작가이자	극작가/NNG+이/VCP+자/EC
소설가인	소설가/NNG+이/VCP+ㄴ/ETM
수전	수전/NNP
글래스펠이	글래스펠/NNP+이/JKS
쓴	쓰/VV+ㄴ/ETM
‘여성	‘/SS+여성/NNG
배심원단’은	배심원단/NNG+’/SS+은/JX
여성의	여성/NNG+의/JKG
심리를	심리/NNG+를/JKO
세밀하게	세밀하/VA+게/EC
포착했다.	포착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.125.6.2
같은 침대에서 자던 남편이 밧줄에 목이 졸려 죽은 채 발견되자 아내인 라이트 부인은 용의자로 지목돼 수감된다.

같은	같/VA+은/ETM
침대에서	침대/NNG+에서/JKB
자던	자/VV+던/ETM
남편이	남편/NNG+이/JKS
밧줄에	밧줄/NNG+에/JKB
목이	목/NNG+이/JKS
졸려	졸리/VV+어/EC
죽은	죽/VV+은/ETM
채	채/NNB
발견되자	발견/NNG+되/XSV+자/EC
아내인	아내/NNG+이/VCP+ㄴ/ETM
라이트	라이트/NNP
부인은	부인/NNG+은/JX
용의자로	용의자/NNG+로/JKB
지목돼	지목/NNG+되/XSV+어/EC
수감된다.	수감/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.6.3
하지만 그녀가 남편을 죽였다는 단서는 물론 이유도 알 길이 없다.

하지만	하지만/MAJ
그녀가	그녀/NP+가/JKS
남편을	남편/NNG+을/JKO
죽였다는	죽이/VV+었/EP+다는/ETM
단서는	단서/NNG+는/JX
물론	물론/MAG
이유도	이유/NNG+도/JX
알	알/VV+ㄹ/ETM
길이	길/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.125.6.4
검사와 마을 남성들이 2층 침실 수색에 집중하는 동안 여성들은 라이트 부인이 가져다 달라고 부탁한 옷가지를 챙기려고 부엌 주변을 돌아보다 과일조림병, 허름한 검정 치마, 텅 빈 새장을 발견한다.

검사와	검사/NNG+와/JC
마을	마을/NNG
남성들이	남성/NNG+들/XSN+이/JKS
2층	2/SN+층/NNG
침실	침실/NNG
수색에	수색/NNG+에/JKB
집중하는	집중/NNG+하/XSV+는/ETM
동안	동안/NNG
여성들은	여성/NNG+들/XSN+은/JX
라이트	라이트/NNP
부인이	부인/NNG+이/JKS
가져다	가지/VV+어다/EC
달라고	달/VX+라고/EC
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
옷가지를	옷가지/NNG+를/JKO
챙기려고	챙기/VV+려고/EC
부엌	부엌/NNG
주변을	주변/NNG+을/JKO
돌아보다	돌아보/VV+다/EC
과일조림병,	과일/NNG+조림/NNG+병/NNG+,/SP
허름한	허름하/VA+ㄴ/ETM
검정	검정/NNG
치마,	치마/NNG+,/SP
텅	텅/MAG
빈	비/VV+ㄴ/ETM
새장을	새장/NNG+을/JKO
발견한다.	발견/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.6.5
얼핏 사소해 보이는 물건에서 여성들은, 처녀 시절 예쁜 옷을 입고 성가대에서 노래 부르기를 즐겼던 라이트 부인이 남편에게 어떤 대접을 받았는지 차츰 알게 된다.

얼핏	얼핏/MAG
사소해	사소하/VA+아/EC
보이는	보이/VV+는/ETM
물건에서	물건/NNG+에서/JKB
여성들은,	여성/NNG+들/XSN+은/JX+,/SP
처녀	처녀/NNG
시절	시절/NNG
예쁜	예쁘/VA+ㄴ/ETM
옷을	옷/NNG+을/JKO
입고	입/VV+고/EC
성가대에서	성가대/NNG+에서/JKB
노래	노래/NNG
부르기를	부르/VV+기/ETN+를/JKO
즐겼던	즐기/VV+었/EP+던/ETM
라이트	라이트/NNP
부인이	부인/NNG+이/JKS
남편에게	남편/NNG+에게/JKB
어떤	어떤/MMD
대접을	대접/NNG+을/JKO
받았는지	받/VV+았/EP+는지/EC
차츰	차츰/MAG
알게	알/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.6.6
그리고 과감한 결정을 내린다.

그리고	그리고/MAJ
과감한	과감하/VA+ㄴ/ETM
결정을	결정/NNG+을/JKO
내린다.	내리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.7.1
‘버드나무 길’(싱클레어 루이스)에는 1인 2역을 하며 치밀한 계획을 세워 원하는 바를 손에 쥐지만 허망함에 빠지는 주인공이 등장한다.

‘버드나무	‘/SS+버드나무/NNG
길’(싱클레어	길/NNG+’/SS+(/SS+싱클레어/NNP
루이스)에는	루이스/NNP+)/SS+에/JKB+는/JX
1인	1/SN+인/NNG
2역을	2/SN+역/NNG+을/JKO
하며	하/VV+며/EC
치밀한	치밀하/VA+ㄴ/ETM
계획을	계획/NNG+을/JKO
세워	세우/VV+어/EC
원하는	원/NNG+하/XSV+는/ETM
바를	바/NNB+를/JKO
손에	손/NNG+에/JKB
쥐지만	쥐/VV+지만/EC
허망함에	허망/NNG+하/XSA+ㅁ/ETN+에/JKB
빠지는	빠지/VV+는/ETM
주인공이	주인공/NNG+이/JKS
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.7.2
다시 되돌리려 해도 마음대로 되지 않는 블랙 코미디 같은 상황을 통해 인간이란 존재의 심리를 파헤친다.

다시	다시/MAG
되돌리려	되돌리/VV+려/EC
해도	하/VX+아도/EC
마음대로	마음대로/MAG
되지	되/VV+지/EC
않는	않/VX+는/ETM
블랙	블랙/NNG
코미디	코미디/NNG
같은	같/VA+은/ETM
상황을	상황/NNG+을/JKO
통해	통하/VV+아/EC
인간이란	인간/NNG+이/VCP+란/ETM
존재의	존재/NNG+의/JKG
심리를	심리/NNG+를/JKO
파헤친다.	파헤치/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.7.3
‘사인 심문’(마크 코널리)과 ‘기밀 고객’(제임스 굴드 커즌스)은 마지막에 깜짝 반전을 선사한다.

‘사인	‘/SS+사인/NNG
심문’(마크	심문/NNG+’/SS+(/SS+마크/NNP
코널리)과	코널리/NNP+)/SS+과/JC
‘기밀	‘/SS+기밀/NNG
고객’(제임스	고객/NNG+’/SS+(/SS+제임스/NNP
굴드	굴드/NNP
커즌스)은	커즌스/NNP+)/SS+은/JX
마지막에	마지막/NNG+에/JKB
깜짝	깜짝/MAG
반전을	반전/NNG+을/JKO
선사한다.	선사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.125.8.1
‘헤밍웨이 죽이기’(매킨레이 캔터)는 제목 때문에 내용이 정말 궁금했다.

‘헤밍웨이	‘/SS+헤밍웨이/NNP
죽이기’(매킨레이	죽이/VV+기/ETN+’/SS+(/SS+매킨레이/NNP
캔터)는	캔터/NNP+)/SS+는/JX
제목	제목/NNG
때문에	때문/NNB+에/JKB
내용이	내용/NNG+이/JKS
정말	정말/MAG
궁금했다.	궁금하/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.125.8.2
갱단 두목과 경찰의 추격전을 그렸는데, 두목 이름이 체스터 헤밍웨이다.

갱단	갱단/NNG
두목과	두목/NNG+과/JC
경찰의	경찰/NNG+의/JKG
추격전을	추격전/NNG+을/JKO
그렸는데,	그리/VV+었/EP+는데/EC+,/SP
두목	두목/NNG
이름이	이름/NNG+이/JKS
체스터	체스터/NNP
헤밍웨이다.	헤밍웨이/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000049.125.8.3
아, 낚인 기분이다.

아,	아/IC+,/SP
낚인	낚이/VV+ㄴ/ETM
기분이다.	기분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.125.8.4
1934년에 출간했다는데 그 시절에도 ‘낚시’란 게 있었던 걸까.

1934년에	1934/SN+년/NNB+에/JKB
출간했다는데	출간/NNG+하/XSV+았/EP+다는데/EC
그	그/MMD
시절에도	시절/NNG+에/JKB+도/JX
‘낚시’란	‘/SS+낚시/NNG+’/SS+이/VCP+란/ETM
게	거/NNB+이/JKS
있었던	있/VA+었/EP+던/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000049.125.8.5
아니면 어니스트 헤밍웨이에 대한 일종의 비틀기였을까.

아니면	아니/VCN+면/EC
어니스트	어니스트/NNP
헤밍웨이에	헤밍웨이/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
일종의	일종/NNG+의/JKG
비틀기였을까.	비틀/VV+기/ETN+이/VCP+었/EP+을까/EF+./SF


# id : NWRW1800000049.125.9.1
한층 빠르고, 더 복잡하고 치밀하게 전개되는 요즘 범죄 소설에 익숙한 독자에게는 다소 예스러운 느낌을 줄 것 같다.

한층	한층/MAG
빠르고,	빠르/VA+고/EC+,/SP
더	더/MAG
복잡하고	복잡하/VA+고/EC
치밀하게	치밀하/VA+게/EC
전개되는	전개/NNG+되/XSV+는/ETM
요즘	요즘/NNG
범죄	범죄/NNG
소설에	소설/NNG+에/JKB
익숙한	익숙하/VA+ㄴ/ETM
독자에게는	독자/NNG+에게/JKB+는/JX
다소	다소/MAG
예스러운	예/NNG+스럽/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000049.125.9.2
여유롭게 흘러가는 흑백 영화를 보는 느낌이랄까.

여유롭게	여유/NNG+롭/XSA+게/EC
흘러가는	흘러가/VV+는/ETM
흑백	흑백/NNG
영화를	영화/NNG+를/JKO
보는	보/VV+는/ETM
느낌이랄까.	느낌/NNG+이/VCP+랄까/EF+./SF


# id : NWRW1800000049.125.9.3
물론 흑백 영화도 나름의 멋이 있는 법.

물론	물론/MAG
흑백	흑백/NNG
영화도	영화/NNG+도/JX
나름의	나름/NNB+의/JKG
멋이	멋/NNG+이/JKS
있는	있/VA+는/ETM
법.	법/NNB+./SF


# id : NWRW1800000049.125.10.1
범죄·미스터리물을 전문적으로 쓰지 않았던 유명 작가들이 이런 작품에 도전했다는 사실 자체가 흥미롭다.

범죄·미스터리물을	범죄/NNG+·/SP+미스터리물/NNG+을/JKO
전문적으로	전문/NNG+적/XSN+으로/JKB
쓰지	쓰/VV+지/EC
않았던	않/VX+았/EP+던/ETM
유명	유명/NNG
작가들이	작가/NNG+들/XSN+이/JKS
이런	이런/MMD
작품에	작품/NNG+에/JKB
도전했다는	도전/NNG+하/XSV+았/EP+다는/ETM
사실	사실/NNG
자체가	자체/NNG+가/JKS
흥미롭다.	흥미/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000049.125.10.2
다만, 몇몇 단편은 읽다 보면 세계적인 작가라 해도 모든 작품을 다 잘 쓰기란 사실상 불가능하다는 진리를 새삼 확인하게 된다.

다만,	다만/MAG+,/SP
몇몇	몇몇/NR
단편은	단편/NNG+은/JX
읽다	읽/VV+다/EC
보면	보/VX+면/EC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
작가라	작가/NNG+이/VCP+라/EC
해도	하/VV+아도/EC
모든	모든/MMN
작품을	작품/NNG+을/JKO
다	다/MAG
잘	잘/MAG
쓰기란	쓰/VV+기/ETN+란/JX
사실상	사실/NNG+상/XSN
불가능하다는	불/XPN+가능/NNG+하/XSA+다는/ETM
진리를	진리/NNG+를/JKO
새삼	새삼/MAG
확인하게	확인/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


