# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.221
metadata : {}


# id : NWRW1800000025.221.1.1
[휴지통]엄마와 남매된 아들

[휴지통]엄마와	[/SS+휴지통/NNG+]/SS+엄마/NNG+와/JKB
친모를	친모/NNG+를/JKO
만나고	만나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.221.2.6
초등학교 6학년인 외손자(12)는 현재 최 씨 부부를 ‘외할아버지, 외할머니’가 아니라 ‘아버지, 어머니’로 부르고 있다.

초등학교	초등학교/NNG
6학년인	6/SN+학년/NNG+이/VCP+ㄴ/ETM
외손자(12)는	외손자/NNG+(/SS+12/SN+)/SS+는/JX
현재	현재/MAG
최	최/NNP
씨	씨/NNB
부부를	부부/NNG+를/JKO
‘외할아버지,	‘/SS+외할아버지/NNG+,/SP
외할머니’가	외할머니/NNG+’/SS+가/JKC
아니라	아니/VCN+라/EC
‘아버지,	‘/SS+아버지/NNG+,/SP
어머니’로	어머니/NNG+’/SS+로/JKB
부르고	부르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.221.3.1
최근 최 씨 부부는 큰 결심을 했다.

최근	최근/MAG
최	최/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
큰	크/VA+ㄴ/ETM
결심을	결심/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.221.3.2
딸 둘만 둔 부부는 집안의 대를 잇기 위해 아들이 필요했다.

딸	딸/NNG
둘만	둘/NR+만/JX
둔	두/VV+ㄴ/ETM
부부는	부부/NNG+는/JX
집안의	집안/NNG+의/JKG
대를	대/NNG+를/JKO
잇기	잇/VV+기/ETN
위해	위하/VV+아/EC
아들이	아들/NNG+이/JKS
필요했다.	필요/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.221.3.3
재혼을 앞둔 딸의 처지도 고려했다.

재혼을	재혼/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
딸의	딸/NNG+의/JKG
처지도	처지/NNG+도/JX
고려했다.	고려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.221.3.4
최 씨 부부는 최근 외손자를 친양자로 삼겠다며 법원에 입양 청구를 했다.

최	최/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
최근	최근/MAG
외손자를	외손자/NNG+를/JKO
친양자로	친양자/NNG+로/JKB
삼겠다며	삼/VV+겠/EP+다며/EC
법원에	법원/NNG+에/JKB
입양	입양/NNG
청구를	청구/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.221.3.5
가족관계등록부상 친모와 이모가 누나로 돼 있는 것을 알고 있는 외손자는 물론이고 가족 구성원 모두가 입양에 동의했기 때문이다.

가족관계등록부상	가족/NNG+관계/NNG+등록부/NNG+상/XSN
친모와	친모/NNG+와/JC
이모가	이모/NNG+가/JKS
누나로	누나/NNG+로/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
알고	알/VV+고/EC
외손자는	외손자/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
가족	가족/NNG
구성원	구성원/NNG
모두가	모두/NNG+가/JKS
입양에	입양/NNG+에/JKB
동의했기	동의/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.221.4.1
창원지법 가사1단독 노갑식 판사는 9일 “외손자가 친양자가 되면 가족 유대가 돈독해지고 정신적 물질적 관심과 지원을 더 많이 받을 것으로 예상된다”며 입양 청구를 받아들였다.

창원지법	창원지법/NNP
가사1단독	가사/NNG+1/SN+단독/NNG
노갑식	노갑식/NNP
판사는	판사/NNG+는/JX
9일	9/SN+일/NNB
“외손자가	“/SS+외손자/NNG+가/JKS
친양자가	친양자/NNG+가/JKC
되면	되/VV+면/EC
가족	가족/NNG
유대가	유대/NNG+가/JKS
돈독해지고	돈독하/VA+아/EC+지/VX+고/EC
정신적	정신/NNG+적/XSN
물질적	물질/NNG+적/XSN
관심과	관심/NNG+과/JC
지원을	지원/NNG+을/JKO
더	더/MAG
많이	많이/MAG
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
예상된다”며	예상/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
입양	입양/NNG
청구를	청구/NNG+를/JKO
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


