# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.28
metadata : {}


# id : NWRW1800000033.28.1.1
“한국 구매력기준 1인 GDP 3만 달러로 英-日에 근접”

“한국	“/SS+한국/NNP
보고서에서	보고서/NNG+에서/JKB
“물가수준을	“/SS+물가/NNG+수준/NNG+을/JKO
감안하지	감안/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
한국의	한국/NNP+의/JKG
1인당	1/SN+인/NNG+당/XSN
국내총생산(GDP)은	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+은/JX
지난해	지난해/NNG
2만2778달러지만	2/SN+만/NR+2778/SN+달러/NNB+이/VCP+지만/EC
구매력평가	구매력/NNG+평가/NNG
기준	기준/NNG
GDP는	GDP/SL+는/JX
3만1714달러”라며	3/SN+만/NR+1714/SN+달러/NNB+”/SS+라며/EC
이같이	이같이/MAG
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.28.4.2
명목 1인당 GDP는 세계 34위지만 구매력 평가 기준으로는 세계 25위 생활수준이라는 것이다.

명목	명목/NNG
1인당	1/SN+인/NNG+당/XSN
GDP는	GDP/SL+는/JX
세계	세계/NNG
34위지만	34/SN+위/NNB+이/VCP+지만/EC
구매력	구매력/NNG
평가	평가/NNG
기준으로는	기준/NNG+으로/JKB+는/JX
25위	25/SN+위/NNB
생활수준이라는	생활/NNG+수준/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.28.5.1
지난해 영국과 일본의 명목 1인당 GDP는 4만 달러대이지만 구매력 평가 기준으로는 영국 3만6090달러, 일본 3만4740달러로 우리와 큰 차이가 없었다.

지난해	지난해/NNG
영국과	영국/NNP+과/JC
일본의	일본/NNP+의/JKG
명목	명목/NNG
1인당	1/SN+인/NNG+당/XSN
GDP는	GDP/SL+는/JX
4만	4/SN+만/NR
달러대이지만	달러/NNB+대/XSN+이/VCP+지만/EC
구매력	구매력/NNG
평가	평가/NNG
기준으로는	기준/NNG+으로/JKB+는/JX
영국	영국/NNP
3만6090달러,	3/SN+만/NR+6090/SN+달러/NNB+,/SP
일본	일본/NNP
3만4740달러로	3/SN+만/NR+4740/SN+달러/NNB+로/JKB
우리와	우리/NP+와/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.28.6.1
구매력 평가 기준 1인당 GDP는 각 나라에서 생산되는 상품 및 서비스의 양과 물가를 고려해 실질적인 생활수준을 파악할 수 있게 한 지표다.

구매력	구매력/NNG
평가	평가/NNG
기준	기준/NNG
1인당	1/SN+인/NNG+당/XSN
GDP는	GDP/SL+는/JX
각	각/MMD
나라에서	나라/NNG+에서/JKB
생산되는	생산/NNG+되/XSV+는/ETM
상품	상품/NNG
및	및/MAG
서비스의	서비스/NNG+의/JKG
양과	양/NNG+과/JC
물가를	물가/NNG+를/JKO
고려해	고려/NNG+하/XSV+아/EC
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
생활수준을	생활/NNG+수준/NNG+을/JKO
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
한	하/VX+ㄴ/ETM
지표다.	지표/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.28.6.2
한국의 공공요금과 생활필수품 가격이 다른 나라보다 싸다는 점을 고려하면 생활수준은 선진국 못지않다는 것이다.

한국의	한국/NNP+의/JKG
공공요금과	공공요금/NNG+과/JC
생활필수품	생활필수품/NNG
가격이	가격/NNG+이/JKS
다른	다른/MMD
나라보다	나라/NNG+보다/JKB
싸다는	싸/VA+다는/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
생활수준은	생활/NNG+수준/NNG+은/JX
선진국	선진국/NNG
못지않다는	못지않/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.28.7.1
연구진은 의식주 필수상품과 의료비, 문화비를 경제협력개발기구(OECD) 회원국 평균과 비교해 이런 결론을 이끌어냈다.

연구진은	연구진/NNG+은/JX
의식주	의식주/NNG
필수상품과	필수/NNG+상품/NNG+과/JC
의료비,	의료비/NNG+,/SP
문화비를	문화비/NNG+를/JKO
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
평균과	평균/NNG+과/JKB
비교해	비교/NNG+하/XSV+아/EC
이런	이런/MMD
결론을	결론/NNG+을/JKO
이끌어냈다.	이끌/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.28.7.2
이 보고서에 따르면 한국의 의류와 신발 가격은 OECD 평균보다 10% 낮고, 수도·전기·연료비는 OECD 평균보다 47% 낮다.

이	이/MMD
보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
한국의	한국/NNP+의/JKG
의류와	의류/NNG+와/JC
신발	신발/NNG
가격은	가격/NNG+은/JX
OECD	OECD/SL
평균보다	평균/NNG+보다/JKB
10%	10/SN+%/SW
낮고,	낮/VA+고/EC+,/SP
수도·전기·연료비는	수도/NNG+·/SP+전기/NNG+·/SP+연료비/NNG+는/JX
47%	47/SN+%/SW
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000033.28.7.3
교통비는 OECD 평균보다 30% 낮으며, 의료비는 48% 낮다.

교통비는	교통비/NNG+는/JX
OECD	OECD/SL
평균보다	평균/NNG+보다/JKB
30%	30/SN+%/SW
낮으며,	낮/VA+으며/EC+,/SP
의료비는	의료비/NNG+는/JX
48%	48/SN+%/SW
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000033.28.7.4
통신비는 41%, 오락과 문화 관련 비용은 각각 24% 적게 든다.

통신비는	통신비/NNG+는/JX
41%,	41/SN+%/SW+,/SP
오락과	오락/NNG+과/JC
문화	문화/NNG
관련	관련/NNG
비용은	비용/NNG+은/JX
각각	각각/MAG
24%	24/SN+%/SW
적게	적/VA+게/EC
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.28.7.5
반면 식료품 가격은 OECD 평균보다 3% 높으며 특히 고기 우유 치즈 달걀 과일 등이 비싼 것으로 나타났다.

반면	반면/NNG
식료품	식료품/NNG
가격은	가격/NNG+은/JX
OECD	OECD/SL
평균보다	평균/NNG+보다/JKB
3%	3/SN+%/SW
높으며	높/VA+으며/EC
특히	특히/MAG
고기	고기/NNG
우유	우유/NNG
치즈	치즈/NNG
달걀	달걀/NNG
과일	과일/NNG
등이	등/NNB+이/JKS
비싼	비싸/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


