# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.112
metadata : {}


# id : NWRW1800000033.112.1.1
[공연 리뷰]에너지 넘치는 광대들, 배꼽은 못 잡네

[공연	[/SS+공연/NNG
상황을 명확하게 다 담아 문구를 쓰려다 보니 자꾸 길어지는 것이다.

상황을	상황/NNG+을/JKO
명확하게	명확하/VA+게/EC
다	다/MAG
담아	담/VV+아/EC
문구를	문구/NNG+를/JKO
쓰려다	쓰/VV+려다/EC
보니	보/VX+니/EC
자꾸	자꾸/MAG
길어지는	길어지/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.112.6.4
결국 이런 쪽지가 돼버렸다.

결국	결국/NNG
이런	이런/MMD
쪽지가	쪽지/NNG+가/JKS
돼버렸다.	되/VV+어/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.112.6.5
‘우리는 극장에 갈 수 있게 되었고, 가고 싶고, 가려고 하고 있는데 네가 걱정이 되고, 걱정은 되지만 가야 할 것 같다.’

‘우리는	‘/SS+우리/NP+는/JX
극장에	극장/NNG+에/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
되었고,	되/VV+었/EP+고/EC+,/SP
가고	가/VV+고/EC
싶고,	싶/VX+고/EC+,/SP
가려고	가/VV+려고/EC
하고	하/VX+고/EC
있는데	있/VX+는데/EC
네가	네/NP+가/JKS
걱정이	걱정/NNG+이/JKC
되고,	되/VV+고/EC+,/SP
걱정은	걱정/NNG+은/JX
되지만	되/VV+지만/EC
가야	가/VV+아야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다.’	같/VA+다/EF+./SF+’/SS


# id : NWRW1800000033.112.6.6
부부가 아름다운 표현을 쓰면서 부부싸움을 시작하지만 답답해하다가 결국 합의하에 막말을 주고받는다는 에피소드는 서민들의 교양에 대한 허영심을 꼬집는다.

부부가	부부/NNG+가/JKS
아름다운	아름답/VA+ㄴ/ETM
표현을	표현/NNG+을/JKO
쓰면서	쓰/VV+면서/EC
부부싸움을	부부/NNG+싸움/NNG+을/JKO
시작하지만	시작/NNG+하/XSV+지만/EC
답답해하다가	답답하/VA+아/EC+하/VX+다가/EC
결국	결국/MAG
합의하에	합의/NNG+하/XSN+에/JKB
막말을	막말/NNG+을/JKO
주고받는다는	주고받/VV+는다는/ETM
에피소드는	에피소드/NNG+는/JX
서민들의	서민/NNG+들/XSN+의/JKG
교양에	교양/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
허영심을	허영심/NNG+을/JKO
꼬집는다.	꼬집/VV+는다/EF+./SF


# id : NWRW1800000033.112.7.1
제본공이 책을 주문한 회사에 전화를 걸어 용건을 전하려고 하는데 ‘나는 담당자가 아니다’며 계속 다른 사람에게 전화를 돌리는 바람에 같은 말을 무한 반복한다는 에피소드도 있다.

제본공이	제본공/NNG+이/JKS
책을	책/NNG+을/JKO
주문한	주문/NNG+하/XSV+ㄴ/ETM
회사에	회사/NNG+에/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
용건을	용건/NNG+을/JKO
전하려고	전하/VV+려고/EC
하는데	하/VX+는데/EC
‘나는	‘/SS+나/NP+는/JX
담당자가	담당자/NNG+가/JKC
아니다’며	아니/VCN+다/EF+’/SS+며/EC
계속	계속/MAG
다른	다른/MMD
사람에게	사람/NNG+에게/JKB
돌리는	돌리/VV+는/ETM
바람에	바람/NNB+에/JKB
같은	같/VA+은/ETM
말을	말/NNG+을/JKO
무한	무한/NNG
반복한다는	반복/NNG+하/XSV+ㄴ다는/ETM
에피소드도	에피소드/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.112.7.2
자동응답 전화가 일반화돼 담당자와 통화하기 어려운 요즘 세태를 떠올리게 한다.

자동응답	자동/NNG+응답/NNG
전화가	전화/NNG+가/JKS
일반화돼	일반/NNG+화/XSN+되/XSV+어/EC
담당자와	담당자/NNG+와/JKB
통화하기	통화/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
요즘	요즘/NNG
세태를	세태/NNG+를/JKO
떠올리게	떠올리/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.112.8.1
배우들이 공연 중 트럼펫, 드럼, 피아노 같은 악기를 직접 연주하고 몸을 사용하는 연기가 많아 무대가 역동적이며 에너지가 넘친다.

배우들이	배우/NNG+들/XSN+이/JKS
공연	공연/NNG
중	중/NNB
트럼펫,	트럼펫/NNG+,/SP
드럼,	드럼/NNG+,/SP
피아노	피아노/NNG
같은	같/VA+은/ETM
악기를	악기/NNG+를/JKO
직접	직접/MAG
연주하고	연주/NNG+하/XSV+고/EC
몸을	몸/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
연기가	연기/NNG+가/JKS
많아	많/VA+아/EC
무대가	무대/NNG+가/JKS
역동적이며	역동/NNG+적/XSN+이/VCP+며/EC
에너지가	에너지/NNG+가/JKS
넘친다.	넘치/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.112.9.1
:i: 22일까지 서울 대학로 게릴라극장.

:i:	:/SP+i/SL+:/SP
22일까지	22/SN+일/NNB+까지/JX
서울	서울/NNP
대학로	대학로/NNP
게릴라극장.	게릴라극장/NNP+./SF


# id : NWRW1800000033.112.9.2
1만 5000∼3만 원.

1만	1/SN+만/NR
5000∼3만	5000/SN+∼/SO+3/SN+만/NR
원.	원/NNB+./SF


