# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.340
metadata : {}


# id : NWRW1800000022.340.1.1
[태평로] 나영이 사건 현장에 가보니

[태평로]	[/SS+태평로/NNP+]/SS
옆에서	옆/NNG+에서/JKB
끔찍한	끔찍하/VA+ㄴ/ETM
성폭력을	성폭력/NNG+을/JKO
휘두를	휘두르/VV+ㄹ/ETM
수	수/NNB
있었다는	있/VA+었/EP+다는/ETM
것이	것/NNB+이/JKS
나는	나/NP+는/JX
이해되지	이해/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.340.3.3
학교 등굣길까지 성폭행범에 유린당하는 우리는 과연 제대로 된 사회일까.

학교	학교/NNG
등굣길까지	등굣길/NNG+까지/JX
성폭행범에	성폭행범/NNG+에/JKB
유린당하는	유린/NNG+당하/XSV+는/ETM
우리는	우리/NP+는/JX
과연	과연/MAG
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
사회일까.	사회/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000022.340.4.1
현장은 나영이 사건이 우발적 사고만은 아니었음을 말해주고 있었다.

현장은	현장/NNG+은/JX
나영이	나영이/NNP
사건이	사건/NNG+이/JKS
우발적	우발/NNG+적/XSN
사고만은	사고/NNG+만/JX+은/JX
아니었음을	아니/VCN+었/EP+음/ETN+을/JKO
말해주고	말/NNG+하/XSV+아/EC+주/VX+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.340.4.2
그곳은 대로변 바로 뒤쪽에 분지(盆地)처럼 가려진 사각지대였다.

그곳은	그곳/NP+은/JX
대로변	대로변/NNG
바로	바로/MAG
뒤쪽에	뒤쪽/NNG+에/JKB
분지(盆地)처럼	분지/NNG+(/SS+盆地/SH+)/SS+처럼/JKB
가려진	가려지/VV+ㄴ/ETM
사각지대였다.	사각지대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.340.4.3
나란히 붙어 선 교회와 병원 건물 사이로 두 사람이 스쳐 지나갈 정도의 좁은 계단식 골목길이 나 있다.

나란히	나란히/MAG
붙어	붙/VV+어/EC
선	서/VV+ㄴ/ETM
교회와	교회/NNG+와/JC
병원	병원/NNG
건물	건물/NNG
사이로	사이/NNG+로/JKB
두	두/MMN
사람이	사람/NNG+이/JKS
스쳐	스치/VV+어/EC
지나갈	지나가/VV+ㄹ/ETM
정도의	정도/NNG+의/JKG
좁은	좁/VA+은/ETM
계단식	계단식/NNG
골목길이	골목길/NNG+이/JKS
나	나/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.340.4.4
추웠던 그 겨울날, 57세의 범인은 계단 길을 올라온 나영이를 낚아채 골목 초입의 교회 건물 화장실로 끌고 갔다.

추웠던	춥/VA+었/EP+던/ETM
그	그/MMD
겨울날,	겨울날/NNG+,/SP
57세의	57/SN+세/NNB+의/JKG
범인은	범인/NNG+은/JX
계단	계단/NNG
길을	길/NNG+을/JKO
올라온	올라오/VV+ㄴ/ETM
나영이를	나영이/NNP+를/JKO
낚아채	낚아채/VV+아/EC
골목	골목/NNG
초입의	초입/NNG+의/JKG
교회	교회/NNG
건물	건물/NNG
화장실로	화장실/NNG+로/JKB
끌고	끌/VV+고/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.340.5.1
화장실은 건물 계단에 가려 밖에선 보이지 않는다.

화장실은	화장실/NNG+은/JX
건물	건물/NNG
계단에	계단/NNG+에/JKB
가려	가리/VV+어/EC
밖에선	밖/NNG+에서/JKB+ㄴ/JX
보이지	보이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.340.5.2
사람들 시선이 차단된 뒷골목에서 전과 14범의 범인이 초등학교 1학년 아이를 다루기란 식은 죽 먹기였을 것이다.

사람들	사람/NNG+들/XSN
시선이	시선/NNG+이/JKS
차단된	차단/NNG+되/XSV+ㄴ/ETM
뒷골목에서	뒷골목/NNG+에서/JKB
전과	전과/NNG
14범의	14/SN+범/NNB+의/JKG
범인이	범인/NNG+이/JKS
초등학교	초등학교/NNG
1학년	1/SN+학년/NNG
아이를	아이/NNG+를/JKO
다루기란	다루/VV+기/ETN+란/JX
식은	식/VV+은/ETM
죽	죽/NNG
먹기였을	먹/VV+기/ETN+이/VCP+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.340.6.1
골목길에서 10여m만 더 가면 대로변이다.

골목길에서	골목길/NNG+에서/JKB
10여m만	10/SN+여/XSN+m/SW+만/JX
더	더/MAG
가면	가/VV+면/EC
대로변이다.	대로변/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.340.6.2
아침 8시, 출근길 사람들이 분주하게 오갔을 시각이었다.

아침	아침/NNG
8시,	8/SN+시/NNB+,/SP
출근길	출근길/NNG
사람들이	사람/NNG+들/XSN+이/JKS
분주하게	분주/NNG+하/XSA+게/EC
오갔을	오가/VV+았/EP+을/ETM
시각이었다.	시각/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.340.6.3
나영이가 다니는 초등학교도 바로 옆으로 내다보인다.

나영이가	나영이/NNP+가/JKS
다니는	다니/VV+는/ETM
초등학교도	초등학교/NNG+도/JX
바로	바로/MAG
옆으로	옆/NNG+으로/JKB
내다보인다.	내다보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.340.6.4
나영이는 공포로 울부짖었겠지만 지척에 있었을 세상 사람들은 누구도 도와주러 오질 않았다.

나영이는	나영이/NNP+는/JX
공포로	공포/NNG+로/JKB
울부짖었겠지만	울부짖/VV+었/EP+겠/EP+지만/EC
지척에	지척/NNG+에/JKB
있었을	있/VA+었/EP+을/ETM
세상	세상/NNG
사람들은	사람/NNG+들/XSN+은/JX
누구도	누구/NP+도/JX
도와주러	도와주/VV+러/EC
오질	오/VV+지/EC+ㄹ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.340.6.5
골목길과 대로변 사이 10여m 거리는 나영이에게 천국과 지옥을 가른 경계선이었다.

골목길과	골목길/NNG+과/JC
대로변	대로변/NNG
사이	사이/NNG
10여m	10/SN+여/XSN+m/SW
거리는	거리/NNG+는/JX
나영이에게	나영이/NNP+에게/JKB
천국과	천국/NNG+과/JC
지옥을	지옥/NNG+을/JKO
가른	가르/VV+ㄴ/ETM
경계선이었다.	경계선/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.340.7.1
현장을 보고 나는 범인 조두순이 이 장소를 미리 점찍어 두었을 것이라는 확신이 들었다.

현장을	현장/NNG+을/JKO
보고	보/VV+고/EC
나는	나/NP+는/JX
범인	범인/NNG
조두순이	조두순/NNP+이/JKS
이	이/MMD
장소를	장소/NNG+를/JKO
미리	미리/MAG
점찍어	점찍/VV+어/EC
두었을	두/VX+었/EP+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
확신이	확신/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.340.7.2
성폭행을 노리는 범죄자라면 눈독 들였을 만한 곳이었다.

성폭행을	성폭행/NNG+을/JKO
노리는	노리/VV+는/ETM
범죄자라면	범죄자/NNG+이/VCP+라면/EC
눈독	눈독/NNG
들였을	들이/VV+었/EP+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
곳이었다.	곳/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.340.7.3
허름한 3층짜리 교회 건물 주변을 자동차 정비소와 병원·약국, 택배회사의 빈 트럭들이 병풍 모양으로 둘러서 있다.

허름한	허름하/VA+ㄴ/ETM
3층짜리	3/SN+층/NNG+짜리/XSN
교회	교회/NNG
건물	건물/NNG
주변을	주변/NNG+을/JKO
자동차	자동차/NNG
정비소와	정비소/NNG+와/JC
병원·약국,	병원/NNG+·/SP+약국/NNG+,/SP
택배회사의	택배/NNG+회사/NNG+의/JKG
빈	비/VV+ㄴ/ETM
트럭들이	트럭/NNG+들/XSN+이/JKS
병풍	병풍/NNG
모양으로	모양/NNG+으로/JKB
둘러서	두르/VV+어서/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.340.7.4
주변 상인들은 "점포 셔터가 내려진 밤엔 다니기가 으스스했다"고 했다.

주변	주변/NNG
상인들은	상인/NNG+들/XSN+은/JX
"점포	"/SS+점포/NNG
셔터가	셔터/NNG+가/JKS
내려진	내려지/VV+ㄴ/ETM
밤엔	밤/NNG+에/JKB+ㄴ/JX
다니기가	다니/VV+기/ETN+가/JKS
으스스했다"고	으스스/MAG+하/XSA+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.340.8.1
그런 취약지대를 초등학생들이 매일 등하교 때 오가고 있었지만 아무런 방범 대책이 없었다.

그런	그런/MMD
취약지대를	취약/NNG+지대/NNG+를/JKO
초등학생들이	초등학생/NNG+들/XSN+이/JKS
매일	매일/MAG
등하교	등하교/NNG
때	때/NNG
오가고	오가/VV+고/EC
있었지만	있/VX+었/EP+지만/EC
아무런	아무런/MMD
방범	방범/NNG
대책이	대책/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.340.8.2
나영이를 만신창이로 만든 그 악몽의 공간을 바라보며 나는 때늦은 가정을 해보았다.

나영이를	나영이/NNP+를/JKO
만신창이로	만신창이/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
그	그/MMD
악몽의	악몽/NNG+의/JKG
공간을	공간/NNG+을/JKO
바라보며	바라보/VV+며/EC
나는	나/NP+는/JX
때늦은	때늦/VA+은/ETM
가정을	가정/NNG+을/JKO
해보았다.	하/VV+아/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.340.8.3
만약 이곳에 방범초소가 있었다면?

만약	만약/MAG
이곳에	이곳/NP+에/JKB
방범초소가	방범/NNG+초소/NNG+가/JKS
있었다면?	있/VA+었/EP+다면/EC+?/SF


# id : NWRW1800000022.340.8.4
학부모회나 주민들이 등하굣길 순찰을 다녔다면?

학부모회나	학부모회/NNG+나/JC
주민들이	주민/NNG+들/XSN+이/JKS
등하굣길	등하굣길/NNG
순찰을	순찰/NNG+을/JKO
다녔다면?	다니/VV+었/EP+다면/EC+?/SF


# id : NWRW1800000022.340.8.5
그 흔한 CCTV라도 몇 대 표시 나게 달아 놓았다면?

그	그/MMD
흔한	흔하/VA+ㄴ/ETM
CCTV라도	CCTV/SL+이/VCP+라도/EC
몇	몇/NR
대	대/NNB
표시	표시/NNG
나게	나/VV+게/EC
달아	달/VV+아/EC
놓았다면?	놓/VX+았/EP+다면/EC+?/SF


# id : NWRW1800000022.340.9.1
나영이가 다니는 A초등학교 아이들 집은 두 부류로 갈린다.

나영이가	나영이/NNP+가/JKS
다니는	다니/VV+는/ETM
A초등학교	A/SL+초등학교/NNG
아이들	아이/NNG+들/XSN
집은	집/NNG+은/JX
두	두/MMN
부류로	부류/NNG+로/JKB
갈린다.	갈리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.340.9.2
4차선 도로 위쪽엔 잘 정비된 아파트 단지가 들어서 있고, 아래쪽은 서민 주택가다.

4차선	4/SN+차선/NNG
도로	도로/NNG
위쪽엔	위쪽/NNG+에/JKB+ㄴ/JX
잘	잘/MAG
정비된	정비/NNG+되/XSV+ㄴ/ETM
아파트	아파트/NNG
단지가	단지/NNG+가/JKS
들어서	들어서/VV+어/EC
있고,	있/VX+고/EC+,/SP
아래쪽은	아래쪽/NNG+은/JX
서민	서민/NNG
주택가다.	주택가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.340.9.3
나영이네가 사는 다세대주택은 골목길 아랫동네에 있다.

나영이네가	나영이/NNP+네/XSN+가/JKS
사는	살/VV+는/ETM
다세대주택은	다세대/NNG+주택/NNG+은/JX
골목길	골목길/NNG
아랫동네에	아랫동네/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.340.9.4
외국인 노동자들이 많이 사는 전형적인 서민 주거지였다.

외국인	외국인/NNG
노동자들이	노동자/NNG+들/XSN+이/JKS
많이	많이/MAG
사는	살/VV+는/ETM
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
서민	서민/NNG
주거지였다.	주거지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.340.10.1
나영이 아버지는 일용직 노동자, 어머니는 가사 도우미로 일했다.

나영이	나영이/NNP
아버지는	아버지/NNG+는/JX
일용직	일용직/NNG
노동자,	노동자/NNG+,/SP
어머니는	어머니/NNG+는/JX
가사	가사/NNG
도우미로	도우미/NNG+로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.340.10.2
이웃 주민들 사정도 비슷했을 것이다.

이웃	이웃/NNG
주민들	주민/NNG+들/XSN
사정도	사정/NNG+도/JX
비슷했을	비슷하/VA+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.340.10.3
매일 일 나가고, 먹고살기 바빴을 아랫동네 사람들에겐 아이들 안전을 생각할 여유가 없었다.

매일	매일/MAG
일	일/NNG
나가고,	나가/VV+고/EC+,/SP
먹고살기	먹고살/VV+기/ETN
바빴을	바쁘/VA+았/EP+을/ETM
아랫동네	아랫동네/NNG
사람들에겐	사람/NNG+들/XSN+에게/JKB+ㄴ/JX
아이들	아이/NNG+들/XSN
안전을	안전/NNG+을/JKO
생각할	생각/NNG+하/XSV+ㄹ/ETM
여유가	여유/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.340.10.4
이들을 대신해 공공의 안전망을 만들었어야 할 지자체나 지역사회도 무심하기만 했다.

이들을	이/NP+들/XSN+을/JKO
대신해	대신/NNG+하/XSV+아/EC
공공의	공공/NNG+의/JKG
안전망을	안전망/NNG+을/JKO
만들었어야	만들/VV+었/EP+어야/EC
할	하/VX+ㄹ/ETM
지자체나	지자체/NNG+나/JC
지역사회도	지역/NNG+사회/NNG+도/JX
무심하기만	무심/NNG+하/XSA+기/ETN+만/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.340.11.1
아동 성폭력은 가난한 집 아이부터 노린다.

아동	아동/NNG
성폭력은	성폭력/NNG+은/JX
가난한	가난/NNG+하/XSA+ㄴ/ETM
집	집/NNG
아이부터	아이/NNG+부터/JX
노린다.	노리/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.340.11.2
13세 이하 성폭력 피해자의 다수가 생계에 바쁜 부모로부터 방치되는 사회적 약자 계층 아이들이다.

13세	13/SN+세/NNB
이하	이하/NNG
성폭력	성폭력/NNG
피해자의	피해자/NNG+의/JKG
다수가	다수/NNG+가/JKS
생계에	생계/NNG+에/JKB
바쁜	바쁘/VA+ㄴ/ETM
부모로부터	부모/NNG+로부터/JKB
방치되는	방치/NNG+되/XSV+는/ETM
사회적	사회/NNG+적/XSN
약자	약자/NNG
계층	계층/NNG
아이들이다.	아이/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.340.11.3
나영이 사건 역시 형사(刑事) 문제인 동시에 '빈곤 이슈'다.

나영이	나영이/NNP
사건	사건/NNG
역시	역시/MAG
형사(刑事)	형사/NNG+(/SS+刑事/SH+)/SS
문제인	문제/NNG+이/VCP+ㄴ/ETM
동시에	동시/NNG+에/JKB
'빈곤	'/SS+빈곤/NNG
이슈'다.	이슈/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.340.12.1
나영이는 매일 아침 문제의 골목길과 교회 건물 앞 사각지대를 지나 학교에 다녔다.

나영이는	나영이/NNP+는/JX
매일	매일/MAG
아침	아침/NNG
문제의	문제/NNG+의/JKG
골목길과	골목길/NNG+과/JC
교회	교회/NNG
건물	건물/NNG
앞	앞/NNG
사각지대를	사각지대/NNG+를/JKO
지나	지나/VV+아/EC
학교에	학교/NNG+에/JKB
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.340.12.2
나영이뿐 아니라 아랫동네에 사는 아이들은 대개 이 지름길을 이용했다.

나영이뿐	나영이/NNP+뿐/JX
아니라	아니/VCN+라/EC
아랫동네에	아랫동네/NNG+에/JKB
사는	살/VV+는/ETM
아이들은	아이/NNG+들/XSN+은/JX
대개	대개/MAG
이	이/MMD
지름길을	지름길/NNG+을/JKO
이용했다.	이용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.340.12.3
조두순이 골목길을 지키고 있던 그날 아침, 나영이가 아니었더라도 아랫동네 아이 누군가는 피해자가 될 수 있었다.

조두순이	조두순/NNP+이/JKS
골목길을	골목길/NNG+을/JKO
지키고	지키/VV+고/EC
있던	있/VX+던/ETM
그날	그날/NNG
아침,	아침/NNG+,/SP
나영이가	나영이/NNP+가/JKC
아니었더라도	아니/VCN+었/EP+더라도/EC
아랫동네	아랫동네/NNG
아이	아이/NNG
누군가는	누구/NP+이/VCP+ㄴ가/EF+는/JX
피해자가	피해자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.340.13.1
나영이에게 미안해 고개 들 수 없는 세상 사람들은 짐승 같은 범인에게만 분노를 터뜨리고 있다.

나영이에게	나영이/NNP+에게/JKB
미안해	미안/NNG+하/XSA+아/EC
고개	고개/NNG
들	들/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
세상	세상/NNG
사람들은	사람/NNG+들/XSN+은/JX
짐승	짐승/NNG
같은	같/VA+은/ETM
범인에게만	범인/NNG+에게/JKB+만/JX
분노를	분노/NNG+를/JKO
터뜨리고	터뜨리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.340.13.2
하지만 사실은 학교 앞 사각지대를 방치한 우리 어른들의 무심함 역시 공범(共犯)이었다.

하지만	하지만/MAJ
사실은	사실/NNG+은/JX
학교	학교/NNG
앞	앞/NNG
사각지대를	사각지대/NNG+를/JKO
방치한	방치/NNG+하/XSV+ㄴ/ETM
우리	우리/NP
어른들의	어른/NNG+들/XSN+의/JKG
무심함	무심/NNG+하/XSA+ㅁ/ETN
역시	역시/MAG
공범(共犯)이었다.	공범/NNG+(/SS+共犯/SH+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.340.13.3
현장에 가보고 그걸 알았다.

현장에	현장/NNG+에/JKB
가보고	가/VV+아/EC+보/VX+고/EC
그걸	그거/NP+ㄹ/JKO
알았다.	알/VV+았/EP+다/EF+./SF


