# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.438
metadata : {}


# id : NWRW1800000048.438.1.1
북, YS 서거에 침묵…김일성 조문파동 앙금탓?

북,	북/NNP+,/SP
김	김/NNP
주석이	주석/NNG+이/JKS
갑작스럽게	갑작스럽/VA+게/EC
숨지면서	숨지/VV+면서/EC
정상회담은	정상/NNG+회담/NNG+은/JX
무산됐고,	무산/NNG+되/XSV+었/EP+고/EC+,/SP
이어	이어/MAG
김일성	김일성/NNP
주석에	주석/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조문	조문/NNG
문제가	문제/NNG+가/JKS
불거지자	불거지/VV+자/EC
김영삼	김영삼/NNP
정부는	정부/NNG+는/JX
이를	이/NP+를/JKO
이른바	이른바/MAG
‘주사파	‘/SS+주사파/NNG
색출’의	색출/NNG+’/SS+의/JKG
계기로	계기/NNG+로/JKB
삼는	삼/VV+는/ETM
등	등/NNB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
공안정국을	공안/NNG+정국/NNG+을/JKO
조성하면서	조성/NNG+하/XSV+면서/EC
남북관계는	남북/NNP+관계/NNG+는/JX
돌아올	돌아오/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
길을	길/NNG+을/JKO
건너게	건너/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.438.8.1
김영삼 정부는 빌 클린턴 당시 미국 대통령이 김 주석의 사망에 애도를 표한 것에 대해서도 불쾌감을 감추지 않았다.

김영삼	김영삼/NNP
정부는	정부/NNG+는/JX
빌	빌/NNP
클린턴	클린턴/NNP
당시	당시/NNG
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
김	김/NNP
주석의	주석/NNG+의/JKG
사망에	사망/NNG+에/JKB
애도를	애도/NNG+를/JKO
표한	표/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
불쾌감을	불쾌감/NNG+을/JKO
감추지	감추/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.438.8.2
당시 북한은 이에 대해 “상식 이하의 불손하고 무례” “대범죄” 등의 표현을 동원해 맹렬히 비난했다.

당시	당시/NNG
북한은	북한/NNP+은/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“상식	“/SS+상식/NNG
이하의	이하/NNG+의/JKG
불손하고	불손/NNG+하/XSA+고/EC
무례”	무례/NNG+”/SS
“대범죄”	“/SS+대/XPN+범죄/NNG+”/SS
등의	등/NNB+의/JKG
표현을	표현/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
맹렬히	맹렬히/MAG
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.438.8.3
북한의 <조선중앙통신>은 문민정부 끝자락인 98년 1월 “김영삼 정권은 가장 가증스러운 통일의 적”이라고 비난하며 남북관계가 ‘사상 최악’이라고 평가했다.

북한의	북한/NNP+의/JKG
<조선중앙통신>은	</SS+조선중앙통신/NNP+>/SS+은/JX
문민정부	문민정부/NNG
끝자락인	끝자락/NNG+이/VCP+ㄴ/ETM
98년	98/SN+년/NNB
1월	1/SN+월/NNB
“김영삼	“/SS+김영삼/NNP
정권은	정권/NNG+은/JX
가장	가장/MAG
가증스러운	가증/NNG+스럽/XSA+ㄴ/ETM
통일의	통일/NNG+의/JKG
적”이라고	적/NNG+”/SS+이라고/JKQ
비난하며	비난/NNG+하/XSV+며/EC
남북관계가	남북/NNP+관계/NNG+가/JKS
‘사상	‘/SS+사상/NNG
최악’이라고	최악/NNG+’/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


