# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.2
metadata : {}


# id : NWRW1800000024.2.1.1
현충원 참배한 이대통령 /“희망·용기 갖고 나아가자”

현충원	현충원/NNP
오후	오후/NNG
2시께	2/SN+시/NNB+께/XSN
청와대	청와대/NNP
집무실에서	집무실/NNG+에서/JKB
백령도	백령도/NNP
해병6여단,	해병/NNG+6/SN+여단/NNG+,/SP
양구	양구/NNP
육군	육군/NNG
21사단	21/SN+사단/NNG
지오피(GOP)	지오피/NNG+(/SS+GOP/SL+)/SS
대대,	대대/NNG+,/SP
레바논	레바논/NNP
동명부대	동명부대/NNP
등	등/NNB
국내외	국내외/NNG
군부대	군부대/NNG
및	및/MAG
고흥	고흥/NNP
나로도	나로도/NNP
우주센터	우주/NNG+센터/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
각각	각각/MAG
화상	화상/NNG
전화통화로	전화/NNG+통화/NNG+로/JKB
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.2.5.2
이 대통령은 표창수 육군 21사단 지오피 대대장이 ‘대통령께서 강조하신 국가정체성 교육을 하고 있다’고 말하자, “젊은 사람들에게 뚜렷한 국가관을 심어놓는 게 좋다”며 “사회에 돌아왔을 때도 철저한 국가관이 직업에 반영되면 좋다”고 화답했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
표창수	표창수/NNP
육군	육군/NNG
21사단	21/SN+사단/NNG
지오피	지오피/NNG
대대장이	대대장/NNG+이/JKS
‘대통령께서	‘/SS+대통령/NNG+께서/JKS
강조하신	강조/NNG+하/XSV+시/EP+ㄴ/ETM
국가정체성	국가/NNG+정체/NNG+성/XSN
교육을	교육/NNG+을/JKO
하고	하/VV+고/EC
있다’고	있/VX+다/EF+’/SS+고/JKQ
말하자,	말/NNG+하/XSV+자/EC+,/SP
“젊은	“/SS+젊/VA+은/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
뚜렷한	뚜렷하/VA+ㄴ/ETM
국가관을	국가관/NNG+을/JKO
심어놓는	심/VV+어/EC+놓/VX+는/ETM
게	거/NNB+이/JKS
좋다”며	좋/VA+다/EF+”/SS+며/EC
“사회에	“/SS+사회/NNG+에/JKB
돌아왔을	돌아오/VV+았/EP+을/ETM
때도	때/NNG+도/JX
철저한	철저/NNG+하/XSA+ㄴ/ETM
국가관이	국가관/NNG+이/JKS
직업에	직업/NNG+에/JKB
반영되면	반영/NNG+되/XSV+면/EC
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


