# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.68
metadata : {}


# id : NWRW1800000038.68.1.1
성공에 내몰린 한국인, 어린 왕자가 그립다

성공에	성공/NNG+에/JKB
"사람을 월급이나 아파트 평수로 저울질하는 것을 보면 갑갑해요.

"사람을	"/SS+사람/NNG+을/JKO
월급이나	월급/NNG+이나/JC
아파트	아파트/NNG
평수로	평수/NNG+로/JKB
저울질하는	저울/NNG+질/XSN+하/XSV+는/ETM
것을	것/NNB+을/JKO
보면	보/VV+면/EC
갑갑해요.	갑갑하/VA+아요/EF+./SF


# id : NWRW1800000038.68.3.5
그래서 '어린 왕자'가 더 그리워집니다."

그래서	그래서/MAJ
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'가	왕자/NNG+'/SS+가/JKS
더	더/MAG
그리워집니다."	그립/VA+어/EC+지/VX+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.68.4.1
본지는 지난달 중순 예스24 (www.yes24.com) 공식 트위터와 페이스북으로 '다시 읽고 싶은 책'을 주관식으로 질문했다.

본지는	본지/NNG+는/JX
지난달	지난달/NNG
중순	중순/NNG
예스24	예스24/NNP
(www.yes24.com)	(/SS+www/SL+./SP+yes/SL+24/SN+./SP+com/SL+)/SS
공식	공식/NNG
트위터와	트위터/NNP+와/JC
페이스북으로	페이스북/NNP+으로/JKB
'다시	'/SS+다시/MAG
읽고	읽/VV+고/EC
싶은	싶/VX+은/ETM
책'을	책/NNG+'/SS+을/JKO
주관식으로	주관식/NNG+으로/JKB
질문했다.	질문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.4.2
30~40대 중심으로 독자 1223명(여성 896명)이 응답했다.

30~40대	30/SN+~/SO+40/SN+대/NNB
중심으로	중심/NNG+으로/JKB
독자	독자/NNG
1223명(여성	1223/SN+명/NNB+(/SS+여성/NNG
896명)이	896/SN+명/NNB+)/SS+이/JKS
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.4.3
최근 다시 읽고 좋았던 책으로는 '어린 왕자'(52명), 무라카미 하루키의 '상실의 시대'(21명), 조앤 롤링의 '해리 포터'(18명), 바스콘셀로스의 '나의 라임 오렌지 나무'(16명) 등이 꼽혔다.

최근	최근/NNG
다시	다시/MAG
읽고	읽/VV+고/EC
좋았던	좋/VA+았/EP+던/ETM
책으로는	책/NNG+으로/JKB+는/JX
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'(52명),	왕자/NNG+'/SS+(/SS+52/SN+명/NNB+)/SS+,/SP
무라카미	무라카미/NNP
하루키의	하루키/NNP+의/JKG
'상실의	'/SS+상실/NNG+의/JKG
시대'(21명),	시대/NNG+'/SS+(/SS+21/SN+명/NNB+)/SS+,/SP
조앤	조앤/NNP
롤링의	롤링/NNP+의/JKG
'해리	'/SS+해리/NNP
포터'(18명),	포터/NNP+'/SS+(/SS+18/SN+명/NNB+)/SS+,/SP
바스콘셀로스의	바스콘셀로스/NNP+의/JKG
'나의	'/SS+나/NP+의/JKG
라임	라임/NNG
오렌지	오렌지/NNG
나무'(16명)	나무/NNG+'/SS+(/SS+16/SN+명/NNB+)/SS
등이	등/NNB+이/JKS
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.68.4.4
언젠가 다시 읽을 책을 묻자 역시 '어린 왕자'가 1위(23명)였고 '삼국지'(16명), '해리포터'(15명), 박경리의 '토지'(13명)가 뒤를 이었다.

언젠가	언젠가/MAG
다시	다시/MAG
읽을	읽/VV+을/ETM
책을	책/NNG+을/JKO
묻자	묻/VV+자/EC
역시	역시/MAG
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'가	왕자/NNG+'/SS+가/JKS
1위(23명)였고	1/SN+위/NNB+(/SS+23/SN+명/NNB+)/SS+이/VCP+었/EP+고/EC
'삼국지'(16명),	'/SS+삼국지/NNP+'/SS+(/SS+16/SN+명/NNB+)/SS+,/SP
'해리포터'(15명),	'/SS+해리포터/NNP+'/SS+(/SS+15/SN+명/NNB+)/SS+,/SP
박경리의	박경리/NNP+의/JKG
'토지'(13명)가	'/SS+토지/NNG+'/SS+(/SS+13/SN+명/NNB+)/SS+가/JKS
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.68.4.5
〈그래픽 참조〉

〈그래픽	〈/SS+그래픽/NNG
참조〉	참조/NNG+〉/SS


# id : NWRW1800000038.68.5.1
◇다시 읽고 싶은 책 '어린 왕자'

◇다시	◇/SW+다시/MAG
읽고	읽/VV+고/EC
싶은	싶/VX+은/ETM
책	책/NNG
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'	왕자/NNG+'/SS


# id : NWRW1800000038.68.6.1
사막에 불시착한 비행기 조종사가 작은 별에서 온 어린 왕자를 만나는 이야기.

사막에	사막/NNG+에/JKB
불시착한	불시착/NNG+하/XSV+ㄴ/ETM
비행기	비행기/NNG
조종사가	조종사/NNG+가/JKS
작은	작/VA+은/ETM
별에서	별/NNG+에서/JKB
온	오/VV+ㄴ/ETM
어린	어리/VA+ㄴ/ETM
왕자를	왕자/NNG+를/JKO
만나는	만나/VV+는/ETM
이야기.	이야기/NNG+./SF


# id : NWRW1800000038.68.6.2
"본질적인 것은 눈에 안 보이고 마음으로 보인다" "네가 길들인 것에 대해 영원히 책임져야 해" 등 여우가 들려준 말도 유명하다.

"본질적인	"/SS+본질/NNG+적/XSN+이/VCP+ㄴ/ETM
것은	것/NNB+은/JX
눈에	눈/NNG+에/JKB
안	안/MAG
보이고	보이/VV+고/EC
마음으로	마음/NNG+으로/JKB
보인다"	보이/VV+ㄴ다/EF+"/SS
"네가	"/SS+네/NP+가/JKS
길들인	길들이/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
영원히	영원히/MAG
책임져야	책임지/VV+어야/EC
해"	하/VX+아/EC+"/SS
등	등/NNB
여우가	여우/NNG+가/JKS
들려준	들려주/VV+ㄴ/ETM
말도	말/NNG+도/JX
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.68.6.3
1943년 발표돼 세계에서 1억부 넘게 팔렸다.

1943년	1943/SN+년/NNB
발표돼	발표/NNG+되/XSV+어/EC
세계에서	세계/NNG+에서/JKB
1억부	1/SN+억/NR+부/NNB
넘게	넘/VV+게/EC
팔렸다.	팔리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.68.7.1
특정 책을 섬기는 사람도 있다.

특정	특정/NNG
책을	책/NNG+을/JKO
섬기는	섬기/VV+는/ETM
사람도	사람/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.68.7.2
이번 조사에서 '당신에게 가장 가치 있는 책이 뭐냐'고 묻자 68명이 성경이라고 답했고 '어린 왕자'(55명), '아직 없다'(30명), 법정 스님의 '무소유'(24명), '나의 라임 오렌지 나무'(23명) 순이었다.

이번	이번/NNG
조사에서	조사/NNG+에서/JKB
'당신에게	'/SS+당신/NP+에게/JKB
가장	가장/MAG
가치	가치/NNG
있는	있/VA+는/ETM
책이	책/NNG+이/JKS
뭐냐'고	뭐/NP+이/VCP+냐/EF+'/SS+고/JKQ
묻자	묻/VV+자/EC
68명이	68/SN+명/NNB+이/JKS
성경이라고	성경/NNG+이/VCP+라고/EC
답했고	답/NNG+하/XSV+았/EP+고/EC
'어린	'/SS+어리/VA+ㄴ/ETM
왕자'(55명),	왕자/NNG+'/SS+(/SS+55/SN+명/NNB+)/SS+,/SP
'아직	'/SS+아직/MAG
없다'(30명),	없/VA+다/EF+'/SS+(/SS+30/SN+명/NNB+)/SS+,/SP
법정	법정/NNP
스님의	스님/NNG+의/JKG
'무소유'(24명),	'/SS+무/XPN+소유/NNG+'/SS+(/SS+24/SN+명/NNB+)/SS+,/SP
'나의	'/SS+나/NP+의/JKG
라임	라임/NNG
오렌지	오렌지/NNG
나무'(23명)	나무/NNG+'/SS+(/SS+23/SN+명/NNB+)/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.68.7.3
출판 평론가 표정훈 한양대 교수는 "'어린 왕자'는 어린이에서 청소년이 될 때 통과의례와 같은 책"이라고 해석했다.

출판	출판/NNG
평론가	평론가/NNG
표정훈	표정훈/NNP
한양대	한양대/NNP
교수는	교수/NNG+는/JX
"'어린	"/SS+'/SS+어리/VA+ㄴ/ETM
왕자'는	왕자/NNG+'/SS+는/JX
어린이에서	어린이/NNG+에서/JKB
청소년이	청소년/NNG+이/JKC
될	되/VV+ㄹ/ETM
때	때/NNG
통과의례와	통과/NNG+의례/NNG+와/JKB
같은	같/VA+은/ETM
책"이라고	책/NNG+"/SS+이라고/JKQ
해석했다.	해석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.8.1
◇안온함, 변화, 그사이 긴장이 좋다

◇안온함,	◇/SW+안온/NNG+하/XSA+ㅁ/ETN+,/SP
변화,	변화/NNG+,/SP
그사이	그사이/NNG
긴장이	긴장/NNG+이/JKS
좋다	좋/VA+다/EF


# id : NWRW1800000038.68.9.1
영국에서 몇 해 전 '다시 읽는 책' 설문조사가 있었다.

영국에서	영국/NNP+에서/JKB
몇	몇/NR
해	해/NNG
전	전/NNG
'다시	'/SS+다시/MAG
읽는	읽/VV+는/ETM
책'	책/NNG+'/SS
설문조사가	설문/NNG+조사/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.68.9.2
독자는 해리포터 시리즈를 1~3위로 꼽았고 '반지의 제왕'이 4위, '오만과 편견'이 5위였다.

독자는	독자/NNG+는/JX
해리포터	해리포터/NNP
시리즈를	시리즈/NNG+를/JKO
1~3위로	1/SN+~/SO+3/SN+위/NNB+로/JKB
꼽았고	꼽/VV+았/EP+고/EC
'반지의	'/SS+반지/NNG+의/JKG
제왕'이	제왕/NNG+'/SS+이/JKS
4위,	4/SN+위/NNB+,/SP
'오만과	'/SS+오만/NNG+과/JC
편견'이	편견/NNG+'/SS+이/JKS
5위였다.	5/SN+위/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.68.9.3
20위 안에 어린이 책이 4종 포함됐고 성경은 16위, 셰익스피어 시리즈는 순위권 밖이었다.

20위	20/SN+위/NNB
안에	안/NNG+에/JKB
어린이	어린이/NNG
책이	책/NNG+이/JKS
4종	4/SN+종/NNG
포함됐고	포함/NNG+되/XSV+었/EP+고/EC
성경은	성경/NNG+은/JX
16위,	16/SN+위/NNB+,/SP
셰익스피어	셰익스피어/NNP
시리즈는	시리즈/NNG+는/JX
순위권	순위/NNG+권/XSN
밖이었다.	밖/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.68.9.4
미국 작가 퍼트리샤 마이어 스팩스는 최근 저서 '리리딩(On Rereading)'에서 "책을 다시 읽는 까닭은 무한하겠지만 그것으로 받는 보상은 변화나 안정일 것"이라며 이렇게 덧붙였다.

미국	미국/NNP
작가	작가/NNG
퍼트리샤	퍼트리샤/NNP
마이어	마이어/NNP
스팩스는	스팩스/NNP+는/JX
최근	최근/NNG
저서	저서/NNG
'리리딩(On	'/SS+리리딩/NNP+(/SS+On/SL
Rereading)'에서	Rereading/SL+)/SS+'/SS+에서/JKB
"책을	"/SS+책/NNG+을/JKO
다시	다시/MAG
읽는	읽/VV+는/ETM
까닭은	까닭/NNG+은/JX
무한하겠지만	무한/NNG+하/XSA+겠/EP+지만/EC
그것으로	그것/NP+으로/JKB
받는	받/VV+는/ETM
보상은	보상/NNG+은/JX
변화나	변화/NNG+나/JC
안정일	안정/NNG+이/VCP+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
이렇게	이렇/VA+게/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.68.10.1
"'다시 읽기'는 항상 그 자리에 있는 어떤 안도감을 주면서 과거의 나를 기억하게 한다.

"'다시	"/SS+'/SS+다시/MAG
읽기'는	읽/VV+기/ETN+'/SS+는/JX
항상	항상/MAG
그	그/MMD
자리에	자리/NNG+에/JKB
있는	있/VA+는/ETM
어떤	어떤/MMD
안도감을	안도감/NNG+을/JKO
주면서	주/VV+면서/EC
과거의	과거/NNG+의/JKG
나를	나/NP+를/JKO
기억하게	기억/NNG+하/XSV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.68.10.2
책은 그대로 있고 독자는 변한다.

책은	책/NNG+은/JX
그대로	그대로/MAG
있고	있/VA+고/EC
독자는	독자/NNG+는/JX
변한다.	변하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.68.10.3
안정과 변화 사이의 긴장이 '다시 읽기'의 핵심이다."

안정과	안정/NNG+과/JC
변화	변화/NNG
사이의	사이/NNG+의/JKG
긴장이	긴장/NNG+이/JKS
'다시	'/SS+다시/MAG
읽기'의	읽/VV+기/ETN+'/SS+의/JKG
핵심이다."	핵심/NNG+이/VCP+다/EF+./SF+"/SS


# id : NWRW1800000038.68.11.1
'상실의 시대'를 최근 다시 읽었다는 김민진(30)씨는 "감수성 예민하던 시절의 내가 떠오른다"고 했다.

'상실의	'/SS+상실/NNG+의/JKG
시대'를	시대/NNG+'/SS+를/JKO
최근	최근/NNG
다시	다시/MAG
읽었다는	읽/VV+었/EP+다는/ETM
김민진(30)씨는	김민진/NNP+(/SS+30/SN+)/SS+씨/NNB+는/JX
"감수성	"/SS+감수/NNG+성/XSN
예민하던	예민하/VA+던/ETM
시절의	시절/NNG+의/JKG
내가	내/NP+가/JKS
떠오른다"고	떠오르/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.11.2
독자가 다시 읽는 책은 문학이 54%였다.

독자가	독자/NNG+가/JKS
다시	다시/MAG
읽는	읽/VV+는/ETM
책은	책/NNG+은/JX
문학이	문학/NNG+이/JKS
54%였다.	54/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.68.11.3
예스24 문학담당 김미선씨는 "입장에 따라 여러 갈래로 읽힌다는 점, 연령별로 감동의 깊이가 다르다는 점이 문학의 매력"이라고 설명했다.

예스24	예스24/NNP
문학담당	문학/NNG+담당/NNG
김미선씨는	김미선/NNP+씨/NNB+는/JX
"입장에	"/SS+입장/NNG+에/JKB
따라	따르/VV+아/EC
여러	여러/MMN
갈래로	갈래/NNG+로/JKB
읽힌다는	읽히/VV+ㄴ다는/ETM
점,	점/NNG+,/SP
연령별로	연령/NNG+별/XSN+로/JKB
감동의	감동/NNG+의/JKG
깊이가	깊이/NNG+가/JKS
다르다는	다르/VA+다는/ETM
점이	점/NNG+이/JKS
문학의	문학/NNG+의/JKG
매력"이라고	매력/NNG+"/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.12.1
◇실망한 책, 기대하는 작가는?

◇실망한	◇/SW+실망/NNG+하/XSV+ㄴ/ETM
책,	책/NNG+,/SP
기대하는	기대/NNG+하/XSV+는/ETM
작가는?	작가/NNG+는/JX+?/SF


# id : NWRW1800000038.68.13.1
이번 설문에서는 '기대만큼 실망이 컸던 책'도 물었다.

이번	이번/NNG
설문에서는	설문/NNG+에서/JKB+는/JX
'기대만큼	'/SS+기대/NNG+만큼/JKB
실망이	실망/NNG+이/JKS
컸던	크/VA+었/EP+던/ETM
책'도	책/NNG+'/SS+도/JX
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.68.13.2
응답자의 66%가 "그런 경험이 있다"고 답했다.

응답자의	응답자/NNG+의/JKG
66%가	66/SN+%/SW+가/JKS
"그런	"/SS+그런/MMD
경험이	경험/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.13.3
김난도의 '아프니까 청춘이다'(22명), 론다 번의 '시크릿'(15명), 하루키의 '상실의 시대'(9명)와 '1Q84'(6명), 코엘료의 '연금술사'(6명) 등으로 나타났다.

김난도의	김난도/NNP+의/JKG
'아프니까	'/SS+아프/VA+니까/EC
청춘이다'(22명),	청춘/NNG+이/VCP+다/EF+'/SS+(/SS+22/SN+명/NNB+)/SS+,/SP
론다	론다/NNP
번의	번/NNP+의/JKG
'시크릿'(15명),	'/SS+시크릿/NNG+'/SS+(/SS+15/SN+명/NNB+)/SS+,/SP
하루키의	하루키/NNP+의/JKG
'상실의	'/SS+상실/NNG+의/JKG
시대'(9명)와	시대/NNG+'/SS+(/SS+9/SN+명/NNB+)/SS+와/JC
'1Q84'(6명),	'/SS+1/SN+Q/SL+84/SN+'/SS+(/SS+6/SN+명/NNB+)/SS+,/SP
코엘료의	코엘료/NNP+의/JKG
'연금술사'(6명)	'/SS+연금술사/NNP+'/SS+(/SS+6/SN+명/NNB+)/SS
등으로	등/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.14.1
또 56%는 "신작이 기대되는 작가가 있다"고 했다.

또	또/MAG
56%는	56/SN+%/SW+는/JX
"신작이	"/SS+신작/NNG+이/JKS
기대되는	기대/NNG+되/XSV+는/ETM
작가가	작가/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.68.14.2
김애란(35명), 히가시노 게이고(31명), 신경숙(26명), 김연수(20명), 공지영(19명), 기욤 뮈소(18명), 하루키(18명), 박민규(18명), 베르나르 베르베르(17명), 알랭 드 보통(17명), 정유정(16명), 김훈(14명), 김진명(13명), 천명관(13명), 김영하(12명) 등이 그 주인공이었다.

김애란(35명),	김애란/NNP+(/SS+35/SN+명/NNB+)/SS+,/SP
히가시노	히가시노/NNP
게이고(31명),	게이고/NNP+(/SS+31/SN+명/NNB+)/SS+,/SP
신경숙(26명),	신경숙/NNP+(/SS+26/SN+명/NNB+)/SS+,/SP
김연수(20명),	김연수/NNP+(/SS+20/SN+명/NNB+)/SS+,/SP
공지영(19명),	공지영/NNP+(/SS+19/SN+명/NNB+)/SS+,/SP
기욤	기욤/NNP
뮈소(18명),	뮈소/NNP+(/SS+18/SN+명/NNB+)/SS+,/SP
하루키(18명),	하루키/NNP+(/SS+18/SN+명/NNB+)/SS+,/SP
박민규(18명),	박민규/NNP+(/SS+18/SN+명/NNB+)/SS+,/SP
베르나르	베르나르/NNP
베르베르(17명),	베르베르/NNP+(/SS+17/SN+명/NNB+)/SS+,/SP
알랭	알랭/NNP
드	드/NNP
보통(17명),	보통/NNP+(/SS+17/SN+명/NNB+)/SS+,/SP
정유정(16명),	정유정/NNP+(/SS+16/SN+명/NNB+)/SS+,/SP
김훈(14명),	김훈/NNP+(/SS+14/SN+명/NNB+)/SS+,/SP
김진명(13명),	김진명/NNP+(/SS+13/SN+명/NNB+)/SS+,/SP
천명관(13명),	천명관/NNP+(/SS+13/SN+명/NNB+)/SS+,/SP
김영하(12명)	김영하/NNP+(/SS+12/SN+명/NNB+)/SS
등이	등/NNB+이/JKS
그	그/MMD
주인공이었다.	주인공/NNG+이/VCP+었/EP+다/EF+./SF


