# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.38
metadata : {}


# id : NWRW1800000045.38.1.1
카드업계 “연말 문화 -레저행사 팍팍 쏩니다”

카드업계	카드업/NNG+계/XSN
신용카드를	신용/NNG+카드/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
공연	공연/NNG
티켓을	티켓/NNG+을/JKO
결제했다.	결제/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.38.4.1
연말이 다가오면 가족 혹은 연인과 문화 레저 활동을 할 일이 잦아진다.

연말이	연말/NNG+이/JKS
다가오면	다가오/VV+면/EC
가족	가족/NNG
혹은	혹은/MAG
연인과	연인/NNG+과/JKB
문화	문화/NNG
레저	레저/NNG
활동을	활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
일이	일/NNG+이/JKS
잦아진다.	잦아지/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.38.4.2
이럴 때 주머니 사정이 여의치 않으면 신용카드사들이 내놓는 갖가지 이벤트에 관심을 가질 만하다.

이럴	이렇/VA+ㄹ/ETM
때	때/NNG
주머니	주머니/NNG
사정이	사정/NNG+이/JKS
여의치	여의하/VA+지/EC
않으면	않/VX+으면/EC
신용카드사들이	신용/NNG+카드사/NNG+들/XSN+이/JKS
내놓는	내놓/VV+는/ETM
갖가지	갖가지/NNG
이벤트에	이벤트/NNG+에/JKB
관심을	관심/NNG+을/JKO
가질	가지/VV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000045.38.5.1
BC카드는 LG아트센터에서 27일 개막하는 뮤지컬 ‘오케피’를 BC카드로 예매하는 고객에 대해 VIP, R, S석 티켓 한 장을 사면 한 장을 더 주는 1+1 혜택을 제공하고 있다.

BC카드는	BC카드/NNP+는/JX
LG아트센터에서	LG아트센터/NNP+에서/JKB
27일	27/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
뮤지컬	뮤지컬/NNG
‘오케피’를	‘/SS+오케피/NNP+’/SS+를/JKO
BC카드로	BC카드/NNP+로/JKB
예매하는	예매/NNG+하/XSV+는/ETM
고객에	고객/NNG+에/JKB
대해	대하/VV+아/EC
VIP,	VIP/SL+,/SP
R,	R/SL+,/SP
S석	S석/NNG
티켓	티켓/NNG
한	한/MMN
장을	장/NNB+을/JKO
사면	사/VV+면/EC
더	더/MAG
주는	주/VV+는/ETM
1+1	1/SN++/SW+1/SN
혜택을	혜택/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.38.5.2
A석 구입자에게는 1만 원 할인을 해준다.

A석	A석/NNG
구입자에게는	구입자/NNG+에게/JKB+는/JX
1만	1/SN+만/NR
원	원/NNB
할인을	할인/NNG+을/JKO
해준다.	하/VV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.38.5.3
또 전국 7개 CGV에서 영화 히말라야 동시 상영회를 진행해 BC카드 사용 실적에 따라 3400쌍(1인 2장)에게 초대권을 준다.

또	또/MAG
전국	전국/NNG
7개	7/SN+개/NNB
CGV에서	CGV/SL+에서/JKB
영화	영화/NNG
히말라야	히말라야/NNP
동시	동시/NNG
상영회를	상영회/NNG+를/JKO
진행해	진행/NNG+하/XSV+아/EC
BC카드	BC카드/NNP
사용	사용/NNG
실적에	실적/NNG+에/JKB
따라	따르/VV+아/EC
3400쌍(1인	3400/SN+쌍/NNG+(/SS+1/SN+인/NNG
2장)에게	2/SN+장/NNB+)/SS+에게/JKB
초대권을	초대/NNG+권/XSN+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.38.6.1
KB국민카드는 국립중앙박물관 극장 ‘용’에서 진행되는 오페라타 뮤지컬 ‘환타지아’를 다음 달 3일까지 국민카드로 예매하면 티켓 값을 50% 할인해 준다.

KB국민카드는	KB국민카드/NNP+는/JX
국립중앙박물관	국립중앙박물관/NNP
극장	극장/NNG
‘용’에서	‘/SS+용/NNP+’/SS+에서/JKB
진행되는	진행/NNG+되/XSV+는/ETM
오페라타	오페라타/NNG
뮤지컬	뮤지컬/NNG
‘환타지아’를	‘/SS+환타지아/NNP+’/SS+를/JKO
다음	다음/NNG
달	달/NNG
3일까지	3/SN+일/NNB+까지/JX
국민카드로	국민카드/NNP+로/JKB
예매하면	예매/NNG+하/XSV+면/EC
티켓	티켓/NNG
값을	값/NNG+을/JKO
50%	50/SN+%/SW
할인해	할인/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.38.6.2
또 이달 27일까지 어린이대공원 와팝홀에서 진행되는 어린이 뮤지컬 ‘최강전사미니특공대’ 티켓을 국민아이행복카드, 국민아이사랑카드, 국민고운맘카드로 예매하면 60% 할인해 준다.

또	또/MAG
이달	이달/NNG
27일까지	27/SN+일/NNB+까지/JX
어린이대공원	어린이대공원/NNP
와팝홀에서	와팝홀/NNP+에서/JKB
진행되는	진행/NNG+되/XSV+는/ETM
어린이	어린이/NNG
뮤지컬	뮤지컬/NNG
‘최강전사미니특공대’	‘/SS+최강전사미니특공대/NNP+’/SS
티켓을	티켓/NNG+을/JKO
국민아이행복카드,	국민아이행복카드/NNP+,/SP
국민아이사랑카드,	국민아이사랑카드/NNP+,/SP
국민고운맘카드로	국민고운맘카드/NNP+로/JKB
예매하면	예매/NNG+하/XSV+면/EC
60%	60/SN+%/SW
할인해	할인/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.38.7.1
삼성카드는 휘닉스파크 스키장에서 삼성카드를 이용하는 고객에 대해 리프트권 등을 최대 40%까지 할인해 준다.

삼성카드는	삼성카드/NNP+는/JX
휘닉스파크	휘닉스파크/NNP
스키장에서	스키장/NNG+에서/JKB
삼성카드를	삼성카드/NNP+를/JKO
이용하는	이용/NNG+하/XSV+는/ETM
고객에	고객/NNG+에/JKB
대해	대하/VV+아/EC
리프트권	리프트/NNG+권/XSN
등을	등/NNB+을/JKO
최대	최대/NNG
40%까지	40/SN+%/SW+까지/JX
할인해	할인/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.38.7.2
리프트권과 장비대여 이용료를 카드 회원 본인 포함해 최대 4명에게 40%까지 할인해 주고 강습료는 본인 포함 4명에게 35% 할인해 준다.

리프트권과	리프트/NNG+권/XSN+과/JC
장비대여	장비/NNG+대여/NNG
이용료를	이용료/NNG+를/JKO
카드	카드/NNG
회원	회원/NNG
본인	본인/NNG
포함해	포함/NNG+하/XSV+아/EC
최대	최대/NNG
4명에게	4/SN+명/NNB+에게/JKB
40%까지	40/SN+%/SW+까지/JX
할인해	할인/NNG+하/XSV+아/EC
주고	주/VX+고/EC
강습료는	강습료/NNG+는/JX
포함	포함/NNG
35%	35/SN+%/SW
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.38.7.3
블루케니언(35% 할인), 볼링장 및 노래방(10%)도 현장에서 할인받을 수 있다.

블루케니언(35%	블루케니언/NNP+(/SS+35/SN+%/SW
할인),	할인/NNG+)/SS+,/SP
볼링장	볼링장/NNG
및	및/MAG
노래방(10%)도	노래방/NNG+(/SS+10/SN+%/SW+)/SS+도/JX
현장에서	현장/NNG+에서/JKB
할인받을	할인/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.38.7.4
삼성카드는 비발디파크 이용 고객에게도 눈썰매장을 포함해 최대 30%의 이용료를 할인해 준다.

삼성카드는	삼성카드/NNP+는/JX
비발디파크	비발디파크/NNP
이용	이용/NNG
고객에게도	고객/NNG+에게/JKB+도/JX
눈썰매장을	눈썰매장/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
최대	최대/NNG
30%의	30/SN+%/SW+의/JKG
이용료를	이용료/NNG+를/JKO
할인해	할인/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.38.8.1
NH농협카드는 용평리조트, 오크밸리, 웰리힐리파크, 휘닉스파크 등 전국 주요 스키장에서 고객이 농협카드로 결제하면 리프트권, 스키강습 등을 최대 60%까지 할인해 준다.

NH농협카드는	NH농협카드/NNP+는/JX
용평리조트,	용평리조트/NNP+,/SP
오크밸리,	오크밸리/NNP+,/SP
웰리힐리파크,	웰리힐리파크/NNP+,/SP
휘닉스파크	휘닉스파크/NNP
등	등/NNB
전국	전국/NNG
주요	주요/NNG
스키장에서	스키장/NNG+에서/JKB
고객이	고객/NNG+이/JKS
농협카드로	농협카드/NNP+로/JKB
결제하면	결제/NNG+하/XSV+면/EC
리프트권,	리프트/NNG+권/XSN+,/SP
스키강습	스키/NNG+강습/NNG
등을	등/NNB+을/JKO
최대	최대/NNG
60%까지	60/SN+%/SW+까지/JX
할인해	할인/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.38.8.2
5만 원 이상 결제하는 고객에게는 사은품(핸드크림)도 준다.

5만	5/SN+만/NR
원	원/NNB
이상	이상/NNG
결제하는	결제/NNG+하/XSV+는/ETM
고객에게는	고객/NNG+에게/JKB+는/JX
사은품(핸드크림)도	사은품/NNG+(/SS+핸드크림/NNG+)/SS+도/JX
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.38.8.3
여행에 앞서 차량 정비를 계획 중인 고객을 위해 농협카드 홈페이지에서 출력한 할인쿠폰을 스피드메이트에 내면 엔진오일 2만 원, 부동액 1만 원을 할인받을 수 있다.

여행에	여행/NNG+에/JKB
앞서	앞서/VV+어/EC
차량	차량/NNG
정비를	정비/NNG+를/JKO
계획	계획/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
고객을	고객/NNG+을/JKO
위해	위하/VV+아/EC
농협카드	농협카드/NNP
홈페이지에서	홈페이지/NNG+에서/JKB
출력한	출력/NNG+하/XSV+ㄴ/ETM
할인쿠폰을	할인/NNG+쿠폰/NNG+을/JKO
스피드메이트에	스피드메이트/NNP+에/JKB
내면	내/VV+면/EC
엔진오일	엔진/NNG+오일/NNG
2만	2/SN+만/NR
원,	원/NNB+,/SP
부동액	부동액/NNG
1만	1/SN+만/NR
원을	원/NNB+을/JKO
할인받을	할인/NNG+받/XSV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


