# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.397
metadata : {}


# id : NWRW1800000033.397.1.1
[수도권]집앞까지 찾아오는… 병원 안 부러운 보건소

[수도권]집앞까지	[/SS+수도/NNG+권/XSN+]/SS+집/NNG+앞/NNG+까지/JX
찾아가는 보건소는 아파트 공터나 주변 둘레길, 인근 학교 운동장에 부스를 설치하고 각종 건강 프로그램을 제공한다.

찾아가는	찾아가/VV+는/ETM
보건소는	보건소/NNG+는/JX
아파트	아파트/NNG
공터나	공터/NNG+나/JC
주변	주변/NNG
둘레길,	둘레/NNG+길/NNG+,/SP
인근	인근/NNG
학교	학교/NNG
운동장에	운동장/NNG+에/JKB
부스를	부스/NNG+를/JKO
설치하고	설치/NNG+하/XSV+고/EC
각종	각종/NNG
건강	건강/NNG
프로그램을	프로그램/NNG+을/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.397.5.5
각종 검사는 물론이고 절주·금연 클리닉을 비롯해 천연비누 만들기 등 체험 프로그램도 진행한다.

각종	각종/NNG
검사는	검사/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
절주·금연	절주/NNG+·/SP+금연/NNG
클리닉을	클리닉/NNG+을/JKO
비롯해	비롯하/VV+아/EC
천연비누	천연/NNG+비누/NNG
만들기	만들/VV+기/ETN
등	등/NNB
체험	체험/NNG
프로그램도	프로그램/NNG+도/JX
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.397.6.1
구 보건소에 따르면 지난해부터 건강관리 프로그램에 참여하는 5개 아파트 주민의 평균 비만율은 지난해 20%에서 올해 17.3%로 감소한 것으로 나타났다.

구	구/NNG
보건소에	보건소/NNG+에/JKB
따르면	따르/VV+면/EC
지난해부터	지난해/NNG+부터/JX
건강관리	건강/NNG+관리/NNG
프로그램에	프로그램/NNG+에/JKB
참여하는	참여/NNG+하/XSV+는/ETM
5개	5/SN+개/NNB
아파트	아파트/NNG
주민의	주민/NNG+의/JKG
평균	평균/NNG
비만율은	비만/NNG+율/XSN+은/JX
지난해	지난해/NNG
20%에서	20/SN+%/SW+에서/JKB
올해	올해/NNG
17.3%로	17/SN+./SP+3/SN+%/SW+로/JKB
감소한	감소/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.397.6.2
대사증후군 관리대상자 비율 역시 지난해 50.2%에서 올해 38.2%로 줄었다.

대사증후군	대사/NNG+증후군/NNG
관리대상자	관리/NNG+대상자/NNG
비율	비율/NNG
역시	역시/MAG
지난해	지난해/NNG
50.2%에서	50/SN+./SP+2/SN+%/SW+에서/JKB
올해	올해/NNG
38.2%로	38/SN+./SP+2/SN+%/SW+로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.397.6.3
서초구 보건소 건강도시추진팀 02-2155-8051

서초구	서초구/NNP
보건소	보건소/NNG
건강도시추진팀	건강/NNG+도시/NNG+추진/NNG+팀/NNG
02-2155-8051	02/SN+-/SO+2155/SN+-/SO+8051/SN


