# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.126
metadata : {}


# id : NWRW1800000040.126.1.1
BBC, 낸시 랭 ‘팝아트 공연’ 취소

BBC,	BBC/SL+,/SP
낸시 랭은 최근 인터뷰에서 “<비비시>가 공식 초청 연락을 해왔다.

낸시	낸시/NNP
랭은	랭/NNP+은/JX
최근	최근/MAG
인터뷰에서	인터뷰/NNG+에서/JKB
“<비비시>가	“/SS+</SS+비비시/NNP+>/SS+가/JKS
공식	공식/NNG
초청	초청/NNG
연락을	연락/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.126.7.4
다음달 8일께 영국으로 출국한다”고 밝혔었다.

다음달	다음/NNG+달/NNG
8일께	8/SN+일/NNB+께/XSN
영국으로	영국/NNP+으로/JKB
출국한다”고	출국/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔었다.	밝히/VV+었었/EP+다/EF+./SF


# id : NWRW1800000040.126.8.1
앞서 변희재 대표는 지난 16일 자신의 트위터에 “낸시 랭의 돌아가셨다던 아버지가 생존해 있다”고 적고 ‘낸시 랭의 아버지’라며 사진과 영상을 공개했다.

앞서	앞서/MAG
변희재	변희재/NNP
대표는	대표/NNG+는/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
자신의	자신/NNG+의/JKG
트위터에	트위터/NNP+에/JKB
“낸시	“/SS+낸시/NNP
랭의	랭/NNP+의/JKG
돌아가셨다던	돌아가/VV+시/EP+었/EP+다던/ETM
아버지가	아버지/NNG+가/JKS
생존해	생존/NNG+하/XSV+아/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
적고	적/VV+고/EC
‘낸시	‘/SS+낸시/NNP
아버지’라며	아버지/NNG+’/SS+이/VCP+라며/EC
사진과	사진/NNG+과/JC
영상을	영상/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.126.8.2
낸시 랭은 변 대표의 주장에 “남의 아픈 가정사를 건드리지 말라.

낸시	낸시/NNP
랭은	랭/NNP+은/JX
변	변/NNP
대표의	대표/NNG+의/JKG
주장에	주장/NNG+에/JKB
“남의	“/SS+남/NNG+의/JKG
아픈	아프/VA+ㄴ/ETM
가정사를	가정사/NNG+를/JKO
건드리지	건드리/VV+지/EC
말라.	말/VX+라/EF+./SF


# id : NWRW1800000040.126.8.3
<비비시>에 인신공격과 욕설 등 공연 취소 민원을, 그쪽 업무가 마비될 정도로 넣고 있다.

<비비시>에	</SS+비비시/NNP+>/SS+에/JKB
인신공격과	인신공격/NNG+과/JC
욕설	욕설/NNG
등	등/NNB
공연	공연/NNG
취소	취소/NNG
민원을,	민원/NNG+을/JKO+,/SP
그쪽	그쪽/NP
업무가	업무/NNG+가/JKS
마비될	마비/NNG+되/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
넣고	넣/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.126.8.4
국제 망신은 당신들이 시키고 있으니 당장 멈춰달라”며 불쾌감을 드러냈다.

국제	국제/NNG
망신은	망신/NNG+은/JX
당신들이	당신/NP+들/XSN+이/JKS
시키고	시키/VV+고/EC
있으니	있/VX+으니/EC
당장	당장/NNG
멈춰달라”며	멈추/VV+어/EC+달/VX+라/EF+”/SS+며/EC
불쾌감을	불쾌감/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


