# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.230
metadata : {}


# id : NWRW1800000049.230.1.1
강정호, 성폭행 혐의에도 출전… 7회 결승타

강정호,	강정호/NNP+,/SP
한국프로야구도 원칙적으로 사법 처리 결과에 따라 징계 여부를 정하고 있지만 야구규약에 품위 손상 행위 관련 조항(151조)을 넣어 인종차별, 가정폭력, 성폭력 등 경기 외적인 행위와 관련해 선수들이 사회적 물의를 일으킨 경우 실격처분, 직무정지 등의 처분을 하고 있다.

한국프로야구도	한국/NNP+프로/NNG+야구/NNG+도/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
사법	사법/NNG
처리	처리/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
징계	징계/NNG
여부를	여부/NNG+를/JKO
정하고	정하/VV+고/EC
있지만	있/VX+지만/EC
야구규약에	야구/NNG+규약/NNG+에/JKB
품위	품위/NNG
손상	손상/NNG
행위	행위/NNG
관련	관련/NNG
조항(151조)을	조항/NNG+(/SS+151/SN+조/NNB+)/SS+을/JKO
넣어	넣/VV+어/EC
인종차별,	인종/NNG+차별/NNG+,/SP
가정폭력,	가정/NNG+폭력/NNG+,/SP
성폭력	성폭력/NNG
등	등/NNB
경기	경기/NNG
외적인	외/NNB+적/XSN+이/VCP+ㄴ/ETM
행위와	행위/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
선수들이	선수/NNG+들/XSN+이/JKS
사회적	사회/NNG+적/XSN
물의를	물의/NNG+를/JKO
일으킨	일으키/VV+ㄴ/ETM
경우	경우/NNG
실격처분,	실격/NNG+처분/NNG+,/SP
직무정지	직무/NNG+정지/NNG
등의	등/NNB+의/JKG
처분을	처분/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.230.5.3
지난해 소셜네트워크서비스(SNS) 관련 물의를 일으킨 kt 장성우에 대해 법원의 판결에 앞서 구단은 50경기 출장정지 징계를 내렸다.

지난해	지난해/NNG
소셜네트워크서비스(SNS)	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS
관련	관련/NNG
물의를	물의/NNG+를/JKO
일으킨	일으키/VV+ㄴ/ETM
kt	kt/SL
장성우에	장성우/NNP+에/JKB
대해	대하/VV+아/EC
법원의	법원/NNG+의/JKG
판결에	판결/NNG+에/JKB
앞서	앞서/VV+어/EC
구단은	구단/NNG+은/JX
50경기	50/SN+경기/NNG
출장정지	출장/NNG+정지/NNG
징계를	징계/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.230.5.4
국내 구단의 한 관계자는 “팬들의 여론 등 사회적 반응을 무시하기 어려운 국내 현실 때문에 징계를 서둘러 할 수밖에 없다”고 말했다.

국내	국내/NNG
구단의	구단/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“팬들의	“/SS+팬/NNG+들/XSN+의/JKG
여론	여론/NNG
등	등/NNB
사회적	사회/NNG+적/XSN
반응을	반응/NNG+을/JKO
무시하기	무시/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
현실	현실/NNG
때문에	때문/NNB+에/JKB
징계를	징계/NNG+를/JKO
서둘러	서두르/VV+어/EC
할	하/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.230.5.5
도박 혐의로 경찰 수사를 받은 삼성 윤성환과 안지만이 수사 결과가 발표되지 않은 상황에도 시즌 초 한동안 경기에 나서지 못한 것도 같은 이유다.

도박	도박/NNG
혐의로	혐의/NNG+로/JKB
경찰	경찰/NNG
수사를	수사/NNG+를/JKO
받은	받/VV+은/ETM
삼성	삼성/NNP
윤성환과	윤성환/NNP+과/JC
안지만이	안지만/NNP+이/JKS
수사	수사/NNG
결과가	결과/NNG+가/JKS
발표되지	발표/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
상황에도	상황/NNG+에/JKB+도/JX
시즌	시즌/NNG
초	초/NNB
한동안	한/XPN+동안/NNG
경기에	경기/NNG+에/JKB
나서지	나서/VV+지/EC
못한	못하/VX+ㄴ/ETM
것도	것/NNB+도/JX
같은	같/VA+은/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.230.6.1
팬들의 의견은 팽팽했다.

팬들의	팬/NNG+들/XSN+의/JKG
의견은	의견/NNG+은/JX
팽팽했다.	팽팽하/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.230.6.2
피츠버그 지역 방송사인 WTAE-TV가 실시한 ‘성폭행 혐의로 조사를 받는 강정호의 출전을 허용해야 하는가’란 설문조사에서 7일 오후 10시 30분 현재 응답자 1만1460명 중 52%가 출전을 반대했고, 48%는 찬성했다.

피츠버그	피츠버그/NNP
지역	지역/NNG
방송사인	방송사/NNG+이/VCP+ㄴ/ETM
WTAE-TV가	WTAE/SL+-/SO+TV/SL+가/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
‘성폭행	‘/SS+성폭행/NNG
혐의로	혐의/NNG+로/JKB
조사를	조사/NNG+를/JKO
받는	받/VV+는/ETM
강정호의	강정호/NNP+의/JKG
출전을	출전/NNG+을/JKO
허용해야	허용/NNG+하/XSV+아야/EC
하는가’란	하/VX+는가/EF+’/SS+이/VCP+란/ETM
설문조사에서	설문/NNG+조사/NNG+에서/JKB
7일	7/SN+일/NNB
오후	오후/NNG
10시	10/SN+시/NNB
30분	30/SN+분/NNB
현재	현재/MAG
응답자	응답자/NNG
1만1460명	1/SN+만/NR+1460/SN+명/NNB
중	중/NNB
52%가	52/SN+%/SW+가/JKS
반대했고,	반대/NNG+하/XSV+았/EP+고/EC+,/SP
48%는	48/SN+%/SW+는/JX
찬성했다.	찬성/NNG+하/XSV+았/EP+다/EF+./SF


