# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.385
metadata : {}


# id : NWRW1800000041.385.1.1
[수도권]“강남 4구 2015년 재건축發 전세대란 우려”

[수도권]“강남	[/SS+수도/NNG+권/XSN+]/SS+“/SS+강남/NNP
단지라도	단지/NNG+이/VCP+라도/EC
다른	다른/MMD
정비구역과	정비/NNG+구역/NNG+과/JKB
이주	이주/NNG
시기가	시기/NNG+가/JKS
겹치면	겹치/VV+면/EC
심의를	심의/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.385.5.3
현재는 정비구역 주택 수가 2000채를 초과해야만 심의를 통해 관리처분인가 시기를 조정할 수 있다.

현재는	현재/NNG+는/JX
정비구역	정비/NNG+구역/NNG
주택	주택/NNG
수가	수/NNG+가/JKS
2000채를	2000/SN+채/NNB+를/JKO
초과해야만	초과/NNG+하/XSV+아야/EC+만/JX
심의를	심의/NNG+를/JKO
통해	통하/VV+아/EC
관리처분인가	관리/NNG+처분/NNG+인가/NNG
시기를	시기/NNG+를/JKO
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.385.6.1
대량 이주에 따른 주택 공급량 부족, 전세가 상승 등에 대응하기 위해 자치구와 재건축 조합과 협력해 재건축사업 모니터링 체계를 구축하기로 했다.

대량	대량/NNG
이주에	이주/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
주택	주택/NNG
공급량	공급량/NNG
부족,	부족/NNG+,/SP
전세가	전세/NNG+가/XSN
상승	상승/NNG
등에	등/NNB+에/JKB
대응하기	대응/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
자치구와	자치구/NNG+와/JC
재건축	재/XPN+건축/NNG
조합과	조합/NNG+과/JKB
협력해	협력/NNG+하/XSV+아/EC
재건축사업	재/XPN+건축/NNG+사업/NNG
모니터링	모니터링/NNG
체계를	체계/NNG+를/JKO
구축하기로	구축/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.385.6.2
주민들이 강남 4구 인근 지역 부동산 정보를 쉽게 알 수 있도록 ‘서울 부동산정보광장’ 홈페이지에 강남 4구와 인접한 경기 하남시, 성남시 등의 분양·임대주택 공급 물량과 입주 시기 정보를 추가로 제공한다.

주민들이	주민/NNG+들/XSN+이/JKS
강남	강남/NNP
4구	4/SN+구/NNG
인근	인근/NNG
지역	지역/NNG
부동산	부동산/NNG
정보를	정보/NNG+를/JKO
쉽게	쉽/VA+게/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
‘서울	‘/SS+서울/NNP
부동산정보광장’	부동산/NNG+정보/NNG+광장/NNG+’/SS
홈페이지에	홈페이지/NNG+에/JKB
4구와	4/SN+구/NNG+와/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
경기	경기/NNP
하남시,	하남시/NNP+,/SP
성남시	성남시/NNP
등의	등/NNB+의/JKG
분양·임대주택	분양/NNG+·/SP+임대/NNG+주택/NNG
공급	공급/NNG
물량과	물량/NNG+과/JC
입주	입주/NNG
시기	시기/NNG
추가로	추가/NNG+로/JKB
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.385.6.3
또 개포동, 일원동, 고덕동, 상일동 등을 중심으로 다가구 매입임대, 전세임대 등 공공임대 물량을 늘려 가기로 했다.

또	또/MAG
개포동,	개포동/NNP+,/SP
일원동,	일원동/NNP+,/SP
고덕동,	고덕동/NNP+,/SP
상일동	상일동/NNP
등을	등/NNB+을/JKO
중심으로	중심/NNG+으로/JKB
다가구	다가구/NNG
매입임대,	매입/NNG+임대/NNG+,/SP
전세임대	전세/NNG+임대/NNG
등	등/NNB
공공임대	공공/NNG+임대/NNG
물량을	물량/NNG+을/JKO
늘려	늘리/VV+어/EC
가기로	가/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


