# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.323
metadata : {}


# id : NWRW1800000037.323.1.1
3D업종서 주 45시간 일하고 월 100만원 소득

3D업종서	3/SN+D/SL+업종/NNG+서/JKB
# id : NWRW1800000037.323.4.1
A 씨는 북한에서 한국의 중고교에 해당하는 고등중학교까지 졸업했다.

A	A/SL
씨는	씨/NNB+는/JX
북한에서	북한/NNP+에서/JKB
한국의	한국/NNP+의/JKG
중고교에	중고교/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
고등중학교까지	고등중학교/NNG+까지/JX
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.323.4.2
북한 실정에 비추어 결코 뒤떨어지는 학벌이 아니었다.

북한	북한/NNP
실정에	실정/NNG+에/JKB
비추어	비추/VV+어/EC
결코	결코/MAG
뒤떨어지는	뒤떨어지/VV+는/ETM
학벌이	학벌/NNG+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000037.323.4.3
A 씨는 일한 만큼 소득을 얻으니 북한에서 살 때보다는 좋다고 생각하지만 경제적으로 어렵다 보니 ‘한국인의 삶’이 만족스럽지만은 않다.

A	A/SL
씨는	씨/NNB+는/JX
일한	일/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
소득을	소득/NNG+을/JKO
얻으니	얻/VV+으니/EC
북한에서	북한/NNP+에서/JKB
살	살/VV+ㄹ/ETM
때보다는	때/NNG+보다/JKB+는/JX
좋다고	좋/VA+다고/EC
생각하지만	생각/NNG+하/XSV+지만/EC
경제적으로	경제/NNG+적/XSN+으로/JKB
어렵다	어렵/VA+다/EC
보니	보/VX+니/EC
‘한국인의	‘/SS+한국인/NNG+의/JKG
삶’이	삶/NNG+’/SS+이/JKS
만족스럽지만은	만족/NNG+스럽/XSA+지/EC+만/JX+은/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000037.323.5.1
A 씨는 북한이탈주민지원재단이 2011년 성인 탈북자 7650명을 대상으로 실시한 생활실태조사를 토대로 꾸며낸 가상의 인물.

A	A/SL
씨는	씨/NNB+는/JX
북한이탈주민지원재단이	북한이탈주민지원재단/NNP+이/JKS
2011년	2011/SN+년/NNB
성인	성인/NNG
탈북자	탈북자/NNG
7650명을	7650/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
생활실태조사를	생활/NNG+실태/NNG+조사/NNG+를/JKO
토대로	토대/NNG+로/JKB
꾸며낸	꾸미/VV+어/EC+내/VX+ㄴ/ETM
가상의	가상/NNG+의/JKG
인물.	인물/NNG+./SF


# id : NWRW1800000037.323.5.2
조사에서 각 항목 중 가장 비중이 높게 나타난 내용을 묶어 그려본 대한민국 평균 수준 탈북자의 삶이다.

조사에서	조사/NNG+에서/JKB
각	각/MMD
항목	항목/NNG
중	중/NNB
가장	가장/MAG
비중이	비중/NNG+이/JKS
높게	높/VA+게/EC
나타난	나타나/VV+ㄴ/ETM
내용을	내용/NNG+을/JKO
묶어	묶/VV+어/EC
그려본	그리/VV+어/EC+보/VX+ㄴ/ETM
대한민국	대한민국/NNP
평균	평균/NNG
수준	수준/NNG
탈북자의	탈북자/NNG+의/JKG
삶이다.	삶/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.323.5.3
탈북자 중 여성의 비중은 꾸준히 증가해 2006년 이후 매년 70% 이상을 차지했다.

탈북자	탈북자/NNG
중	중/NNB
여성의	여성/NNG+의/JKG
비중은	비중/NNG+은/JX
꾸준히	꾸준히/MAG
증가해	증가/NNG+하/XSV+아/EC
2006년	2006/SN+년/NNB
이후	이후/NNG
매년	매년/MAG
70%	70/SN+%/SW
이상을	이상/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.323.5.4
연령대별로는 30대가 가장 많다.

연령대별로는	연령대/NNG+별/XSN+로/JKB+는/JX
30대가	30/SN+대/NNB+가/JKS
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.323.5.5
지난해 7월까지 입국한 탈북자 2만3879명 중 31%를 차지했다.

지난해	지난해/NNG
7월까지	7/SN+월/NNB+까지/JX
입국한	입국/NNG+하/XSV+ㄴ/ETM
탈북자	탈북자/NNG
2만3879명	2/SN+만/NR+3879/SN+명/NNB
중	중/NNB
31%를	31/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.323.5.6
한국에 정착한 탈북자는 국경과 인접한 함경북도 출신(64%)이 가장 많다.

한국에	한국/NNP+에/JKB
정착한	정착/NNG+하/XSV+ㄴ/ETM
탈북자는	탈북자/NNG+는/JX
국경과	국경/NNG+과/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
함경북도	함경북도/NNP
출신(64%)이	출신/NNG+(/SS+64/SN+%/SW+)/SS+이/JKS
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.323.6.1
조사에 응한 탈북자 중 절반 이상(50.7%)이 배고픔과 경제난 탓에 탈북했다고 밝혔다.

조사에	조사/NNG+에/JKB
응한	응하/VV+ㄴ/ETM
탈북자	탈북자/NNG
중	중/NNB
절반	절반/NNG
이상(50.7%)이	이상/NNG+(/SS+50/SN+./SP+7/SN+%/SW+)/SS+이/JKS
배고픔과	배고픔/NNG+과/JC
경제난	경제난/NNG
탓에	탓/NNG+에/JKB
탈북했다고	탈북/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.323.6.2
북한에서 겪은 배고픔은 사라졌지만 한국에서 취업한 탈북자 상당수(66.3%)가 월평균 소득 51만∼150만 원의 열악한 경제상황에 처해 있다.

북한에서	북한/NNP+에서/JKB
겪은	겪/VV+은/ETM
배고픔은	배고픔/NNG+은/JX
사라졌지만	사라지/VV+었/EP+지만/EC
한국에서	한국/NNP+에서/JKB
취업한	취업/NNG+하/XSV+ㄴ/ETM
탈북자	탈북자/NNG
상당수(66.3%)가	상당수/NNG+(/SS+66/SN+./SP+3/SN+%/SW+)/SS+가/JKS
월평균	월평균/NNG
소득	소득/NNG
51만∼150만	51/SN+만/NR+∼/SO+150/SN+만/NR
원의	원/NNB+의/JKG
열악한	열악하/VA+ㄴ/ETM
경제상황에	경제/NNG+상황/NNG+에/JKB
처해	처하/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.323.6.3
같은 해 고용노동부가 발표한 5인 이상 사업체의 상용직 직원 평균 월급인 301만 원에 훨씬 못 미치는 액수다.

같은	같/VA+은/ETM
해	해/NNG
고용노동부가	고용/NNG+노동부/NNG+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
5인	5/SN+인/NNG
이상	이상/NNG
사업체의	사업체/NNG+의/JKG
상용직	상용직/NNG
직원	직원/NNG
평균	평균/NNG
월급인	월급/NNG+이/VCP+ㄴ/ETM
301만	301/SN+만/NR
원에	원/NNB+에/JKB
훨씬	훨씬/MAG
못	못/MAG
미치는	미치/VV+는/ETM
액수다.	액수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.323.6.4
취업자 중 58.6%가 이직을 해본 적이 있다고 답한 배경이다.

취업자	취업자/NNG
중	중/NNB
58.6%가	58/SN+./SP+6/SN+%/SW+가/JKS
이직을	이직/NNG+을/JKO
해본	하/VV+아/EC+보/VX+ㄴ/ETM
적이	적/NNB+이/JKS
있다고	있/VA+다고/EC
답한	답/NNG+하/XSV+ㄴ/ETM
배경이다.	배경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.323.6.5
탈북자에겐 저임금의 힘든 일자리가 주어진다.

탈북자에겐	탈북자/NNG+에게/JKB+ㄴ/JX
저임금의	저/XPN+임금/NNG+의/JKG
힘든	힘들/VA+ㄴ/ETM
일자리가	일자리/NNG+가/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


