# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.248
metadata : {}


# id : NWRW1800000038.248.1.1
던질 때마다 "류현진! 류현진!"… 敵地 토론토가 들썩

던질	던지/VV+ㄹ/ETM
경기장에서 가장 많이 불린 이름은 홈팀의 강타자 에드윈 엔카나시온이나 다저스의 떠오르는 별 야시엘 푸이그가 아니라 원정팀 다저스의 선발투수 류현진이었다.

경기장에서	경기장/NNG+에서/JKB
가장	가장/MAG
많이	많이/MAG
불린	불리/VV+ㄴ/ETM
이름은	이름/NNG+은/JX
홈팀의	홈팀/NNG+의/JKG
강타자	강타자/NNG
에드윈	에드윈/NNP
엔카나시온이나	엔카나시온/NNP+이나/JC
다저스의	다저스/NNP+의/JKG
떠오르는	떠오르/VV+는/ETM
별	별/NNG
야시엘	야시엘/NNP
푸이그가	푸이그/NNP+가/JKC
아니라	아니/VCN+라/EC
원정팀	원정/NNG+팀/NNG
선발투수	선발/NNG+투수/NNG
류현진이었다.	류현진/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.248.5.1
이날 로저스센터에는 수천명의 교민이 류현진의 선발 등판을 보러 왔다.

이날	이날/NNG
로저스센터에는	로저스센터/NNP+에/JKB+는/JX
수천명의	수천/NR+명/NNB+의/JKG
교민이	교민/NNG+이/JKS
류현진의	류현진/NNP+의/JKG
선발	선발/NNG
등판을	등판/NNG+을/JKO
보러	보/VV+러/EC
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.248.5.2
외야나 1루 원정 응원석에 자리해 류현진의 투구마다 그의 이름을 연호했다.

외야나	외야/NNG+나/JC
1루	1루/NNG
원정	원정/NNG
응원석에	응원석/NNG+에/JKB
자리해	자리/NNG+하/XSV+아/EC
류현진의	류현진/NNP+의/JKG
투구마다	투구/NNG+마다/JX
그의	그/NP+의/JKG
이름을	이름/NNG+을/JKO
연호했다.	연호/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.248.5.3
태극기와 한글 응원 문구가 적힌 피켓을 흔드는 이도 많았다.

태극기와	태극기/NNG+와/JC
한글	한글/NNG
응원	응원/NNG
문구가	문구/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
피켓을	피켓/NNG+을/JKO
흔드는	흔들/VV+는/ETM
이도	이/NNB+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.248.5.4
이 중엔 토론토 현지 한국 여행사의 웹사이트를 통해 모집된 1000여명의 단체 응원단도 포함돼 있었다.

이	이/MMD
중엔	중/NNB+에/JKB+ㄴ/JX
토론토	토론토/NNP
현지	현지/NNG
한국	한국/NNP
여행사의	여행사/NNG+의/JKG
웹사이트를	웹/NNG+사이트/NNG+를/JKO
통해	통하/VV+아/EC
모집된	모집/NNG+되/XSV+ㄴ/ETM
1000여명의	1000/SN+여/XSN+명/NNB+의/JKG
단체	단체/NNG
응원단도	응원단/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.248.5.5
야후스포츠는 "한국의 스타 류현진이 토론토에서 푸이그를 제치고 최고의 스포트라이트를 받았다"고 전했다.

야후스포츠는	야후스포츠/NNP+는/JX
"한국의	"/SS+한국/NNP+의/JKG
스타	스타/NNG
류현진이	류현진/NNP+이/JKS
토론토에서	토론토/NNP+에서/JKB
푸이그를	푸이그/NNP+를/JKO
제치고	제치/VV+고/EC
최고의	최고/NNG+의/JKG
스포트라이트를	스포트라이트/NNG+를/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.248.6.1
열띤 응원 때문에 해프닝이 벌어지기도 했다.

열띤	열띠/VA+ㄴ/ETM
응원	응원/NNG
때문에	때문/NNB+에/JKB
해프닝이	해프닝/NNG+이/JKS
벌어지기도	벌어지/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.248.6.2
야후스포츠는 "경기 도중 캐나다 현지 관중이 "류현진"을 'USA'로 잘못 알아듣곤 한국 관중이 미국을 응원한다고 착각해 야유를 보내는 일도 있었다"고 소개했다.

야후스포츠는	야후스포츠/NNP+는/JX
"경기	"/SS+경기/NNG
도중	도중/NNG
캐나다	캐나다/NNP
현지	현지/NNG
관중이	관중/NNG+이/JKS
"류현진"을	"/SS+류현진/NNP+"/SS+을/JKO
'USA'로	'/SS+USA/SL+'/SS+로/JKB
잘못	잘못/MAG
알아듣곤	알아듣/VV+곤/EC
한국	한국/NNP
미국을	미국/NNP+을/JKO
응원한다고	응원/NNG+하/XSV+ㄴ다고/EC
착각해	착각/NNG+하/XSV+아/EC
야유를	야유/NNG+를/JKO
보내는	보내/VV+는/ETM
일도	일/NNG+도/JX
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.248.6.3
경기를 중계하던 캐스터는 류현진이 1회말 첫 타자 호세 레이예스를 잡아낸 뒤 환호성이 쏟아지자 "여기가 잠시 어딘지 잊어버렸다"고 말하기도 했다.

경기를	경기/NNG+를/JKO
중계하던	중계/NNG+하/XSV+던/ETM
캐스터는	캐스터/NNG+는/JX
류현진이	류현진/NNP+이/JKS
1회말	1/SN+회/NNB+말/NNB
첫	첫/MMN
타자	타자/NNG
호세	호세/NNP
레이예스를	레이예스/NNP+를/JKO
잡아낸	잡아내/VV+ㄴ/ETM
뒤	뒤/NNG
환호성이	환호성/NNG+이/JKS
쏟아지자	쏟아지/VV+자/EC
"여기가	"/SS+여기/NP+가/JKS
잠시	잠시/MAG
어딘지	어디/NP+이/VCP+ㄴ지/EC
잊어버렸다"고	잊어버리/VV+었/EP+다/EF+"/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.248.7.1
토론토는 약 20만명의 교민이 사는 북미(北美) 최대 한인 거주 지역 가운데 하나다.

토론토는	토론토/NNP+는/JX
약	약/MMA
20만명의	20/SN+만/NR+명/NNB+의/JKG
교민이	교민/NNG+이/JKS
사는	살/VV+는/ETM
북미(北美)	북미/NNP+(/SS+北美/SH+)/SS
최대	최대/NNG
한인	한인/NNG
거주	거주/NNG
지역	지역/NNG
가운데	가운데/NNG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000038.248.7.2
류현진이 토론토에서 선발 등판한다는 소식이 전해지자 교민 사회가 분주히 움직였다.

류현진이	류현진/NNP+이/JKS
토론토에서	토론토/NNP+에서/JKB
선발	선발/NNG
등판한다는	등판/NNG+하/XSV+ㄴ다는/ETM
소식이	소식/NNG+이/JKS
전해지자	전하/VV+아/EC+지/VX+자/EC
교민	교민/NNG
사회가	사회/NNG+가/JKS
분주히	분주히/MAG
움직였다.	움직이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.248.7.3
토론토에서 한국인 투수가 마운드에 오른 것은 2007년 5월 서재응(당시 탬파베이) 이후 6년여 만이다.

토론토에서	토론토/NNP+에서/JKB
한국인	한국인/NNG
투수가	투수/NNG+가/JKS
마운드에	마운드/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것은	것/NNB+은/JX
2007년	2007/SN+년/NNB
5월	5/SN+월/NNB
서재응(당시	서재응/NNP+(/SS+당시/NNG
탬파베이)	탬파베이/NNP+)/SS
이후	이후/NNG
6년여	6/SN+년/NNB+여/XSN
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.248.7.4
메이저리그 124승을 올린 박찬호 역시 몬트리올에서는 6차례 선발 등판했지만 아메리칸리그인 토론토에서는 선발 등판한 적이 없다.

메이저리그	메이저리그/NNG
124승을	124/SN+승/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
박찬호	박찬호/NNP
역시	역시/MAG
몬트리올에서는	몬트리올/NNP+에서/JKB+는/JX
6차례	6/SN+차례/NNG
선발	선발/NNG
등판했지만	등판/NNG+하/XSV+았/EP+지만/EC
아메리칸리그인	아메리칸/NNP+리그/NNG+이/VCP+ㄴ/ETM
토론토에서는	토론토/NNP+에서/JKB+는/JX
등판한	등판/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.248.7.5
소속 리그가 다른 다저스(내셔널리그)와 블루제이스(아메리칸리그)는 2007년 이후 6년 만에 토론토에서 맞붙었고, 앞으로도 언제 맞대결을 펼칠지 미지수다.

소속	소속/NNG
리그가	리그/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
다저스(내셔널리그)와	다저스/NNP+(/SS+내셔널리그/NNG+)/SS+와/JC
블루제이스(아메리칸리그)는	블루제이스/NNP+(/SS+아메리칸/NNP+리그/NNG+)/SS+는/JX
2007년	2007/SN+년/NNB
이후	이후/NNG
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
토론토에서	토론토/NNP+에서/JKB
맞붙었고,	맞붙/VV+었/EP+고/EC+,/SP
앞으로도	앞/NNG+으로/JKB+도/JX
언제	언제/MAG
맞대결을	맞대결/NNG+을/JKO
펼칠지	펼치/VV+ㄹ지/EC
미지수다.	미지수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.248.7.6
좀처럼 보기 힘든 기회를 놓치지 않으려 일주일 전부터 표를 예매하거나 인터넷 사이트에서 공동 구매하는 교민이 많았다.

좀처럼	좀처럼/MAG
보기	보/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
기회를	기회/NNG+를/JKO
놓치지	놓치/VV+지/EC
않으려	않/VX+으려/EC
일주일	일주일/NNG
전부터	전/NNG+부터/JX
표를	표/NNG+를/JKO
예매하거나	예매/NNG+하/XSV+거나/EC
인터넷	인터넷/NNG
사이트에서	사이트/NNG+에서/JKB
공동	공동/NNG
구매하는	구매/NNG+하/XSV+는/ETM
교민이	교민/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.248.8.1
로저스센터는 올 시즌 평균(3만1884명)보다 많은 3만4515명의 관중이 입장했다.

로저스센터는	로저스센터/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
평균(3만1884명)보다	평균/NNG+(/SS+3/SN+만/NR+1884/SN+명/NNB+)/SS+보다/JKB
많은	많/VA+은/ETM
3만4515명의	3/SN+만/NR+4515/SN+명/NNB+의/JKG
관중이	관중/NNG+이/JKS
입장했다.	입장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.248.8.2
홈에서도 류현진의 올 시즌 관중 동원 능력은 돋보인다.

홈에서도	홈/NNG+에서/JKB+도/JX
류현진의	류현진/NNP+의/JKG
올	올/NNG
시즌	시즌/NNG
관중	관중/NNG
동원	동원/NNG
능력은	능력/NNG+은/JX
돋보인다.	돋보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.248.8.3
다저스타디움에서 그의 등판 경기 때는 팀 시즌 평균(4만4229명)보다 4.6% 정도 많은 4만6253명이 입장했다.

다저스타디움에서	다저스타디움/NNP+에서/JKB
그의	그/NP+의/JKG
등판	등판/NNG
경기	경기/NNG
때는	때/NNG+는/JX
팀	팀/NNG
시즌	시즌/NNG
평균(4만4229명)보다	평균/NNG+(/SS+4/SN+만/NR+4229/SN+명/NNB+)/SS+보다/JKB
4.6%	4/SN+./SP+6/SN+%/SW
정도	정도/NNG
많은	많/VA+은/ETM
4만6253명이	4/SN+만/NR+6253/SN+명/NNB+이/JKS
입장했다.	입장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.248.9.1
류현진은 이날 경기가 끝난 뒤 "생각보다 많은 분이 와주셔서 힘이 됐다"며 "내 이름이 들릴 때는 한국에 있는 것 같은 느낌이었다.

류현진은	류현진/NNP+은/JX
이날	이날/NNG
경기가	경기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
"생각보다	"/SS+생각/NNG+보다/JKB
많은	많/VA+은/ETM
분이	분/NNB+이/JKS
와주셔서	오/VV+아/EC+주/VX+시/EP+어서/EC
힘이	힘/NNG+이/JKC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"내	"/SS+나/NP+의/JKG
이름이	이름/NNG+이/JKS
들릴	들리/VV+ㄹ/ETM
때는	때/NNG+는/JX
한국에	한국/NNP+에/JKB
있는	있/VA+는/ETM
것	것/NNB
같은	같/VA+은/ETM
느낌이었다.	느낌/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.248.9.2
팬들께 감사드린다"고 말했다.

팬들께	팬/NNG+들/XSN+께/JKB
감사드린다"고	감사/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


