# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.328
metadata : {}


# id : NWRW1800000046.328.1.1
[靑年실업 함께 풀자](1) 産業 현장, 젊은이가 안 보인다

[靑年실업	[/SS+靑年/SH+실업/NNG
# id : NWRW1800000046.328.4.2
4년제 대학에서 중국어를 전공했다는 유씨는 "졸업 직후만 해도 대기업 하도급업체에 들어가는 친구들을 보면서 '왜 좀 더 좋은 직장에 들어가려고 도전하지 않을까' 생각했는데 내가 어리석었다"면서 "이젠 변변한 중소기업 취직자리도 찾아보기 어렵다"고 말했다.

4년제	4/SN+년/NNB+제/XSN
대학에서	대학/NNG+에서/JKB
중국어를	중국어/NNP+를/JKO
전공했다는	전공/NNG+하/XSV+았/EP+다는/ETM
유씨는	유/NNP+씨/NNB+는/JX
"졸업	"/SS+졸업/NNG
직후만	직후/NNG+만/JX
해도	하/VV+아도/EC
대기업	대/XPN+기업/NNG
하도급업체에	하도급/NNG+업체/NNG+에/JKB
들어가는	들어가/VV+는/ETM
친구들을	친구/NNG+들/XSN+을/JKO
보면서	보/VV+면서/EC
'왜	'/SS+왜/MAG
좀	좀/MAG
더	더/MAG
좋은	좋/VA+은/ETM
직장에	직장/NNG+에/JKB
들어가려고	들어가/VV+려고/EC
도전하지	도전/NNG+하/XSV+지/EC
않을까'	않/VX+을까/EF+'/SS
생각했는데	생각/NNG+하/XSV+았/EP+는데/EC
내가	내/NP+가/JKS
어리석었다"면서	어리석/VA+었/EP+다/EF+"/SS+면서/EC
"이젠	"/SS+이제/NNG+ㄴ/JX
변변한	변변하/VA+ㄴ/ETM
중소기업	중소기업/NNG
취직자리도	취직자리/NNG+도/JX
찾아보기	찾아보/VV+기/ETN
어렵다"고	어렵/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.328.4.3
울산 북구에 있는 자동차 부품 제조업체 직원 한모(23)씨는 "대기업 들어가려고 부산에 있는 4년제 대학교 경제학과를 다녔는데 취업이 너무 어려워 졸업도 미루고 기술을 배웠다"며 "친척 소개로 여기라도 들어온 게 다행"이라고 말했다.

울산	울산/NNP
북구에	북구/NNP+에/JKB
있는	있/VA+는/ETM
자동차	자동차/NNG
부품	부품/NNG
제조업체	제조업체/NNG
직원	직원/NNG
한모(23)씨는	한/NNP+모/NP+(/SS+23/SN+)/SS+씨/NNB+는/JX
"대기업	"/SS+대/XPN+기업/NNG
들어가려고	들어가/VV+려고/EC
부산에	부산/NNP+에/JKB
4년제	4/SN+년/NNB+제/XSN
대학교	대/XPN+학교/NNG
경제학과를	경제학과/NNG+를/JKO
다녔는데	다니/VV+었/EP+는데/EC
취업이	취업/NNG+이/JKS
너무	너무/MAG
어려워	어렵/VA+어/EC
졸업도	졸업/NNG+도/JX
미루고	미루/VV+고/EC
기술을	기술/NNG+을/JKO
배웠다"며	배우/VV+었/EP+다/EF+"/SS+며/EC
"친척	"/SS+친척/NNG
소개로	소개/NNG+로/JKB
여기라도	여기/NP+이/VCP+라도/EC
들어온	들어오/VV+ㄴ/ETM
게	거/NNB+이/JKS
다행"이라고	다행/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.328.5.1
울산고용센터에 훈련비를 신청하러 온 김모(24·전문대 졸)씨는 "학교에서 추천해준 연봉 2000만~2200만원짜리 중소기업 취업을 거절한 친구들은 지금 전부 놀고 있다"며 "전문대 취업률이 높다지만 취업한 사람이 같은 과 동기 80명 가운데 3분의 1밖에 안 된다"고 말했다.

울산고용센터에	울산고용센터/NNP+에/JKB
훈련비를	훈련비/NNG+를/JKO
신청하러	신청/NNG+하/XSV+러/EC
온	오/VV+ㄴ/ETM
김모(24·전문대	김/NNP+모/NP+(/SS+24/SN+·/SP+전문대/NNG
졸)씨는	졸/NNG+)/SS+씨/NNB+는/JX
"학교에서	"/SS+학교/NNG+에서/JKB
추천해준	추천/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
연봉	연봉/NNG
2000만~2200만원짜리	2000/SN+만/NR+~/SO+2200/SN+만/NR+원/NNB+짜리/XSN
중소기업	중소기업/NNG
취업을	취업/NNG+을/JKO
거절한	거절/NNG+하/XSV+ㄴ/ETM
친구들은	친구/NNG+들/XSN+은/JX
지금	지금/MAG
전부	전부/MAG
놀고	놀/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"전문대	"/SS+전문대/NNG
취업률이	취업/NNG+률/XSN+이/JKS
높다지만	높/VA+다지만/EC
취업한	취업/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
같은	같/VA+은/ETM
과	과/NNG
동기	동기/NNG
80명	80/SN+명/NNB
가운데	가운데/NNG
3분의	3/SN+분/XSN+의/JKG
1밖에	1/SN+밖에/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.328.6.1
이날 하루 울산에서 만난 청년들 모습이다.

이날	이날/NNG
하루	하루/NNG
울산에서	울산/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
청년들	청년/NNG+들/XSN
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.328.6.2
청년 고용 상황이 1997년 외환 위기 당시만큼이나 심각해지는 가운데, 국내 최대 산업 도시인 울산에서도 청년들이 겪고 있는 이 같은 고용 한파가 생생하게 느껴졌다.

청년	청년/NNG
고용	고용/NNG
상황이	상황/NNG+이/JKS
1997년	1997/SN+년/NNB
외환	외환/NNG
위기	위기/NNG
당시만큼이나	당시/NNG+만큼/JKB+이나/JX
심각해지는	심각하/VA+아/EC+지/VX+는/ETM
가운데,	가운데/NNG+,/SP
국내	국내/NNG
최대	최대/NNG
산업	산업/NNG
도시인	도시/NNG+이/VCP+ㄴ/ETM
울산에서도	울산/NNP+에서/JKB+도/JX
청년들이	청년/NNG+들/XSN+이/JKS
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
이	이/NP
같은	같/VA+은/ETM
한파가	한파/NNG+가/JKS
생생하게	생생하/VA+게/EC
느껴졌다.	느끼/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.328.7.1
울산은 현대차, 현대중공업, SK에너지 같은 대기업의 주요 생산시설과 하도급업체 공장들이 모여 있는 우리나라 최대의 산업 도시다.

울산은	울산/NNP+은/JX
현대차,	현대차/NNP+,/SP
현대중공업,	현대중공업/NNP+,/SP
SK에너지	SK에너지/NNP
같은	같/VA+은/ETM
대기업의	대/XPN+기업/NNG+의/JKG
주요	주요/NNG
생산시설과	생산/NNG+시설/NNG+과/JC
하도급업체	하도급/NNG+업체/NNG
공장들이	공장/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
있는	있/VX+는/ETM
우리나라	우리나라/NNG
최대의	최대/NNG+의/JKG
산업	산업/NNG
도시다.	도시/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.328.7.2
그런데 울산의 청년 고용률(15~29세 청년 중 취업자 비율)은 작년 말 기준으로 전국 평균(40.6%)보다 6.5%포인트 낮은 34.1%에 불과하다.

그런데	그런데/MAJ
울산의	울산/NNP+의/JKG
청년	청년/NNG
고용률(15~29세	고용/NNG+률/XSN+(/SS+15/SN+~/SO+29/SN+세/NNB
중	중/NNB
취업자	취업자/NNG
비율)은	비율/NNG+)/SS+은/JX
작년	작년/NNG
말	말/NNB
기준으로	기준/NNG+으로/JKB
전국	전국/NNG
평균(40.6%)보다	평균/NNG+(/SS+40/SN+./SP+6/SN+%/SW+)/SS+보다/JKB
6.5%포인트	6/SN+./SP+5/SN+%포인트/NNG
낮은	낮/VA+은/ETM
34.1%에	34/SN+./SP+1/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000046.328.7.3
전국 7대 도시 가운데 가장 낮다.

전국	전국/NNG
7대	7/SN+대/NNG
도시	도시/NNG
가운데	가운데/NNG
가장	가장/MAG
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000046.328.7.4
2010년만 해도 서울, 인천에 이어 3위였는데 해마다 순위가 뚝뚝 떨어져 이제 꼴찌가 됐다.

2010년만	2010/SN+년/NNB+만/JX
해도	하/VV+아도/EC
서울,	서울/NNP+,/SP
인천에	인천/NNP+에/JKB
이어	잇/VV+어/EC
3위였는데	3/SN+위/NNB+이/VCP+었/EP+는데/EC
해마다	해마다/MAG
순위가	순위/NNG+가/JKS
뚝뚝	뚝뚝/MAG
떨어져	떨어지/VV+어/EC
이제	이제/MAG
꼴찌가	꼴찌/NNG+가/JKS
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.328.7.5
전국 16개 시·도로 넓혀봐도 울산보다 청년 고용률이 낮은 곳은 강원도(33.3%)뿐이다.

전국	전국/NNG
16개	16/SN+개/NNB
시·도로	시/NNG+·/SP+도/NNG+로/JKB
넓혀봐도	넓히/VV+어/EC+보/VX+아도/EC
울산보다	울산/NNP+보다/JKB
청년	청년/NNG
고용률이	고용/NNG+률/XSN+이/JKS
낮은	낮/VA+은/ETM
곳은	곳/NNG+은/JX
강원도(33.3%)뿐이다.	강원도/NNP+(/SS+33/SN+./SP+3/SN+%/SW+)/SS+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000046.328.7.6
10년 전인 2004년 말(45.5%)과 비교해 보면 11.4%포인트나 추락했다.

10년	10/SN+년/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2004년	2004/SN+년/NNB
말(45.5%)과	말/NNB+(/SS+45/SN+./SP+5/SN+%/SW+)/SS+과/JKB
비교해	비교/NNG+하/XSV+아/EC
보면	보/VX+면/EC
11.4%포인트나	11/SN+./SP+4/SN+%포인트/NNG+나/JX
추락했다.	추락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.328.8.1
◇울산은 청년 고용 문제 축소판

◇울산은	◇/SW+울산/NNP+은/JX
청년	청년/NNG
고용	고용/NNG
문제	문제/NNG
축소판	축소판/NNG


# id : NWRW1800000046.328.9.1
이날 오후 현대자동차 울산공장 앞 명촌사거리.

이날	이날/NNG
오후	오후/NNG
현대자동차	현대자동차/NNP
울산공장	울산/NNP+공장/NNG
앞	앞/NNG
명촌사거리.	명촌/NNP+사거리/NNG+./SF


# id : NWRW1800000046.328.9.2
퇴근하던 현대차 직원은 대부분 40~50대로, 20대 청년은 거의 눈에 띄지 않았다.

퇴근하던	퇴근/NNG+하/XSV+던/ETM
현대차	현대차/NNP
직원은	직원/NNG+은/JX
대부분	대/XPN+부분/NNG
40~50대로,	40/SN+~/SO+50/SN+대/NNB+로/JKB+,/SP
20대	20/SN+대/NNB
청년은	청년/NNG+은/JX
거의	거의/MAG
눈에	눈/NNG+에/JKB
띄지	띄/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.328.9.3
울산의 간판 대기업인 현대차가 청년들을 신규 채용하지 않고 있기 때문이다.

울산의	울산/NNP+의/JKG
간판	간판/NNG
대기업인	대/XPN+기업/NNG+이/VCP+ㄴ/ETM
현대차가	현대차/NNP+가/JKS
청년들을	청년/NNG+들/XSN+을/JKO
신규	신규/NNG
채용하지	채용/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.328.9.4
실제로 현대차 울산공장은 2012~14년 3년간 신규 채용이 사실상 '제로(0)' 상태다.

실제로	실제로/MAG
현대차	현대차/NNP
울산공장은	울산/NNP+공장/NNG+은/JX
2012~14년	2012/SN+~/SO+14/SN+년/NNB
3년간	3/SN+년/NNB+간/XSN
신규	신규/NNG
채용이	채용/NNG+이/JKS
사실상	사실/NNG+상/XSN
'제로(0)'	'/SS+제로/NNG+(/SS+0/SN+)/SS+'/SS
상태다.	상태/NNG+이/VCP+다/EF+./SF


