# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.326
metadata : {}


# id : NWRW1800000038.326.1.1
[청년실업, 유럽서 해법을 찾다 - '파트타임 천국' 네덜란드] 일자리 나눈 네덜란드, 청년 72%가 '시간제 정규직'

[청년실업,	[/SS+청년/NNG+실업/NNG+,/SP
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.326.3.4
네덜란드가 아니라면 그는 영락없이 저임금에 시달리다 새 일자리를 찾아 나서는 비정규직일 것이다.

네덜란드가	네덜란드/NNP+가/JKC
아니라면	아니/VCN+라면/EC
그는	그/NP+는/JX
영락없이	영락없이/MAG
저임금에	저/XPN+임금/NNG+에/JKB
시달리다	시달리/VV+다/EC
새	새/MMA
일자리를	일자리/NNG+를/JKO
찾아	찾/VV+아/EC
나서는	나서/VV+는/ETM
비정규직일	비/XPN+정규직/NNG+이/VCP+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.326.3.5
하지만 그는 월급 1500유로(210만원)을 받고 각종 수당과 복지혜택을 일반 직원과 똑같이 누리는 정규직이다.

하지만	하지만/MAJ
그는	그/NP+는/JX
월급	월급/NNG
1500유로(210만원)을	1500/SN+유로/NNB+(/SS+210/SN+만/NR+원/NNB+)/SS+을/JKO
받고	받/VV+고/EC
각종	각종/NNG
수당과	수당/NNG+과/JC
복지혜택을	복지/NNG+혜택/NNG+을/JKO
일반	일반/NNG
직원과	직원/NNG+과/JKB
똑같이	똑같이/MAG
누리는	누리/VV+는/ETM
정규직이다.	정규직/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.326.3.6
반호이동씨는 "월급은 좀 줄더라도 새로운 기술을 익힐 직업교육을 받기 위해 작년 연말부터 주당 근무시간을 35시간에서 25시간으로 줄였다"고 말했다.

반호이동씨는	반호이동/NNP+씨/NNB+는/JX
"월급은	"/SS+월급/NNG+은/JX
좀	좀/MAG
줄더라도	줄/VV+더라도/EC
새로운	새롭/VA+ㄴ/ETM
기술을	기술/NNG+을/JKO
익힐	익히/VV+ㄹ/ETM
직업교육을	직업/NNG+교육/NNG+을/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
작년	작년/NNG
연말부터	연말/NNG+부터/JX
주당	주/NNG+당/XSN
근무시간을	근무/NNG+시간/NNG+을/JKO
35시간에서	35/SN+시간/NNB+에서/JKB
25시간으로	25/SN+시간/NNB+으로/JKB
줄였다"고	줄이/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.326.4.1
네덜란드 노동자는 노사(勞使) 합의를 통해 근로시간을 자유롭게 조절할 수 있다.

네덜란드	네덜란드/NNP
노동자는	노동자/NNG+는/JX
노사(勞使)	노사/NNG+(/SS+勞使/SH+)/SS
합의를	합의/NNG+를/JKO
통해	통하/VV+아/EC
근로시간을	근로/NNG+시간/NNG+을/JKO
자유롭게	자유/NNG+롭/XSA+게/EC
조절할	조절/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.326.4.2
회사는 일감이 줄 경우 구조조정 대신 근로시간을 탄력적으로 운영해 임금 부담을 줄인다.

회사는	회사/NNG+는/JX
일감이	일감/NNG+이/JKS
줄	줄/VV+ㄹ/ETM
경우	경우/NNG
구조조정	구조/NNG+조정/NNG
대신	대신/NNG
근로시간을	근로/NNG+시간/NNG+을/JKO
탄력적으로	탄력/NNG+적/XSN+으로/JKB
운영해	운영/NNG+하/XSV+아/EC
임금	임금/NNG
부담을	부담/NNG+을/JKO
줄인다.	줄이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.326.4.3
노동자는 자기계발이나 가사(家事)를 위해 근무시간 및 시간대를 미리 조정할 수 있다.

노동자는	노동자/NNG+는/JX
자기계발이나	자기/NNG+계발/NNG+이나/JC
가사(家事)를	가사/NNG+(/SS+家事/SH+)/SS+를/JKO
위해	위하/VV+아/EC
근무시간	근무/NNG+시간/NNG
및	및/MAG
시간대를	시간대/NNG+를/JKO
미리	미리/MAG
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.326.5.1
네덜란드 파트타임(시간제 근로) 노동자 비율은 2011년 기준 37.2%로 경제협력개발기구(OECD) 회원국 중 가장 높다.

네덜란드	네덜란드/NNP
파트타임(시간제	파트타임/NNG+(/SS+시간/NNG+제/XSN
근로)	근로/NNG+)/SS
노동자	노동자/NNG
비율은	비율/NNG+은/JX
2011년	2011/SN+년/NNB
기준	기준/NNG
37.2%로	37/SN+./SP+2/SN+%/SW+로/JKB
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
회원국	회원국/NNG
중	중/NNB
가장	가장/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000038.326.5.2
네덜란드의 청년 실업률은 현재 9.7%로 독일(8.1%)·오스트리아(9.0%)에 이어 셋째로 낮다.

네덜란드의	네덜란드/NNP+의/JKG
청년	청년/NNG
실업률은	실업/NNG+률/XSN+은/JX
현재	현재/MAG
9.7%로	9/SN+./SP+7/SN+%/SW+로/JKB
독일(8.1%)·오스트리아(9.0%)에	독일/NNP+(/SS+8/SN+./SP+1/SN+%/SW+)/SS+·/SP+오스트리아/NNP+(/SS+9/SN+./SP+0/SN+%/SW+)/SS+에/JKB
이어	잇/VV+어/EC
셋째로	셋째/NR+로/JKB
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000038.326.5.3
근로시간을 줄여 일자리를 내는 방식으로 실업률을 낮추는 것이다.

근로시간을	근로/NNG+시간/NNG+을/JKO
줄여	줄이/VV+어/EC
일자리를	일자리/NNG+를/JKO
내는	내/VV+는/ETM
방식으로	방식/NNG+으로/JKB
실업률을	실업/NNG+률/XSN+을/JKO
낮추는	낮추/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.326.5.4
유럽통계청이 전망한 네덜란드의 올해 국내총생산(GDP) 성장률은 0.3%로 유로존(유로화 사용 17개국) 평균 0.1%를 넘는다.

유럽통계청이	유럽/NNP+통계청/NNG+이/JKS
전망한	전망/NNG+하/XSV+ㄴ/ETM
네덜란드의	네덜란드/NNP+의/JKG
올해	올해/NNG
국내총생산(GDP)	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
성장률은	성장/NNG+률/XSN+은/JX
0.3%로	0/SN+./SP+3/SN+%/SW+로/JKB
유로존(유로화	유로존/NNG+(/SS+유로화/NNG
사용	사용/NNG
17개국)	17/SN+개국/NNB+)/SS
평균	평균/NNG
0.1%를	0/SN+./SP+1/SN+%/SW+를/JKO
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000038.326.5.5
네덜란드식 파트타임은 이제껏 경제지표 추이를 볼 때 '저성장을 호도하기 위한 일자리 나누기'와는 거리가 멀다.

네덜란드식	네덜란드식/NNG
파트타임은	파트타임/NNG+은/JX
이제껏	이제껏/MAG
경제지표	경제/NNG+지표/NNG
추이를	추이/NNG+를/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
'저성장을	'/SS+저/XPN+성장/NNG+을/JKO
호도하기	호도/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
일자리	일자리/NNG
나누기'와는	나누/VV+기/ETN+'/SS+와/JKB+는/JX
거리가	거리/NNG+가/JKS
멀다.	멀/VA+다/EF+./SF


# id : NWRW1800000038.326.6.1
네덜란드 노인요양 전문 기관 '샤켈링'의 홈페이지 채용란에는 '일과 생활의 균형, 원하는 시간을 선택하세요'라는 안내문이 떠 있다.

네덜란드	네덜란드/NNP
노인요양	노인/NNG+요양/NNG
전문	전문/NNG
기관	기관/NNG
'샤켈링'의	'/SS+샤켈링/NNP+'/SS+의/JKG
홈페이지	홈페이지/NNG
채용란에는	채용/NNG+란/NNG+에/JKB+는/JX
'일과	'/SS+일/NNG+과/JC
생활의	생활/NNG+의/JKG
균형,	균형/NNG+,/SP
원하는	원/NNG+하/XSV+는/ETM
시간을	시간/NNG+을/JKO
선택하세요'라는	선택/NNG+하/XSV+시/EP+어요/EF+'/SS+이/VCP+라는/ETM
안내문이	안내문/NNG+이/JKS
떠	뜨/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.326.6.2
샤켈링은 이달 말까지 10여명의 신규 채용 인원을 모두 파트타임으로 채운다.

샤켈링은	샤켈링/NNP+은/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
10여명의	10/SN+여/XSN+명/NNB+의/JKG
신규	신규/NNG
채용	채용/NNG
인원을	인원/NNG+을/JKO
모두	모두/MAG
파트타임으로	파트타임/NNG+으로/JKB
채운다.	채우/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.326.6.3
현재도 직원 1200명 중 임원급 10여명을 제외한 전 직원이 파트타임이다.

현재도	현재/NNG+도/JX
직원	직원/NNG
1200명	1200/SN+명/NNB
중	중/NNB
임원급	임원급/NNG
10여명을	10/SN+여/XSN+명/NNB+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
전	전/MMN
직원이	직원/NNG+이/JKS
파트타임이다.	파트타임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.326.7.1
P 불투르(Vulture) 인사위원회 위원장은 "회사가 시간제 인력을 뽑으면 인건비 부담을 줄여 더 많은 인원을 채용할 수 있다"며 "직원 입장에서도 임금·복지에 차별 없이 일자리가 보장돼 만족도가 높다"고 말했다.

P	P/SL
불투르(Vulture)	불투르/NNP+(/SS+Vulture/SL+)/SS
인사위원회	인사/NNG+위원회/NNG
위원장은	위원장/NNG+은/JX
"회사가	"/SS+회사/NNG+가/JKS
시간제	시간/NNG+제/XSN
인력을	인력/NNG+을/JKO
뽑으면	뽑/VV+으면/EC
인건비	인건비/NNG
부담을	부담/NNG+을/JKO
줄여	줄이/VV+어/EC
더	더/MAG
많은	많/VA+은/ETM
인원을	인원/NNG+을/JKO
채용할	채용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"직원	"/SS+직원/NNG
입장에서도	입장/NNG+에서/JKB+도/JX
임금·복지에	임금/NNG+·/SP+복지/NNG+에/JKB
차별	차별/NNG
없이	없이/MAG
일자리가	일자리/NNG+가/JKS
보장돼	보장/NNG+되/XSV+어/EC
만족도가	만족도/NNG+가/JKS
높다"고	높/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.326.7.2
네덜란드 통계청에 따르면, 25세 이하 청년층의 파트타임 비율은 71.9%에 이른다.

네덜란드	네덜란드/NNP
통계청에	통계청/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
25세	25/SN+세/NNB
이하	이하/NNG
청년층의	청년/NNG+층/XSN+의/JKG
파트타임	파트타임/NNG
비율은	비율/NNG+은/JX
71.9%에	71/SN+./SP+9/SN+%/SW+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.326.7.3
이들은 처음 파트타임 일을 시작한 후 관리직으로 승진하며 상근직으로 전환하는 코스를 밟는 게 일반적이다.

이들은	이/NP+들/XSN+은/JX
처음	처음/NNG
파트타임	파트타임/NNG
일을	일/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
후	후/NNG
관리직으로	관리직/NNG+으로/JKB
승진하며	승진/NNG+하/XSV+며/EC
상근직으로	상근직/NNG+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
코스를	코스/NNG+를/JKO
밟는	밟/VV+는/ETM
게	거/NNB+이/JKS
일반적이다.	일반/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.326.8.1
네덜란드의 NEET족(일할 의지가 없는 청년 실업자) 비율도 5.0%로 유럽에서 가장 낮다.

네덜란드의	네덜란드/NNP+의/JKG
NEET족(일할	NEET족/NNG+(/SS+일/NNG+하/XSV+ㄹ/ETM
의지가	의지/NNG+가/JKS
없는	없/VA+는/ETM
청년	청년/NNG
실업자)	실업자/NNG+)/SS
비율도	비율/NNG+도/JX
5.0%로	5/SN+./SP+0/SN+%/SW+로/JKB
유럽에서	유럽/NNP+에서/JKB
가장	가장/MAG
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000038.326.8.2
젊은 층이 파트타임 구직 활동에 적극적으로 나서기 때문이다.

젊은	젊/VA+은/ETM
층이	층/NNG+이/JKS
파트타임	파트타임/NNG
구직	구직/NNG
활동에	활동/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
나서기	나서/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.326.9.1
네덜란드는 신규 채용뿐 아니라 기존 노동자의 일자리 안정을 위해서도 파트타임제를 적용하고 있다.

네덜란드는	네덜란드/NNP+는/JX
신규	신규/NNG
채용뿐	채용/NNG+뿐/JX
아니라	아니/VCN+라/EC
기존	기존/NNG
노동자의	노동자/NNG+의/JKG
일자리	일자리/NNG
안정을	안정/NNG+을/JKO
위해서도	위하/VV+아서/EC+도/JX
파트타임제를	파트타임/NNG+제/XSN+를/JKO
적용하고	적용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.326.9.2
트럭 제조업체 다프(DAF)는 2009년 유럽 재정위기 당시 판매량이 줄자 직원 100명을 정리해고할 계획이었으나 노조의 반발에 부딪혔다.

트럭	트럭/NNG
제조업체	제조업체/NNG
다프(DAF)는	다프/NNP+(/SS+DAF/SL+)/SS+는/JX
2009년	2009/SN+년/NNB
유럽	유럽/NNP
재정위기	재정/NNG+위기/NNG
당시	당시/NNG
판매량이	판매량/NNG+이/JKS
줄자	줄/VV+자/EC
직원	직원/NNG
100명을	100/SN+명/NNB+을/JKO
정리해고할	정리/NNG+해고/NNG+하/XSV+ㄹ/ETM
계획이었으나	계획/NNG+이/VCP+었/EP+으나/EC
노조의	노조/NNG+의/JKG
반발에	반발/NNG+에/JKB
부딪혔다.	부딪히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.326.9.3
사 측은 근로시간을 20% 줄이는 대신 임금을 삭감하는 방안을 제시해 타협했다.

사	사/NNG
측은	측/NNB+은/JX
근로시간을	근로/NNG+시간/NNG+을/JKO
20%	20/SN+%/SW
줄이는	줄이/VV+는/ETM
대신	대신/NNG
임금을	임금/NNG+을/JKO
삭감하는	삭감/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
제시해	제시/NNG+하/XSV+아/EC
타협했다.	타협/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.326.9.4
임금 손실의 일부는 정부가 실업급여로 보전했다.

임금	임금/NNG
손실의	손실/NNG+의/JKG
일부는	일부/NNG+는/JX
정부가	정부/NNG+가/JKS
실업급여로	실업/NNG+급여/NNG+로/JKB
보전했다.	보전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.326.10.1
☞ 네덜란드 파트타임 근로자

☞	☞/SW
네덜란드	네덜란드/NNP
파트타임	파트타임/NNG
근로자	근로자/NNG


# id : NWRW1800000038.326.11.1
'근로시간에 따른 차별금지법'(1996년 시행)에 따라 일반 상근 근로자와 동일한 노동을 하는 경우 급여와 휴가, 각종 복지혜택에서 동일한 대우를 받는다.

'근로시간에	'/SS+근로/NNG+시간/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
차별금지법'(1996년	차별/NNG+금지법/NNG+'/SS+(/SS+1996/SN+년/NNB
시행)에	시행/NNG+)/SS+에/JKB
따라	따르/VV+아/EC
일반	일반/NNG
상근	상근/NNG
근로자와	근로자/NNG+와/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
노동을	노동/NNG+을/JKO
하는	하/VV+는/ETM
경우	경우/NNG
급여와	급여/NNG+와/JC
휴가,	휴가/NNG+,/SP
각종	각종/NNG
복지혜택에서	복지/NNG+혜택/NNG+에서/JKB
대우를	대우/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000038.326.11.2
회사는 특별한 사유가 없는 한 이들을 해고하지 못한다.

회사는	회사/NNG+는/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
사유가	사유/NNG+가/JKS
없는	없/VA+는/ETM
한	한/NNG
이들을	이/NP+들/XSN+을/JKO
해고하지	해고/NNG+하/XSV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.326.11.3
근로시간의 유연성(flexibility)과 일자리의 안정성(security)을 동시에 확보하는 '유연안정성(flexicurity)'을 실현하기 위한 것이다.

근로시간의	근로/NNG+시간/NNG+의/JKG
유연성(flexibility)과	유연성/NNG+(/SS+flexibility/SL+)/SS+과/JC
일자리의	일자리/NNG+의/JKG
안정성(security)을	안정/NNG+성/XSN+(/SS+security/SL+)/SS+을/JKO
동시에	동시/NNG+에/JKB
확보하는	확보/NNG+하/XSV+는/ETM
'유연안정성(flexicurity)'을	'/SS+유연안정성/NNG+(/SS+flexicurity/SL+)/SS+'/SS+을/JKO
실현하기	실현/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.326.11.4
네덜란드 여성의 고용률은 69.9%로 OECD 평균(56.7%)을 훨씬 웃돈다.

네덜란드	네덜란드/NNP
여성의	여성/NNG+의/JKG
고용률은	고용/NNG+률/XSN+은/JX
69.9%로	69/SN+./SP+9/SN+%/SW+로/JKB
OECD	OECD/SL
평균(56.7%)을	평균/NNG+(/SS+56/SN+./SP+7/SN+%/SW+)/SS+을/JKO
훨씬	훨씬/MAG
웃돈다.	웃돌/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.326.11.5
파트타임은 여성들이 가사와 직장생활을 병행하는 방안으로 적극 활용된다.

파트타임은	파트타임/NNG+은/JX
여성들이	여성/NNG+들/XSN+이/JKS
가사와	가사/NNG+와/JC
직장생활을	직장/NNG+생활/NNG+을/JKO
병행하는	병행/NNG+하/XSV+는/ETM
방안으로	방안/NNG+으로/JKB
적극	적극/NNG
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.326.11.6
파트타임 근로자 중 여성의 비율은 74%, 여성 노동자 중 일주일에 19시간 이하로 일하는 비율은 28.3%다.

파트타임	파트타임/NNG
근로자	근로자/NNG
중	중/NNB
여성의	여성/NNG+의/JKG
비율은	비율/NNG+은/JX
74%,	74/SN+%/SW+,/SP
여성	여성/NNG
노동자	노동자/NNG
일주일에	일주일/NNG+에/JKB
19시간	19/SN+시간/NNB
이하로	이하/NNG+로/JKB
일하는	일/NNG+하/XSV+는/ETM
28.3%다.	28/SN+./SP+3/SN+%/SW+이/VCP+다/EF+./SF


