# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.264
metadata : {}


# id : NWRW1800000040.264.1.1
‘아이 엄마’ 편지 공개 뒤 검찰 분위기 보니 “나올 얘기 다 나와…차분히 지켜볼 때”

‘아이	‘/SS+아이/NNG
총장한테	총장/NNG+한테/JKB
유리하게	유리/NNG+하/XSA+게/EC
되지	되/VV+지/EC
않겠느냐는	않/VX+겠/EP+느냐는/ETM
견해다.	견해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.264.5.5
다른 검사는 “최근 일련의 보도는 어떤 증거를 내놓아도 믿지 않던 ‘타진요’(타블로에게 진실을 요구합니다)를 보는 것 같다.

다른	다른/MMD
검사는	검사/NNG+는/JX
“최근	“/SS+최근/NNG
일련의	일련/NNG+의/JKG
보도는	보도/NNG+는/JX
어떤	어떤/MMD
증거를	증거/NNG+를/JKO
내놓아도	내놓/VV+아도/EC
믿지	믿/VV+지/EC
않던	않/VX+던/ETM
‘타진요’(타블로에게	‘/SS+타진요/NNP+’/SS+(/SS+타블로/NNP+에게/JKB
진실을	진실/NNG+을/JKO
요구합니다)를	요구/NNG+하/XSV+ㅂ니다/EF+)/SS+를/JKO
보는	보/VV+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000040.264.5.6
‘빨갱이’라고 지목한 뒤 ‘빨갱이가 아닌 걸 밝히라’고 하는 식”이라고 말했다.

‘빨갱이’라고	‘/SS+빨갱이/NNG+’/SS+이/VCP+라고/EC
지목한	지목/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
‘빨갱이가	‘/SS+빨갱이/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
밝히라’고	밝히/VV+라/EF+’/SS+고/JKQ
하는	하/VV+는/ETM
식”이라고	식/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.6.1
다른 의견도 있다.

다른	다른/MMD
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.264.6.2
한 검사는 “일부 직원들은 편지가 공개되면서 사그라들던 불씨를 키웠다는 반응이더라”고 전했다.

한	한/MMN
검사는	검사/NNG+는/JX
“일부	“/SS+일부/NNG
직원들은	직원/NNG+들/XSN+은/JX
편지가	편지/NNG+가/JKS
공개되면서	공개/NNG+되/XSV+면서/EC
사그라들던	사그라들/VV+던/ETM
불씨를	불씨/NNG+를/JKO
키웠다는	키우/VV+었/EP+다는/ETM
반응이더라”고	반응/NNG+이/VCP+더라/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.6.3
다른 검사도 “편지 내용이 조선일보 보도와 일부 일치하는 게 있다 보니 ‘보도가 사실이었던 게 아닌가’ 하고 오히려 의심이 든다는 목소리도 있다”고 말했다.

다른	다른/MMD
검사도	검사/NNG+도/JX
“편지	“/SS+편지/NNG
내용이	내용/NNG+이/JKS
조선일보	조선일보/NNP
보도와	보도/NNG+와/JKB
일부	일부/NNG
일치하는	일치/NNG+하/XSV+는/ETM
게	거/NNB+이/JKC
있다	있/VA+다/EC
보니	보/VX+니/EC
‘보도가	‘/SS+보도/NNG+가/JKS
사실이었던	사실/NNG+이/VCP+었/EP+던/ETM
아닌가’	아니/VCN+ㄴ가/EF+’/SS
하고	하고/JKQ
오히려	오히려/MAG
의심이	의심/NNG+이/JKS
든다는	들/VV+ㄴ다는/ETM
목소리도	목소리/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.7.1
하지만 ‘이제는 차분히 지켜볼 때’라는 데는 대다수가 동의했다.

하지만	하지만/MAJ
‘이제는	‘/SS+이제/NNG+는/JX
차분히	차분히/MAG
지켜볼	지켜보/VV+ㄹ/ETM
때’라는	때/NNG+’/SS+이/VCP+라는/ETM
데는	데/NNB+는/JX
대다수가	대/XPN+다수/NNG+가/JKS
동의했다.	동의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.7.2
한 부장검사는 “나올 이야기는 다 나온 것 같고, 검찰도 할 수 있는 걸 다 했다.

한	한/MMN
부장검사는	부장/NNG+검사/NNG+는/JX
“나올	“/SS+나오/VV+ㄹ/ETM
이야기는	이야기/NNG+는/JX
다	다/MAG
나온	나오/VV+ㄴ/ETM
것	것/NNB
같고,	같/VA+고/EC+,/SP
검찰도	검찰/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
걸	거/NNB+ㄹ/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.7.3
이제는 결과를 기다려야 할 때”라고 말했다.

이제는	이제/NNG+는/JX
결과를	결과/NNG+를/JKO
기다려야	기다리/VV+어야/EC
할	하/VX+ㄹ/ETM
때”라고	때/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.264.7.4
또 다른 검사는 “조속한 진실규명을 위해 언론중재위 조정을 건너뛰고 곧장 정정보도 청구 소송을 제기하는 게 나을 것 같다.

또	또/MAG
다른	다른/MMD
검사는	검사/NNG+는/JX
“조속한	“/SS+조속하/VA+ㄴ/ETM
진실규명을	진실/NNG+규명/NNG+을/JKO
위해	위하/VV+아/EC
언론중재위	언론중재위/NNP
조정을	조정/NNG+을/JKO
건너뛰고	건너뛰/VV+고/EC
곧장	곧장/MAG
정정보도	정정/NNG+보도/NNG
청구	청구/NNG
소송을	소송/NNG+을/JKO
제기하는	제기/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
나을	낫/VA+을/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000040.264.7.5
서두르면 올해 안에 1차 결론이 날 것”이라고 내다봤다.

서두르면	서두르/VV+면/EC
올해	올해/NNG
안에	안/NNG+에/JKB
1차	1/SN+차/NNB
결론이	결론/NNG+이/JKS
날	나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


