# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.372
metadata : {}


# id : NWRW1800000046.372.1.1
[나눔, 통일의 시작입니다] 교회 권사·사업가·통일단체도 참여

[나눔,	[/SS+나누/VV+ㅁ/ETN+,/SP
이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
매달	매달/MAG
1만원씩	1/SN+만/NR+원/NNB+씩/XSN
평생	평생/NNG
기부하는	기부/NNG+하/XSV+는/ETM
약정서도	약정서/NNG+도/JX
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.372.5.1
직원 200여명 규모 전기·통신 건설 기업인 서광종합개발(대표 이정익)도 통일나눔펀드에 1200만원을 기부했다.

직원	직원/NNG
200여명	200/SN+여/XSN+명/NNB
규모	규모/NNG
전기·통신	전기/NNG+·/SP+통신/NNG
건설	건설/NNG
기업인	기업/NNG+이/VCP+ㄴ/ETM
서광종합개발(대표	서광종합개발/NNP+(/SS+대표/NNG
이정익)도	이정익/NNP+)/SS+도/JX
통일나눔펀드에	통일/NNG+나눔/NNG+펀드/NNG+에/JKB
1200만원을	1200/SN+만/NR+원/NNB+을/JKO
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.5.2
이 대표는 임원진 이름으로 매달 100만원씩 1년간 기부를 약정했다.

이	이/NNP
대표는	대표/NNG+는/JX
임원진	임원진/NNG
이름으로	이름/NNG+으로/JKB
매달	매달/MAG
100만원씩	100/SN+만/NR+원/NNB+씩/XSN
1년간	1/SN+년/NNB+간/XSN
기부를	기부/NNG+를/JKO
약정했다.	약정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.372.5.3
민간통일단체인 민족통일협의회의 의장인 이정익 대표는 "회원이 5만여명인 민족통일협의회 차원에서도 통일나눔펀드에 동참할 계획"이라고 말했다.

민간통일단체인	민간/NNG+통일/NNG+단체/NNG+이/VCP+ㄴ/ETM
민족통일협의회의	민족/NNG+통일/NNG+협의회/NNG+의/JKG
의장인	의장/NNG+이/VCP+ㄴ/ETM
이정익	이정익/NNP
대표는	대표/NNG+는/JX
"회원이	"/SS+회원/NNG+이/JKS
5만여명인	5/SN+만/NR+여/XSN+명/NNB+이/VCP+ㄴ/ETM
민족통일협의회	민족/NNG+통일/NNG+협의회/NNG
차원에서도	차원/NNG+에서/JKB+도/JX
통일나눔펀드에	통일/NNG+나눔/NNG+펀드/NNG+에/JKB
동참할	동참/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


