# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.130
metadata : {}


# id : NWRW1800000036.130.1.1
김종영과 칼더…현대조각 거장 ‘2인 2색’

김종영과	김종영/NNP+과/JC
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼친	끼치/VV+ㄴ/ETM
이는	이/NNB+는/JX
추사	추사/NNP
김정희.	김정희/NNP+./SF


# id : NWRW1800000036.130.7.5
조각가로선 드물게 서예에 조예가 깊었던 우성은 서예와 전각, 조각을 넘나들며 모두를 아우르는 예술을 추구했다.

조각가로선	조각가/NNG+로서/JKB+ㄴ/JX
드물게	드물/VA+게/EC
서예에	서예/NNG+에/JKB
조예가	조예/NNG+가/JKS
깊었던	깊/VA+었/EP+던/ETM
우성은	우성/NNP+은/JX
서예와	서예/NNG+와/JC
전각,	전각/NNG+,/SP
조각을	조각/NNG+을/JKO
넘나들며	넘나들/VV+며/EC
모두를	모두/NNG+를/JKO
아우르는	아우르/VV+는/ETM
예술을	예술/NNG+을/JKO
추구했다.	추구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.130.7.6
서구 문화의 과학성과 논리성을 높게 평가하면서도 이를 작업에서 실현하는 정신적 해법을 추사로 대표되는 한국의 실증주의적 전통에서 찾으려 했던 작가다.

서구	서구/NNG
문화의	문화/NNG+의/JKG
과학성과	과학/NNG+성/XSN+과/JC
논리성을	논리/NNG+성/XSN+을/JKO
높게	높/VA+게/EC
평가하면서도	평가/NNG+하/XSV+면서/EC+도/JX
이를	이/NP+를/JKO
작업에서	작업/NNG+에서/JKB
실현하는	실현/NNG+하/XSV+는/ETM
정신적	정신/NNG+적/XSN
해법을	해법/NNG+을/JKO
추사로	추사/NNP+로/JKB
대표되는	대표/NNG+되/XSV+는/ETM
한국의	한국/NNP+의/JKG
실증주의적	실증주의/NNG+적/XSN
전통에서	전통/NNG+에서/JKB
찾으려	찾/VV+으려/EC
했던	하/VX+았/EP+던/ETM
작가다.	작가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.130.7.7
이번 전시에서는 대표작 중 하나인 <전설>(1958·위 사진) 등의 조각 작품 외에도 드로잉과 서예작품들도 함께 전시해 그의 면모를 종합적으로 볼 수 있도록 꾸몄다.

이번	이번/NNG
전시에서는	전시/NNG+에서/JKB+는/JX
대표작	대표작/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
<전설>(1958·위	</SS+전설/NNP+>/SS+(/SS+1958/SN+·/SP+위/NNG
사진)	사진/NNG+)/SS
등의	등/NNB+의/JKG
조각	조각/NNG
작품	작품/NNG
외에도	외/NNB+에/JKB+도/JX
드로잉과	드로잉/NNG+과/JC
서예작품들도	서예/NNG+작품/NNG+들/XSN+도/JX
함께	함께/MAG
전시해	전시/NNG+하/XSV+아/EC
그의	그/NP+의/JKG
면모를	면모/NNG+를/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
꾸몄다.	꾸미/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.130.8.1
움직이는 조각 창시자 칼더

움직이는	움직이/VV+는/ETM
조각	조각/NNG
창시자	창시자/NNG
칼더	칼더/NNP


# id : NWRW1800000036.130.9.1
공중에 뜬 조각 우아한 매력 발산

공중에	공중/NNG+에/JKB
뜬	뜨/VV+ㄴ/ETM
조각	조각/NNG
우아한	우아하/VA+ㄴ/ETM
매력	매력/NNG
발산	발산/NNG


# id : NWRW1800000036.130.10.1
검정색 즐겨 써 형태 잘 도드라져

검정색	검정색/NNG
즐겨	즐기/VV+어/EC
써	쓰/VV+어/EC
형태	형태/NNG
잘	잘/MAG
도드라져	도드라지/VV+어/EF


# id : NWRW1800000036.130.11.1
서울 삼청로 국제갤러리(02-735-8449)에선 움직이는 조각 ‘모빌’로 유명한 미국 조각가 알렉산더 칼더(1898~1976)의 전시회 ‘누아르’가 8월17일까지 열린다.

서울	서울/NNP
삼청로	삼청로/NNP
국제갤러리(02-735-8449)에선	국제갤러리/NNP+(/SS+02/SN+-/SO+735/SN+-/SO+8449/SN+)/SS+에서/JKB+ㄴ/JX
움직이는	움직이/VV+는/ETM
조각	조각/NNG
‘모빌’로	‘/SS+모빌/NNG+’/SS+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
미국	미국/NNP
조각가	조각가/NNG
알렉산더	알렉산더/NNP
칼더(1898~1976)의	칼더/NNP+(/SS+1898/SN+~/SO+1976/SN+)/SS+의/JKG
전시회	전시회/NNG
‘누아르’가	‘/SS+누아르/NNG+’/SS+가/JKS
8월17일까지	8/SN+월/NNB+17/SN+일/NNB+까지/JX
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.130.11.2
철선에 조형물을 단 작품이 전시 공간 위에 매달려 균형을 잡으며 움직이는 칼더의 조각은 다른 조각에선 느낄 수 없는 특별한 감흥을 준다.

철선에	철선/NNG+에/JKB
조형물을	조형물/NNG+을/JKO
단	달/VV+ㄴ/ETM
작품이	작품/NNG+이/JKS
전시	전시/NNG
공간	공간/NNG
위에	위/NNG+에/JKB
매달려	매달리/VV+어/EC
균형을	균형/NNG+을/JKO
잡으며	잡/VV+으며/EC
움직이는	움직이/VV+는/ETM
칼더의	칼더/NNP+의/JKG
조각은	조각/NNG+은/JX
다른	다른/MMD
조각에선	조각/NNG+에서/JKB+ㄴ/JX
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
특별한	특별/NNG+하/XSA+ㄴ/ETM
감흥을	감흥/NNG+을/JKO
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.130.12.1
19세기 말에 태어나 20세기 전반 현대 미술의 문을 연 작가 중 한명인 칼더는 미술이 아니라 기계공학을 전공했다가 20대 중반에 미술로 방향을 틀어 회화를 전공했다.

19세기	19/SN+세기/NNG
말에	말/NNB+에/JKB
태어나	태어나/VV+아/EC
20세기	20/SN+세기/NNG
전반	전반/NNG
현대	현대/NNG
미술의	미술/NNG+의/JKG
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
작가	작가/NNG
중	중/NNB
한명인	한/MMN+명/NNB+이/VCP+ㄴ/ETM
칼더는	칼더/NNP+는/JX
미술이	미술/NNG+이/JKC
아니라	아니/VCN+라/EC
기계공학을	기계/NNG+공학/NNG+을/JKO
전공했다가	전공/NNG+하/XSV+았/EP+다가/EC
20대	20/SN+대/NNB
중반에	중반/NNG+에/JKB
미술로	미술/NNG+로/JKB
방향을	방향/NNG+을/JKO
틀어	틀/VV+어/EC
회화를	회화/NNG+를/JKO
전공했다.	전공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.130.12.2
그리고 프랑스로 건너가 피트 몬드리안을 만난 뒤 추상을 자기 주제로 삼았고, 호안 미로와 사귀면서 많은 영향을 받았다.

그리고	그리고/MAJ
프랑스로	프랑스/NNP+로/JKB
건너가	건너가/VV+아/EC
피트	피트/NNP
몬드리안을	몬드리안/NNP+을/JKO
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
추상을	추상/NNG+을/JKO
자기	자기/NP
주제로	주제/NNG+로/JKB
삼았고,	삼/VV+았/EP+고/EC+,/SP
호안	호안/NNP
미로와	미로/NNP+와/JKB
사귀면서	사귀/VV+면서/EC
많은	많/VA+은/ETM
영향을	영향/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.130.12.3
둔중하고 고정되어 있는 조각의 고정관념을 깨는 그의 움직이는 조각은 유연하게 공중에 떠 있는 우아함을 매력으로 다양한 형태로 발전해 나갔고, 이후 ‘키네틱 아트’ 등의 조류에 많은 영감을 제공했다.

둔중하고	둔중하/VA+고/EC
고정되어	고정/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
조각의	조각/NNG+의/JKG
고정관념을	고정/NNG+관념/NNG+을/JKO
깨는	깨/VV+는/ETM
그의	그/NP+의/JKG
움직이는	움직이/VV+는/ETM
조각은	조각/NNG+은/JX
유연하게	유연하/VA+게/EC
공중에	공중/NNG+에/JKB
떠	뜨/VV+어/EC
우아함을	우아함/NNG+을/JKO
매력으로	매력/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
형태로	형태/NNG+로/JKB
발전해	발전/NNG+하/XSV+아/EC
나갔고,	나가/VX+았/EP+고/EC+,/SP
이후	이후/NNG
‘키네틱	‘/SS+키네틱/NNG
아트’	아트/NNG+’/SS
등의	등/NNB+의/JKG
조류에	조류/NNG+에/JKB
많은	많/VA+은/ETM
영감을	영감/NNG+을/JKO
제공했다.	제공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.130.13.1
그의 대명사인 움직이는 조각 모빌과 함께 정지된 조각 ‘스태빌’도 함께 전시하는 이번 전시의 가장 큰 특징은 전시 제목처럼 검정색 작품만 고른 점이다.

그의	그/NP+의/JKG
대명사인	대명사/NNG+이/VCP+ㄴ/ETM
움직이는	움직이/VV+는/ETM
조각	조각/NNG
모빌과	모빌/NNG+과/JKB
함께	함께/MAG
정지된	정지/NNG+되/XSV+ㄴ/ETM
‘스태빌’도	‘/SS+스태빌/NNG+’/SS+도/JX
전시하는	전시/NNG+하/XSV+는/ETM
이번	이번/NNG
전시의	전시/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
특징은	특징/NNG+은/JX
전시	전시/NNG
제목처럼	제목/NNG+처럼/JKB
검정색	검정색/NNG
작품만	작품/NNG+만/JX
고른	고르/VA+ㄴ/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.130.13.2
칼더는 대부분 작품에서 빨강과 검정 두 가지 색을 집중해서 썼고, 특히 형태를 더욱 잘 드러내는 색으로 검정색을 즐겨 썼다.

칼더는	칼더/NNP+는/JX
대부분	대/XPN+부분/NNG
작품에서	작품/NNG+에서/JKB
빨강과	빨강/NNG+과/JC
검정	검정/NNG
두	두/MMN
가지	가지/NNB
색을	색/NNG+을/JKO
집중해서	집중/NNG+하/XSV+아서/EC
썼고,	쓰/VV+었/EP+고/EC+,/SP
특히	특히/MAG
형태를	형태/NNG+를/JKO
더욱	더욱/MAG
잘	잘/MAG
드러내는	드러내/VV+는/ETM
색으로	색/NNG+으로/JKB
검정색을	검정색/NNG+을/JKO
즐겨	즐기/VV+어/EC
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.130.13.3
그의 작품 경향을 잘 보여주는 <더 플레임>(1967·아래) 등 다양한 검정색 조각들이 다른 전시장과는 다른 독특한 공간감을 만들어낸다.

그의	그/NP+의/JKG
작품	작품/NNG
경향을	경향/NNG+을/JKO
잘	잘/MAG
보여주는	보이/VV+어/EC+주/VX+는/ETM
<더	</SS+더/NNP
플레임>(1967·아래)	플레임/NNP+>/SS+(/SS+1967/SN+·/SP+아래/NNG+)/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
검정색	검정색/NNG
조각들이	조각/NNG+들/XSN+이/JKS
다른	다르/VA+ㄴ/ETM
전시장과는	전시장/NNG+과/JKB+는/JX
독특한	독특/NNG+하/XSA+ㄴ/ETM
공간감을	공간감/NNG+을/JKO
만들어낸다.	만들/VV+어/EC+내/VX+ㄴ다/EF+./SF


