# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.65
metadata : {}


# id : NWRW1800000044.65.1.1
아베, 한·중에 “조건없이 정상회담 해야”

아베,	아베/NNP+,/SP
정상회담을 하려면 “사전 준비가 있어야 한다”는 박근혜 대통령의 태도와 차이가 커서 당분간 한-일 정상회담이 이뤄지긴 쉽지 않아 보인다.

정상회담을	정상/NNG+회담/NNG+을/JKO
하려면	하/VV+려면/EC
“사전	“/SS+사전/NNG
준비가	준비/NNG+가/JKS
있어야	있/VA+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
태도와	태도/NNG+와/JKB
차이가	차이/NNG+가/JKS
커서	크/VA+어서/EC
당분간	당분간/MAG
한-일	한-일/NNP
정상회담이	정상/NNG+회담/NNG+이/JKS
이뤄지긴	이뤄지/VV+기/ETN+ㄴ/JX
쉽지	쉽/VA+지/EC
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.65.6.1
아베 총리는 6일 미에현 이세신궁을 참배한 뒤 연 새해 기자회견에서 새해 외교정책에 대해 질문을 받고 “중국·한국과 대화를 하는 것이 이 지역의 평화와 안정에 중요하다고 생각한다.

아베	아베/NNP
총리는	총리/NNG+는/JX
6일	6/SN+일/NNB
미에현	미에현/NNP
이세신궁을	이세신궁/NNP+을/JKO
참배한	참배/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
연	열/VV+ㄴ/ETM
새해	새해/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
외교정책에	외교/NNG+정책/NNG+에/JKB
대해	대하/VV+아/EC
질문을	질문/NNG+을/JKO
받고	받/VV+고/EC
“중국·한국과	“/SS+중국/NNP+·/SP+한국/NNP+과/JKB
대화를	대화/NNG+를/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
이	이/MMD
지역의	지역/NNG+의/JKG
평화와	평화/NNG+와/JC
안정에	안정/NNG+에/JKB
중요하다고	중요/NNG+하/XSA+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.65.6.2
정상회담은 지금 상황에서 전망이 있는 것은 아니지만 곤란한 과제와 문제가 있을수록 전제조건 없이 정상들이 흉금을 열고 대화해야 한다”고 말했다.

정상회담은	정상/NNG+회담/NNG+은/JX
지금	지금/MAG
상황에서	상황/NNG+에서/JKB
전망이	전망/NNG+이/JKS
있는	있/VA+는/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
곤란한	곤란/NNG+하/XSA+ㄴ/ETM
과제와	과제/NNG+와/JC
문제가	문제/NNG+가/JKS
있을수록	있/VA+을수록/EC
전제조건	전제/NNG+조건/NNG
없이	없이/MAG
정상들이	정상/NNG+들/XSN+이/JKS
흉금을	흉금/NNG+을/JKO
열고	열/VV+고/EC
대화해야	대화/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.65.7.1
그는 지난달 26일 감행한 야스쿠니신사 참배에 대해선 “(참배 직후 발표한) 담화에서 언급한 나의 진의를 직접 성의를 갖고 설명하고 싶다.

그는	그/NP+는/JX
지난달	지난달/NNG
26일	26/SN+일/NNB
감행한	감행/NNG+하/XSV+ㄴ/ETM
야스쿠니신사	야스쿠니신사/NNP
참배에	참배/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“(참배	“/SS+(/SS+참배/NNG
직후	직후/NNG
발표한)	발표/NNG+하/XSV+ㄴ/ETM+)/SS
담화에서	담화/NNG+에서/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
나의	나/NP+의/JKG
진의를	진의/NNG+를/JKO
직접	직접/MAG
성의를	성의/NNG+를/JKO
갖고	갖/VV+고/EC
설명하고	설명/NNG+하/XSV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000044.65.7.2
정상회담을 위해 구체적인 노력이 없다는 지적이 있지만 ‘언제나 대화의 문이 열려 있다.

정상회담을	정상/NNG+회담/NNG+을/JKO
위해	위하/VV+아/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
노력이	노력/NNG+이/JKS
없다는	없/VA+다는/ETM
지적이	지적/NNG+이/JKS
있지만	있/VA+지만/EC
‘언제나	‘/SS+언제나/MAG
대화의	대화/NNG+의/JKG
문이	문/NNG+이/JKS
열려	열리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.65.7.3
일-중, 일-한 정상회담을 하고 싶다’고 공개적인 자리에서 말해왔다.

일-중,	일/NNP+-/SO+중/NNP+,/SP
일-한	일-한/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
하고	하/VV+고/EC
싶다’고	싶/VX+다/EF+’/SS+고/JKQ
공개적인	공개/NNG+적/XSN+이/VCP+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
말해왔다.	말/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.65.7.4
이것도 직접적인 접근이 아닐까 한다”고 말했다.

이것도	이것/NP+도/JX
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
접근이	접근/NNG+이/JKC
아닐까	아니/VCN+ㄹ까/EF
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.65.8.1
그러나 이날 박근혜 대통령은 새해 기자회견에서 “여태까지 한-일 정상회담을 하지 않겠다고 말한 적이 없다”면서도 “정상회담은 두 나라 관계 발전에 도움이 되는 결과를 가져와야 하기 때문에 사전에 충분한 준비가 있어야 한다”고 못을 박았다.

그러나	그러나/MAJ
이날	이날/NNG
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
새해	새해/NNG
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“여태까지	“/SS+여태/MAG+까지/JX
한-일	한-일/NNP
정상회담을	정상/NNG+회담/NNG+을/JKO
하지	하/VV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
말한	말/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”면서도	없/VA+다/EF+”/SS+면서/EC+도/JX
“정상회담은	“/SS+정상/NNG+회담/NNG+은/JX
두	두/MMN
나라	나라/NNG
관계	관계/NNG
발전에	발전/NNG+에/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
결과를	결과/NNG+를/JKO
가져와야	가져오/VV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
사전에	사전/NNG+에/JKB
충분한	충분하/VA+ㄴ/ETM
준비가	준비/NNG+가/JKS
있어야	있/VA+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
못을	못/NNG+을/JKO
박았다.	박/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.65.8.2
박 대통령이 염두에 둔 ‘사전 준비’는 이날 그가 한-일 관계의 기초라고 언급한 ‘무라야마 담화’(일본의 침략과 식민지배를 인정한 담화)와 ‘고노 담화’(위안부 동원의 강제성을 인정한 담화)에 대한 일본 정부의 성의 있는 견해 표명을 염두에 둔 것으로 해석된다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
염두에	염두/NNG+에/JKB
둔	두/VV+ㄴ/ETM
‘사전	‘/SS+사전/NNG
준비’는	준비/NNG+’/SS+는/JX
이날	이날/NNG
그가	그/NP+가/JKS
한-일	한-일/NNP
관계의	관계/NNG+의/JKG
기초라고	기초/NNG+이/VCP+라고/EC
언급한	언급/NNG+하/XSV+ㄴ/ETM
‘무라야마	‘/SS+무라야마/NNP
담화’(일본의	담화/NNG+’/SS+(/SS+일본/NNP+의/JKG
침략과	침략/NNG+과/JC
식민지배를	식민/NNG+지배/NNG+를/JKO
인정한	인정/NNG+하/XSV+ㄴ/ETM
담화)와	담화/NNG+)/SS+와/JC
‘고노	‘/SS+고노/NNP
담화’(위안부	담화/NNG+’/SS+(/SS+위안부/NNG
동원의	동원/NNG+의/JKG
강제성을	강제/NNG+성/XSN+을/JKO
담화)에	담화/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
일본	일본/NNP
정부의	정부/NNG+의/JKG
성의	성의/NNG
있는	있/VA+는/ETM
견해	견해/NNG
표명을	표명/NNG+을/JKO
것으로	것/NNB+으로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.65.8.3
중국 외교부의 화춘잉 대변인도 이날 정례브리핑에서 “일련의 행위들로 놓고 보건대 아베 총리가 말끝마다 중국 지도자와 대화를 희망한다고 하는 것은 허위다.

중국	중국/NNP
외교부의	외교부/NNG+의/JKG
화춘잉	화춘잉/NNP
대변인도	대변인/NNG+도/JX
이날	이날/NNG
정례브리핑에서	정례/NNG+브리핑/NNG+에서/JKB
“일련의	“/SS+일련/NNG+의/JKG
행위들로	행위/NNG+들/XSN+로/JKB
놓고	놓/VV+고/EC
보건대	보/VX+건대/EC
아베	아베/NNP
총리가	총리/NNG+가/JKS
말끝마다	말끝/NNG+마다/JX
지도자와	지도자/NNG+와/JKB
대화를	대화/NNG+를/JKO
희망한다고	희망/NNG+하/XSV+ㄴ다고/EC
하는	하/VV+는/ETM
것은	것/NNB+은/JX
허위다.	허위/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.65.8.4
그는 스스로 중국 지도자와의 대화의 대문을 닫아걸었다”며 정상회담 제의에 거부의 뜻을 밝혔다.

그는	그/NP+는/JX
스스로	스스로/MAG
중국	중국/NNP
지도자와의	지도자/NNG+와/JKB+의/JKG
대화의	대화/NNG+의/JKG
대문을	대문/NNG+을/JKO
닫아걸었다”며	닫/VV+아/EC+걸/VV+었/EP+다/EF+”/SS+며/EC
정상회담	정상/NNG+회담/NNG
제의에	제의/NNG+에/JKB
거부의	거부/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.65.9.1
아베 총리는 일본 안팎의 초미의 관심사인 헌법 개정에 대해선 “헌법이 제정된 지 68년이 되는 지금 시대의 변화를 반영한 해석의 변경이나 개정을 위한 국민적인 논의를 더욱 깊게 해야 할 필요가 있다”며, 올해 본격적인 개정 논의를 시작하겠다는 뜻을 분명히 했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
일본	일본/NNP
안팎의	안팎/NNG+의/JKG
초미의	초미/NNG+의/JKG
관심사인	관심사/NNG+이/VCP+ㄴ/ETM
헌법	헌법/NNG
개정에	개정/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“헌법이	“/SS+헌법/NNG+이/JKS
제정된	제정/NNG+되/XSV+ㄴ/ETM
지	지/NNB
68년이	68/SN+년/NNB+이/JKC
되는	되/VV+는/ETM
지금	지금/MAG
시대의	시대/NNG+의/JKG
변화를	변화/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
해석의	해석/NNG+의/JKG
변경이나	변경/NNG+이나/JC
개정을	개정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국민적인	국민/NNG+적/XSN+이/VCP+ㄴ/ETM
논의를	논의/NNG+를/JKO
더욱	더욱/MAG
깊게	깊/VA+게/EC
해야	하/VX+아야/EC
할	하/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”며,	있/VA+다/EF+”/SS+며/EC+,/SP
올해	올해/NNG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
개정	개정/NNG
시작하겠다는	시작/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.65.9.2
이에 대한 주변국의 우려와 반발에 대해선 “한국과 중국에 정중하게 설명을 하고 싶다.

이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
주변국의	주변국/NNG+의/JKG
우려와	우려/NNG+와/JC
반발에	반발/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“한국과	“/SS+한국/NNP+과/JC
중국에	중국/NNP+에/JKB
정중하게	정중하/VA+게/EC
설명을	설명/NNG+을/JKO
하고	하/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000044.65.9.3
아베 정권이 추진하고 있는 ‘적극적 평화주의’에 대해서도 제대로 설명을 하면 이해해줄 것이라 확신한다”고 밝혔다.

아베	아베/NNP
정권이	정권/NNG+이/JKS
추진하고	추진/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘적극적	‘/SS+적극/NNG+적/XSN
평화주의’에	평화주의/NNG+’/SS+에/JKB
대해서도	대하/VV+아서/EC+도/JX
제대로	제대로/MAG
설명을	설명/NNG+을/JKO
하면	하/VV+면/EC
이해해줄	이해/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EC
확신한다”고	확신/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.65.10.1
아베 총리는 한국 정부도 참여 의사를 밝힌 환태평양경제동반자협정(TPP)에 대해선 “국익과 국익이 부딪히는 측면이 있다.

아베	아베/NNP
총리는	총리/NNG+는/JX
한국	한국/NNP
정부도	정부/NNG+도/JX
참여	참여/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
환태평양경제동반자협정(TPP)에	환태평양/NNP+경제/NNG+동반자/NNG+협정/NNG+(/SS+TPP/SL+)/SS+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“국익과	“/SS+국익/NNG+과/JC
국익이	국익/NNG+이/JKS
부딪히는	부딪히/VV+는/ETM
측면이	측면/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.65.10.2
대국적인 관점에서 착지점을 찾아나갈 것”이라고 말했고, 핵발전소 신설을 두고선 “재생가능에너지 등 에너지원의 다양화를 추진하며 가능한 한 원전 의존도를 낮춰간다는 게 기본방침이다.

대국적인	대국/NNG+적/XSN+이/VCP+ㄴ/ETM
관점에서	관점/NNG+에서/JKB
착지점을	착지점/NNG+을/JKO
찾아나갈	찾/VV+아/EC+나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했고,	말/NNG+하/XSV+았/EP+고/EC+,/SP
핵발전소	핵/NNG+발전소/NNG
신설을	신설/NNG+을/JKO
두고선	두/VV+고서/EC+ㄴ/JX
“재생가능에너지	“/SS+재생/NNG+가능/NNG+에너지/NNG
등	등/NNB
에너지원의	에너지원/NNG+의/JKG
다양화를	다양/NNG+화/XSN+를/JKO
추진하며	추진/NNG+하/XSV+며/EC
가능한	가능/NNG+하/XSA+ㄴ/ETM
한	한/NNG
원전	원전/NNG
의존도를	의존도/NNG+를/JKO
낮춰간다는	낮추/VV+어/EC+가/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
기본방침이다.	기본/NNG+방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.65.10.3
기존 원전에 대한 재가동은 하겠지만, 원전 신설은 전혀 생각하고 있지 않다”고 말했다.

기존	기존/NNG
원전에	원전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재가동은	재/XPN+가동/NNG+은/JX
하겠지만,	하/VV+겠/EP+지만/EC+,/SP
원전	원전/NNG
신설은	신설/NNG+은/JX
전혀	전혀/MAG
생각하고	생각/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.65.11.1
한편, 아베 총리는 이날 기자회견에 앞서 기시다 후미오 외상 등 7명의 각료와 함께 일본의 건국신인 아마테라스 오미카미를 모시는 이세신궁을 참배했다.

한편,	한편/MAG+,/SP
아베	아베/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
기자회견에	기자/NNG+회견/NNG+에/JKB
앞서	앞서/VV+어/EC
기시다	기시다/NNP
후미오	후미오/NNP
외상	외상/NNG
등	등/NNB
7명의	7/SN+명/NNB+의/JKG
각료와	각료/NNG+와/JKB
함께	함께/MAG
일본의	일본/NNP+의/JKG
건국신인	건국/NNG+신/NNG+이/VCP+ㄴ/ETM
아마테라스	아마테라스/NNP
오미카미를	오미카미/NNP+를/JKO
모시는	모시/VV+는/ETM
이세신궁을	이세신궁/NNP+을/JKO
참배했다.	참배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.65.11.2
아베 총리가 취임 이후 이세신궁을 참배하기는 이번이 세번째다.

아베	아베/NNP
총리가	총리/NNG+가/JKS
취임	취임/NNG
이후	이후/NNG
이세신궁을	이세신궁/NNP+을/JKO
참배하기는	참배/NNG+하/XSV+기/ETN+는/JX
이번이	이번/NNG+이/JKS
세번째다.	세/MMN+번/NNB+째/XSN+이/VCP+다/EF+./SF


