# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.310
metadata : {}


# id : NWRW1800000029.310.1.1
[횡설수설/정성희]베이비 부머의 정년 연장

[횡설수설/정성희]베이비	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+베이비/NNG
14.6%를	14/SN+./SP+6/SN+%/SW+를/JKO
차지하며	차지/NNG+하/XSV+며/EC
약	약/MMA
712만	712/SN+만/NR
명에	명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.310.3.1
▷1955년 태어난 한국의 첫 베이비 부머는 지난해 55세를 맞아 은퇴하기 시작했다.

▷1955년	▷/SW+1955/SN+년/NNB
태어난	태어나/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
첫	첫/MMN
베이비	베이비/NNG
부머는	부머/NNG+는/JX
지난해	지난해/NNG
55세를	55/SN+세/NNB+를/JKO
맞아	맞/VV+아/EC
은퇴하기	은퇴/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.310.3.2
이들의 집단 퇴장은 여러 파장을 낳을 것으로 예상된다.

이들의	이/NP+들/XSN+의/JKG
집단	집단/NNG
퇴장은	퇴장/NNG+은/JX
여러	여러/MMN
파장을	파장/NNG+을/JKO
낳을	낳/VV+을/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.310.3.3
미국의 경우 2008년 글로벌 금융위기로 발전된 서브프라임 모기지 사태가 베이비 부머의 소멸 때문이라는 지적이 나온다.

미국의	미국/NNP+의/JKG
경우	경우/NNG
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기로	금융/NNG+위기/NNG+로/JKB
발전된	발전/NNG+되/XSV+ㄴ/ETM
서브프라임	서브프라임/NNG
모기지	모기지/NNG
사태가	사태/NNG+가/JKS
베이비	베이비/NNG
부머의	부머/NNG+의/JKG
소멸	소멸/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.310.3.4
1991년 부동산 버블이 붕괴되면서 일본 경제가 침체에 빠진 시기는 단카이세대의 은퇴와 맞물려 있다는 시각도 있다.

1991년	1991/SN+년/NNB
부동산	부동산/NNG
버블이	버블/NNG+이/JKS
붕괴되면서	붕괴/NNG+되/XSV+면서/EC
일본	일본/NNP
경제가	경제/NNG+가/JKS
침체에	침체/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
시기는	시기/NNG+는/JX
단카이세대의	단카이/NNG+세대/NNG+의/JKG
은퇴와	은퇴/NNG+와/JKB
맞물려	맞물리/VV+어/EC
있다는	있/VX+다는/ETM
시각도	시각/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.310.3.5
우리도 그렇지만 미국 일본의 베이비붐 세대는 부동산 보유 비율이 높다.

우리도	우리/NP+도/JX
그렇지만	그렇지만/MAJ
미국	미국/NNP
일본의	일본/NNP+의/JKG
베이비붐	베이비붐/NNG
세대는	세대/NNG+는/JX
부동산	부동산/NNG
보유	보유/NNG
비율이	비율/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000029.310.3.6
그동안 부동산 가격이 오르면서 활발한 소비를 해온 이들이 은퇴와 함께 자산효과에 따른 소비가 위축돼 경제위기를 촉발했다는 것이다.

그동안	그동안/NNG
부동산	부동산/NNG
가격이	가격/NNG+이/JKS
오르면서	오르/VV+면서/EC
활발한	활발하/VA+ㄴ/ETM
소비를	소비/NNG+를/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
이들이	이/NP+들/XSN+이/JKS
은퇴와	은퇴/NNG+와/JKB
함께	함께/MAG
자산효과에	자산/NNG+효과/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
소비가	소비/NNG+가/JKS
위축돼	위축/NNG+되/XSV+어/EC
경제위기를	경제/NNG+위기/NNG+를/JKO
촉발했다는	촉발/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.310.4.1
▷한국에서 베이비 부머의 퇴장은 조기 은퇴 추세를 감안할 때 앞으로 급속히 진행될 가능성이 높다.

▷한국에서	▷/SW+한국/NNP+에서/JKB
베이비	베이비/NNG
부머의	부머/NNG+의/JKG
퇴장은	퇴장/NNG+은/JX
조기	조기/NNG
은퇴	은퇴/NNG
추세를	추세/NNG+를/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
앞으로	앞/NNG+으로/JKB
급속히	급속히/MAG
진행될	진행/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000029.310.4.2
세계에서 고령화가 가장 빠른 우리나라에서 이들이 근로현장을 한꺼번에 떠나게 되면 부양비 증가, 소비 위축, 숙련된 근로자의 단절과 같은 여러 부작용이 일어날 수 있다.

세계에서	세계/NNG+에서/JKB
고령화가	고령/NNG+화/XSN+가/JKS
가장	가장/MAG
빠른	빠르/VA+ㄴ/ETM
우리나라에서	우리나라/NNG+에서/JKB
이들이	이/NP+들/XSN+이/JKS
근로현장을	근로/NNG+현장/NNG+을/JKO
한꺼번에	한꺼번에/MAG
떠나게	떠나/VV+게/EC
되면	되/VV+면/EC
부양비	부양비/NNG
증가,	증가/NNG+,/SP
소비	소비/NNG
위축,	위축/NNG+,/SP
숙련된	숙련/NNG+되/XSV+ㄴ/ETM
근로자의	근로자/NNG+의/JKG
단절과	단절/NNG+과/JKB
같은	같/VA+은/ETM
여러	여러/MMN
부작용이	부작용/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.310.4.3
특히 50대 가장의 실직은 중산층의 붕괴와 가정 해체로도 이어질 수 있는 사회적 폭탄이다.

특히	특히/MAG
50대	50/SN+대/NNB
가장의	가장/NNG+의/JKG
실직은	실직/NNG+은/JX
중산층의	중산/NNG+층/XSN+의/JKG
붕괴와	붕괴/NNG+와/JC
가정	가정/NNG
해체로도	해체/NNG+로/JKB+도/JX
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회적	사회/NNG+적/XSN
폭탄이다.	폭탄/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.310.5.1
▷베이비붐 세대의 정년연장에 관한 노사정 합의가 사실상 결렬됐다.

▷베이비붐	▷/SW+베이비붐/NNG
세대의	세대/NNG+의/JKG
정년연장에	정년/NNG+연장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
노사정	노사정/NNG
합의가	합의/NNG+가/JKS
사실상	사실/NNG+상/XSN
결렬됐다.	결렬/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.310.5.2
정년을 연장해주면 가뜩이나 심각한 청년실업이 더 악화할 것이라는 딜레마 때문에 합의에 이르지 못했다.

정년을	정년/NNG+을/JKO
연장해주면	연장/NNG+하/XSV+아/EC+주/VX+면/EC
가뜩이나	가뜩이나/MAG
심각한	심각하/VA+ㄴ/ETM
청년실업이	청년/NNG+실업/NNG+이/JKS
더	더/MAG
악화할	악화/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
딜레마	딜레마/NNG
때문에	때문/NNB+에/JKB
합의에	합의/NNG+에/JKB
이르지	이르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.310.5.3
그러나 해외에서는 다른 결과가 나오고 있다.

그러나	그러나/MAJ
해외에서는	해외/NNG+에서/JKB+는/JX
다른	다르/VA+ㄴ/ETM
결과가	결과/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.310.5.4
프랑스는 1980년대 중반 청년실업 해소를 위해 고령자의 조기은퇴를 유도하는 정책을 썼으나 청년고용은 늘지 않았고 그 대신 고령자에 대한 연금지급 증가 등 사회적 부담만 커졌다.

프랑스는	프랑스/NNP+는/JX
1980년대	1980/SN+년대/NNB
중반	중반/NNG
청년실업	청년/NNG+실업/NNG
해소를	해소/NNG+를/JKO
위해	위하/VV+아/EC
고령자의	고령자/NNG+의/JKG
조기은퇴를	조기/NNG+은퇴/NNG+를/JKO
유도하는	유도/NNG+하/XSV+는/ETM
정책을	정책/NNG+을/JKO
썼으나	쓰/VV+었/EP+으나/EC
청년고용은	청년/NNG+고용/NNG+은/JX
늘지	늘/VV+지/EC
않았고	않/VX+았/EP+고/EC
그	그/NP
대신	대신/NNG
고령자에	고령자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연금지급	연금/NNG+지급/NNG
증가	증가/NNG
등	등/NNB
사회적	사회/NNG+적/XSN
부담만	부담/NNG+만/JX
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.310.5.5
이런 사례들을 교훈 삼아 청년층과 중장년층이 공존할 수 있는 새로운 정년 패러다임을 찾는 일이 급하다.

이런	이런/MMD
사례들을	사례/NNG+들/XSN+을/JKO
교훈	교훈/NNG
삼아	삼/VV+아/EC
청년층과	청년/NNG+층/XSN+과/JC
중장년층이	중장년/NNG+층/XSN+이/JKS
공존할	공존/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
새로운	새롭/VA+ㄴ/ETM
정년	정년/NNG
패러다임을	패러다임/NNG+을/JKO
찾는	찾/VV+는/ETM
일이	일/NNG+이/JKS
급하다.	급하/VA+다/EF+./SF


