# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.17
metadata : {}


# id : NWRW1800000025.17.1.1
[수도권]일산 옛 출판단지터 10년 만에 햇빛

[수도권]일산	[/SS+수도/NNG+권/XSN+]/SS+일산/NNP
건물을	건물/NNG+을/JKO
지을	짓/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
해달라는	하/VX+아/EC+달/VX+라는/ETM
토지	토지/NNG
소유	소유/NNG
업체와	업체/NNG+와/JC
이를	이/NP+를/JKO
허용하지	허용/NNG+하/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
고양시가	고양시/NNP+가/JKS
장기간	장기간/NNG
갈등을	갈등/NNG+을/JKO
빚어왔다.	빚/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.17.5.2
하지만 장기 방치에 따른 지역경제 침체와 사실상 지정 용도가 불필요한 상황이 맞물리면서 업체 측이 토지의 상당 부분을 공공용도로 내놓는 조건을 달아 개발이 추진되게 됐다.

하지만	하지만/MAJ
장기	장기/NNG
방치에	방치/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
지역경제	지역/NNG+경제/NNG
침체와	침체/NNG+와/JC
사실상	사실/NNG+상/XSN
지정	지정/NNG
용도가	용도/NNG+가/JKS
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
상황이	상황/NNG+이/JKS
맞물리면서	맞물리/VV+면서/EC
업체	업체/NNG
측이	측/NNB+이/JKS
토지의	토지/NNG+의/JKG
상당	상당/NNG
부분을	부분/NNG+을/JKO
공공용도로	공공/NNG+용도/NNG+로/JKB
내놓는	내놓/VV+는/ETM
조건을	조건/NNG+을/JKO
달아	달/VV+아/EC
개발이	개발/NNG+이/JKS
추진되게	추진/NNG+되/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.17.5.3
지난해 12월 기존 용도를 폐지하고 주상복합 건물을 짓는 내용의 도시관리계획 변경 결정안이 고양시 도시건축공동위원회를 통과하면서 사업이 본격 추진되고 있다.

지난해	지난해/NNG
12월	12/SN+월/NNB
기존	기존/NNG
용도를	용도/NNG+를/JKO
폐지하고	폐지/NNG+하/XSV+고/EC
주상복합	주상/NNG+복합/NNG
건물을	건물/NNG+을/JKO
짓는	짓/VV+는/ETM
내용의	내용/NNG+의/JKG
도시관리계획	도시/NNG+관리/NNG+계획/NNG
변경	변경/NNG
결정안이	결정안/NNG+이/JKS
고양시	고양시/NNP
도시건축공동위원회를	도시/NNG+건축/NNG+공동/NNG+위원회/NNG+를/JKO
통과하면서	통과/NNG+하/XSV+면서/EC
사업이	사업/NNG+이/JKS
본격	본격/NNG
추진되고	추진/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.17.6.1
이 일대는 일산신도시에서 서울과 가장 가깝고 주변에 병원과 지하철역이 자리 잡아 개발 조건이 좋다는 평가를 얻고 있다.

이	이/MMD
일대는	일대/NNG+는/JX
일산신도시에서	일산신도시/NNP+에서/JKB
서울과	서울/NNP+과/JKB
가장	가장/MAG
가깝고	가깝/VA+고/EC
주변에	주변/NNG+에/JKB
병원과	병원/NNG+과/JC
지하철역이	지하철역/NNG+이/JKS
자리	자리/NNG
잡아	잡/VV+아/EC
개발	개발/NNG
조건이	조건/NNG+이/JKS
좋다는	좋/VA+다는/ETM
평가를	평가/NNG+를/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.17.6.2
특히 연간 1000명 이상이 고양시 이외 지역의 특수목적고에 진학하는 등 교육열이 높은 일산지역의 특징을 반영해 용지 내에 자율형 사립고를 짓는 방안이 추진되는 점도 지역 주민들에게 큰 관심사가 되고 있다.

특히	특히/MAG
연간	연간/NNG
1000명	1000/SN+명/NNB
이상이	이상/NNG+이/JKS
고양시	고양시/NNP
이외	이외/NNG
지역의	지역/NNG+의/JKG
특수목적고에	특수/NNG+목적고/NNG+에/JKB
진학하는	진학/NNG+하/XSV+는/ETM
등	등/NNB
교육열이	교육열/NNG+이/JKS
높은	높/VA+은/ETM
일산지역의	일산/NNP+지역/NNG+의/JKG
특징을	특징/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
용지	용지/NNG
내에	내/NNB+에/JKB
자율형	자율/NNG+형/XSN
사립고를	사립고/NNG+를/JKO
짓는	짓/VV+는/ETM
방안이	방안/NNG+이/JKS
추진되는	추진/NNG+되/XSV+는/ETM
점도	점/NNG+도/JX
지역	지역/NNG
주민들에게	주민/NNG+들/XSN+에게/JKB
큰	크/VA+ㄴ/ETM
관심사가	관심사/NNG+가/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


