# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.397
metadata : {}


# id : NWRW1800000046.397.1.1
[나눔, 통일의 시작입니다] 금오회 회원들 500만원 보내오고… 수성인재육성장학재단도 100만원

[나눔,	[/SS+나누/VV+ㅁ/ETN+,/SP
통일을	통일/NNG+을/JKO
이루는	이루/VV+는/ETM
데	데/NNB
조금이라도	조금/NNG+이라도/JX
보탬이	보탬/NNG+이/JKC
됐으면	되/VV+었/EP+으면/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
200만원을	200/SN+만/NR+원/NNB+을/JKO
전해왔다.	전하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.397.6.1
대구·경북 지역의 단체들도 통일나눔펀드에 동참했다.

대구·경북	대구/NNP+·/SP+경북/NNP
지역의	지역/NNG+의/JKG
단체들도	단체/NNG+들/XSN+도/JX
통일나눔펀드에	통일/NNG+나눔/NNG+펀드/NNG+에/JKB
동참했다.	동참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.397.6.2
대구·경북 지역의 원로 경영인들로 구성돼 지역에서 봉사활동을 하는 금오회 회원들도 500만원을 보내왔다.

대구·경북	대구/NNP+·/SP+경북/NNP
지역의	지역/NNG+의/JKG
원로	원로/NNG
경영인들로	경영인/NNG+들/XSN+로/JKB
구성돼	구성/NNG+되/XSV+어/EC
지역에서	지역/NNG+에서/JKB
봉사활동을	봉사/NNG+활동/NNG+을/JKO
하는	하/VV+는/ETM
금오회	금오회/NNP
회원들도	회원/NNG+들/XSN+도/JX
500만원을	500/SN+만/NR+원/NNB+을/JKO
보내왔다.	보내오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.397.6.3
도재덕(74) 금오회 회장은 "회원 모두 국가 안보와 통일에 대한 남다른 시각과 염원을 가진 만큼 소식을 접하고 바로 회의를 열어 통일나눔펀드에 참여키로 의견을 모았다"고 말했다.

도재덕(74)	도재덕/NNP+(/SS+74/SN+)/SS
금오회	금오회/NNP
회장은	회장/NNG+은/JX
"회원	"/SS+회원/NNG
모두	모두/MAG
국가	국가/NNG
안보와	안보/NNG+와/JC
통일에	통일/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
남다른	남다르/VA+ㄴ/ETM
시각과	시각/NNG+과/JC
염원을	염원/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
만큼	만큼/NNB
소식을	소식/NNG+을/JKO
접하고	접하/VV+고/EC
바로	바로/MAG
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
통일나눔펀드에	통일/NNG+나눔/NNG+펀드/NNG+에/JKB
참여키로	참여/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다"고	모으/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.397.7.1
대구 수성구청이 2013년 출연해 설립된 수성인재육성장학재단도 매일신문을 통해 100만원을 전해왔다.

대구	대구/NNP
수성구청이	수성구청/NNP+이/JKS
2013년	2013/SN+년/NNB
출연해	출연/NNG+하/XSV+아/EC
설립된	설립/NNG+되/XSV+ㄴ/ETM
수성인재육성장학재단도	수성인재육성장학재단/NNP+도/JX
매일신문을	매일신문/NNP+을/JKO
통해	통하/VV+아/EC
100만원을	100/SN+만/NR+원/NNB+을/JKO
전해왔다.	전하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.397.7.2
이성로(65) 이사장은 "작은 나눔이 통일이라는 큰 꿈을 이뤄, 남북이 함께 발전해 나가길 바란다"고 했다.

이성로(65)	이성로/NNP+(/SS+65/SN+)/SS
이사장은	이사장/NNG+은/JX
"작은	"/SS+작/VA+은/ETM
나눔이	나누/VV+ㅁ/ETN+이/JKS
통일이라는	통일/NNG+이/VCP+라는/ETM
큰	크/VA+ㄴ/ETM
꿈을	꿈/NNG+을/JKO
이뤄,	이루/VV+어/EC+,/SP
남북이	남북/NNP+이/JKS
함께	함께/MAG
발전해	발전/NNG+하/XSV+아/EC
나가길	나가/VX+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


