# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.47
metadata : {}


# id : NWRW1800000024.47.1.1
엘지 휴대전화 ‘1억대 고비’ 넘어설까

엘지	엘지/NNP
1억대의	1/SN+억/NR+대/XSN+의/JKG
‘덫’은	‘/SS+덫/NNG+’/SS+은/JX
이미	이미/MAG
여러	여러/MMN
업체의	업체/NNG+의/JKG
발목을	발목/NNG+을/JKO
잡은	잡/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.47.4.2
모토롤라는 2004년 이후 전세계에 5천만대가 팔려나간 레이저폰에 힘입어 1억대를 돌파한 뒤 2006년엔 2억대까지 수직상승했다.

모토롤라는	모토롤라/NNP+는/JX
2004년	2004/SN+년/NNB
이후	이후/NNG
전세계에	전/MMN+세계/NNG+에/JKB
5천만대가	5/SN+천만/NR+대/NNB+가/JKS
팔려나간	팔리/VV+어/EC+나가/VX+ㄴ/ETM
레이저폰에	레이저폰/NNP+에/JKB
힘입어	힘입/VV+어/EC
1억대를	1/SN+억/NR+대/XSN+를/JKO
돌파한	돌파/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2006년엔	2006/SN+년/NNB+에/JKB+ㄴ/JX
2억대까지	2/SN+억/NR+대/XSN+까지/JX
수직상승했다.	수직/NNG+상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.47.4.3
소니에릭슨 또한 뮤직폰의 히트로 2007년 처음으로 1억대를 돌파했다.

소니에릭슨	소니에릭슨/NNP
또한	또한/MAG
뮤직폰의	뮤직폰/NNG+의/JKG
히트로	히트/NNG+로/JKB
2007년	2007/SN+년/NNB
처음으로	처음/NNG+으로/JKB
1억대를	1/SN+억/NR+대/XSN+를/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.47.4.4
하지만 달콤함은 길지 않았다.

하지만	하지만/MAJ
달콤함은	달콤하/VA+ㅁ/ETN+은/JX
길지	길/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.47.4.5
모토롤라는 지난해 4분기엔 전년동기 대비 절반 가까이까지 판매량이 떨어졌다.

모토롤라는	모토롤라/NNP+는/JX
지난해	지난해/NNG
4분기엔	4/SN+분기/NNG+에/JKB+ㄴ/JX
전년동기	전년/NNG+동기/NNG
대비	대비/NNG
절반	절반/NNG
가까이까지	가까이/NNG+까지/JX
판매량이	판매량/NNG+이/JKS
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.47.4.6
최고재무책임자도 전격 사임했다.

최고재무책임자도	최고/NNG+재무/NNG+책임자/NNG+도/JX
전격	전격/NNG
사임했다.	사임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.47.4.7
소니에릭슨은 1억대 미만으로 떨어졌다.

소니에릭슨은	소니에릭슨/NNP+은/JX
1억대	1/SN+억/NR+대/XSN
미만으로	미만/NNG+으로/JKB
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.47.5.1
모토롤라는 레이저폰 이후 히트작을 내놓지 못했고 소니에릭슨은 지나친 유럽시장 의존도와 고가폰 위주 포트폴리오가 문제가 됐다.

모토롤라는	모토롤라/NNP+는/JX
레이저폰	레이저폰/NNP
이후	이후/NNG
히트작을	히트작/NNG+을/JKO
내놓지	내놓/VV+지/EC
못했고	못하/VX+았/EP+고/EC
소니에릭슨은	소니에릭슨/NNP+은/JX
지나친	지나치/VA+ㄴ/ETM
유럽시장	유럽/NNP+시장/NNG
의존도와	의존도/NNG+와/JC
고가폰	고가/NNG+폰/NNG
위주	위주/NNG
포트폴리오가	포트폴리오/NNG+가/JKS
문제가	문제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.47.5.2
대우증권 강윤흠 연구위원은 “1억대를 넘어서면 고가 제품이나 한두가지 장점에 의존하지 않는 ‘올라운드 플레이어’가 되어야 하는데, 이런 규모의 경제가 쉽지 않다”며 “결국 이들도 중저가 시장으로 넘어가는 고비에서 꺾인 것”이라고 지적했다.

대우증권	대우증권/NNP
강윤흠	강윤흠/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“1억대를	“/SS+1/SN+억/NR+대/XSN+를/JKO
넘어서면	넘어서/VV+면/EC
고가	고가/NNG
제품이나	제품/NNG+이나/JC
한두가지	한두/MMN+가지/NNB
장점에	장점/NNG+에/JKB
의존하지	의존/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
‘올라운드	‘/SS+올라운드/NNG
플레이어’가	플레이어/NNG+’/SS+가/JKC
되어야	되/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
이런	이런/MMD
규모의	규모/NNG+의/JKG
경제가	경제/NNG+가/JKS
쉽지	쉽/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“결국	“/SS+결국/MAG
이들도	이/NP+들/XSN+도/JX
중저가	중저가/NNG
시장으로	시장/NNG+으로/JKB
넘어가는	넘어가/VV+는/ETM
고비에서	고비/NNG+에서/JKB
꺾인	꺾이/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.47.6.1
엘지전자의 경우 디자인이나 멀티미디어 기능을 갖춘 피처폰 등 단말기 자체의 경쟁력은 뛰어나다는 평가를 받고 있다.

엘지전자의	엘지전자/NNP+의/JKG
경우	경우/NNG
디자인이나	디자인/NNG+이나/JC
멀티미디어	멀티미디어/NNG
기능을	기능/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
피처폰	피처폰/NNG
등	등/NNB
단말기	단말기/NNG
자체의	자체/NNG+의/JKG
경쟁력은	경쟁력/NNG+은/JX
뛰어나다는	뛰어나/VA+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.47.6.2
지난해 4분기에도 판매량이 직전분기 대비 12% 증가하는 ‘뒷심’을 발휘했다.

지난해	지난해/NNG
4분기에도	4/SN+분기/NNG+에/JKB+도/JX
판매량이	판매량/NNG+이/JKS
직전분기	직전/NNG+분기/NNG
대비	대비/NNG
12%	12/SN+%/SW
증가하는	증가/NNG+하/XSV+는/ETM
‘뒷심’을	‘/SS+뒷심/NNG+’/SS+을/JKO
발휘했다.	발휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.47.6.3
최근 2~3년 사이 뷰티폰, 샤인폰 등 히트작을 꾸준히 내고 있다는 점도 고무적이다.

최근	최근/NNG
2~3년	2/SN+~/SO+3/SN+년/NNB
사이	사이/NNG
뷰티폰,	뷰티폰/NNG+,/SP
샤인폰	샤인폰/NNG
등	등/NNB
히트작을	히트작/NNG+을/JKO
꾸준히	꾸준히/MAG
내고	내/VV+고/EC
있다는	있/VX+다는/ETM
점도	점/NNG+도/JX
고무적이다.	고무/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.47.7.1
하지만 스마트폰이나 유저인터페이스(유아이) 등 최근의 트렌드 면에선 뒤떨어진다는 평가가 나온다.

하지만	하지만/MAJ
스마트폰이나	스마트폰/NNG+이나/JC
유저인터페이스(유아이)	유저/NNG+인터페이스/NNG+(/SS+유아이/NNG+)/SS
등	등/NNB
최근의	최근/NNG+의/JKG
트렌드	트렌드/NNG
면에선	면/NNG+에서/JKB+ㄴ/JX
뒤떨어진다는	뒤떨어지/VV+ㄴ다는/ETM
평가가	평가/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.47.7.2
본격적인 스마트폰은 지난해 11월 북미시장에서 출시한 인사이트가 처음이었다.

본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
스마트폰은	스마트폰/NNG+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
북미시장에서	북미/NNP+시장/NNG+에서/JKB
출시한	출시/NNG+하/XSV+ㄴ/ETM
인사이트가	인사이트/NNG+가/JKS
처음이었다.	처음/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.47.7.3
터치폰의 경쟁력을 좌우하는 유아이에선 고유의 것을 내놓지 못했다.

터치폰의	터치폰/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
좌우하는	좌우/NNG+하/XSV+는/ETM
유아이에선	유아이/NNG+에서/JKB+ㄴ/JX
고유의	고유/NNG+의/JKG
것을	것/NNB+을/JKO
내놓지	내놓/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.47.7.4
노키아가 오랫동안 자신만의 인터페이스로 충성도 높은 소비자층을 만들었고, 삼성전자가 햅틱 유아이 등을 공격적으로 밀고 있는 것과 대비된다.

노키아가	노키아/NNP+가/JKS
오랫동안	오랫동안/NNG
자신만의	자신/NNG+만/JX+의/JKG
인터페이스로	인터페이스/NNG+로/JKB
충성도	충성도/NNG
높은	높/VA+은/ETM
소비자층을	소비자/NNG+층/XSN+을/JKO
만들었고,	만들/VV+었/EP+고/EC+,/SP
삼성전자가	삼성전자/NNP+가/JKS
햅틱	햅틱/NNP
유아이	유아이/NNG
등을	등/NNB+을/JKO
공격적으로	공격/NNG+적/XSN+으로/JKB
밀고	밀/VV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
대비된다.	대비/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.47.8.1
특히 북미시장 의존도가 40~50%나 되는 점은 문제다.

특히	특히/MAG
북미시장	북미/NNP+시장/NNG
의존도가	의존도/NNG+가/JKS
40~50%나	40/SN+~/SO+50/SN+%/SW+나/JX
되는	되/VV+는/ETM
점은	점/NNG+은/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.47.8.2
시장조사기관에 따르면 올해 유럽시장은 -9.4%, 북미시장은 -5%로 급감이 예상된다.

시장조사기관에	시장/NNG+조사/NNG+기관/NNG+에/JKB
따르면	따르/VV+면/EC
올해	올해/NNG
유럽시장은	유럽/NNP+시장/NNG+은/JX
-9.4%,	-/SO+9/SN+./SP+4/SN+%/SW+,/SP
북미시장은	북미/NNP+시장/NNG+은/JX
-5%로	-/SO+5/SN+%/SW+로/JKB
급감이	급감/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.47.8.3
신흥시장을 공략할 중저가폰을 내면서도 수익률 저하를 최소화하려면 공급망관리나 글로벌 소싱 전략부터 달라져야 한다는 지적이다.

신흥시장을	신흥/NNG+시장/NNG+을/JKO
공략할	공략/NNG+하/XSV+ㄹ/ETM
중저가폰을	중저가/NNG+폰/NNG+을/JKO
내면서도	내/VV+면서/EC+도/JX
수익률	수익/NNG+률/XSN
저하를	저하/NNG+를/JKO
최소화하려면	최소/NNG+화/XSN+하/XSV+려면/EC
공급망관리나	공급망/NNG+관리/NNG+나/JC
글로벌	글로벌/NNG
소싱	소싱/NNG
전략부터	전략/NNG+부터/JX
달라져야	달라지/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.47.8.4
강윤흠 연구위원은 “중저가폰으로 가면 수익률이 떨어지고 원자재 가격 등 주변 환경에 따라 부침이 심해질 수밖에 없다”며 “면밀한 대응 없인 상당히 위협적인 수준까지 수익률이 내려갈 수 있다”고 말했다.

강윤흠	강윤흠/NNP
연구위원은	연구/NNG+위원/NNG+은/JX
“중저가폰으로	“/SS+중저가/NNG+폰/NNG+으로/JKB
가면	가/VV+면/EC
수익률이	수익/NNG+률/XSN+이/JKS
떨어지고	떨어지/VV+고/EC
원자재	원자재/NNG
가격	가격/NNG
등	등/NNB
주변	주변/NNG
환경에	환경/NNG+에/JKB
따라	따르/VV+아/EC
부침이	부침/NNG+이/JKS
심해질	심하/VA+아/EC+지/VX+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“면밀한	“/SS+면밀하/VA+ㄴ/ETM
대응	대응/NNG
없인	없이/MAG+ㄴ/JX
상당히	상당히/MAG
위협적인	위협/NNG+적/XSN+이/VCP+ㄴ/ETM
수준까지	수준/NNG+까지/JX
내려갈	내려가/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.47.9.1
노키아가 북미시장 공략을 공세적으로 선언하고, 모토롤라·소니에릭슨이 공격적으로 가격인하를 하는 등 경쟁은 더 치열해지고 있다.

노키아가	노키아/NNP+가/JKS
북미시장	북미/NNP+시장/NNG
공략을	공략/NNG+을/JKO
공세적으로	공세/NNG+적/XSN+으로/JKB
선언하고,	선언/NNG+하/XSV+고/EC+,/SP
모토롤라·소니에릭슨이	모토롤라/NNP+·/SP+소니에릭슨/NNP+이/JKS
공격적으로	공격/NNG+적/XSN+으로/JKB
가격인하를	가격/NNG+인하/NNG+를/JKO
하는	하/VV+는/ETM
등	등/NNB
경쟁은	경쟁/NNG+은/JX
더	더/MAG
치열해지고	치열/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.47.9.2
엘지전자가 올해 10여종 이상의 스마트폰을 내놓고, 상반기 중저가 전략폰 출시 및 중국 마케팅 2배 확대 등의 방침을 세운 것도 이런 배경이 깔려 있다.

엘지전자가	엘지전자/NNP+가/JKS
올해	올해/NNG
10여종	10/SN+여/XSN+종/NNG
이상의	이상/NNG+의/JKG
스마트폰을	스마트폰/NNG+을/JKO
내놓고,	내놓/VV+고/EC+,/SP
상반기	상반기/NNG
중저가	중저가/NNG
전략폰	전략/NNG+폰/NNG
출시	출시/NNG
및	및/MAG
중국	중국/NNP
마케팅	마케팅/NNG
2배	2/SN+배/NNG
확대	확대/NNG
등의	등/NNB+의/JKG
방침을	방침/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
배경이	배경/NNG+이/JKS
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


