# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.228
metadata : {}


# id : NWRW1800000045.228.1.1
이정민, 3타차 뒤집고 3승

이정민,	이정민/NNP+,/SP
시즌	시즌/NNG
가장	가장/MAG
먼저	먼저/MAG
3승	3/SN+승/NNB
고지에	고지/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.228.4.2
지난주 열린 E1 채리티오픈에 이어 두 대회 연속 우승이다.

지난주	지난주/NNG
열린	열리/VV+ㄴ/ETM
E1	E/SL+1/SN
채리티오픈에	채리티/NNG+오픈/NNG+에/JKB
이어	잇/VV+어/EC
두	두/MMN
대회	대회/NNG
연속	연속/NNG
우승이다.	우승/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.228.4.3
이정민은 지난달 NH투자증권 레이디스 챔피언십에서도 우승했다.

이정민은	이정민/NNP+은/JX
지난달	지난달/NNG
NH투자증권	NH투자증권/NNP
레이디스	레이디스/NNG
챔피언십에서도	챔피언십/NNG+에서/JKB+도/JX
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.228.4.4
개인 통산 7승째.

개인	개인/NNG
통산	통산/NNG
7승째.	7/SN+승/NNB+째/XSN+./SF


# id : NWRW1800000045.228.4.5
전날 2라운드까지 선두였던 박성현(22·넵스)에게 3타 뒤진 단독 2위로 이날 최종 3라운드에 돌입한 이정민은 버디 4개와 보기 3개를 묶어 1언더파 71타를 쳤다.

전날	전날/NNG
2라운드까지	2/SN+라운드/NNG+까지/JX
선두였던	선두/NNG+이/VCP+었/EP+던/ETM
박성현(22·넵스)에게	박성현/NNP+(/SS+22/SN+·/SP+넵스/NNP+)/SS+에게/JKB
3타	3/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
단독	단독/NNG
2위로	2/SN+위/NNB+로/JKB
이날	이날/NNG
최종	최종/NNG
3라운드에	3/SN+라운드/NNG+에/JKB
돌입한	돌입/NNG+하/XSV+ㄴ/ETM
이정민은	이정민/NNP+은/JX
버디	버디/NNG
4개와	4/SN+개/NNB+와/JC
보기	보기/NNG
3개를	3/SN+개/NNB+를/JKO
묶어	묶/VV+어/EC
1언더파	1/SN+언더/NNG+파/NNG
71타를	71/SN+타/NNG+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.228.5.1
이정민은 마지막 18번홀(파5)에서 버디 퍼팅에 실패해 최종합계 8언더파 208타로 경기를 마쳤다.

이정민은	이정민/NNP+은/JX
마지막	마지막/NNG
18번홀(파5)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+5/SN+)/SS+에서/JKB
버디	버디/NNG
퍼팅에	퍼팅/NNG+에/JKB
실패해	실패/NNG+하/XSV+아/EC
최종합계	최종/NNG+합계/NNG
8언더파	8/SN+언더/NNG+파/NNG
208타로	208/SN+타/NNG+로/JKB
경기를	경기/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.228.5.2
동타를 기록 중이던 박성현은 1m도 안 되는 버디 퍼팅을 남겨두고 있어 준우승이 유력했다.

동타를	동타/NNG+를/JKO
기록	기록/NNG
중이던	중/NNB+이/VCP+던/ETM
박성현은	박성현/NNP+은/JX
1m도	1/SN+m/SW+도/JX
안	안/MAG
되는	되/VV+는/ETM
버디	버디/NNG
퍼팅을	퍼팅/NNG+을/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
있어	있/VX+어/EC
준우승이	준/XPN+우승/NNG+이/JKS
유력했다.	유력/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.228.5.3
하지만 생애 첫 우승에 대한 부담을 안고 친 박성현의 버디 퍼팅은 홀을 빗나갔고, 둘은 연장전에 들어갔다.

하지만	하지만/MAJ
생애	생애/NNG
첫	첫/MMN
우승에	우승/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부담을	부담/NNG+을/JKO
안고	안/VV+고/EC
친	치/VV+ㄴ/ETM
박성현의	박성현/NNP+의/JKG
버디	버디/NNG
퍼팅은	퍼팅/NNG+은/JX
홀을	홀/NNG+을/JKO
빗나갔고,	빗나가/VV+았/EP+고/EC+,/SP
둘은	둘/NR+은/JX
연장전에	연장전/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.228.5.4
18번홀에서 열린 연장전에서 이정민은 버디를 잡아내며 보기에 그친 박성현을 제치고 역전 우승을 차지했다.

18번홀에서	18/SN+번/NNB+홀/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
연장전에서	연장전/NNG+에서/JKB
이정민은	이정민/NNP+은/JX
버디를	버디/NNG+를/JKO
잡아내며	잡아내/VV+며/EC
보기에	보기/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
박성현을	박성현/NNP+을/JKO
제치고	제치/VV+고/EC
역전	역전/NNG
우승을	우승/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.228.6.1
우승 상금 1억2000만 원을 더한 이정민은 시즌 상금 4억1434만8750원으로 이번 대회에 불참한 전인지(4억1399만1500원)를 제치고 상금 랭킹 선두에 올랐다.

우승	우승/NNG
상금	상금/NNG
1억2000만	1/SN+억/NR+2000/SN+만/NR
원을	원/NNB+을/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
이정민은	이정민/NNP+은/JX
시즌	시즌/NNG
4억1434만8750원으로	4/SN+억/NR+1434/SN+만/NR+8750/SN+원/NNB+으로/JKB
이번	이번/NNG
대회에	대회/NNG+에/JKB
불참한	불참/NNG+하/XSV+ㄴ/ETM
전인지(4억1399만1500원)를	전인지/NNP+(/SS+4/SN+억/NR+1399/SN+만/NR+1500/SN+원/NNB+)/SS+를/JKO
제치고	제치/VV+고/EC
랭킹	랭킹/NNG
선두에	선두/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.228.6.2
대상포인트에서도 207점으로 전인지(169점)에게 앞서 1위가 됐다.

대상포인트에서도	대상/NNG+포인트/NNG+에서/JKB+도/JX
207점으로	207/SN+점/NNB+으로/JKB
전인지(169점)에게	전인지/NNP+(/SS+169/SN+점/NNB+)/SS+에게/JKB
앞서	앞서/VV+어/EC
1위가	1/SN+위/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.228.7.1
이정민은 “동반 플레이를 한 박성현의 드라이버 비거리가 나보다 10야드 정도 더 나갔다. 예전 같았으면 나도 세게 치려고 했겠지만 지금은 다르다. 내가 컨트롤할 수 있는 샷을 친 게 주효한 것 같다. 100% 힘으로 쳤다면 우승을 할 수 없었을 것이다. 나 스스로를 잘 컨트롤하고 있기 때문에 시즌 초반에 빠른 페이스로 우승을 하고 있는 것 같다”고 말했다.

이정민은	이정민/NNP+은/JX
“동반	“/SS+동반/NNG
플레이를	플레이/NNG+를/JKO
한	하/VV+ㄴ/ETM
박성현의	박성현/NNP+의/JKG
드라이버	드라이버/NNG
비거리가	비거리/NNG+가/JKS
나보다	나/NP+보다/JKB
10야드	10/SN+야드/NNB
정도	정도/NNG
더	더/MAG
나갔다.	나가/VV+았/EP+다/EF+./SF
예전	예전/NNG
같았으면	같/VA+았/EP+으면/EC
나도	나/NP+도/JX
세게	세/VA+게/EC
치려고	치/VV+려고/EC
했겠지만	하/VX+았/EP+겠/EP+지만/EC
지금은	지금/NNG+은/JX
다르다.	다르/VA+다/EF+./SF
내가	내/NP+가/JKS
컨트롤할	컨트롤/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VX+는/ETM
샷을	샷/NNG+을/JKO
친	치/VV+ㄴ/ETM
게	거/NNB+이/JKS
주효한	주효/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF
100%	100/SN+%/SW
힘으로	힘/NNG+으로/JKB
쳤다면	치/VV+었/EP+다면/EC
우승을	우승/NNG+을/JKO
할	하/VV+ㄹ/ETM
없었을	없/VA+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF
나	나/NP
스스로를	스스로/NNG+를/JKO
잘	잘/MAG
컨트롤하고	컨트롤/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
시즌	시즌/NNG
초반에	초반/NNG+에/JKB
빠른	빠르/VA+ㄴ/ETM
페이스로	페이스/NNG+로/JKB
하고	하/VV+고/EC
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


