# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.42
metadata : {}


# id : NWRW1800000028.42.1.1
대구 정교사 자격연수 /엉터리 성적 ‘망신살’

대구	대구/NNP
항목별로	항목/NNG+별/XSN+로/JKB
공개를	공개/NNG+를/JKO
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.42.6.1
교육연수원 기획부 관계자는 “실수가 있었지만 즉시 수정해 문제를 해결했다”며 “해당 교사들에게 사과하고 경위를 설명했지만, 혹시 성적에 의문이 있으면 언제든지 개인적으로 확인해 주겠다”고 말했다.

교육연수원	교육/NNG+연수원/NNG
기획부	기획부/NNG
관계자는	관계자/NNG+는/JX
“실수가	“/SS+실수/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
즉시	즉시/NNG
수정해	수정/NNG+하/XSV+아/EC
문제를	문제/NNG+를/JKO
해결했다”며	해결/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“해당	“/SS+해당/NNG
교사들에게	교사/NNG+들/XSN+에게/JKB
사과하고	사과/NNG+하/XSV+고/EC
경위를	경위/NNG+를/JKO
설명했지만,	설명/NNG+하/XSV+았/EP+지만/EC+,/SP
혹시	혹시/MAG
성적에	성적/NNG+에/JKB
의문이	의문/NNG+이/JKS
있으면	있/VA+으면/EC
언제든지	언제/NP+든지/JX
개인적으로	개인/NNG+적/XSN+으로/JKB
확인해	확인/NNG+하/XSV+아/EC
주겠다”고	주/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.42.6.2
시교육청이 실시하는 1급 정교사 자격연수는 일정한 교육 경력이 있는 2급 정교사가 1급 정교사 자격을 갖추려면 반드시 밟아야 하는 필수 과정이다.

시교육청이	시/NNG+교육청/NNG+이/JKS
실시하는	실시/NNG+하/XSV+는/ETM
1급	1/SN+급/NNG
정교사	정교사/NNG
자격연수는	자격/NNG+연수/NNG+는/JX
일정한	일정/NNG+하/XSA+ㄴ/ETM
교육	교육/NNG
경력이	경력/NNG+이/JKS
있는	있/VA+는/ETM
2급	2/SN+급/NNG
정교사가	정교사/NNG+가/JKS
자격을	자격/NNG+을/JKO
갖추려면	갖추/VV+려면/EC
반드시	반드시/MAG
밟아야	밟/VV+아야/EC
하는	하/VX+는/ETM
필수	필수/NNG
과정이다.	과정/NNG+이/VCP+다/EF+./SF


