# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.272
metadata : {}


# id : NWRW1800000038.272.1.1
마지막날 뒤집기… 장하나, 2014시즌 첫 승

마지막날	마지막/NNG+날/NNG
끝난	끝나/VV+ㄴ/ETM
현대차	현대차/NNP
중국여자오픈(총상금	중국/NNP+여자/NNG+오픈/NNG+(/SS+총상금/NNG
40만달러)	40/SN+만/NR+달러/NNB+)/SS
3라운드에서	3/SN+라운드/NNG+에서/JKB
장하나는	장하나/NNP+는/JX
버디	버디/NNG
3개,	3/SN+개/NNB+,/SP
보기	보기/NNG
2개,	2/SN+개/NNB+,/SP
더블보기	더블/NNG+보기/NNG
1개로	1/SN+개/NNB+로/JKB
1타를	1/SN+타/NNG+를/JKO
잃어	잃/VV+어/EC
최종	최종/NNG
합계	합계/NNG
3언더파	3/SN+언더/NNG+파/NNG
213타를	213/SN+타/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.272.4.2
장하나는 공동 2위(2언더파)인 김하늘(25)·김혜윤(24)을 1타 차로 제치고 2014시즌 첫 우승을 달성했다.

장하나는	장하나/NNP+는/JX
공동	공동/NNG
2위(2언더파)인	2/SN+위/NNB+(/SS+2/SN+언더/NNG+파/NNG+)/SS+이/VCP+ㄴ/ETM
김하늘(25)·김혜윤(24)을	김하늘/NNP+(/SS+25/SN+)/SS+·/SP+김혜윤/NNP+(/SS+24/SN+)/SS+을/JKO
1타	1/SN+타/NNG
차로	차/NNG+로/JKB
제치고	제치/VV+고/EC
2014시즌	2014/SN+시즌/NNG
첫	첫/MMN
우승을	우승/NNG+을/JKO
달성했다.	달성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.272.4.3
한국과 중국의 여자프로골프 투어가 공동 주관한 이 대회는 2014시즌 KLPGA 투어 두 번째 대회로 개최됐다.

한국과	한국/NNP+과/JC
중국의	중국/NNP+의/JKG
여자프로골프	여자/NNG+프로/NNG+골프/NNG
투어가	투어/NNG+가/JKS
공동	공동/NNG
주관한	주관/NNG+하/XSV+ㄴ/ETM
이	이/MMD
대회는	대회/NNG+는/JX
2014시즌	2014/SN+시즌/NNG
KLPGA	KLPGA/SL
투어	투어/NNG
두	두/MMN
번째	번/NNB+째/XSN
대회로	대회/NNG+로/JKB
개최됐다.	개최/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.4.4
투어 통산 5번째 우승을 거둔 장하나는 상금 8만달러(약 8400만원)를 받았다.

투어	투어/NNG
통산	통산/NNG
5번째	5/SN+번/NNB+째/XSN
우승을	우승/NNG+을/JKO
거둔	거두/VV+ㄴ/ETM
장하나는	장하나/NNP+는/JX
상금	상금/NNG
8만달러(약	8/SN+만/NR+달러/NNB+(/SS+약/MMA
8400만원)를	8400/SN+만/NR+원/NNB+)/SS+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.272.5.1
비가 많이 내린 대회 마지막 날 언더파를 친 선수는 6명뿐이었다.

비가	비/NNG+가/JKS
많이	많이/MAG
내린	내리/VV+ㄴ/ETM
대회	대회/NNG
마지막	마지막/NNG
날	날/NNG
언더파를	언더/NNG+파/NNG+를/JKO
친	치/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
6명뿐이었다.	6/SN+명/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.272.5.2
선두에 4타 뒤진 공동 3위로 최종 라운드를 출발한 장하나는 타수를 잘 유지해 역전에 성공했다.

선두에	선두/NNG+에/JKB
4타	4/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
공동	공동/NNG
3위로	3/SN+위/NNB+로/JKB
최종	최종/NNG
라운드를	라운드/NNG+를/JKO
출발한	출발/NNG+하/XSV+ㄴ/ETM
장하나는	장하나/NNP+는/JX
타수를	타수/NNG+를/JKO
잘	잘/MAG
유지해	유지/NNG+하/XSV+아/EC
역전에	역전/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.272.5.3
17번홀까지 3타 차 선두를 달렸다.

17번홀까지	17/SN+번/NNB+홀/NNG+까지/JX
3타	3/SN+타/NNG
차	차/NNG
선두를	선두/NNG+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.5.4
그러나 18번홀(파4·384야드)에서 홀까지 154야드를 남기고 6번 아이언으로 친 세컨드 샷이 그린 왼쪽 벙커 턱의 깊은 풀 속에 빠졌다.

그러나	그러나/MAJ
18번홀(파4·384야드)에서	18/SN+번/NNB+홀/NNG+(/SS+파/NNG+4/SN+·/SP+384/SN+야드/NNB+)/SS+에서/JKB
홀까지	홀/NNG+까지/JX
154야드를	154/SN+야드/NNB+를/JKO
남기고	남기/VV+고/EC
6번	6/SN+번/NNB
아이언으로	아이언/NNG+으로/JKB
친	치/VV+ㄴ/ETM
세컨드	세컨드/NNG
샷이	샷/NNG+이/JKS
그린	그린/NNG
왼쪽	왼쪽/NNG
벙커	벙커/NNG
턱의	턱/NNG+의/JKG
깊은	깊/VA+은/ETM
풀	풀/NNG
속에	속/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.6.1
백스윙을 할 만한 공간이 없어 언플레이어블을 선언하고 1벌타를 받은 장하나는 드롭한 뒤 52도 웨지로 친 네 번째 샷을 홀에서 2.5m에 떨어뜨렸다.

백스윙을	백스윙/NNG+을/JKO
할	하/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
공간이	공간/NNG+이/JKS
없어	없/VA+어/EC
언플레이어블을	언플레이어블/NNG+을/JKO
선언하고	선언/NNG+하/XSV+고/EC
1벌타를	1/SN+벌타/NNG+를/JKO
받은	받/VV+은/ETM
장하나는	장하나/NNP+는/JX
드롭한	드롭/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
52도	52/SN+도/NNB
웨지로	웨지/NNG+로/JKB
친	치/VV+ㄴ/ETM
네	네/MMN
번째	번/NNB+째/XSN
샷을	샷/NNG+을/JKO
홀에서	홀/NNG+에서/JKB
2.5m에	2/SN+./SP+5/SN+m/SW+에/JKB
떨어뜨렸다.	떨어뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.6.2
장하나는 투 퍼트로 더블보기를 기록하고 2위 김혜윤과 1타 차로 좁혀진 상황에서 먼저 경기를 마쳤다.

장하나는	장하나/NNP+는/JX
투	투/NNG
퍼트로	퍼트/NNG+로/JKB
더블보기를	더블/NNG+보기/NNG+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
2위	2/SN+위/NNB
김혜윤과	김혜윤/NNP+과/JKB
1타	1/SN+타/NNG
차로	차/NNG+로/JKB
좁혀진	좁히/VV+어/EC+지/VX+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
먼저	먼저/MAG
경기를	경기/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.6.3
그러나 김혜윤이 18번홀에서 긴 버디 퍼트를 놓치면서 장하나의 우승이 확정됐다.

그러나	그러나/MAJ
김혜윤이	김혜윤/NNP+이/JKS
18번홀에서	18/SN+번/NNB+홀/NNG+에서/JKB
긴	길/VA+ㄴ/ETM
버디	버디/NNG
퍼트를	퍼트/NNG+를/JKO
놓치면서	놓치/VV+면서/EC
장하나의	장하나/NNP+의/JKG
우승이	우승/NNG+이/JKS
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.7.1
장하나는 "18번홀에서 실수를 했지만 욕심내지 않고 언플레이어블을 선언한 스스로에게 칭찬을 해주고 싶다"고 했다.

장하나는	장하나/NNP+는/JX
"18번홀에서	"/SS+18/SN+번/NNB+홀/NNG+에서/JKB
실수를	실수/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
욕심내지	욕심내/VV+지/EC
않고	않/VX+고/EC
언플레이어블을	언플레이어블/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
스스로에게	스스로/NNG+에게/JKB
칭찬을	칭찬/NNG+을/JKO
해주고	하/VV+아/EC+주/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.272.7.2
장하나는 "1월 중순에 40일간 베트남으로 전지훈련을 떠날 예정"이라며 "2014시즌 출발이 좋기 때문에 2013시즌 3승·3관왕을 넘어 내년엔 4승·4관왕에 도전하겠다"고 했다.

장하나는	장하나/NNP+는/JX
"1월	"/SS+1/SN+월/NNB
중순에	중순/NNG+에/JKB
40일간	40/SN+일/NNB+간/XSN
베트남으로	베트남/NNP+으로/JKB
전지훈련을	전지훈련/NNG+을/JKO
떠날	떠나/VV+ㄹ/ETM
예정"이라며	예정/NNG+"/SS+이/VCP+라며/EC
"2014시즌	"/SS+2014/SN+시즌/NNG
출발이	출발/NNG+이/JKS
좋기	좋/VA+기/ETN
때문에	때문/NNB+에/JKB
2013시즌	2013/SN+시즌/NNG
3승·3관왕을	3/SN+승/NNB+·/SP+3관왕/NNG+을/JKO
넘어	넘/VV+어/EC
내년엔	내년/NNG+에/JKB+ㄴ/JX
4승·4관왕에	4/SN+승/NNB+·/SP+4관왕/NNG+에/JKB
도전하겠다"고	도전/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.272.8.1
김세영(20)이 공동 7위(이븐파), 디펜딩 챔피언인 김효주(18)가 공동 12위(1오버파)였다.

김세영(20)이	김세영/NNP+(/SS+20/SN+)/SS+이/JKS
공동	공동/NNG
7위(이븐파),	7/SN+위/NNB+(/SS+이븐/NNG+파/NNG+)/SS+,/SP
디펜딩	디펜딩/NNG
챔피언인	챔피언/NNG+이/VCP+ㄴ/ETM
김효주(18)가	김효주/NNP+(/SS+18/SN+)/SS+가/JKS
12위(1오버파)였다.	12/SN+위/NNB+(/SS+1/SN+오버파/NNG+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.272.8.2
2라운드 단독 선두였던 최혜정(29)은 이날만 9타를 잃어 공동 12위가 됐다.

2라운드	2/SN+라운드/NNG
단독	단독/NNG
선두였던	선두/NNG+이/VCP+었/EP+던/ETM
최혜정(29)은	최혜정/NNP+(/SS+29/SN+)/SS+은/JX
이날만	이날/NNG+만/JX
9타를	9/SN+타/NNG+를/JKO
잃어	잃/VV+어/EC
공동	공동/NNG
12위가	12/SN+위/NNB+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.272.8.3
중국의 펑샨샨(24)은 더블보기 2개, 보기 2개로 6타를 잃어 공동 21위(3오버파)로 대회를 마감했다.

중국의	중국/NNP+의/JKG
펑샨샨(24)은	펑샨샨/NNP+(/SS+24/SN+)/SS+은/JX
더블보기	더블/NNG+보기/NNG
2개,	2/SN+개/NNB+,/SP
보기	보기/NNG
2개로	2/SN+개/NNB+로/JKB
6타를	6/SN+타/NNG+를/JKO
잃어	잃/VV+어/EC
공동	공동/NNG
21위(3오버파)로	21/SN+위/NNB+(/SS+3/SN+오버파/NNG+)/SS+로/JKB
대회를	대회/NNG+를/JKO
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


