# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.20
metadata : {}


# id : NWRW1800000033.20.1.1
영업익 4482억 ‘깜짝’… LG전자 ‘부활의 노래’

영업익	영업익/NNG
1843%	1843/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.20.5.4
LG전자 측은 “유럽 등 선진 시장이 경기 침체를 겪으며 매출액은 줄었지만 TV와 생활가전 등의 프리미엄 제품이 인기를 얻으면서 영업이익은 오히려 늘었다”고 설명했다.

LG전자	LG전자/NNP
측은	측/NNB+은/JX
“유럽	“/SS+유럽/NNP
등	등/NNB
선진	선진/NNG
시장이	시장/NNG+이/JKS
경기	경기/NNG
침체를	침체/NNG+를/JKO
겪으며	겪/VV+으며/EC
매출액은	매출액/NNG+은/JX
줄었지만	줄/VV+었/EP+지만/EC
TV와	TV/SL+와/JC
생활가전	생활/NNG+가전/NNG
등의	등/NNB+의/JKG
프리미엄	프리미엄/NNG
제품이	제품/NNG+이/JKS
인기를	인기/NNG+를/JKO
얻으면서	얻/VV+으면서/EC
영업이익은	영업/NNG+이익/NNG+은/JX
오히려	오히려/MAG
늘었다”고	늘/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.20.6.1
실적의 효자 역할을 한 것은 스마트TV다.

실적의	실적/NNG+의/JKG
효자	효자/NNG
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
것은	것/NNB+은/JX
스마트TV다.	스마트/NNG+TV/SL+이/VCP+다/EF+./SF


# id : NWRW1800000033.20.6.2
홈엔터테인먼트(HE) 사업본부가 회사 전체 매출의 절반 수준인 5조3300억 원을 벌어들였다.

홈엔터테인먼트(HE)	홈엔터테인먼트/NNG+(/SS+HE/SL+)/SS
사업본부가	사업/NNG+본부/NNG+가/JKS
회사	회사/NNG
전체	전체/NNG
매출의	매출/NNG+의/JKG
절반	절반/NNG
수준인	수준/NNG+이/VCP+ㄴ/ETM
5조3300억	5/SN+조/NR+3300/SN+억/NR
원을	원/NNB+을/JKO
벌어들였다.	벌어들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.20.6.3
액정표시장치(LCD) TV 판매량은 해외 선진 시장의 경기 침체가 지속돼 2% 줄었다.

액정표시장치(LCD)	액정/NNG+표시/NNG+장치/NNG+(/SS+LCD/SL+)/SS
TV	TV/SL
판매량은	판매량/NNG+은/JX
해외	해외/NNG
선진	선진/NNG
시장의	시장/NNG+의/JKG
경기	경기/NNG
침체가	침체/NNG+가/JKS
지속돼	지속/NNG+되/XSV+어/EC
2%	2/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.20.6.4
그러나 3차원(3D) TV를 중심으로 판매를 강화하고 원가를 줄여나간 것이 영업이익 증가로 이어졌다.

그러나	그러나/MAJ
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
TV를	TV/SL+를/JKO
중심으로	중심/NNG+으로/JKB
판매를	판매/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
원가를	원가/NNG+를/JKO
줄여나간	줄이/VV+어/EC+나가/VX+ㄴ/ETM
것이	것/NNB+이/JKS
영업이익	영업/NNG+이익/NNG
증가로	증가/NNG+로/JKB
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.20.6.5
HE사업본부의 영업이익은 2171억 원으로 2009년 3분기(2270억 원) 이후 10분기 만에 최대 수준을 기록했다.

HE사업본부의	HE/SL+사업/NNG+본부/NNG+의/JKG
영업이익은	영업/NNG+이익/NNG+은/JX
2171억	2171/SN+억/NR
원으로	원/NNB+으로/JKB
2009년	2009/SN+년/NNB
3분기(2270억	3/SN+분기/NNG+(/SS+2270/SN+억/NR
원)	원/NNB+)/SS
이후	이후/NNG
10분기	10/SN+분기/NNG
만에	만/NNB+에/JKB
최대	최대/NNG
수준을	수준/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.20.7.1
홈어플라이언스(HA) 사업본부도 매출 2조5357억 원, 영업이익 1516억 원으로 좋은 실적을 냈다.

홈어플라이언스(HA)	홈어플라이언스/NNG+(/SS+HA/SL+)/SS
사업본부도	사업/NNG+본부/NNG+도/JX
매출	매출/NNG
2조5357억	2/SN+조/NR+5357/SN+억/NR
원,	원/NNB+,/SP
영업이익	영업/NNG+이익/NNG
1516억	1516/SN+억/NR
원으로	원/NNB+으로/JKB
좋은	좋/VA+은/ETM
실적을	실적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.20.7.2
세계 최대 870L 양문형 냉장고와 국내 최대 19kg 건조 겸용 드럼세탁기 등 프리미엄 가전 판매량이 늘어 영업이익이 지난해 같은 기간보다 49% 늘어났다.

세계	세계/NNG
최대	최대/NNG
870L	870/SN+L/SW
양문형	양문/NNG+형/XSN
냉장고와	냉장고/NNG+와/JC
국내	국내/NNG
19kg	19/SN+kg/SW
건조	건조/NNG
겸용	겸용/NNG
드럼세탁기	드럼/NNG+세탁기/NNG
등	등/NNB
프리미엄	프리미엄/NNG
가전	가전/NNG
판매량이	판매량/NNG+이/JKS
늘어	늘/VV+어/EC
영업이익이	영업/NNG+이익/NNG+이/JKS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
49%	49/SN+%/SW
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.20.8.1
부진했던 모바일커뮤니케이션(MC) 사업본부는 매출 2조4521억 원으로 선방했다는 평가를 받는다.

부진했던	부진/NNG+하/XSA+았/EP+던/ETM
모바일커뮤니케이션(MC)	모바일/NNG+커뮤니케이션/NNG+(/SS+MC/SL+)/SS
사업본부는	사업/NNG+본부/NNG+는/JX
매출	매출/NNG
2조4521억	2/SN+조/NR+4521/SN+억/NR
원으로	원/NNB+으로/JKB
선방했다는	선방/NNG+하/XSV+았/EP+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000033.20.8.2
프리미엄 스마트폰 출시가 늦어지면서 지난해까지 적자 폭이 계속 커져 휴대전화 부문의 누적적자가 1조 원에 육박했을 때도 있었다.

프리미엄	프리미엄/NNG
스마트폰	스마트폰/NNG
출시가	출시/NNG+가/JKS
늦어지면서	늦어지/VV+면서/EC
지난해까지	지난해/NNG+까지/JX
적자	적자/NNG
폭이	폭/NNG+이/JKS
계속	계속/MAG
커져	커지/VV+어/EC
휴대전화	휴대/NNG+전화/NNG
부문의	부문/NNG+의/JKG
누적적자가	누적/NNG+적자/NNG+가/JKS
1조	1/SN+조/NR
원에	원/NNB+에/JKB
육박했을	육박/NNG+하/XSV+았/EP+을/ETM
때도	때/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.20.8.3
그러나 지난해 4분기에 7개 분기 만에 간신히 흑자로 돌아선 이후 1분기에도 흑자가 이어졌다.

그러나	그러나/MAJ
지난해	지난해/NNG
4분기에	4/SN+분기/NNG+에/JKB
7개	7/SN+개/NNB
분기	분기/NNG
만에	만/NNB+에/JKB
간신히	간신히/MAG
흑자로	흑자/NNG+로/JKB
돌아선	돌아서/VV+ㄴ/ETM
이후	이후/NNG
1분기에도	1/SN+분기/NNG+에/JKB+도/JX
흑자가	흑자/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.20.8.4
옵티머스 뷰와 옵티머스 LTE 등 프리미엄 스마트폰의 판매가 늘었고 전체 휴대전화 판매량 중 스마트폰의 비중이 역대 최대인 36%를 기록했기 때문이다.

옵티머스	옵티머스/NNP
뷰와	뷰/NNP+와/JC
LTE	LTE/SL
등	등/NNB
프리미엄	프리미엄/NNG
스마트폰의	스마트폰/NNG+의/JKG
판매가	판매/NNG+가/JKS
늘었고	늘/VV+었/EP+고/EC
전체	전체/NNG
휴대전화	휴대/NNG+전화/NNG
판매량	판매량/NNG
중	중/NNB
비중이	비중/NNG+이/JKS
역대	역대/NNG
최대인	최대/NNG+이/VCP+ㄴ/ETM
36%를	36/SN+%/SW+를/JKO
기록했기	기록/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.20.9.1
LG전자는 2분기(4∼6월)에도 시네마 3D 스마트TV 출시를 지속적으로 확대할 계획이다.

LG전자는	LG전자/NNP+는/JX
2분기(4∼6월)에도	2/SN+분기/NNG+(/SS+4/SN+∼/SO+6/SN+월/NNB+)/SS+에/JKB+도/JX
시네마	시네마/NNG
3D	3/SN+D/SL
스마트TV	스마트/NNG+TV/SL
출시를	출시/NNG+를/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.20.9.2
올해 런던 올림픽이 예정돼 있어 TV 판매가 더 늘어날 것으로 예상했다.

올해	올해/NNG
런던	런던/NNP
올림픽이	올림픽/NNG+이/JKS
예정돼	예정/NNG+되/XSV+어/EC
있어	있/VX+어/EC
TV	TV/SL
판매가	판매/NNG+가/JKS
더	더/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.20.9.3
휴대전화 부문에서도 롱텀에볼루션(LTE) 스마트폰을 전면에 내세워 북미와 한국 시장을 집중 공략할 계획이다.

휴대전화	휴대/NNG+전화/NNG
부문에서도	부문/NNG+에서/JKB+도/JX
롱텀에볼루션(LTE)	롱텀에볼루션/NNG+(/SS+LTE/SL+)/SS
스마트폰을	스마트폰/NNG+을/JKO
전면에	전면/NNG+에/JKB
내세워	내세우/VV+어/EC
북미와	북미/NNP+와/JC
한국	한국/NNP
시장을	시장/NNG+을/JKO
집중	집중/NNG
공략할	공략/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


