# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.330
metadata : {}


# id : NWRW1800000041.330.1.1
徐는 박정희生家, 金은 현충원으로

徐는	徐/SH+는/JX
이루는	이루/VV+는/ETM
기호	기호/NNG
8번	8/SN+번/NNB
서청원	서청원/NNP
의원과	의원/NNG+과/JC
2번	2/SN+번/NNB
김무성	김무성/NNP
의원을	의원/NNG+을/JKO
비롯해	비롯하/VV+아/EC
이인제	이인제/NNP
홍문종	홍문종/NNP
김을동	김을동/NNP
김태호	김태호/NNP
김영우	김영우/NNP
김상민	김상민/NNP
의원,	의원/NNG+,/SP
박창달	박창달/NNP
전	전/MMD
의원	의원/NNG
등	등/NNB
9명이	9/SN+명/NNB+이/JKS
출사표를	출사표/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.330.4.1
○ TK 내려간 서청원 “박 대통령과 운명 함께할 것”

○	○/SW
TK	TK/SL
내려간	내려가/VV+ㄴ/ETM
서청원	서청원/NNP
“박	“/SS+박/NNP
대통령과	대통령/NNG+과/JKB
운명	운명/NNG
함께할	함께/MAG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000041.330.5.1
서 의원은 이날 첫 일정으로 경북 구미시청에서 출마 기자회견을 한 데 이어 박근혜 대통령의 아버지인 박정희 전 대통령의 구미 생가를 방문했다.

서	서/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
첫	첫/MMN
일정으로	일정/NNG+으로/JKB
경북	경북/NNP
구미시청에서	구미시청/NNP+에서/JKB
출마	출마/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
한	하/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
아버지인	아버지/NNG+이/VCP+ㄴ/ETM
박정희	박정희/NNP
전	전/MMD
구미	구미/NNP
생가를	생가/NNG+를/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.330.5.2
서 의원은 기자회견에서 “역사에 남을 성공한 대통령을 만들고 우리 조국이 역사 속에서 한 단계 더 올라서는 데 기여하겠다”며 “박근혜 정부와 정치 운명을 함께할 것”이라고 밝혔다.

서	서/NNP
의원은	의원/NNG+은/JX
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“역사에	“/SS+역사/NNG+에/JKB
남을	남/VV+을/ETM
성공한	성공/NNG+하/XSV+ㄴ/ETM
대통령을	대통령/NNG+을/JKO
만들고	만들/VV+고/EC
우리	우리/NP
조국이	조국/NNG+이/JKS
역사	역사/NNG
속에서	속/NNG+에서/JKB
한	한/MMN
단계	단계/NNG
더	더/MAG
올라서는	올라서/VV+는/ETM
데	데/NNB
기여하겠다”며	기여/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
“박근혜	“/SS+박근혜/NNP
정부와	정부/NNG+와/JKB
정치	정치/NNG
운명을	운명/NNG+을/JKO
함께할	함께/MAG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.330.5.3
자신이 ‘박근혜 지킴이’임을 부각시켜 박 대통령의 정치적 기반인 대구경북(TK) 당심 잡기에 나선 것으로 풀이된다.

자신이	자신/NNG+이/JKS
‘박근혜	‘/SS+박근혜/NNP
지킴이’임을	지킴이/NNG+’/SS+이/VCP+ㅁ/ETN+을/JKO
부각시켜	부각/NNG+시키/XSV+어/EC
박	박/NNP
대통령의	대통령/NNG+의/JKG
정치적	정치/NNG+적/XSN
기반인	기반/NNG+이/VCP+ㄴ/ETM
대구경북(TK)	대구/NNP+경북/NNP+(/SS+TK/SL+)/SS
당심	당심/NNG
잡기에	잡/VV+기/ETN+에/JKB
나선	나서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.330.6.1
그는 “당원들과의 신뢰, 대통령과의 ‘의리’로 믿음직한 소통의 창이 될 것”이라고 강조한 뒤 “정부조직, 행정구역, 선거제도 등의 정비를 위한 ‘통일헌법’을 지향하는 개헌 준비 작업에 착수하겠다”고 다짐했다.

그는	그/NP+는/JX
“당원들과의	“/SS+당원/NNG+들/XSN+과/JKB+의/JKG
신뢰,	신뢰/NNG+,/SP
대통령과의	대통령/NNG+과/JKB+의/JKG
‘의리’로	‘/SS+의리/NNG+’/SS+로/JKB
믿음직한	믿음직하/VA+ㄴ/ETM
소통의	소통/NNG+의/JKG
창이	창/NNG+이/JKS
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
강조한	강조/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“정부조직,	“/SS+정부/NNG+조직/NNG+,/SP
행정구역,	행정/NNG+구역/NNG+,/SP
선거제도	선거/NNG+제도/NNG
등의	등/NNB+의/JKG
정비를	정비/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘통일헌법’을	‘/SS+통일/NNG+헌법/NNG+’/SS+을/JKO
지향하는	지향/NNG+하/XSV+는/ETM
개헌	개헌/NNG
준비	준비/NNG
작업에	작업/NNG+에/JKB
착수하겠다”고	착수/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.330.7.1
○ 현충원 찾은 김무성 “박 대통령에게만 의존하는 무기력 바꿔야”

○	○/SW
현충원	현충원/NNP
찾은	찾/VV+은/ETM
김무성	김무성/NNP
“박	“/SS+박/NNP
대통령에게만	대통령/NNG+에게/JKB+만/JX
의존하는	의존/NNG+하/XSV+는/ETM
무기력	무/XPN+기력/NNG
바꿔야”	바꾸/VV+어야/EC+”/SS


# id : NWRW1800000041.330.8.1
김 의원은 이날 서울 동작구 국립서울현충원을 참배하고 “새누리당이 보수혁신을 주도해서 박근혜 정부의 성공과 우파정권 재창출을 이루겠다”고 포부를 밝혔다.

김	김/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
서울	서울/NNP
동작구	동작구/NNP
국립서울현충원을	국립서울현충원/NNP+을/JKO
참배하고	참배/NNG+하/XSV+고/EC
“새누리당이	“/SS+새누리당/NNP+이/JKS
보수혁신을	보수/NNG+혁신/NNG+을/JKO
주도해서	주도/NNG+하/XSV+아서/EC
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
성공과	성공/NNG+과/JC
우파정권	우파/NNG+정권/NNG
재창출을	재/XPN+창출/NNG+을/JKO
이루겠다”고	이루/VV+겠/EP+다/EF+”/SS+고/JKQ
포부를	포부/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.330.9.1
그는 이어 국회에서 기자회견을 열어 “새누리당을 짓눌러온 부패, 기득권, 폐쇄적, 수구적 이미지를 단호히 떨쳐내겠다”며 “선거 때마다 박 대통령에게 의존하는 무기력한 모습을 이제 바꿔야 하며 진정으로 ‘국민 행복’을 실천하는 정당으로 거듭나 박근혜 정부의 성공을 뒷받침해야 한다”고 강조했다.

그는	그/NP+는/JX
이어	이어/MAG
국회에서	국회/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“새누리당을	“/SS+새누리당/NNP+을/JKO
짓눌러온	짓누르/VV+어/EC+오/VX+ㄴ/ETM
부패,	부패/NNG+,/SP
기득권,	기득/NNG+권/XSN+,/SP
폐쇄적,	폐쇄/NNG+적/XSN+,/SP
수구적	수구/NNG+적/XSN
이미지를	이미지/NNG+를/JKO
단호히	단호히/MAG
떨쳐내겠다”며	떨치/VV+어/EC+내/VX+겠/EP+다/EF+”/SS+며/EC
“선거	“/SS+선거/NNG
때마다	때/NNG+마다/JX
박	박/NNP
대통령에게	대통령/NNG+에게/JKB
의존하는	의존/NNG+하/XSV+는/ETM
무기력한	무/XPN+기력/NNG+하/XSA+ㄴ/ETM
모습을	모습/NNG+을/JKO
이제	이제/MAG
바꿔야	바꾸/VV+어야/EC
하며	하/VX+며/EC
진정으로	진정/NNG+으로/JKB
‘국민	‘/SS+국민/NNG
행복’을	행복/NNG+’/SS+을/JKO
실천하는	실천/NNG+하/XSV+는/ETM
정당으로	정당/NNG+으로/JKB
거듭나	거듭나/VV+아/EC
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
성공을	성공/NNG+을/JKO
뒷받침해야	뒷받침/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.330.10.1
특히 김 의원은 기자들에게 “1, 2위의 표 차가 적게 나면 당이 혼란을 빚을 수 있기 때문에 압도적인 표 차로 당선돼 안정적인 당 운영을 할 수 있도록 하겠다”며 “제가 (지지율이) 다소 좀 많이 나오는데 자신감을 갖되 자만심을 가지면 안 된다는 생각으로 최선을 다하겠다”고 했다.

특히	특히/MAG
김	김/NNP
의원은	의원/NNG+은/JX
기자들에게	기자/NNG+들/XSN+에게/JKB
“1,	“/SS+1/SN+,/SP
2위의	2/SN+위/NNB+의/JKG
표	표/NNG
차가	차/NNG+가/JKS
적게	적/VA+게/EC
나면	나/VV+면/EC
당이	당/NNG+이/JKS
혼란을	혼란/NNG+을/JKO
빚을	빚/VV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
압도적인	압도/NNG+적/XSN+이/VCP+ㄴ/ETM
차로	차/NNG+로/JKB
당선돼	당선/NNG+되/XSV+어/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
당	당/NNG
운영을	운영/NNG+을/JKO
할	하/VV+ㄹ/ETM
있도록	있/VA+도록/EC
하겠다”며	하/VX+겠/EP+다/EF+”/SS+며/EC
“제가	“/SS+제/NP+가/JKS
(지지율이)	(/SS+지지/NNG+율/XSN+이/JKS+)/SS
다소	다소/MAG
좀	좀/MAG
많이	많이/MAG
나오는데	나오/VV+는데/EC
자신감을	자신감/NNG+을/JKO
갖되	갖/VV+되/EC
자만심을	자만심/NNG+을/JKO
가지면	가지/VV+면/EC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
생각으로	생각/NNG+으로/JKB
최선을	최선/NNG+을/JKO
다하겠다”고	다/MAG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.330.10.2
친박 살생부 논란과 관련해선 “그런 말을 한 사실이 전혀 없고 대응하지 않겠다”고 일축했다.

친박	친/XPN+박/NNP
살생부	살생부/NNG
논란과	논란/NNG+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
“그런	“/SS+그런/MMD
말을	말/NNG+을/JKO
한	하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
전혀	전혀/MAG
없고	없/VA+고/EC
대응하지	대응/NNG+하/XSV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
일축했다.	일축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.330.10.3
그는 이어 서울 노량진 고시촌을 찾아 ‘컵밥’을 먹으며 청년 고시생들을 격려했다.

그는	그/NP+는/JX
이어	이어/MAG
서울	서울/NNP
노량진	노량진/NNP
고시촌을	고시촌/NNG+을/JKO
찾아	찾/VV+아/EC
‘컵밥’을	‘/SS+컵밥/NNG+’/SS+을/JKO
먹으며	먹/VV+으며/EC
청년	청년/NNG
고시생들을	고시/NNG+생/XSN+들/XSN+을/JKO
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.330.11.1
현재 판세로는 서, 김 의원이 ‘양강(兩强) 그룹’을 형성하고 있고 이인제 홍문종 김태호 의원은 ‘3중(中) 그룹’을 형성하고 있다.

현재	현재/NNG
판세로는	판세/NNG+로/JKB+는/JX
서,	서/NNP+,/SP
김	김/NNP
의원이	의원/NNG+이/JKS
‘양강(兩强)	‘/SS+양/MMN+강/NNB+(/SS+兩强/SH+)/SS
그룹’을	그룹/NNG+’/SS+을/JKO
형성하고	형성/NNG+하/XSV+고/EC
있고	있/VX+고/EC
이인제	이인제/NNP
홍문종	홍문종/NNP
김태호	김태호/NNP
의원은	의원/NNG+은/JX
‘3중(中)	‘/SS+3/SN+중/NNG+(/SS+中/SH+)/SS
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.330.11.2
이번 전당대회에선 대의원이 1인 2표를 행사하기 때문에 후보들 간의 합종연횡이 활발해질 것으로 전망된다.

이번	이번/NNG
전당대회에선	전당/NNG+대회/NNG+에서/JKB+ㄴ/JX
대의원이	대의원/NNG+이/JKS
1인	1/SN+인/NNG
2표를	2/SN+표/NNG+를/JKO
행사하기	행사/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
후보들	후보/NNG+들/XSN
간의	간/NNB+의/JKG
합종연횡이	합종연횡/NNG+이/JKS
활발해질	활발하/VA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


