# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.58
metadata : {}


# id : NWRW1800000024.58.1.1
중앙은행 ‘금융 거시감독권’ 되찾을까

중앙은행	중앙은행/NNG
하지	하/VV+지/EC
못했고,	못하/VX+았/EP+고/EC+,/SP
위기	위기/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
중앙은행의	중앙은행/NNG+의/JKG
구실이	구실/NNG+이/JKS
절대적으로	절대/NNG+적/XSN+으로/JKB
중요하다는	중요/NNG+하/XSA+다는/ETM
판단	판단/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.58.4.2
미국·영국·독일 등이 기존 감독체계를 개편해 중앙은행의 역할과 권한을 강화하고 있는 추세여서 한은법 개정은 더욱 힘을 받고 있다.

미국·영국·독일	미국/NNP+·/SP+영국/NNP+·/SP+독일/NNP
등이	등/NNB+이/JKS
기존	기존/NNG
감독체계를	감독/NNG+체계/NNG+를/JKO
개편해	개편/NNG+하/XSV+아/EC
중앙은행의	중앙은행/NNG+의/JKG
역할과	역할/NNG+과/JC
권한을	권한/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
추세여서	추세/NNG+이/VCP+어서/EC
한은법	한은법/NNG
개정은	개정/NNG+은/JX
더욱	더욱/MAG
힘을	힘/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.58.5.1
정부 처지에서도 한은의 협조가 절실히 필요한 상황이다.

정부	정부/NNG
처지에서도	처지/NNG+에서/JKB+도/JX
한은의	한은/NNP+의/JKG
협조가	협조/NNG+가/JKS
절실히	절실히/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.58.5.2
당장 10조~20조원의 추가경정(추경) 예산을 편성하려면 국채를 발행하고 한은이 이를 받아줘야 한다.

당장	당장/NNG
10조~20조원의	10/SN+조/NR+~/SO+20/SN+조/NR+원/NNB+의/JKG
추가경정(추경)	추가/NNG+경정/NNG+(/SS+추경/NNG+)/SS
예산을	예산/NNG+을/JKO
편성하려면	편성/NNG+하/XSV+려면/EC
국채를	국채/NNG+를/JKO
발행하고	발행/NNG+하/XSV+고/EC
한은이	한은/NNP+이/JKS
이를	이/NP+를/JKO
받아줘야	받/VV+아/EC+주/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.58.5.3
자본시장통합법 시행으로 제2금융권이 5~6월쯤 지급결제제도에 참여하게 됨에 따라 최종 결제권자인 한은의 감독을 강화해야 한다는 목소리도 나오고 있다.

자본시장통합법	자본/NNG+시장/NNG+통합/NNG+법/NNG
시행으로	시행/NNG+으로/JKB
제2금융권이	제/XPN+2/SN+금융/NNG+권/XSN+이/JKS
5~6월쯤	5/SN+~/SO+6/SN+월/NNB+쯤/XSN
지급결제제도에	지급/NNG+결제/NNG+제도/NNG+에/JKB
참여하게	참여/NNG+하/XSV+게/EC
됨에	되/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
최종	최종/NNG
결제권자인	결제권자/NNG+이/VCP+ㄴ/ETM
한은의	한은/NNP+의/JKG
감독을	감독/NNG+을/JKO
강화해야	강화/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리도	목소리/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.58.5.4
어떤 식으로든 한은의 역할 강화가 불가피한 상황이다.

어떤	어떤/MMD
식으로든	식/NNB+으로/JKB+든/JX
한은의	한은/NNP+의/JKG
역할	역할/NNG
강화가	강화/NNG+가/JKS
불가피한	불가피하/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.58.6.1
한은은 1998년 법 개정을 통해 총재가 금융통화위원회 의장직을 겸임함으로써 정부로부터의 독립성을 확보했으나 금융기관 검사권과 감독권을 금융감독원에 넘겨주면서 손발이 묶이게 됐다.

한은은	한은/NNP+은/JX
1998년	1998/SN+년/NNB
법	법/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+아/EC
총재가	총재/NNG+가/JKS
금융통화위원회	금융/NNG+통화/NNG+위원회/NNG
의장직을	의장직/NNG+을/JKO
겸임함으로써	겸임/NNG+하/XSV+ㅁ/ETN+으로써/JKB
정부로부터의	정부/NNG+로부터/JKB+의/JKG
독립성을	독립/NNG+성/XSN+을/JKO
확보했으나	확보/NNG+하/XSV+았/EP+으나/EC
금융기관	금융/NNG+기관/NNG
검사권과	검사/NNG+권/XSN+과/JC
감독권을	감독/NNG+권/XSN+을/JKO
금융감독원에	금융/NNG+감독원/NNG+에/JKB
넘겨주면서	넘겨주/VV+면서/EC
손발이	손발/NNG+이/JKS
묶이게	묶이/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.58.6.2
오랜 갈등 관계에 있던 기획재정부 등의 견제로 필요한 자료조차 제대로 확보하기 어려운 처지다.

오랜	오랜/MMA
갈등	갈등/NNG
관계에	관계/NNG+에/JKB
있던	있/VA+던/ETM
기획재정부	기획/NNG+재정부/NNG
등의	등/NNB+의/JKG
견제로	견제/NNG+로/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
자료조차	자료/NNG+조차/JX
제대로	제대로/MAG
확보하기	확보/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
처지다.	처지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.58.7.1
금융감독원과 자료공유 협정을 맺었고 공동검사권을 행사할 수도 있지만, 유명무실화한 지 오래다.

금융감독원과	금융/NNG+감독원/NNG+과/JKB
자료공유	자료/NNG+공유/NNG
협정을	협정/NNG+을/JKO
맺었고	맺/VV+었/EP+고/EC
공동검사권을	공동/NNG+검사/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있지만,	있/VA+지만/EC+,/SP
유명무실화한	유명무실/NNG+화/XSN+하/XSV+ㄴ/ETM
지	지/NNB
오래다.	오래/VA+다/EF+./SF


# id : NWRW1800000024.58.7.2
한은의 한 고위 간부는 “은행권 자본확충펀드에 10조원을 넣기로 결정할 당시 은행들의 국제결제은행(BIS) 자기자본비율 관련 자료를 요청했으나 거절당했다”고 말했다.

한은의	한은/NNP+의/JKG
한	한/MMN
고위	고위/NNG
간부는	간부/NNG+는/JX
“은행권	“/SS+은행/NNG+권/XSN
자본확충펀드에	자본/NNG+확충/NNG+펀드/NNG+에/JKB
10조원을	10/SN+조/NR+원/NNB+을/JKO
넣기로	넣/VV+기/ETN+로/JKB
결정할	결정/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
은행들의	은행/NNG+들/XSN+의/JKG
국제결제은행(BIS)	국제결제은행/NNP+(/SS+BIS/SL+)/SS
자기자본비율	자기/NNG+자본/NNG+비율/NNG
관련	관련/NNG
자료를	자료/NNG+를/JKO
요청했으나	요청/NNG+하/XSV+았/EP+으나/EC
거절당했다”고	거절/NNG+당하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.58.8.1
■ 거시감독 한은이 맡을 듯 한은법 개정의 핵심 방향은 중앙은행의 구실을 물가 안정에 국한하지 말고 금융안정 기능을 추가하자는 것이다.

■	■/SW
거시감독	거시/NNG+감독/NNG
한은이	한은/NNP+이/JKS
맡을	맡/VV+을/ETM
듯	듯/NNB
한은법	한은법/NNG
개정의	개정/NNG+의/JKG
핵심	핵심/NNG
방향은	방향/NNG+은/JX
중앙은행의	중앙은행/NNG+의/JKG
구실을	구실/NNG+을/JKO
물가	물가/NNG
안정에	안정/NNG+에/JKB
국한하지	국한/NNG+하/XSV+지/EC
말고	말/VX+고/EC
금융안정	금융/NNG+안정/NNG
기능을	기능/NNG+을/JKO
추가하자는	추가/NNG+하/XSV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.58.8.2
이를 위해 금융기관에 대한 조사권이나 검사권 등 권한 확대가 뒤따라야 한다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
금융기관에	금융/NNG+기관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사권이나	조사/NNG+권/XSN+이나/JC
검사권	검사/NNG+권/XSN
등	등/NNB
권한	권한/NNG
확대가	확대/NNG+가/JKS
뒤따라야	뒤따르/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.58.8.3
현행 한은법에서 규정한 ‘긴급 유동성 지원 요건’ 등도 완화되어야 위기에 신속하게 대처할 수 있다.

현행	현행/NNG
한은법에서	한은법/NNG+에서/JKB
규정한	규정/NNG+하/XSV+ㄴ/ETM
‘긴급	‘/SS+긴급/NNG
유동성	유동/NNG+성/XSN
지원	지원/NNG
요건’	요건/NNG+’/SS
등도	등/NNB+도/JX
완화되어야	완화/NNG+되/XSV+어야/EC
위기에	위기/NNG+에/JKB
신속하게	신속/NNG+하/XSA+게/EC
대처할	대처/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.58.8.4
이에 대한 여야의 의견 차이는 별로 없다.

이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
여야의	여야/NNG+의/JKG
의견	의견/NNG
차이는	차이/NNG+는/JX
별로	별로/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.58.8.5
실제로 한은 자금으로 은행권 자본 확충이 이뤄지면 어떤 형식으로든 관리 감독이 불가피하다.

실제로	실제로/MAG
한은	한은/NNP
자금으로	자금/NNG+으로/JKB
은행권	은행/NNG+권/XSN
자본	자본/NNG
확충이	확충/NNG+이/JKS
이뤄지면	이뤄지/VV+면/EC
어떤	어떤/MMD
형식으로든	형식/NNG+으로/JKB+든/JX
관리	관리/NNG
감독이	감독/NNG+이/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000024.58.8.6
한은이 기업어음(CP)이나 회사채 매입 등 일반 영리기업에 대한 자금 지원에 나설 경우에도 마찬가지다.

한은이	한은/NNP+이/JKS
기업어음(CP)이나	기업/NNG+어음/NNG+(/SS+CP/SL+)/SS+이나/JC
회사채	회사채/NNG
매입	매입/NNG
등	등/NNB
일반	일반/NNG
영리기업에	영리/NNG+기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자금	자금/NNG
지원에	지원/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
경우에도	경우/NNG+에/JKB+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.58.9.1
김성식 의원은 “금융회사의 건전성 감독과 대출 규제 같은 방식으론 금융위기를 막지 못한다는 것이 드러났다”며 “한은의 업무를 제2금융권까지 넓히고 유동성과 지급결제 관련 거시감독을 한은에 맡기자는 것이 법 개정의 취지”라고 말했다.

김성식	김성식/NNP
의원은	의원/NNG+은/JX
“금융회사의	“/SS+금융/NNG+회사/NNG+의/JKG
건전성	건전/NNG+성/XSN
감독과	감독/NNG+과/JC
대출	대출/NNG
규제	규제/NNG
같은	같/VA+은/ETM
방식으론	방식/NNG+으로/JKB+ㄴ/JX
금융위기를	금융/NNG+위기/NNG+를/JKO
막지	막/VV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
것이	것/NNB+이/JKS
드러났다”며	드러나/VV+았/EP+다/EF+”/SS+며/EC
“한은의	“/SS+한은/NNP+의/JKG
업무를	업무/NNG+를/JKO
제2금융권까지	제/XPN+2/SN+금융/NNG+권/XSN+까지/JX
넓히고	넓히/VV+고/EC
유동성과	유동/NNG+성/XSN+과/JC
지급결제	지급/NNG+결제/NNG
관련	관련/NNG
거시감독을	거시/NNG+감독/NNG+을/JKO
한은에	한은/NNP+에/JKB
맡기자는	맡기/VV+자는/ETM
법	법/NNG
개정의	개정/NNG+의/JKG
취지”라고	취지/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.58.9.2
따라서 한은법이 개정될 경우 개별 금융사에 대한 미시감독은 현행대로 금감원이, 금융 시스템 안정을 위한 거시감독은 한은이 맡게 될 가능성이 크다.

따라서	따라서/MAJ
한은법이	한은법/NNG+이/JKS
개정될	개정/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
개별	개별/NNG
금융사에	금융사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
미시감독은	미시/NNG+감독/NNG+은/JX
현행대로	현행/NNG+대로/JX
금감원이,	금감원/NNG+이/JKS+,/SP
금융	금융/NNG
시스템	시스템/NNG
안정을	안정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
거시감독은	거시/NNG+감독/NNG+은/JX
한은이	한은/NNP+이/JKS
맡게	맡/VV+게/EC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000024.58.10.1
변수는 정부의 태도다.

변수는	변수/NNG+는/JX
정부의	정부/NNG+의/JKG
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.58.10.2
윤증현 기획재정부 장관이 법 개정에 공감한다고 했지만, 정부는 발권력을 가진 한은을 장악하기 위해 줄곧 한은의 권한 확대에 반대해 왔다.

윤증현	윤증현/NNP
기획재정부	기획/NNG+재정부/NNG
장관이	장관/NNG+이/JKS
법	법/NNG
개정에	개정/NNG+에/JKB
공감한다고	공감/NNG+하/XSV+ㄴ다고/EC
했지만,	하/VV+았/EP+지만/EC+,/SP
정부는	정부/NNG+는/JX
발권력을	발권력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
한은을	한은/NNP+을/JKO
장악하기	장악/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
줄곧	줄곧/MAG
한은의	한은/NNP+의/JKG
권한	권한/NNG
확대에	확대/NNG+에/JKB
반대해	반대/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.58.10.3
따라서 한은법 개정이 성사되기까지는 정부 쪽과 팽팽한 줄다리기가 벌어질 것으로 보인다.

따라서	따라서/MAJ
한은법	한은법/NNG
개정이	개정/NNG+이/JKS
성사되기까지는	성사/NNG+되/XSV+기/ETN+까지/JX+는/JX
정부	정부/NNG
쪽과	쪽/NNB+과/JKB
팽팽한	팽팽하/VA+ㄴ/ETM
줄다리기가	줄다리기/NNG+가/JKS
벌어질	벌어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


