# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.200
metadata : {}


# id : NWRW1800000040.200.1.1
김종훈 미래장관 후보 ‘이중국적’ 상태

김종훈	김종훈/NNP
최근까지도	최근/NNG+까지/JX+도/JX
외국인이었던	외국인/NNG+이/VCP+었/EP+던/ETM
사람이	사람/NNG+이/JKS
국정	국정/NNG
전반을	전반/NNG+을/JKO
논의하고	논의/NNG+하/XSV+고/EC
주요	주요/NNG
정책을	정책/NNG+을/JKO
결정하는	결정/NNG+하/XSV+는/ETM
국무위원이	국무/NNG+위원/NNG+이/JKC
되는	되/VV+는/ETM
게	거/NNB+이/JKS
적절한지	적절하/VA+ㄴ지/EF
논란거리다.	논란거리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.200.7.2
과거 인사검증 과정에서 낙마한 장상 국무총리 서리(2002년 7월)와 남주홍 통일부 장관 후보자(2008년 2월)는 본인도 아닌 자녀의 미국 국적이 문제가 됐다.

과거	과거/NNG
인사검증	인사/NNG+검증/NNG
과정에서	과정/NNG+에서/JKB
낙마한	낙마/NNG+하/XSV+ㄴ/ETM
장상	장상/NNP
국무총리	국무총리/NNG
서리(2002년	서리/NNG+(/SS+2002/SN+년/NNB
7월)와	7/SN+월/NNB+)/SS+와/JC
남주홍	남주홍/NNP
통일부	통일부/NNG
장관	장관/NNG
후보자(2008년	후보자/NNG+(/SS+2008/SN+년/NNB
2월)는	2/SN+월/NNB+)/SS+는/JX
본인도	본인/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
자녀의	자녀/NNG+의/JKG
미국	미국/NNP
국적이	국적/NNG+이/JKS
문제가	문제/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.200.8.1
특히 미래창조과학부 장관은 현행법 취지에 비춰 국적 논란이 있는 인사에게 맡기기엔 부적절한 자리라는 지적도 나온다.

특히	특히/MAG
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
장관은	장관/NNG+은/JX
현행법	현행법/NNG
취지에	취지/NNG+에/JKB
비춰	비추/VV+어/EC
국적	국적/NNG
논란이	논란/NNG+이/JKS
있는	있/VA+는/ETM
인사에게	인사/NNG+에게/JKB
맡기기엔	맡기/VV+기/ETN+에/JKB+ㄴ/JX
부적절한	부적절하/VA+ㄴ/ETM
자리라는	자리/NNG+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.200.8.2
국가공무원법은 △국가안보와 관련되는 정보·보안·기밀 △대통령 및 국무총리 등 국가 중요 인사의 국정수행 보좌 및 경호 △외교관계·통상교섭 △국민의 생명·신체·재산 보호, 기업의 영업비밀 및 신기술 보호, 주요 경제·재정 정책 및 예산 운영 등 민감한 8개 분야를 다루는 공무원에 대해서는 복수 국적자의 채용을 제한할 수 있도록 별도로 규정하고 있다.

국가공무원법은	국가/NNG+공무원법/NNG+은/JX
△국가안보와	△/SW+국가/NNG+안보/NNG+와/JKB
관련되는	관련/NNG+되/XSV+는/ETM
정보·보안·기밀	정보/NNG+·/SP+보안/NNG+·/SP+기밀/NNG
△대통령	△/SW+대통령/NNG
및	및/MAG
국무총리	국무총리/NNG
등	등/NNB
국가	국가/NNG
중요	중요/NNG
인사의	인사/NNG+의/JKG
국정수행	국정/NNG+수행/NNG
보좌	보좌/NNG
경호	경호/NNG
△외교관계·통상교섭	△/SW+외교/NNG+관계/NNG+·/SP+통상/NNG+교섭/NNG
△국민의	△/SW+국민/NNG+의/JKG
생명·신체·재산	생명/NNG+·/SP+신체/NNG+·/SP+재산/NNG
보호,	보호/NNG+,/SP
기업의	기업/NNG+의/JKG
영업비밀	영업/NNG+비밀/NNG
신기술	신/XPN+기술/NNG
주요	주요/NNG
경제·재정	경제/NNG+·/SP+재정/NNG
정책	정책/NNG
예산	예산/NNG
운영	운영/NNG
민감한	민감/NNG+하/XSA+ㄴ/ETM
8개	8/SN+개/NNB
분야를	분야/NNG+를/JKO
다루는	다루/VV+는/ETM
공무원에	공무원/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
복수	복수/NNG
국적자의	국적자/NNG+의/JKG
채용을	채용/NNG+을/JKO
제한할	제한/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
별도로	별도/NNG+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.200.9.1
새누리당이 발의한 정부조직법 개정안을 보면, 미래창조과학부 장관은 과학기술정책을 총괄 수립하고 정보통신산업, 원자력 안전 등의 업무를 총괄한다.

새누리당이	새누리당/NNP+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
정부조직법	정부/NNG+조직법/NNG
개정안을	개정안/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
장관은	장관/NNG+은/JX
과학기술정책을	과학/NNG+기술/NNG+정책/NNG+을/JKO
총괄	총괄/NNG
수립하고	수립/NNG+하/XSV+고/EC
정보통신산업,	정보/NNG+통신/NNG+산업/NNG+,/SP
원자력	원자력/NNG
안전	안전/NNG
등의	등/NNB+의/JKG
업무를	업무/NNG+를/JKO
총괄한다.	총괄/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.200.9.2
과학기술인력 양성과 국가정보화 기획 및 정보보호 업무도 맡는다.

과학기술인력	과학/NNG+기술/NNG+인력/NNG
양성과	양성/NNG+과/JC
국가정보화	국가/NNG+정보/NNG+화/XSN
기획	기획/NNG
및	및/MAG
정보보호	정보/NNG+보호/NNG
업무도	업무/NNG+도/JX
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000040.200.9.3
박홍근 민주통합당 의원은 “미국인으로서 오랫동안 미국 기업과 미국 업계의 이익을 대변해오던 사람을 미래창조과학부 장관에 임명하는 건 적절치 않다”고 말했다.

박홍근	박홍근/NNP
민주통합당	민주통합당/NNP
의원은	의원/NNG+은/JX
“미국인으로서	“/SS+미국인/NNG+으로서/JKB
오랫동안	오랫동안/NNG
미국	미국/NNP
기업과	기업/NNG+과/JC
업계의	업계/NNG+의/JKG
이익을	이익/NNG+을/JKO
대변해오던	대변/NNG+하/XSV+아/EC+오/VX+던/ETM
사람을	사람/NNG+을/JKO
미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
장관에	장관/NNG+에/JKB
임명하는	임명/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
적절치	적절하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


