# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.99
metadata : {}


# id : NWRW1800000025.99.1.1
‘秋 방망이’ 시즌 첫 홈런포

‘秋	‘/SS+秋/SH
비율을	비율/NNG+을/JKO
걱정하기에는	걱정/NNG+하/XSV+기/ETN+에/JKB+는/JX
아직	아직/MAG
수가	수/NNG+가/JKS
너무	너무/MAG
적다.	적/VA+다/EF+./SF


# id : NWRW1800000025.99.4.2
그는 베테랑이기 때문에 걱정하지 않는다”며 깊은 신뢰를 나타냈다.

그는	그/NP+는/JX
베테랑이기	베테랑/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
걱정하지	걱정/NNG+하/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
깊은	깊/VA+은/ETM
신뢰를	신뢰/NNG+를/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.99.4.3
추신수는 전날까지 5경기에서 9개의 삼진을 당하며 부진했다.

추신수는	추신수/NNP+는/JX
전날까지	전날/NNG+까지/JX
5경기에서	5/SN+경기/NNG+에서/JKB
9개의	9/SN+개/NNB+의/JKG
삼진을	삼진/NNG+을/JKO
당하며	당하/VV+며/EC
부진했다.	부진/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.99.4.4
클리블랜드는 8-6으로 앞선 9회말 3점을 내줘 8-9로 역전패했다.

클리블랜드는	클리블랜드/NNP+는/JX
8-6으로	8/SN+-/SO+6/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
9회말	9/SN+회/NNB+말/NNB
3점을	3/SN+점/NNB+을/JKO
내줘	내주/VV+어/EC
8-9로	8/SN+-/SO+9/SN+로/JKB
역전패했다.	역전패/NNG+하/XSV+았/EP+다/EF+./SF


