# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.390
metadata : {}


# id : NWRW1800000053.390.1.1
“김정은, 참수작전 두려워 측근車로 새벽 이동”

“김정은,	“/SS+김정은/NNP+,/SP
2016년(141건),	2016/SN+년/NNB+(/SS+141/SN+건/NNB+)/SS+,/SP
2015년(155건)에	2015/SN+년/NNB+(/SS+155/SN+건/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
30%가량	30/SN+%/SW+가량/XSN
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.390.4.2
평균 3.5일에 한 번꼴로 미디어에 등장한 셈이다.

평균	평균/NNG
3.5일에	3/SN+./SP+5/SN+일/NNB+에/JKB
한	한/MMN
번꼴로	번/NNB+꼴/XSN+로/JKB
미디어에	미디어/NNG+에/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.390.5.1
신문은 “김정은이 미군의 정찰위성에 포착되는 것을 피하기 위해 주로 새벽에 활동하며 자신의 벤츠를 타지 않고 간부에게 선물한 렉서스를 타고 이동하는 것으로 알려졌다”고 보도했다.

신문은	신문/NNG+은/JX
“김정은이	“/SS+김정은/NNP+이/JKS
미군의	미군/NNG+의/JKG
정찰위성에	정찰/NNG+위성/NNG+에/JKB
포착되는	포착/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
주로	주로/MAG
새벽에	새벽/NNG+에/JKB
활동하며	활동/NNG+하/XSV+며/EC
자신의	자신/NNG+의/JKG
벤츠를	벤츠/NNP+를/JKO
타지	타/VV+지/EC
않고	않/VX+고/EC
간부에게	간부/NNG+에게/JKB
선물한	선물/NNG+하/XSV+ㄴ/ETM
렉서스를	렉서스/NNP+를/JKO
타고	타/VV+고/EC
이동하는	이동/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다”고	알려지/VV+었/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.390.5.2
한국 국가정보원도 6월에 “김정은이 참수작전을 우려해 공개 활동을 줄이고 측근 차를 탄다”고 전한 바 있다.

한국	한국/NNP
국가정보원도	국가/NNG+정보원/NNG+도/JX
6월에	6/SN+월/NNB+에/JKB
“김정은이	“/SS+김정은/NNP+이/JKS
참수작전을	참수/NNG+작전/NNG+을/JKO
우려해	우려/NNG+하/XSV+아/EC
공개	공개/NNG
활동을	활동/NNG+을/JKO
줄이고	줄이/VV+고/EC
측근	측근/NNG
차를	차/NNG+를/JKO
탄다”고	타/VV+ㄴ다/EF+”/SS+고/JKQ
전한	전하/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.390.5.3
외부 일정을 줄이는 것은 탄도미사일 발사나 핵실험의 신호이기도 했다.

외부	외부/NNG
일정을	일정/NNG+을/JKO
줄이는	줄이/VV+는/ETM
것은	것/NNB+은/JX
탄도미사일	탄도/NNG+미사일/NNG
발사나	발사/NNG+나/JC
핵실험의	핵/NNG+실험/NNG+의/JKG
신호이기도	신호/NNG+이/VCP+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.390.5.4
신문은 “중요한 도발 1, 2주 전부터 미디어에 등장하지 않는 경우가 두드러졌다”고 분석했다.

신문은	신문/NNG+은/JX
“중요한	“/SS+중요/NNG+하/XSA+ㄴ/ETM
도발	도발/NNG
1,	1/SN+,/SP
2주	2/SN+주/NNB
전부터	전/NNG+부터/JX
미디어에	미디어/NNG+에/JKB
등장하지	등장/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
경우가	경우/NNG+가/JKS
두드러졌다”고	두드러지/VV+었/EP+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.390.6.1
공개된 일정 102건 중에는 미사일 발사 현장 입회나 군사훈련 시찰 등 군과 관련된 것이 50건으로 약 절반에 달했다.

공개된	공개/NNG+되/XSV+ㄴ/ETM
일정	일정/NNG
102건	102/SN+건/NNB
중에는	중/NNB+에/JKB+는/JX
미사일	미사일/NNG
발사	발사/NNG
현장	현장/NNG
입회나	입회/NNG+나/JC
군사훈련	군사/NNG+훈련/NNG
시찰	시찰/NNG
등	등/NNB
군과	군/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
50건으로	50/SN+건/NNB+으로/JKB
약	약/MMA
절반에	절반/NNG+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.390.6.2
군 관련 일정의 비율은 2015, 2016년과 비교해 10%포인트가량 올랐다.

군	군/NNG
관련	관련/NNG
일정의	일정/NNG+의/JKG
비율은	비율/NNG+은/JX
2015,	2015/SN+,/SP
2016년과	2016/SN+년/NNB+과/JKB
비교해	비교/NNG+하/XSV+아/EC
10%포인트가량	10/SN+%포인트/NNG+가량/XSN
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.390.6.3
대륙간탄도미사일(ICBM) 개발 등 군사업적을 강조하려는 취지로 풀이된다.

대륙간탄도미사일(ICBM)	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG+(/SS+ICBM/SL+)/SS
개발	개발/NNG
등	등/NNB
군사업적을	군사/NNG+업적/NNG+을/JKO
강조하려는	강조/NNG+하/XSV+려는/ETM
취지로	취지/NNG+로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.390.7.1
반면 경제 관련 공개 활동은 19건으로 20%에 불과했다.

반면	반면/NNG
경제	경제/NNG
관련	관련/NNG
공개	공개/NNG
활동은	활동/NNG+은/JX
19건으로	19/SN+건/NNB+으로/JKB
20%에	20/SN+%/SW+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000053.390.7.2
신문은 “다만 유엔 안보리가 북한에 엄격한 제재를 부과한 9월 11일 이후 김정은이 공장 농장 등을 빈번하게 찾고 있다”며 “현지지도 명목으로 생산 확대를 지시하는 모습에서 조바심을 엿볼 수 있다”고 분석했다.

신문은	신문/NNG+은/JX
“다만	“/SS+다만/MAG
유엔	유엔/NNP
안보리가	안보리/NNG+가/JKS
북한에	북한/NNP+에/JKB
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
제재를	제재/NNG+를/JKO
부과한	부과/NNG+하/XSV+ㄴ/ETM
9월	9/SN+월/NNB
11일	11/SN+일/NNB
이후	이후/NNG
김정은이	김정은/NNP+이/JKS
공장	공장/NNG
농장	농장/NNG
등을	등/NNB+을/JKO
빈번하게	빈번하/VA+게/EC
찾고	찾/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“현지지도	“/SS+현지/NNG+지도/NNG
명목으로	명목/NNG+으로/JKB
생산	생산/NNG
확대를	확대/NNG+를/JKO
지시하는	지시/NNG+하/XSV+는/ETM
모습에서	모습/NNG+에서/JKB
조바심을	조바심/NNG+을/JKO
엿볼	엿보/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


