# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.80
metadata : {}


# id : NWRW1800000041.80.1.1
[뛰자! 한국기업]금호석유화학, ‘S-SBR’ 핵심제품 육성… 세계 일등 20개 만들기

[뛰자!	[/SS+뛰/VV+자/EF+!/SF
2014년은 전세계 자동차 및 타이어 수요의 점진적인 증가가 예상되고 타이어사의 가동률도 높아질 것으로 전망되는 가운데 합성고무를 주력으로 하는 금호석유화학은 사업구조 재편을 통해 선택과 집중을 통한 미래 성장 기반을 마련한다는 방침을 세웠다.

2014년은	2014/SN+년/NNB+은/JX
전세계	전/MMN+세계/NNG
자동차	자동차/NNG
및	및/MAG
타이어	타이어/NNG
수요의	수요/NNG+의/JKG
점진적인	점진/NNG+적/XSN+이/VCP+ㄴ/ETM
증가가	증가/NNG+가/JKS
예상되고	예상/NNG+되/XSV+고/EC
타이어사의	타이어사/NNG+의/JKG
가동률도	가동/NNG+률/XSN+도/JX
높아질	높아지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망되는	전망/NNG+되/XSV+는/ETM
가운데	가운데/NNG
합성고무를	합성/NNG+고무/NNG+를/JKO
주력으로	주력/NNG+으로/JKB
하는	하/VV+는/ETM
금호석유화학은	금호석유화학/NNP+은/JX
사업구조	사업/NNG+구조/NNG
재편을	재편/NNG+을/JKO
통해	통하/VV+아/EC
선택과	선택/NNG+과/JC
집중을	집중/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
미래	미래/NNG
성장	성장/NNG
기반을	기반/NNG+을/JKO
마련한다는	마련/NNG+하/XSV+ㄴ다는/ETM
방침을	방침/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.80.4.2
이를 위해 김성채 대표이사 사장이 주재하는 ‘투자심의위원회’를 운영하면서 한편으로는 고객의 만족도를 조사해 잠재적 고객 확충에 나섰다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
김성채	김성채/NNP
대표이사	대표/NNG+이사/NNG
사장이	사장/NNG+이/JKS
주재하는	주재/NNG+하/XSV+는/ETM
‘투자심의위원회’를	‘/SS+투자/NNG+심의/NNG+위원회/NNG+’/SS+를/JKO
운영하면서	운영/NNG+하/XSV+면서/EC
한편으로는	한편/NNG+으로/JKB+는/JX
고객의	고객/NNG+의/JKG
만족도를	만족도/NNG+를/JKO
조사해	조사/NNG+하/XSV+아/EC
잠재적	잠재/NNG+적/XSN
고객	고객/NNG
확충에	확충/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.80.4.3
세계 최대 합성고무 생산능력(2012년 말 기준 연산 108만 t)을 보유하고 있는 금호석유화학은 이 분야를 집중 육성함으로써 미래 발전 가능성을 높이고자 한다.

세계	세계/NNG
최대	최대/NNG
합성고무	합성/NNG+고무/NNG
생산능력(2012년	생산/NNG+능력/NNG+(/SS+2012/SN+년/NNB
말	말/NNB
기준	기준/NNG
연산	연산/NNG
108만	108/SN+만/NR
t)을	t/SW+)/SS+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
금호석유화학은	금호석유화학/NNP+은/JX
이	이/MMD
분야를	분야/NNG+를/JKO
집중	집중/NNG
육성함으로써	육성/NNG+하/XSV+ㅁ/ETN+으로써/JKB
미래	미래/NNG
발전	발전/NNG
가능성을	가능/NNG+성/XSN+을/JKO
높이고자	높이/VV+고자/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.80.5.1
합성고무 글로벌 경쟁력을 기반으로 최근 금호석유화학은 솔루션스타이렌부타디엔고무(S-SBR)를 차세대 핵심제품으로 집중 육성하고 있다.

합성고무	합성/NNG+고무/NNG
글로벌	글로벌/NNG
경쟁력을	경쟁력/NNG+을/JKO
기반으로	기반/NNG+으로/JKB
최근	최근/MAG
금호석유화학은	금호석유화학/NNP+은/JX
솔루션스타이렌부타디엔고무(S-SBR)를	솔루션/NNG+스타이렌/NNG+부타디엔/NNG+고무/NNG+(/SS+S/SL+-/SO+SBR/SL+)/SS+를/JKO
차세대	차세대/NNG
핵심제품으로	핵심/NNG+제품/NNG+으로/JKB
집중	집중/NNG
육성하고	육성/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.80.5.2
S-SBR는 2013년 11월 유럽연합(EU)을 시작으로 일본, 한국 등 선진국에 도입되는 타이어 라벨링 제도가 요구하고 있는 친환경 타이어의 핵심 속성을 제공하는 차세대 합성고무 제품으로 회전저항력 및 젖은 노면 접지력 등이 우수하다.

S-SBR는	S/SL+-/SO+SBR/SL+는/JX
2013년	2013/SN+년/NNB
11월	11/SN+월/NNB
유럽연합(EU)을	유럽연합/NNP+(/SS+EU/SL+)/SS+을/JKO
시작으로	시작/NNG+으로/JKB
일본,	일본/NNP+,/SP
한국	한국/NNP
등	등/NNB
선진국에	선진국/NNG+에/JKB
도입되는	도입/NNG+되/XSV+는/ETM
타이어	타이어/NNG
라벨링	라벨링/NNG
제도가	제도/NNG+가/JKS
요구하고	요구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
친환경	친/XPN+환경/NNG
타이어의	타이어/NNG+의/JKG
핵심	핵심/NNG
속성을	속성/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
차세대	차세대/NNG
합성고무	합성/NNG+고무/NNG
제품으로	제품/NNG+으로/JKB
회전저항력	회전/NNG+저항력/NNG
및	및/MAG
젖은	젖/VV+은/ETM
노면	노면/NNG
접지력	접지력/NNG
등이	등/NNB+이/JKS
우수하다.	우수/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.80.6.1
친환경 타이어 패러다임 전환과 함께 S-SBR 시장은 2020년까지 연평균 6%씩 성장해 2020년이면 전세계에서 약 7조5000억 원 규모를 형성할 것으로 전망되고 있다.

친환경	친/XPN+환경/NNG
타이어	타이어/NNG
패러다임	패러다임/NNG
전환과	전환/NNG+과/JKB
함께	함께/MAG
S-SBR	S/SL+-/SO+SBR/SL
시장은	시장/NNG+은/JX
2020년까지	2020/SN+년/NNB+까지/JX
연평균	연평균/NNG
6%씩	6/SN+%/SW+씩/XSN
성장해	성장/NNG+하/XSV+아/EC
2020년이면	2020/SN+년/NNB+이/VCP+면/EC
전세계에서	전/MMN+세계/NNG+에서/JKB
약	약/MMA
7조5000억	7/SN+조/NR+5000/SN+억/NR
원	원/NNB
규모를	규모/NNG+를/JKO
형성할	형성/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망되고	전망/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.80.7.1
또한 이 회사는 안정적 성장을 위해 에너지 사업의 확대를 추진하고 있다.

또한	또한/MAG
이	이/MMD
회사는	회사/NNG+는/JX
안정적	안정/NNG+적/XSN
성장을	성장/NNG+을/JKO
위해	위하/VV+아/EC
에너지	에너지/NNG
사업의	사업/NNG+의/JKG
확대를	확대/NNG+를/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.80.7.2
1997년 에너지 사업에 진출한 금호석유화학은 2015년까지 에너지 사업을 2배로 확대할 계획이다.

1997년	1997/SN+년/NNB
에너지	에너지/NNG
사업에	사업/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
금호석유화학은	금호석유화학/NNP+은/JX
2015년까지	2015/SN+년/NNB+까지/JX
사업을	사업/NNG+을/JKO
2배로	2/SN+배/NNG+로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.80.7.3
이는 금호석유화학과 화학계열사가 핵심사업 증설을 완료하고 본격적인 생산에 들어가는 2016년부터 필요한 스팀 전량을 안정적으로 공급할 수 있는 규모에 해당한다.

이는	이/NP+는/JX
금호석유화학과	금호석유화학/NNP+과/JC
화학계열사가	화학/NNG+계열사/NNG+가/JKS
핵심사업	핵심/NNG+사업/NNG
증설을	증설/NNG+을/JKO
완료하고	완료/NNG+하/XSV+고/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
생산에	생산/NNG+에/JKB
들어가는	들어가/VV+는/ETM
2016년부터	2016/SN+년/NNB+부터/JX
필요한	필요/NNG+하/XSA+ㄴ/ETM
스팀	스팀/NNG
전량을	전량/NNG+을/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
공급할	공급/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
규모에	규모/NNG+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.80.8.1
한편 미래 신성장 동력 확보 차원에서 2009년 탄소나노튜브 사업 진출을 선포한 바 있는 금호석유화학은 단기적으로 탄소나노튜브 소재 생산을 시작으로 장기적으로 탄소나노튜브를 주력 사업부문인 합성고무와 합성수지 사업에 적용해 자동차, 가전, 산업 제품이 요구하는 차세대 고강도 고분자 복합재료에서 전기전도성과 강도가 우수한 반도체 관련 전자소재를 만들어내는 것을 목표로 하고 있다.

한편	한편/MAG
미래	미래/NNG
신성장	신/XPN+성장/NNG
동력	동력/NNG
확보	확보/NNG
차원에서	차원/NNG+에서/JKB
2009년	2009/SN+년/NNB
탄소나노튜브	탄소/NNG+나노/NNG+튜브/NNG
사업	사업/NNG
진출을	진출/NNG+을/JKO
선포한	선포/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있는	있/VA+는/ETM
금호석유화학은	금호석유화학/NNP+은/JX
단기적으로	단기/NNG+적/XSN+으로/JKB
소재	소재/NNG
생산을	생산/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
장기적으로	장기/NNG+적/XSN+으로/JKB
탄소나노튜브를	탄소/NNG+나노/NNG+튜브/NNG+를/JKO
주력	주력/NNG
사업부문인	사업/NNG+부문/NNG+이/VCP+ㄴ/ETM
합성고무와	합성/NNG+고무/NNG+와/JC
합성수지	합성수지/NNG
사업에	사업/NNG+에/JKB
적용해	적용/NNG+하/XSV+아/EC
자동차,	자동차/NNG+,/SP
가전,	가전/NNG+,/SP
산업	산업/NNG
제품이	제품/NNG+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
차세대	차세대/NNG
고강도	고/XPN+강도/NNG
고분자	고/XPN+분자/NNG
복합재료에서	복합/NNG+재료/NNG+에서/JKB
전기전도성과	전기/NNG+전도/NNG+성/XSN+과/JC
강도가	강도/NNG+가/JKS
우수한	우수/NNG+하/XSA+ㄴ/ETM
반도체	반도체/NNG
관련	관련/NNG
전자소재를	전자/NNG+소재/NNG+를/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
것을	것/NNB+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


