# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.48
metadata : {}


# id : NWRW1800000038.48.1.1
모스크서 총쏘며 저항하던 시위대 진압… 이집트 주말 173명 사망

모스크서	모스크/NNG+서/JKB
최고지도자	최고/NNG+지도자/NNG
아이만	아이만/NNP
알자와히리의	알자와히리/NNP+의/JKG
친동생	친/XPN+동생/NNG
무함마드	무함마드/NNP
알자와히리(60)를	알자와히리/NNP+(/SS+60/SN+)/SS+를/JKO
수도	수도/NNG
카이로의	카이로/NNP+의/JKG
기자	기자/NNP
지역에서	지역/NNG+에서/JKB
긴급	긴급/NNG
체포했다"면서	체포/NNG+하/XSV+았/EP+다/EF+"/SS+면서/EC
"그가	"/SS+그/NP+가/JKS
무르시	무르시/NNP
지지	지지/NNG
시위에	시위/NNG+에/JKB
관여하고	관여/NNG+하/XSV+고/EC
폭력	폭력/NNG
행위를	행위/NNG+를/JKO
선동했다는	선동/NNG+하/XSV+았/EP+다는/ETM
첩보를	첩보/NNG+를/JKO
입수했다"고	입수/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.48.4.2
정부는 또 "대규모 시위를 일으켜 인명 피해를 유발하고 테러를 시도한 혐의로 무슬림형제단 지도급 4명과 단원 250여명을 체포해 조사 중"이라고 밝혔다고 아랍권 위성TV 알아라비아가 보도했다.

정부는	정부/NNG+는/JX
또	또/MAG
"대규모	"/SS+대/XPN+규모/NNG
시위를	시위/NNG+를/JKO
일으켜	일으키/VV+어/EC
인명	인명/NNG
피해를	피해/NNG+를/JKO
유발하고	유발/NNG+하/XSV+고/EC
테러를	테러/NNG+를/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
무슬림형제단	무슬림형제단/NNP
지도급	지도급/NNG
4명과	4/SN+명/NNB+과/JC
단원	단원/NNG
250여명을	250/SN+여/XSN+명/NNB+을/JKO
체포해	체포/NNG+하/XSV+아/EC
조사	조사/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
밝혔다고	밝히/VV+었/EP+다고/EC
아랍권	아랍/NNP+권/XSN
위성TV	위성/NNG+TV/SL
알아라비아가	알아라비아/NNG+가/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.5.1
이집트 군경은 이날 카이로 도심의 람세스 광장에서 반군부 시위를 벌이는 무슬림형제단 등 무르시 지지자 700여명과 유혈 충돌했다.

이집트	이집트/NNP
군경은	군경/NNG+은/JX
이날	이날/NNG
카이로	카이로/NNP
도심의	도심/NNG+의/JKG
람세스	람세스/NNP
광장에서	광장/NNG+에서/JKB
반군부	반/XPN+군부/NNG
시위를	시위/NNG+를/JKO
벌이는	벌이/VV+는/ETM
무슬림형제단	무슬림형제단/NNP
등	등/NNB
무르시	무르시/NNP
지지자	지지자/NNG
700여명과	700/SN+여/XSN+명/NNB+과/JKB
유혈	유혈/NNG
충돌했다.	충돌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.5.2
군경은 시위대가 람세스 광장 인근 알파태흐 모스크(이슬람 사원)를 점거하고 개인 소총을 쏘며 대항하자, 무장 병력을 투입해 진압했다.

군경은	군경/NNG+은/JX
시위대가	시위대/NNG+가/JKS
람세스	람세스/NNP
광장	광장/NNG
인근	인근/NNG
알파태흐	알파태흐/NNP
모스크(이슬람	모스크/NNG+(/SS+이슬람/NNG
사원)를	사원/NNG+)/SS+를/JKO
점거하고	점거/NNG+하/XSV+고/EC
개인	개인/NNG
소총을	소총/NNG+을/JKO
쏘며	쏘/VV+며/EC
대항하자,	대항/NNG+하/XSV+자/EC+,/SP
무장	무장/NNG
병력을	병력/NNG+을/JKO
투입해	투입/NNG+하/XSV+아/EC
진압했다.	진압/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.5.3
보건부는 이 과정에서 173명이 사망했다고 발표했다.

보건부는	보건부/NNG+는/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
173명이	173/SN+명/NNB+이/JKS
사망했다고	사망/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.5.4
지난 14일부터 나흘간 이어진 충돌로 정부 공식 집계로만 800명 넘게 사망한 것이다.

지난	지나/VV+ㄴ/ETM
14일부터	14/SN+일/NNB+부터/JX
나흘간	나흘/NNG+간/XSN
이어진	이어지/VV+ㄴ/ETM
충돌로	충돌/NNG+로/JKB
정부	정부/NNG
공식	공식/NNG
집계로만	집계/NNG+로/JKB+만/JX
800명	800/SN+명/NNB
넘게	넘/VV+게/EC
사망한	사망/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.48.5.5
하젬 엘 베블라위 총리는 기자회견에서 "국가기관을 상대로 무기를 사용하고 손에 피를 묻힌 이들과는 어떤 협상도 화해도 없다. 무슬림형제단이란 조직을 해체할 수 있는 법안을 마련하겠다"고 밝혔다.

하젬	하젬/NNP
엘	엘/NNP
베블라위	베블라위/NNP
총리는	총리/NNG+는/JX
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"국가기관을	"/SS+국가/NNG+기관/NNG+을/JKO
상대로	상대/NNG+로/JKB
무기를	무기/NNG+를/JKO
사용하고	사용/NNG+하/XSV+고/EC
손에	손/NNG+에/JKB
피를	피/NNG+를/JKO
묻힌	묻히/VV+ㄴ/ETM
이들과는	이/NNB+들/XSN+과/JKB+는/JX
어떤	어떤/MMD
협상도	협상/NNG+도/JX
화해도	화해/NNG+도/JX
없다.	없/VA+다/EF+./SF
무슬림형제단이란	무슬림형제단/NNP+이/VCP+란/ETM
조직을	조직/NNG+을/JKO
해체할	해체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
법안을	법안/NNG+을/JKO
마련하겠다"고	마련/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.48.5.6
이 법안이 실제로 발효하면 지난해 무르시 대통령을 당선시켜 정권 창출에 성공한 무슬림형제단이 반국가단체로 전락해 지하조직이 된다고 현지 일간 알아흐람은 보도했다.

이	이/MMD
법안이	법안/NNG+이/JKS
실제로	실제로/MAG
발효하면	발효/NNG+하/XSV+면/EC
지난해	지난해/NNG
무르시	무르시/NNP
대통령을	대통령/NNG+을/JKO
당선시켜	당선/NNG+시키/XSV+어/EC
정권	정권/NNG
창출에	창출/NNG+에/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
무슬림형제단이	무슬림형제단/NNP+이/JKS
반국가단체로	반/XPN+국가/NNG+단체/NNG+로/JKB
전락해	전락/NNG+하/XSV+아/EC
지하조직이	지하/NNG+조직/NNG+이/JKC
된다고	되/VV+ㄴ다고/EC
현지	현지/NNG
일간	일간/NNG
알아흐람은	알아흐람/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.6.1
미국·유럽 등 서방이 이집트 사태를 진정시키려고 노력하고 있지만 상황은 나아지지 않고 있다.

미국·유럽	미국/NNP+·/SP+유럽/NNP
등	등/NNB
서방이	서방/NNG+이/JKS
이집트	이집트/NNP
사태를	사태/NNG+를/JKO
진정시키려고	진정/NNG+시키/XSV+려고/EC
노력하고	노력/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
상황은	상황/NNG+은/JX
나아지지	나아지/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.48.6.2
특히 미국은 군부와 무르시 지지 세력 사이에서 오락가락하는 태도를 보여 비판받고 있다.

특히	특히/MAG
미국은	미국/NNP+은/JX
군부와	군부/NNG+와/JC
무르시	무르시/NNP
지지	지지/NNG
세력	세력/NNG
사이에서	사이/NNG+에서/JKB
오락가락하는	오락가락/MAG+하/XSV+는/ETM
태도를	태도/NNG+를/JKO
보여	보이/VV+어/EC
비판받고	비판/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.48.6.3
미국은 지난해 6월 무르시 대통령 취임을 '민주주의의 승리'로 극찬했다.

미국은	미국/NNP+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
무르시	무르시/NNP
대통령	대통령/NNG
취임을	취임/NNG+을/JKO
'민주주의의	'/SS+민주주의/NNG+의/JKG
승리'로	승리/NNG+'/SS+로/JKB
극찬했다.	극찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.6.4
하지만 1년 뒤인 지난달 3일에는 군부가 무르시를 축출한 사건을 쿠데타로 규정하지 않고 오히려 비민주적인 절차로 집권한 군부의 손을 들어줬다.

하지만	하지만/MAJ
1년	1/SN+년/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
3일에는	3/SN+일/NNB+에/JKB+는/JX
군부가	군부/NNG+가/JKS
무르시를	무르시/NNP+를/JKO
축출한	축출/NNG+하/XSV+ㄴ/ETM
사건을	사건/NNG+을/JKO
쿠데타로	쿠데타/NNG+로/JKB
규정하지	규정/NNG+하/XSV+지/EC
않고	않/VX+고/EC
오히려	오히려/MAG
비민주적인	비/XPN+민주/NNG+적/XSN+이/VCP+ㄴ/ETM
절차로	절차/NNG+로/JKB
집권한	집권/NNG+하/XSV+ㄴ/ETM
군부의	군부/NNG+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.48.6.5
미국은 이집트를 중동 지역의 전략적 파트너로 삼아 매년 16억5000만달러(약 1조8300만원) 규모의 군사·경제 원조를 제공하고 있다.

미국은	미국/NNP+은/JX
이집트를	이집트/NNP+를/JKO
중동	중동/NNP
지역의	지역/NNG+의/JKG
전략적	전략/NNG+적/XSN
파트너로	파트너/NNG+로/JKB
삼아	삼/VV+아/EC
매년	매년/MAG
16억5000만달러(약	16/SN+억/NR+5000/SN+만/NR+달러/NNB+(/SS+약/MMA
1조8300만원)	1/SN+조/NR+8300/SN+만/NR+원/NNB+)/SS
규모의	규모/NNG+의/JKG
군사·경제	군사/NNG+·/SP+경제/NNG
원조를	원조/NNG+를/JKO
제공하고	제공/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.48.6.6
이집트 사태를 쿠데타로 규정할 경우 미국 법에 따라 원조를 중단해야 한다.

이집트	이집트/NNP
사태를	사태/NNG+를/JKO
쿠데타로	쿠데타/NNG+로/JKB
규정할	규정/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
미국	미국/NNP
법에	법/NNG+에/JKB
따라	따르/VV+아/EC
원조를	원조/NNG+를/JKO
중단해야	중단/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.48.6.7
버락 오바마 미 대통령은 17일 "이집트 정부는 폭력으로 (친무르시) 시위대를 진압해선 안 된다"며 군부가 과잉대응을 자제할 것을 촉구했다.

버락	버락/NNP
오바마	오바마/NNP
미	미/NNP
대통령은	대통령/NNG+은/JX
17일	17/SN+일/NNB
"이집트	"/SS+이집트/NNP
정부는	정부/NNG+는/JX
폭력으로	폭력/NNG+으로/JKB
(친무르시)	(/SS+친/XPN+무르시/NNP+)/SS
시위대를	시위대/NNG+를/JKO
진압해선	진압/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
군부가	군부/NNG+가/JKS
과잉대응을	과잉/NNG+대응/NNG+을/JKO
자제할	자제/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.48.6.8
그러면서도 '쿠데타'를 언급하거나 군사원조 중단 의사는 명확히 밝히지 않았다.

그러면서도	그러/VV+면서/EC+도/JX
'쿠데타'를	'/SS+쿠데타/NNG+'/SS+를/JKO
언급하거나	언급/NNG+하/XSV+거나/EC
군사원조	군사/NNG+원조/NNG
중단	중단/NNG
의사는	의사/NNG+는/JX
명확히	명확히/MAG
밝히지	밝히/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.48.6.9
유럽연합(EU)은 18일 발표한 성명에서 "이집트 군부와 임시정부가 유혈 진압을 즉각 중단하지 않으면 EU와 이집트 간 관계를 긴급하게 재검토할 것"이라고 밝혔다.

유럽연합(EU)은	유럽연합/NNP+(/SS+EU/SL+)/SS+은/JX
18일	18/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
성명에서	성명/NNG+에서/JKB
"이집트	"/SS+이집트/NNP
군부와	군부/NNG+와/JC
임시정부가	임시/NNG+정부/NNG+가/JKS
유혈	유혈/NNG
진압을	진압/NNG+을/JKO
즉각	즉각/MAG
중단하지	중단/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
EU와	EU/SL+와/JC
이집트	이집트/NNP
간	간/NNB
관계를	관계/NNG+를/JKO
긴급하게	긴급/NNG+하/XSA+게/EC
재검토할	재/XPN+검토/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


