# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.171
metadata : {}


# id : NWRW1800000054.171.1.1
[사건 블랙박스] 응급환자 놔두고… 구급차가 보복운전

[사건	[/SS+사건/NNG
2차례	2/SN+차례/NNG
켰다.	켜/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.171.3.4
깜짝 놀란 데 대한 항의의 표시이자, '안전 운전을 하자'는 뜻이었다.

깜짝	깜짝/MAG
놀란	놀라/VV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
항의의	항의/NNG+의/JKG
표시이자,	표시/NNG+이/VCP+자/EC+,/SP
'안전	'/SS+안전/NNG
운전을	운전/NNG+을/JKO
하자'는	하/VV+자/EF+'/SS+는/ETM
뜻이었다.	뜻/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.171.3.5
그런데 그때부터 이 구급차가 '도로 위의 흉기'로 변신했다.

그런데	그런데/MAJ
그때부터	그때/NNG+부터/JX
이	이/MMD
구급차가	구급차/NNG+가/JKS
'도로	'/SS+도로/NNG
위의	위/NNG+의/JKG
흉기'로	흉기/NNG+'/SS+로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.171.3.6
김씨 택시 앞을 막았던 구급차가 후진하며 위협하기 시작했다.

김씨	김/NNP+씨/NNB
택시	택시/NNG
앞을	앞/NNG+을/JKO
막았던	막/VV+았/EP+던/ETM
구급차가	구급차/NNG+가/JKS
후진하며	후진/NNG+하/XSV+며/EC
위협하기	위협/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.171.3.7
김씨가 앞서 갈 때는 택시 뒤를 바짝 뒤쫓아 따라갔다.

김씨가	김/NNP+씨/NNB+가/JKS
앞서	앞서/VV+어/EC
갈	가/VV+ㄹ/ETM
때는	때/NNG+는/JX
택시	택시/NNG
뒤를	뒤/NNG+를/JKO
바짝	바짝/MAG
뒤쫓아	뒤쫓/VV+아/EC
따라갔다.	따라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.171.4.1
김씨가 피해보려고 했지만, 구급차는 수락산역까지 약 10㎞ 구간에서 20분 넘게 보복 운전을 했다.

김씨가	김/NNP+씨/NNB+가/JKS
피해보려고	피하/VV+아/EC+보/VX+려고/EC
했지만,	하/VX+았/EP+지만/EC+,/SP
구급차는	구급차/NNG+는/JX
수락산역까지	수락산역/NNP+까지/JX
약	약/MMA
10㎞	10/SN+㎞/SW
구간에서	구간/NNG+에서/JKB
20분	20/SN+분/NNB
넘게	넘/VV+게/EC
보복	보복/NNG
운전을	운전/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.171.4.2
택시가 승객을 내려주려고 수락산역에서 멈춰 서자 구급차 기사 박모(36)씨는 구급차에서 내린 뒤 택시 운전석 문을 강제로 열고 김씨에게 욕설을 퍼부었다.

택시가	택시/NNG+가/JKS
승객을	승객/NNG+을/JKO
내려주려고	내리/VV+어/EC+주/VX+려고/EC
수락산역에서	수락산역/NNP+에서/JKB
멈춰	멈추/VV+어/EC
서자	서/VV+자/EC
구급차	구급차/NNG
기사	기사/NNG
박모(36)씨는	박/NNP+모/NP+(/SS+36/SN+)/SS+씨/NNB+는/JX
구급차에서	구급차/NNG+에서/JKB
내린	내리/VV+ㄴ/ETM
뒤	뒤/NNG
택시	택시/NNG
운전석	운전석/NNG
문을	문/NNG+을/JKO
강제로	강제/NNG+로/JKB
열고	열/VV+고/EC
김씨에게	김/NNP+씨/NNB+에게/JKB
욕설을	욕설/NNG+을/JKO
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.171.4.3
박씨의 보복은 김씨의 신고를 받고 경찰이 출동한 뒤에야 끝났다.

박씨의	박/NNP+씨/NNB+의/JKG
보복은	보복/NNG+은/JX
김씨의	김/NNP+씨/NNB+의/JKG
신고를	신고/NNG+를/JKO
받고	받/VV+고/EC
경찰이	경찰/NNG+이/JKS
출동한	출동/NNG+하/XSV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.171.5.1
경찰 조사 결과, 박씨는 사설 구급차 업체 소속으로 노원구의 한 병원에서 응급환자 후송 요청을 받고 출동하던 중이었다.

경찰	경찰/NNG
조사	조사/NNG
결과,	결과/NNG+,/SP
박씨는	박/NNP+씨/NNB+는/JX
사설	사설/NNG
구급차	구급차/NNG
업체	업체/NNG
소속으로	소속/NNG+으로/JKB
노원구의	노원구/NNP+의/JKG
한	한/MMN
병원에서	병원/NNG+에서/JKB
응급환자	응급/NNG+환자/NNG
후송	후송/NNG
요청을	요청/NNG+을/JKO
받고	받/VV+고/EC
출동하던	출동/NNG+하/XSV+던/ETM
중이었다.	중/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.171.5.2
그런데 중간에 택시와 시비가 붙자 병원으로 가던 길을 멈추고 핸들을 돌린 것이다.

그런데	그런데/MAJ
중간에	중간/NNG+에/JKB
택시와	택시/NNG+와/JKB
시비가	시비/NNG+가/JKS
붙자	붙/VV+자/EC
병원으로	병원/NNG+으로/JKB
가던	가/VV+던/ETM
길을	길/NNG+을/JKO
멈추고	멈추/VV+고/EC
핸들을	핸들/NNG+을/JKO
돌린	돌리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.171.5.3
박씨는 택시를 쫓아가면서 회사에 전화를 걸어 "시비가 붙어 지금 병원에 갈 수 없으니 다른 구급차를 보내라"고 통보한 것으로 조사됐다.

박씨는	박/NNP+씨/NNB+는/JX
택시를	택시/NNG+를/JKO
쫓아가면서	쫓아가/VV+면서/EC
회사에	회사/NNG+에/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
"시비가	"/SS+시비/NNG+가/JKS
붙어	붙/VV+어/EC
지금	지금/MAG
병원에	병원/NNG+에/JKB
갈	가/VV+ㄹ/ETM
수	수/NNB
없으니	없/VA+으니/EC
다른	다른/MMD
구급차를	구급차/NNG+를/JKO
보내라"고	보내/VV+라/EF+"/SS+고/JKQ
통보한	통보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.171.6.1
서울 노원경찰서는 다른 차량의 진로를 방해하고 욕설을 한 혐의(특수협박)로 박씨를 불구속 입건했다고 16일 밝혔다.

서울	서울/NNP
노원경찰서는	노원경찰서/NNP+는/JX
다른	다른/MMD
차량의	차량/NNG+의/JKG
진로를	진로/NNG+를/JKO
방해하고	방해/NNG+하/XSV+고/EC
욕설을	욕설/NNG+을/JKO
한	하/VV+ㄴ/ETM
혐의(특수협박)로	혐의/NNG+(/SS+특수/NNG+협박/NNG+)/SS+로/JKB
박씨를	박/NNP+씨/NNB+를/JKO
불구속	불/XPN+구속/NNG
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
16일	16/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.171.6.2
박씨는 경찰 조사에서 "택시기사가 나를 무시하는 것 같아 화가 났다"고 했다.

박씨는	박/NNP+씨/NNB+는/JX
경찰	경찰/NNG
조사에서	조사/NNG+에서/JKB
"택시기사가	"/SS+택시/NNG+기사/NNG+가/JKS
나를	나/NP+를/JKO
무시하는	무시/NNG+하/XSV+는/ETM
것	것/NNB
같아	같/VA+아/EC
화가	화/NNG+가/JKS
났다"고	나/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.171.6.3
경찰은 "보복 운전으로 충격을 받은 김씨는 10여년간 하던 택시기사 일까지 그만뒀다"고 했다.

경찰은	경찰/NNG+은/JX
"보복	"/SS+보복/NNG
운전으로	운전/NNG+으로/JKB
충격을	충격/NNG+을/JKO
받은	받/VV+은/ETM
김씨는	김/NNP+씨/NNB+는/JX
10여년간	10/SN+여/XSN+년/NNB+간/XSN
하던	하/VV+던/ETM
택시기사	택시/NNG+기사/NNG
일까지	일/NNG+까지/JX
그만뒀다"고	그만두/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


