# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.158
metadata : {}


# id : NWRW1800000041.158.1.1
숯가루 물감으로 빚은 먹빛 캔버스… 오징어먹물과 어우러진 블랙의 맛

숯가루	숯가루/NNG
120년의	120/SN+년/NNB+의/JKG
은행나무	은행나무/NNG
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.158.3.3
1910년경 건립된 이 한옥은 고종의 상궁 출신 후궁 엄비(嚴妃)가 살던 곳으로 전해진다.

1910년경	1910/SN+년/NNB+경/XSN
건립된	건립/NNG+되/XSV+ㄴ/ETM
이	이/MMD
한옥은	한옥/NNG+은/JX
고종의	고종/NNP+의/JKG
상궁	상궁/NNG
출신	출신/NNG
후궁	후궁/NNG
엄비(嚴妃)가	엄비/NNP+(/SS+嚴妃/SH+)/SS+가/JKS
살던	살/VV+던/ETM
곳으로	곳/NNG+으로/JKB
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.158.3.4
건축가 최욱 씨가 리모델링해 2004년 문을 열었다.

건축가	건축가/NNG
최욱	최욱/NNP
씨가	씨/NNB+가/JKS
리모델링해	리모델링/NNG+하/XSV+아/EC
2004년	2004/SN+년/NNB
문을	문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.158.3.5
흙벽을 허물고 통유리로 감쌌지만 공간 얼개는 원형을 유지했다.

흙벽을	흙벽/NNG+을/JKO
허물고	허물/VV+고/EC
통유리로	통유리/NNG+로/JKB
감쌌지만	감싸/VV+았/EP+지만/EC
공간	공간/NNG
얼개는	얼개/NNG+는/JX
원형을	원형/NNG+을/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.158.4.1
그러다 보니 주방이 협소하다.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
주방이	주방/NNG+이/JKS
협소하다.	협소하/VA+다/EF+./SF


# id : NWRW1800000041.158.4.2
천장도 낮아 환기가 만만찮다.

천장도	천장/NNG+도/JX
낮아	낮/VA+아/EC
환기가	환기/NNG+가/JKS
만만찮다.	만만찮/VA+다/EF+./SF


# id : NWRW1800000041.158.4.3
6.6m²에 불과하던 면적을 2010년 개조해 9.9m²로 넓혔지만 요리사 5명이 죽 늘어선 채 서로의 움직임을 배려하며 조심조심 작업해야 한다.

6.6m²에	6/SN+./SP+6/SN+m²/SW+에/JKB
불과하던	불과/MAG+하/XSA+던/ETM
면적을	면적/NNG+을/JKO
2010년	2010/SN+년/NNB
개조해	개조/NNG+하/XSV+아/EC
9.9m²로	9/SN+./SP+9/SN+m²/SW+로/JKB
넓혔지만	넓히/VV+었/EP+지만/EC
요리사	요리사/NNG
5명이	5/SN+명/NNB+이/JKS
죽	죽/MAG
늘어선	늘어서/VV+ㄴ/ETM
채	채/NNB
서로의	서로/NNG+의/JKG
움직임을	움직임/NNG+을/JKO
배려하며	배려/NNG+하/XSV+며/EC
조심조심	조심조심/MAG
작업해야	작업/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.158.4.4
거기서 매일 점심 저녁 45석의 손님을 감당한다.

거기서	거기/NP+서/JKB
매일	매일/MAG
점심	점심/NNG
저녁	저녁/NNG
45석의	45/SN+석/NNB+의/JKG
손님을	손/NNG+님/XSN+을/JKO
감당한다.	감당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.158.4.5
김대환 셰프(40)는 “디테일에 신경 쓰기가 쉽지 않은 여건이지만 10년 지나니 익숙해졌다.

김대환	김대환/NNP
셰프(40)는	셰프/NNG+(/SS+40/SN+)/SS+는/JX
“디테일에	“/SS+디테일/NNG+에/JKB
신경	신경/NNG
쓰기가	쓰/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
여건이지만	여건/NNG+이/VCP+지만/EC
10년	10/SN+년/NNB
지나니	지나/VV+니/EC
익숙해졌다.	익숙하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.158.4.6
새로 온 주방 멤버는 한결같이 깜짝 놀란다”고 말했다.

새로	새로/MAG
온	오/VV+ㄴ/ETM
주방	주방/NNG
멤버는	멤버/NNG+는/JX
한결같이	한결같이/MAG
깜짝	깜짝/MAG
놀란다”고	놀라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.158.5.1
당연히 내놓는 요리의 가짓수나 변화 폭이 크지 않다.

당연히	당연히/MAG
내놓는	내놓/VV+는/ETM
요리의	요리/NNG+의/JKG
가짓수나	가짓수/NNG+나/JC
변화	변화/NNG
폭이	폭/NNG+이/JKS
크지	크/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.158.5.2
콩, 허브, 채소와 함께 약한 불로 6시간쯤 삶은 전복 가리비 전채와 한우 안심 스테이크가 코스메뉴의 흔들림 없는 골격이다.

콩,	콩/NNG+,/SP
허브,	허브/NNG+,/SP
채소와	채소/NNG+와/JKB
함께	함께/MAG
약한	약하/VA+ㄴ/ETM
불로	불/NNG+로/JKB
6시간쯤	6/SN+시간/NNB+쯤/XSN
삶은	삶/VV+은/ETM
전복	전복/NNG
가리비	가리비/NNG
전채와	전채/NNG+와/JC
한우	한우/NNG
안심	안심/NNG
스테이크가	스테이크/NNG+가/JKS
코스메뉴의	코스/NNG+메뉴/NNG+의/JKG
흔들림	흔들리/VV+ㅁ/ETN
없는	없/VA+는/ETM
골격이다.	골격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.158.5.3
박현진 대표(36)는 “다채로움보다는 질적 항상성에 치중한다.

박현진	박현진/NNP
대표(36)는	대표/NNG+(/SS+36/SN+)/SS+는/JX
“다채로움보다는	“/SS+다채롭/VA+ㅁ/ETN+보다/JKB+는/JX
질적	질/NNG+적/XSN
항상성에	항상/MAG+성/XSN+에/JKB
치중한다.	치중/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.158.5.4
안심 한 덩이(약 1.6kg)를 다듬으면 접시에 올리는 부위는 300∼400g 정도다.

안심	안심/NNG
한	한/MMN
덩이(약	덩이/NNG+(/SS+약/MMA
1.6kg)를	1/SN+./SP+6/SN+kg/SW+)/SS+를/JKO
다듬으면	다듬/VV+으면/EC
접시에	접시/NNG+에/JKB
올리는	올리/VV+는/ETM
부위는	부위/NNG+는/JX
300∼400g	300/SN+∼/SO+400/SN+g/SW
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.158.5.5
나머지는 소스 재료 등으로 쓴다”고 했다.

나머지는	나머지/NNG+는/JX
소스	소스/NNG
재료	재료/NNG
등으로	등/NNB+으로/JKB
쓴다”고	쓰/VV+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.158.6.1
스테이크는 무던하다.

스테이크는	스테이크/NNG+는/JX
무던하다.	무던/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000041.158.6.2
기억에 남는 건 전채 소스다.

기억에	기억/NNG+에/JKB
남는	남/VV+는/ETM
건	거/NNB+ㄴ/JX
전채	전채/NNG
소스다.	소스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.158.6.3
흰 접시 한복판에 두툼한 붓으로 한 획 갈라 긋듯 새까맣게 올렸다.

흰	희/VA+ㄴ/ETM
접시	접시/NNG
한복판에	한/XPN+복판/NNG+에/JKB
두툼한	두툼하/VA+ㄴ/ETM
붓으로	붓/NNG+으로/JKB
한	한/MMN
획	획/NNG
갈라	가르/VV+아/EC
긋듯	긋/VV+듯/EC
새까맣게	새까맣/VA+게/EC
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.158.6.4
그 양쪽 구획에 전복과 가리비를 봉긋하게 돋웠다.

그	그/MMD
양쪽	양쪽/NNG
구획에	구획/NNG+에/JKB
전복과	전복/NNG+과/JC
가리비를	가리비/NNG+를/JKO
봉긋하게	봉긋/MAG+하/XSA+게/EC
돋웠다.	돋우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.158.6.5
소금가루처럼 붙은 까만 것을 입에 넣으니 짜지 않고 새콤하다.

소금가루처럼	소금/NNG+가루/NNG+처럼/JKB
붙은	붙/VV+은/ETM
까만	까맣/VA+ㄴ/ETM
것을	것/NNB+을/JKO
입에	입/NNG+에/JKB
넣으니	넣/VV+으니/EC
짜지	짜/VV+지/EC
않고	않/VX+고/EC
새콤하다.	새콤하/VA+다/EF+./SF


# id : NWRW1800000041.158.6.6
마늘조각, 빵가루, 오징어먹물의 조합이다.

마늘조각,	마늘/NNG+조각/NNG+,/SP
빵가루,	빵가루/NNG+,/SP
오징어먹물의	오징어/NNG+먹물/NNG+의/JKG
조합이다.	조합/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.158.6.7
대량으로 만들 때는 양파를 푹 삶아서 먹물 섞어 갈아낸 뒤 생선 육수와 백포도주를 첨가한다.

대량으로	대량/NNG+으로/JKB
만들	만들/VV+ㄹ/ETM
때는	때/NNG+는/JX
양파를	양파/NNG+를/JKO
푹	푹/MAG
삶아서	삶/VV+아서/EC
먹물	먹물/NNG
섞어	섞/VV+어/EC
갈아낸	갈/VV+아/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
생선	생선/NNG
육수와	육수/NNG+와/JC
백포도주를	백포도주/NNG+를/JKO
첨가한다.	첨가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.158.7.1
마침 갤러리현대에서 다음 달 14일까지 새까만 먹물 빛 전시가 열린다.

마침	마침/MAG
갤러리현대에서	갤러리현대/NNP+에서/JKB
다음	다음/NNG
달	달/NNG
14일까지	14/SN+일/NNB+까지/JX
새까만	새까맣/VA+ㄴ/ETM
먹물	먹물/NNG
빛	빛/NNG
전시가	전시/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.158.7.2
‘숯의 작가’로 불리는 이배 씨(58)의 개인전이다.

‘숯의	‘/SS+숯/NNG+의/JKG
작가’로	작가/NNG+’/SS+로/JKB
불리는	불리/VV+는/ETM
이배	이배/NNP
씨(58)의	씨/NNB+(/SS+58/SN+)/SS+의/JKG
개인전이다.	개인전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.158.7.3
작가가 스스로 선택한 호칭은 아니다.

작가가	작가/NNG+가/JKS
스스로	스스로/MAG
선택한	선택/NNG+하/XSV+ㄴ/ETM
호칭은	호칭/NNG+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.158.7.4
이 씨는 “1989년 프랑스 파리로 이주한 뒤 한동안 물감 살 돈이 없었다.

이	이/NNP
씨는	씨/NNB+는/JX
“1989년	“/SS+1989/SN+년/NNB
프랑스	프랑스/NNP
파리로	파리/NNP+로/JKB
이주한	이주/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
한동안	한/XPN+동안/NNG
물감	물감/NNG
살	사/VV+ㄹ/ETM
돈이	돈/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.158.7.5
한 봉에 1500∼2000원 하던 데생용 목탄을 쥐고 다양한 표현을 고민한 결과물”이라고 했다.

한	한/MMN
봉에	봉/NNG+에/JKB
1500∼2000원	1500/SN+∼/SO+2000/SN+원/NNB
하던	하/VV+던/ETM
데생용	데생/NNG+용/XSN
목탄을	목탄/NNG+을/JKO
쥐고	쥐/VV+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
표현을	표현/NNG+을/JKO
고민한	고민/NNG+하/XSV+ㄴ/ETM
결과물”이라고	결과물/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.158.7.6
2층에 걸린 7점은 바비큐용 잡목 숯 조각을 캔버스에 다닥다닥 올려붙인 뒤 아크릴물감용매를 여러 차례 바르고 표면을 사포로 다듬은 것이다.

2층에	2/SN+층/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
7점은	7/SN+점/NNB+은/JX
바비큐용	바비큐/NNG+용/XSN
잡목	잡목/NNG
숯	숯/NNG
조각을	조각/NNG+을/JKO
캔버스에	캔버스/NNG+에/JKB
다닥다닥	다닥다닥/MAG
올려붙인	올리/VV+어/EC+붙이/VV+ㄴ/ETM
뒤	뒤/NNG
아크릴물감용매를	아크릴/NNG+물감/NNG+용매/NNG+를/JKO
여러	여러/MMN
차례	차례/NNG
바르고	바르/VV+고/EC
표면을	표면/NNG+을/JKO
사포로	사포/NNG+로/JKB
다듬은	다듬/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.158.7.7
붙이고 갈고 말리기를 한 달가량 거듭한다.

붙이고	붙이/VV+고/EC
갈고	갈/VV+고/EC
말리기를	말리/VV+기/ETN+를/JKO
한	한/MMN
달가량	달/NNB+가량/XSN
거듭한다.	거듭/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.158.7.8
작가는 “벼루에 먹 가는 일과 같다”고 말했다.

작가는	작가/NNG+는/JX
“벼루에	“/SS+벼루/NNG+에/JKB
먹	먹/NNG
가는	갈/VV+는/ETM
일과	일/NNG+과/JKB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.158.8.1
최근작은 숯가루 섞은 아크릴물감용매로 굵직한 형태를 그린 뒤 다시 용매를 캔버스 전체에 덧씌워 바르고 말려 가는 붓으로 덧칠했다.

최근작은	최근작/NNG+은/JX
숯가루	숯가루/NNG
섞은	섞/VV+은/ETM
아크릴물감용매로	아크릴/NNG+물감/NNG+용매/NNG+로/JKB
굵직한	굵직하/VA+ㄴ/ETM
형태를	형태/NNG+를/JKO
그린	그리/VV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
용매를	용매/NNG+를/JKO
캔버스	캔버스/NNG
전체에	전체/NNG+에/JKB
덧씌워	덧씌우/VV+어/EC
바르고	바르/VV+고/EC
말려	말리/VV+어/EC
가는	가늘/VA+ㄴ/ETM
붓으로	붓/NNG+으로/JKB
덧칠했다.	덧칠/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.158.8.2
역시 한 달 정도 이 과정을 반복한다.

역시	역시/MAG
한	한/MMN
달	달/NNB
정도	정도/NNG
이	이/MMD
과정을	과정/NNG+을/JKO
반복한다.	반복/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.158.8.3
동양화의 여백 이미지를 차용한 듯하지만 사실 여백은 어디에도 없다.

동양화의	동양화/NNG+의/JKG
여백	여백/NNG
이미지를	이미지/NNG+를/JKO
차용한	차용/NNG+하/XSV+ㄴ/ETM
듯하지만	듯/NNB+하/XSA+지만/EC
사실	사실/MAG
여백은	여백/NNG+은/JX
어디에도	어디/NP+에/JKB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.158.8.4
반투명 용매 막으로 들이친 빛이 숯가루 칠 경계를 흩뜨려 먹물처럼 번져낸다.

반투명	반투명/NNG
용매	용매/NNG
막으로	막/NNG+으로/JKB
들이친	들이치/VV+ㄴ/ETM
빛이	빛/NNG+이/JKS
숯가루	숯가루/NNG
칠	칠/NNG
경계를	경계/NNG+를/JKO
흩뜨려	흩뜨리/VV+어/EC
먹물처럼	먹물/NNG+처럼/JKB
번져낸다.	번지/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.158.8.5
이 씨는 “숯은 모든 사물의 마지막 모습처럼 보이지만 불을 머금고 있는 존재”라고 했다.

이	이/NNP
씨는	씨/NNB+는/JX
“숯은	“/SS+숯/NNG+은/JX
모든	모든/MMN
사물의	사물/NNG+의/JKG
마지막	마지막/NNG
모습처럼	모습/NNG+처럼/JKB
보이지만	보이/VV+지만/EC
불을	불/NNG+을/JKO
머금고	머금/VV+고/EC
있는	있/VX+는/ETM
존재”라고	존재/NNG+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.158.8.6
100년 전 두가헌에 살던 엄비의 아들은 대한제국 마지막 황태자 영친왕이다.

100년	100/SN+년/NNB
전	전/NNG
두가헌에	두가헌/NNP+에/JKB
살던	살/VV+던/ETM
엄비의	엄비/NNP+의/JKG
아들은	아들/NNG+은/JX
대한제국	대한제국/NNP
마지막	마지막/NNG
황태자	황태자/NNG
영친왕이다.	영친왕/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000041.158.8.7
공간 곳곳마다 검정 빛이 배어난다.

공간	공간/NNG
곳곳마다	곳곳/NNG+마다/JX
검정	검정/NNG
빛이	빛/NNG+이/JKS
배어난다.	배어나/VV+ㄴ다/EF+./SF


