# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.189
metadata : {}


# id : NWRW1800000045.189.1.1
조영제, 경남기업 채권銀에 영향력 행사 정황

조영제,	조영제/NNP+,/SP
수백억	수백억/NR
원의	원/NNB+의/JKG
자금	자금/NNG
지원을	지원/NNG+을/JKO
해주도록	하/VV+아/EC+주/VX+도록/EC
채권은행에	채권/NNG+은행/NNG+에/JKB
영향력을	영향력/NNG+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
단서를	단서/NNG+를/JKO
잡고	잡/VV+고/EC
수사를	수사/NNG+를/JKO
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.189.4.1
서울중앙지검 특별수사1부(부장 임관혁)는 최근 경남기업 채권은행 여신 담당자 등에게서 조 전 부원장이 경남기업에 수백억 원을 대출해 주도록 했다는 취지의 진술을 확보한 것으로 19일 알려졌다.

서울중앙지검	서울중앙지검/NNP
특별수사1부(부장	특별/NNG+수사/NNG+1/SN+부/NNB+(/SS+부장/NNG
임관혁)는	임관혁/NNP+)/SS+는/JX
최근	최근/MAG
경남기업	경남기업/NNP
채권은행	채권/NNG+은행/NNG
여신	여신/NNG
담당자	담당자/NNG
등에게서	등/NNB+에게서/JKB
조	조/NNP
전	전/MMD
부원장이	부원장/NNG+이/JKS
경남기업에	경남기업/NNP+에/JKB
수백억	수백억/NR
원을	원/NNB+을/JKO
대출해	대출/NNG+하/XSV+아/EC
주도록	주/VX+도록/EC
했다는	하/VX+았/EP+다는/ETM
취지의	취지/NNG+의/JKG
진술을	진술/NNG+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
19일	19/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.189.4.2
검찰은 이달 초 조 전 부원장과 김진수 전 금감원 부원장보의 자택과 금감원, 신한은행 등을 압수수색했다.

검찰은	검찰/NNG+은/JX
이달	이달/NNG
초	초/NNB
조	조/NNP
전	전/MMD
부원장과	부원장/NNG+과/JKB
김진수	김진수/NNP
금감원	금감원/NNG
부원장보의	부원장보/NNG+의/JKG
자택과	자택/NNG+과/JC
금감원,	금감원/NNG+,/SP
신한은행	신한은행/NNP
등을	등/NNB+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.189.4.3
검찰은 관련자 진술을 구체화하고 추가 물증을 확보하는 대로 조만간 조 전 부원장을 소환 조사할 방침이다.

검찰은	검찰/NNG+은/JX
관련자	관련자/NNG
진술을	진술/NNG+을/JKO
구체화하고	구체/NNG+화/XSN+하/XSV+고/EC
추가	추가/NNG
물증을	물증/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
대로	대로/NNB
조만간	조만간/MAG
조	조/NNP
전	전/MMD
부원장을	부원장/NNG+을/JKO
소환	소환/NNG
조사할	조사/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.189.4.4
검찰은 이날 경남기업의 3차 워크아웃 과정에서 채권단에 부당한 압력을 넣은 혐의(직권남용권리행사방해)로 김 전 부원장보에 대한 사전구속영장을 청구했다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
경남기업의	경남기업/NNP+의/JKG
3차	3/SN+차/NNB
워크아웃	워크아웃/NNG
과정에서	과정/NNG+에서/JKB
채권단에	채권단/NNG+에/JKB
부당한	부당/NNG+하/XSA+ㄴ/ETM
압력을	압력/NNG+을/JKO
넣은	넣/VV+은/ETM
혐의(직권남용권리행사방해)로	혐의/NNG+(/SS+직권/NNG+남용/NNG+권리/NNG+행사/NNG+방해/NNG+)/SS+로/JKB
김	김/NNP
전	전/MMD
부원장보에	부원장보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사전구속영장을	사전/NNG+구속/NNG+영장/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.189.5.1
검찰은 경남기업의 3차 워크아웃을 앞두고 2013년 10월 김 전 부원장보가 “회사 재무상태가 나쁘니 대주주인 고 성완종 경남기업 회장의 주식을 무상감자 해야 한다”는 채권단 의견을 묵살하고, 주채권은행인 신한은행과 채권단 소속 다른 은행 담당 임원들에게 무상감자 없이 출자전환을 허용해 주도록 압력을 행사한 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
경남기업의	경남기업/NNP+의/JKG
3차	3/SN+차/NNB
워크아웃을	워크아웃/NNG+을/JKO
앞두고	앞두/VV+고/EC
2013년	2013/SN+년/NNB
10월	10/SN+월/NNB
김	김/NNP
전	전/MMD
부원장보가	부원장보/NNG+가/JKS
“회사	“/SS+회사/NNG
재무상태가	재무/NNG+상태/NNG+가/JKS
나쁘니	나쁘/VA+니/EC
대주주인	대/XPN+주주/NNG+이/VCP+ㄴ/ETM
고	고/MMA
성완종	성완종/NNP
경남기업	경남기업/NNP
회장의	회장/NNG+의/JKG
주식을	주식/NNG+을/JKO
무상감자	무상/NNG+감자/NNG
해야	하/VV+아야/EC
한다”는	하/VV+ㄴ다/EF+”/SS+는/ETM
채권단	채권단/NNG
의견을	의견/NNG+을/JKO
묵살하고,	묵살/NNG+하/XSV+고/EC+,/SP
주채권은행인	주/MMA+채권/NNG+은행/NNG+이/VCP+ㄴ/ETM
신한은행과	신한은행/NNP+과/JC
소속	소속/NNG
다른	다른/MMD
은행	은행/NNG
담당	담당/NNG
임원들에게	임원/NNG+들/XSN+에게/JKB
없이	없이/MAG
출자전환을	출자/NNG+전환/NNG+을/JKO
허용해	허용/NNG+하/XSV+아/EC
주도록	주/VX+도록/EC
압력을	압력/NNG+을/JKO
행사한	행사/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.189.6.1
검찰은 김 전 부원장보가 경남기업에 제공한 특혜의 대가로 당시 국회 정무위원회 위원이었던 성 회장에게 인사 청탁을 했다는 의혹도 조사 중이다.

검찰은	검찰/NNG+은/JX
김	김/NNP
전	전/MMD
부원장보가	부원장보/NNG+가/JKS
경남기업에	경남기업/NNP+에/JKB
제공한	제공/NNG+하/XSV+ㄴ/ETM
특혜의	특혜/NNG+의/JKG
대가로	대가/NNG+로/JKB
당시	당시/NNG
국회	국회/NNG
정무위원회	정무/NNG+위원회/NNG
위원이었던	위원/NNG+이/VCP+었/EP+던/ETM
성	성/NNP
회장에게	회장/NNG+에게/JKB
인사	인사/NNG
청탁을	청탁/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
의혹도	의혹/NNG+도/JX
조사	조사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.189.7.1
검찰은 특히 조 전 부원장과 최수현 전 금감원장 등과 성 회장의 관계를 집중 수사 중이다.

검찰은	검찰/NNG+은/JX
특히	특히/MAG
조	조/NNP
전	전/MMD
부원장과	부원장/NNG+과/JKB
최수현	최수현/NNP
금감원장	금감원장/NNG
등과	등/NNB+과/JC
성	성/NNP
회장의	회장/NNG+의/JKG
관계를	관계/NNG+를/JKO
집중	집중/NNG
수사	수사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.189.7.2
검찰은 금융권에서 충청권 인사로 분류되는 두 사람과 성 회장의 친분 관계가 경남기업 워크아웃 특혜 의혹과 관련이 있다고 보고 최 전 원장도 소환 조사를 검토 중이다.

검찰은	검찰/NNG+은/JX
금융권에서	금융/NNG+권/XSN+에서/JKB
충청권	충청/NNP+권/XSN
인사로	인사/NNG+로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
두	두/MMN
사람과	사람/NNG+과/JC
성	성/NNP
회장의	회장/NNG+의/JKG
친분	친분/NNG
관계가	관계/NNG+가/JKS
경남기업	경남기업/NNP
워크아웃	워크아웃/NNG
특혜	특혜/NNG
의혹과	의혹/NNG+과/JKB
관련이	관련/NNG+이/JKS
있다고	있/VA+다고/EC
보고	보/VV+고/EC
최	최/NNP
전	전/MMD
원장도	원장/NNG+도/JX
소환	소환/NNG
조사를	조사/NNG+를/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.189.8.1
한편 성 회장의 정·관계 금품 제공 의혹을 수사 중인 검찰 특별수사팀(팀장 문무일 검사장)은 홍준표 경남지사, 이완구 전 국무총리에 대한 기소 여부를 20일 밝힐 예정이다.

한편	한편/MAG
성	성/NNP
회장의	회장/NNG+의/JKG
정·관계	정·관계/NNG
금품	금품/NNG
제공	제공/NNG
의혹을	의혹/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
검찰	검찰/NNG
특별수사팀(팀장	특별/NNG+수사/NNG+팀/NNG+(/SS+팀장/NNG
문무일	문무일/NNP
검사장)은	검사장/NNG+)/SS+은/JX
홍준표	홍준표/NNP
경남지사,	경남/NNP+지사/NNG+,/SP
이완구	이완구/NNP
전	전/MMD
국무총리에	국무총리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기소	기소/NNG
여부를	여부/NNG+를/JKO
20일	20/SN+일/NNB
밝힐	밝히/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.189.8.2
검찰은 이르면 이달 말 홍 지사와 이 전 총리를 불구속 기소한 후 ‘성완종 리스트’에 적힌 여권 핵심 인사 8명 중 나머지 6명에 대한 수사를 계속 진행할 계획이다.

검찰은	검찰/NNG+은/JX
이르면	이르/VA+면/EC
이달	이달/NNG
말	말/NNB
홍	홍/NNP
지사와	지사/NNG+와/JC
이	이/MMD
전	전/MMD
총리를	총리/NNG+를/JKO
불구속	불/XPN+구속/NNG
기소한	기소/NNG+하/XSV+ㄴ/ETM
후	후/NNG
‘성완종	‘/SS+성완종/NNP
리스트’에	리스트/NNG+’/SS+에/JKB
적힌	적히/VV+ㄴ/ETM
여권	여권/NNG
핵심	핵심/NNG
인사	인사/NNG
8명	8/SN+명/NNB
중	중/NNB
나머지	나머지/NNG
6명에	6/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
수사를	수사/NNG+를/JKO
계속	계속/MAG
진행할	진행/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


