# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.130
metadata : {}


# id : NWRW1800000041.130.1.1
[임희윤 기자의 싱글노트]대중음악이 ‘흥청대는 풍악’인가

[임희윤	[/SS+임희윤/NNP
여객선	여객선/NNG
침몰사고	침몰/NNG+사고/NNG
희생자와	희생자/NNG+와/JC
실종자	실종자/NNG
그리고	그리고/MAJ
그	그/MMD
가족들의	가족/NNG+들/XSN+의/JKG
슬픔을	슬픔/NNG+을/JKO
뒤로한	뒤로하/VV+ㄴ/ETM
채	채/NNB
어떤	어떤/MMD
형태로든	형태/NNG+로/JKB+든/JX
‘뷰티풀	‘/SS+뷰티풀/NNG
민트	민트/NNG
라이프	라이프/NNG
2014’의	2014/SN+’/SS+의/JKG
정상	정상/NNG
진행에	진행/NNG+에/JKB
협조할	협조/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.130.4.2
주최사인 마스터플랜 관계자는 “재단 쪽이 그간 우리의 논의 요청에 응하지 않다가 25일 오후 긴급회의를 제안했고, 관계자가 모두 모인 그 시간에 언론에 취소 사실을 알리는 일방적 보도자료를 냈다”고 주장했다.

주최사인	주최사/NNG+이/VCP+ㄴ/ETM
마스터플랜	마스터플랜/NNP
관계자는	관계자/NNG+는/JX
“재단	“/SS+재단/NNG
쪽이	쪽/NNB+이/JKS
그간	그/NP+간/XSN
우리의	우리/NP+의/JKG
논의	논의/NNG
요청에	요청/NNG+에/JKB
응하지	응하/VV+지/EC
않다가	않/VX+다가/EC
25일	25/SN+일/NNB
오후	오후/NNG
긴급회의를	긴급회의/NNG+를/JKO
제안했고,	제안/NNG+하/XSV+았/EP+고/EC+,/SP
관계자가	관계자/NNG+가/JKS
모두	모두/MAG
모인	모이/VV+ㄴ/ETM
그	그/MMD
시간에	시간/NNG+에/JKB
언론에	언론/NNG+에/JKB
취소	취소/NNG
사실을	사실/NNG+을/JKO
알리는	알리/VV+는/ETM
일방적	일방/NNG+적/XSN
보도자료를	보도/NNG+자료/NNG+를/JKO
냈다”고	내/VV+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.130.4.3
뷰민라 출연진 10여 팀은 24, 25일 오후 아람누리 현장에서 리허설까지 진행한 상황이었다.

뷰민라	뷰민라/NNG
출연진	출연진/NNG
10여	10/SN+여/XSN
팀은	팀/NNG+은/JX
24,	24/SN+,/SP
25일	25/SN+일/NNB
오후	오후/NNG
아람누리	아람누리/NNP
현장에서	현장/NNG+에서/JKB
리허설까지	리허설/NNG+까지/JX
진행한	진행/NNG+하/XSV+ㄴ/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.130.5.1
이에 앞서 이날 오전 백성운 고양시장 예비후보(새누리당)는 ‘세월호 통곡 속 풍악놀이 웬 말인가’란 제목의 성명서를 내고 “온 국민이 비통에 잠긴 안타까운 상황인데도 술 마시며 강한 흥겨운 가락에 흥겨워해도 되느냐”고 했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
이날	이날/NNG
오전	오전/NNG
백성운	백성운/NNP
고양시장	고양시장/NNG
예비후보(새누리당)는	예비/NNG+후보/NNG+(/SS+새누리당/NNP+)/SS+는/JX
‘세월호	‘/SS+세월호/NNP
통곡	통곡/NNG
속	속/NNG
풍악놀이	풍악/NNG+놀이/NNG
웬	웬/MMD
말인가’란	말/NNG+이/VCP+ㄴ가/EF+’/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
성명서를	성명서/NNG+를/JKO
내고	내/VV+고/EC
“온	“/SS+온/MMN
국민이	국민/NNG+이/JKS
비통에	비통/NNG+에/JKB
잠긴	잠기/VV+ㄴ/ETM
안타까운	안타깝/VA+ㄴ/ETM
상황인데도	상황/NNG+이/VCP+ㄴ데/EC+도/JX
술	술/NNG
마시며	마시/VV+며/EC
강한	강하/VA+ㄴ/ETM
흥겨운	흥겹/VA+ㄴ/ETM
가락에	가락/NNG+에/JKB
흥겨워해도	흥겹/VA+어/EC+하/VX+아도/EC
되느냐”고	되/VV+느냐/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.130.6.1
세월호 사고 이후 야구 경기, 영화 상영, 뮤지컬과 클래식 공연은 계속된다.

세월호	세월호/NNP
사고	사고/NNG
이후	이후/NNG
야구	야구/NNG
경기,	경기/NNG+,/SP
영화	영화/NNG
상영,	상영/NNG+,/SP
뮤지컬과	뮤지컬/NNG+과/JC
클래식	클래식/NNG
공연은	공연/NNG+은/JX
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.130.6.2
유독 대중음악을 ‘흥청대는 풍악’으로 치부하는 높은 분들의 고결한 인식에 동의하기 어렵다.

유독	유독/MAG
대중음악을	대중음악/NNG+을/JKO
‘흥청대는	‘/SS+흥청대/VV+는/ETM
풍악’으로	풍악/NNG+’/SS+으로/JKB
치부하는	치부/NNG+하/XSV+는/ETM
높은	높/VA+은/ETM
분들의	분/NNB+들/XSN+의/JKG
고결한	고결/NNG+하/XSA+ㄴ/ETM
인식에	인식/NNG+에/JKB
동의하기	동의/NNG+하/XSV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000041.130.6.3
게다가 ‘풍악’의 사전적 정의는 ‘예로부터 전해 오는 우리나라 고유의 음악’이다.

게다가	게다가/MAG
‘풍악’의	‘/SS+풍악/NNG+’/SS+의/JKG
사전적	사전/NNG+적/XSN
정의는	정의/NNG+는/JX
‘예로부터	‘/SS+예/NNG+로부터/JKB
전해	전하/VV+아/EC
오는	오/VX+는/ETM
우리나라	우리나라/NNG
고유의	고유/NNG+의/JKG
음악’이다.	음악/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.130.7.1
몇 년 전, 영화 ‘시’를 본 뒤 선배 기자에게 “영화가 너무 어렵지 않냐”고 물은 적이 있다.

몇	몇/NR
년	년/NNB
전,	전/NNG+,/SP
영화	영화/NNG
‘시’를	‘/SS+시/NNP+’/SS+를/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
선배	선배/NNG
기자에게	기자/NNG+에게/JKB
“영화가	“/SS+영화/NNG+가/JKS
너무	너무/MAG
어렵지	어렵/VA+지/EC
않냐”고	않/VX+냐/EF+”/SS+고/JKQ
물은	묻/VV+은/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.130.7.2
감당하기 어려운 비극 앞에 울부짖던 주인공 미자가 다음 날 낮엔 덤덤히 꽃을 보며 시를 쓰는 영화의 전개가 이상해 보여서다.

감당하기	감당/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
비극	비극/NNG
앞에	앞/NNG+에/JKB
울부짖던	울부짖/VV+던/ETM
주인공	주인공/NNG
미자가	미자/NNP+가/JKS
다음	다음/NNG
날	날/NNG
낮엔	낮/NNG+에/JKB+ㄴ/JX
덤덤히	덤덤히/MAG
꽃을	꽃/NNG+을/JKO
보며	보/VV+며/EC
시를	시/NNG+를/JKO
쓰는	쓰/VV+는/ETM
영화의	영화/NNG+의/JKG
전개가	전개/NNG+가/JKS
이상해	이상/NNG+하/XSA+아/EC
보여서다.	보이/VV+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000041.130.7.3
“가슴 찢는 비극이 와도 시 쓰고 밥 먹고 울다 웃다 자고 일어나는 게 우리 진짜 삶이잖아.

“가슴	“/SS+가슴/NNG
찢는	찢/VV+는/ETM
비극이	비극/NNG+이/JKS
와도	오/VV+아도/EC
시	시/NNG
쓰고	쓰/VV+고/EC
밥	밥/NNG
먹고	먹/VV+고/EC
울다	울/VV+다/EC
웃다	웃/VV+다/EC
자고	자/VV+고/EC
일어나는	일어나/VV+는/ETM
게	거/NNB+이/JKS
우리	우리/NP
진짜	진짜/NNG
삶이잖아.	삶/NNG+이/VCP+잖아/EF+./SF


# id : NWRW1800000041.130.7.4
편집 없이 보여준다면 삶이야말로 세상에서 가장 이해하기 어려운 예술영화가 될 걸?” 선배의 답이었다.

편집	편집/NNG
없이	없이/MAG
보여준다면	보이/VV+어/EC+주/VX+ㄴ다면/EC
삶이야말로	삶/NNG+이야말로/JX
세상에서	세상/NNG+에서/JKB
가장	가장/MAG
이해하기	이해/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
예술영화가	예술/NNG+영화/NNG+가/JKC
될	되/VV+ㄹ/ETM
걸?”	거/NNB+ㄹ/JKO+?/SF+”/SS
선배의	선배/NNG+의/JKG
답이었다.	답/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.130.7.5
영화 ‘한공주’에서 주인공 공주가 비극의 진창 속에서 수영 강습을 받는 일 역시, 생각해보면 그리 영화적이지만은 않다.

영화	영화/NNG
‘한공주’에서	‘/SS+한공주/NNP+’/SS+에서/JKB
주인공	주인공/NNG
공주가	공주/NNP+가/JKS
비극의	비극/NNG+의/JKG
진창	진창/NNG
속에서	속/NNG+에서/JKB
수영	수영/NNG
강습을	강습/NNG+을/JKO
받는	받/VV+는/ETM
일	일/NNG
역시,	역시/MAG+,/SP
생각해보면	생각/NNG+하/XSV+아/EC+보/VX+면/EC
그리	그리/MAG
영화적이지만은	영화/NNG+적/XSN+이/VCP+지/EC+만/JX+은/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.130.8.1
연대와 집단적 투쟁 못잖게, 나를 둘러싼, 가끔 내게서 나오기도 하는 모든 불의와 무기력, 무책임에 맞서 일상의 투쟁을 이어감으로써 한결같이 비극의 하류로 흘러가는 삶과 사회의 검은 물살을 바꾸고 싶다.

연대와	연대/NNG+와/JC
집단적	집단/NNG+적/XSN
투쟁	투쟁/NNG
못잖게,	못잖/VA+게/EC+,/SP
나를	나/NP+를/JKO
둘러싼,	둘러싸/VV+ㄴ/ETM+,/SP
가끔	가끔/MAG
내게서	나/NP+에게서/JKB
나오기도	나오/VV+기/ETN+도/JX
하는	하/VX+는/ETM
모든	모든/MMN
불의와	불의/NNG+와/JC
무기력,	무/XPN+기력/NNG+,/SP
무책임에	무/XPN+책임/NNG+에/JKB
맞서	맞서/VV+어/EC
일상의	일상/NNG+의/JKG
투쟁을	투쟁/NNG+을/JKO
이어감으로써	잇/VV+어/EC+가/VX+ㅁ/ETN+으로써/JKB
한결같이	한결같이/MAG
비극의	비극/NNG+의/JKG
하류로	하류/NNG+로/JKB
흘러가는	흘러가/VV+는/ETM
삶과	삶/NNG+과/JC
사회의	사회/NNG+의/JKG
검은	검/VA+은/ETM
물살을	물살/NNG+을/JKO
바꾸고	바꾸/VV+고/EC
싶다.	싶/VX+다/EF+./SF


# id : NWRW1800000041.130.8.2
밥을 먹고 똥을 싸면서, 시를 쓰고 풍악을 울리면서 나아가고 싶다.

밥을	밥/NNG+을/JKO
먹고	먹/VV+고/EC
똥을	똥/NNG+을/JKO
싸면서,	싸/VV+면서/EC+,/SP
시를	시/NNG+를/JKO
쓰고	쓰/VV+고/EC
풍악을	풍악/NNG+을/JKO
울리면서	울리/VV+면서/EC
나아가고	나아가/VV+고/EC
싶다.	싶/VX+다/EF+./SF


