# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.375
metadata : {}


# id : NWRW1800000054.375.1.1
황금연휴, 콜록거리다 끝난 '황사연휴'

황금연휴,	황금연휴/NNG+,/SP
취소했다"고	취소/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.375.4.4
일부 선수가 콜록거리며 기침을 하자 팬들 사이에선 "이 정도면 경기를 취소해야 하는 것 아니냐"는 성토가 나왔다.

일부	일부/NNG
선수가	선수/NNG+가/JKS
콜록거리며	콜록거리/VV+며/EC
기침을	기침/NNG+을/JKO
하자	하/VV+자/EC
팬들	팬/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
"이	"/SS+이/MMD
정도면	정도/NNG+이/VCP+면/EC
경기를	경기/NNG+를/JKO
취소해야	취소/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
것	것/NNB
아니냐"는	아니/VCN+냐/EF+"/SS+는/ETM
성토가	성토/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.5.1
◇'황금연휴' 망친 황사

◇'황금연휴'	◇/SW+'/SS+황금연휴/NNG+'/SS
망친	망치/VV+ㄴ/ETM
황사	황사/NNG


# id : NWRW1800000054.375.6.1
5~7일 사흘 연속 한반도를 강타한 '황사 테러'가 국민의 황금연휴를 앗아가 버렸다.

5~7일	5/SN+~/SO+7/SN+일/NNB
사흘	사흘/NNG
연속	연속/NNG
한반도를	한반도/NNP+를/JKO
강타한	강타/NNG+하/XSV+ㄴ/ETM
'황사	'/SS+황사/NNG
테러'가	테러/NNG+'/SS+가/JKS
국민의	국민/NNG+의/JKG
황금연휴를	황금연휴/NNG+를/JKO
앗아가	앗/VV+아/EC+가/VX+아/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.375.6.2
노약자는 물론 건강한 성인들도 자고 나면 목이 깔깔하고 기침하는 등 일상생활에서 사투를 벌이다시피 했다.

노약자는	노약자/NNG+는/JX
물론	물론/MAG
건강한	건강/NNG+하/XSA+ㄴ/ETM
성인들도	성인/NNG+들/XSN+도/JX
자고	자/VV+고/EC
나면	나/VX+면/EC
목이	목/NNG+이/JKS
깔깔하고	깔깔하/VA+고/EC
기침하는	기침/NNG+하/XSV+는/ETM
등	등/NNB
일상생활에서	일상생활/NNG+에서/JKB
사투를	사투/NNG+를/JKO
벌이다시피	벌이/VV+다시피/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.375.6.3
서울의 경우 지난 6일 미세 먼지(PM10) 농도가 423㎍(마이크로그램·100만분의 1g)까지 치솟아 1~4일(60~120㎍) 때보다 약 3.5~7배까지 올라갔다.

서울의	서울/NNP+의/JKG
경우	경우/NNG
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
미세	미세/NNG
먼지(PM10)	먼지/NNG+(/SS+PM/SL+10/SN+)/SS
농도가	농도/NNG+가/JKS
423㎍(마이크로그램·100만분의	423/SN+㎍/SW+(/SS+마이크로그램/NNB+·/SP+100/SN+만/NR+분/XSN+의/JKG
1g)까지	1/SN+g/SW+)/SS+까지/JX
치솟아	치솟/VV+아/EC
1~4일(60~120㎍)	1/SN+~/SO+4/SN+일/NNB+(/SS+60/SN+~/SO+120/SN+㎍/SW+)/SS
때보다	때/NNG+보다/JKB
약	약/MMA
3.5~7배까지	3/SN+./SP+5/SN+~/SO+7/SN+배/NNG+까지/JX
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.6.4
봄철 자욱한 꽃가루와 차량 등에서 나오는 미세 먼지 그리고 황사까지 겹치면서 전국 대부분 지역에서 올 들어 최악의 대기 질 상태를 기록했다.

봄철	봄철/NNG
자욱한	자욱하/VA+ㄴ/ETM
꽃가루와	꽃가루/NNG+와/JC
차량	차량/NNG
등에서	등/NNB+에서/JKB
나오는	나오/VV+는/ETM
미세	미세/NNG
먼지	먼지/NNG
그리고	그리고/MAJ
황사까지	황사/NNG+까지/JX
겹치면서	겹치/VV+면서/EC
전국	전국/NNG
대부분	대/XPN+부분/NNG
지역에서	지역/NNG+에서/JKB
올	올/NNG
들어	들/VV+어/EC
최악의	최악/NNG+의/JKG
대기	대기/NNG
질	질/NNG
상태를	상태/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.7.1
등산이나 캠핑 온라인 커뮤니티 등에선 미세 먼지 때문에 야외 활동 모임을 취소했다는 글이 속속 올라왔다.

등산이나	등산/NNG+이나/JC
캠핑	캠핑/NNG
온라인	온라인/NNG
커뮤니티	커뮤니티/NNG
등에선	등/NNB+에서/JKB+ㄴ/JX
미세	미세/NNG
먼지	먼지/NNG
때문에	때문/NNB+에/JKB
야외	야외/NNG
활동	활동/NNG
모임을	모임/NNG+을/JKO
취소했다는	취소/NNG+하/XSV+았/EP+다는/ETM
글이	글/NNG+이/JKS
속속	속속/MAG
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.7.2
한 네티즌은 "외출은 못 하고 시내 호텔에서 '스테이케이션'(한곳에 머물며 연휴를 보내는 것)을 즐기려 알아봤는데 모두 만석(滿席)이라 할 수 없이 집에서 TV만 봤다"고 했다.

한	한/MMN
네티즌은	네티즌/NNG+은/JX
"외출은	"/SS+외출/NNG+은/JX
못	못/MAG
하고	하/VV+고/EC
시내	시내/NNG
호텔에서	호텔/NNG+에서/JKB
'스테이케이션'(한곳에	'/SS+스테이케이션/NNG+'/SS+(/SS+한곳/NNG+에/JKB
머물며	머물/VV+며/EC
연휴를	연휴/NNG+를/JKO
보내는	보내/VV+는/ETM
것)을	것/NNB+)/SS+을/JKO
즐기려	즐기/VV+려/EC
알아봤는데	알아보/VV+았/EP+는데/EC
모두	모두/MAG
만석(滿席)이라	만석/NNG+(/SS+滿席/SH+)/SS+이/VCP+라/EC
할	하/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
집에서	집/NNG+에서/JKB
TV만	TV/SL+만/JX
봤다"고	보/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.7.3
밖으로 나갈지, 집에서 쉴지를 놓고 가까운 사람끼리 서로 얼굴을 붉히는 풍경도 벌어졌다.

밖으로	밖/NNG+으로/JKB
나갈지,	나가/VV+ㄹ지/EC+,/SP
집에서	집/NNG+에서/JKB
쉴지를	쉬/VV+ㄹ지/EF+를/JKO
놓고	놓/VV+고/EC
가까운	가깝/VA+ㄴ/ETM
사람끼리	사람/NNG+끼리/XSN
서로	서로/MAG
얼굴을	얼굴/NNG+을/JKO
붉히는	붉히/VV+는/ETM
풍경도	풍경/NNG+도/JX
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.375.7.4
경기 양평으로 1박 2일 단체 가족 여행을 계획한 김성주(50)씨 가족은 6일 아침 '경기도 권역 미세 먼지 경보발령'이 나오자 서로 의견이 갈렸다.

경기	경기/NNP
양평으로	양평/NNP+으로/JKB
1박	1/SN+박/NNB
2일	2/SN+일/NNB
단체	단체/NNG
가족	가족/NNG
여행을	여행/NNG+을/JKO
계획한	계획/NNG+하/XSV+ㄴ/ETM
김성주(50)씨	김성주/NNP+(/SS+50/SN+)/SS+씨/NNB
가족은	가족/NNG+은/JX
6일	6/SN+일/NNB
아침	아침/NNG
'경기도	'/SS+경기도/NNP
권역	권역/NNG
미세	미세/NNG
먼지	먼지/NNG
경보발령'이	경보/NNG+발령/NNG+'/SS+이/JKS
나오자	나오/VV+자/EC
서로	서로/MAG
의견이	의견/NNG+이/JKS
갈렸다.	갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.375.7.5
"어렵게 시간을 맞췄으니 미세 먼지가 심해도 가자"는 어른들과, "기관지가 약한 아이들에게 안 좋다"는 이유로 가지 않겠다는 며느리들이 맞섰다.

"어렵게	"/SS+어렵/VA+게/EC
시간을	시간/NNG+을/JKO
맞췄으니	맞추/VV+었/EP+으니/EC
미세	미세/NNG
먼지가	먼지/NNG+가/JKS
심해도	심하/VA+아도/EC
가자"는	가/VV+자/EF+"/SS+는/ETM
어른들과,	어른/NNG+들/XSN+과/JKB+,/SP
"기관지가	"/SS+기관지/NNG+가/JKS
약한	약하/VA+ㄴ/ETM
아이들에게	아이/NNG+들/XSN+에게/JKB
안	안/MAG
좋다"는	좋/VA+다/EF+"/SS+는/ETM
이유로	이유/NNG+로/JKB
가지	가/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
며느리들이	며느리/NNG+들/XSN+이/JKS
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.375.7.6
김씨는 "미세 먼지에다 가족끼리 말다툼까지 벌어진 최악의 연휴"라고 말했다.

김씨는	김/NNP+씨/NNB+는/JX
"미세	"/SS+미세/NNG
먼지에다	먼지/NNG+에다/JKB
가족끼리	가족/NNG+끼리/XSN
말다툼까지	말다툼/NNG+까지/JX
벌어진	벌어지/VV+ㄴ/ETM
최악의	최악/NNG+의/JKG
연휴"라고	연휴/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.8.1
◇휴양지, 유통업계도 찬물

◇휴양지,	◇/SW+휴양지/NNG+,/SP
유통업계도	유통업/NNG+계/XSN+도/JX
찬물	찬물/NNG


# id : NWRW1800000054.375.9.1
황금연휴 특수를 기대했던 백화점과 마트 등 주요 유통업체도 울상이었다.

황금연휴	황금연휴/NNG
특수를	특수/NNG+를/JKO
기대했던	기대/NNG+하/XSV+았/EP+던/ETM
백화점과	백화점/NNG+과/JC
마트	마트/NNG
등	등/NNB
주요	주요/NNG
유통업체도	유통업체/NNG+도/JX
울상이었다.	울상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.375.9.2
롯데백화점은 이달 1~6일 매출이 전년 동기 대비 2.8% 소폭 신장했다고 밝혔다.

롯데백화점은	롯데백화점/NNP+은/JX
이달	이달/NNG
1~6일	1/SN+~/SO+6/SN+일/NNB
매출이	매출/NNG+이/JKS
전년	전년/NNG
동기	동기/NNG
대비	대비/NNG
2.8%	2/SN+./SP+8/SN+%/SW
소폭	소폭/MAG
신장했다고	신장/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.375.9.3
김상우 롯데백화점 영업전략팀장은 "주말 외출을 꺼리면서 소폭 신장에 멈춘 것 같다"고 했다.

김상우	김상우/NNP
롯데백화점	롯데백화점/NNP
영업전략팀장은	영업/NNG+전략/NNG+팀장/NNG+은/JX
"주말	"/SS+주말/NNG
외출을	외출/NNG+을/JKO
꺼리면서	꺼리/VV+면서/EC
소폭	소폭/NNG
신장에	신장/NNG+에/JKB
멈춘	멈추/VV+ㄴ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.9.4
현대백화점도 같은 기간 매출이 2.5% 느는 데 그쳤다.

현대백화점도	현대백화점/NNP+도/JX
같은	같/VA+은/ETM
기간	기간/NNG
매출이	매출/NNG+이/JKS
2.5%	2/SN+./SP+5/SN+%/SW
느는	늘/VV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.375.9.5
미세 먼지와 무더운 날씨 영향으로 이 기간 에어컨 등 가전제품 매출이 28.5% 신장한 것을 고려하면, 나머지 부분에서의 매출은 거의 마이너스인 셈이다.

미세	미세/NNG
먼지와	먼지/NNG+와/JC
무더운	무덥/VA+ㄴ/ETM
날씨	날씨/NNG
영향으로	영향/NNG+으로/JKB
이	이/MMD
기간	기간/NNG
에어컨	에어컨/NNG
등	등/NNB
가전제품	가전제품/NNG
매출이	매출/NNG+이/JKS
28.5%	28/SN+./SP+5/SN+%/SW
신장한	신장/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
고려하면,	고려/NNG+하/XSV+면/EC+,/SP
나머지	나머지/NNG
부분에서의	부분/NNG+에서/JKB+의/JKG
매출은	매출/NNG+은/JX
거의	거의/MAG
마이너스인	마이너스/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.375.10.1
◇"시베리아고기압이 주범"

◇"시베리아고기압이	◇/SW+"/SS+시베리아/NNP+고/XPN+기압/NNG+이/JKS
주범"	주범/NNG+"/SS


# id : NWRW1800000054.375.11.1
이번 황사는 그간 세력이 약했던 차고 건조한 시베리아고기압이 세력을 갑자기 확장하면서 비롯됐다.

이번	이번/NNG
황사는	황사/NNG+는/JX
그간	그/NP+간/XSN
세력이	세력/NNG+이/JKS
약했던	약하/VA+았/EP+던/ETM
차고	차/VA+고/EC
건조한	건조/NNG+하/XSA+ㄴ/ETM
시베리아고기압이	시베리아/NNP+고/XPN+기압/NNG+이/JKS
세력을	세력/NNG+을/JKO
갑자기	갑자기/MAG
확장하면서	확장/NNG+하/XSV+면서/EC
비롯됐다.	비롯되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.375.11.2
반기성 케이웨더 통합예보센터장은 "여기에다 러시아 캄차카반도 쪽에 버티고 있는 고기압이 강한 서풍의 흐름을 막는 '블로킹' 역할을 하면서 중국 북동부에서 한반도로 황사를 몰고 온 북서풍이 더 강해진 것"이라고 말했다.

반기성	반기성/NNP
케이웨더	케이웨더/NNP
통합예보센터장은	통합/NNG+예보/NNG+센터장/NNG+은/JX
"여기에다	"/SS+여기/NP+에다/JKB
러시아	러시아/NNP
캄차카반도	캄차카반도/NNP
쪽에	쪽/NNB+에/JKB
버티고	버티/VV+고/EC
있는	있/VX+는/ETM
고기압이	고/XPN+기압/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
서풍의	서풍/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
막는	막/VV+는/ETM
'블로킹'	'/SS+블로킹/NNG+'/SS
역할을	역할/NNG+을/JKO
하면서	하/VV+면서/EC
중국	중국/NNP
북동부에서	북동부/NNG+에서/JKB
한반도로	한반도/NNP+로/JKB
황사를	황사/NNG+를/JKO
몰고	몰/VV+고/EC
온	오/VX+ㄴ/ETM
북서풍이	북서풍/NNG+이/JKS
더	더/MAG
강해진	강하/VA+아/EC+지/VX+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.375.12.1
국내로 사흘 연속 황사가 유입된 것은 중국 북동부 지방의 만주 사막에 강풍이 불면서 끊임없이 일어난 황사가 불과 1~1.5일 만에 우리나라로 유입됐기 때문이다.

국내로	국내/NNG+로/JKB
사흘	사흘/NNG
연속	연속/NNG
황사가	황사/NNG+가/JKS
유입된	유입/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
중국	중국/NNP
북동부	북동부/NNG
지방의	지방/NNG+의/JKG
만주	만주/NNP
사막에	사막/NNG+에/JKB
강풍이	강풍/NNG+이/JKS
불면서	불/VV+면서/EC
끊임없이	끊임없이/MAG
일어난	일어나/VV+ㄴ/ETM
불과	불과/MAG
1~1.5일	1/SN+~/SO+1/SN+./SP+5/SN+일/NNB
만에	만/NNB+에/JKB
우리나라로	우리나라/NNG+로/JKB
유입됐기	유입/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.375.12.2
다행인 점도 있다.

다행인	다행/NNG+이/VCP+ㄴ/ETM
점도	점/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.375.12.3
국립환경과학원은 "강한 바람으로 이번 황사 농도 자체는 과거처럼 높지는 않다"면서 "과거 중국 서쪽의 타클라마칸사막 등에서 발원해 편서풍을 타고 유입됐다 대기 정체로 국내에 쌓였던 2000년대 초중반에는 미세 먼지 농도가 1000~ 2000㎍을 기록한 적도 있다"고 말했다.

국립환경과학원은	국립환경과학원/NNP+은/JX
"강한	"/SS+강하/VA+ㄴ/ETM
바람으로	바람/NNG+으로/JKB
이번	이번/NNG
황사	황사/NNG
농도	농도/NNG
자체는	자체/NNG+는/JX
과거처럼	과거/NNG+처럼/JKB
높지는	높/VA+지/EC+는/JX
않다"면서	않/VX+다/EF+"/SS+면서/EC
"과거	"/SS+과거/NNG
중국	중국/NNP
서쪽의	서쪽/NNG+의/JKG
타클라마칸사막	타클라마칸/NNP+사막/NNG
등에서	등/NNB+에서/JKB
발원해	발원/NNG+하/XSV+아/EC
편서풍을	편서풍/NNG+을/JKO
타고	타/VV+고/EC
유입됐다	유입/NNG+되/XSV+었/EP+다/EC
대기	대기/NNG
정체로	정체/NNG+로/JKB
국내에	국내/NNG+에/JKB
쌓였던	쌓이/VV+었/EP+던/ETM
2000년대	2000/SN+년대/NNB
초중반에는	초중반/NNG+에/JKB+는/JX
미세	미세/NNG
먼지	먼지/NNG
농도가	농도/NNG+가/JKS
1000~	1000/SN+~/SO
2000㎍을	2000/SN+㎍/SW+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


