# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.318
metadata : {}


# id : NWRW1800000028.318.1.1
‘천안함’ 그레그 전대사·‘차명계좌’ 이인규… /여야, 국감 증인채택 ‘샅바싸움’

‘천안함’	‘/SS+천안함/NNP+’/SS
여야	여야/NNG
의원들도	의원/NNG+들/XSN+도/JX
이	이/NNP
전	전/MMD
중수부장을	중수부장/NNG+을/JKO
증인으로	증인/NNG+으로/JKB
채택해야	채택/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
기류지만	기류/NNG+이/VCP+지만/EC
당	당/NNG
지도부의	지도부/NNG+의/JKG
의향이	의향/NNG+이/JKS
변수로	변수/NNG+로/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.318.5.1
여당은 고민이 많다.

여당은	여당/NNG+은/JX
고민이	고민/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000028.318.5.2
한나라당 고위 당직자는 “근거 없는 정치 공세는 막아야 하겠으나 여당이 무조건 감싸기만 할 순 없다”며 “박영준 차관 등 업무 관련성이 명확한 경우에 증인으로 채택될 가능성도 있다”고 말했다.

한나라당	한나라당/NNP
고위	고위/NNG
당직자는	당직자/NNG+는/JX
“근거	“/SS+근거/NNG
없는	없/VA+는/ETM
정치	정치/NNG
공세는	공세/NNG+는/JX
막아야	막/VV+아야/EC
하겠으나	하/VX+겠/EP+으나/EC
여당이	여당/NNG+이/JKS
무조건	무조건/MAG
감싸기만	감싸/VV+기/ETN+만/JX
할	하/VX+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“박영준	“/SS+박영준/NNP
차관	차관/NNG
등	등/NNB
업무	업무/NNG
관련성이	관련/NNG+성/XSN+이/JKS
명확한	명확하/VA+ㄴ/ETM
경우에	경우/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
채택될	채택/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


