# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.291
metadata : {}


# id : NWRW1800000056.291.1.1
[아침 햇발] 이재용에겐 ‘다행’, 삼성엔 ‘불행’

[아침	[/SS+아침/NNG
귀국하자마자	귀국/NNG+하/XSV+자마자/EC
박정희	박정희/NNP
국가재건최고회의	국가재건최고회의/NNP
부의장을	부의장/NNG+을/JKO
만나	만나/VV+아/EC
협조를	협조/NNG+를/JKO
약속하고	약속/NNG+하/XSV+고/EC
구속을	구속/NNG+을/JKO
피했다.	피하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.2.4
그때 만들어진 게 전국경제인연합회의 전신인 한국경제인협회다.

그때	그때/NNG
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
게	거/NNB+이/JKS
전국경제인연합회의	전국경제인연합회/NNP+의/JKG
전신인	전신/NNG+이/VCP+ㄴ/ETM
한국경제인협회다.	한국경제인협회/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000056.291.2.5
1966년 이병철 창업주는 ‘사카린 밀수 사건’이 터지면서 다시 위기를 맞았으나 또 구속을 피했고, 대신 차남인 이창희 한국비료 상무가 감옥에 갔다.

1966년	1966/SN+년/NNB
이병철	이병철/NNP
창업주는	창업주/NNG+는/JX
‘사카린	‘/SS+사카린/NNG
밀수	밀수/NNG
사건’이	사건/NNG+’/SS+이/JKS
터지면서	터지/VV+면서/EC
다시	다시/MAG
위기를	위기/NNG+를/JKO
맞았으나	맞/VV+았/EP+으나/EC
또	또/MAG
구속을	구속/NNG+을/JKO
피했고,	피하/VV+았/EP+고/EC+,/SP
대신	대신/NNG
차남인	차남/NNG+이/VCP+ㄴ/ETM
이창희	이창희/NNP
한국비료	한국비료/NNP
상무가	상무/NNG+가/JKS
감옥에	감옥/NNG+에/JKB
갔다.	가/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.2.6
그는 기자회견을 열어 한국비료의 국가 헌납과 경영 일선 퇴진을 약속했다.

그는	그/NP+는/JX
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
한국비료의	한국비료/NNP+의/JKG
국가	국가/NNG
헌납과	헌납/NNG+과/JC
경영	경영/NNG
일선	일선/NNG
퇴진을	퇴진/NNG+을/JKO
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.2.7
하지만 17개월 뒤 경영 위기를 명분으로 내세워 다시 회장에 복귀했다.

하지만	하지만/MAJ
17개월	17/SN+개월/NNB
뒤	뒤/NNG
경영	경영/NNG
위기를	위기/NNG+를/JKO
명분으로	명분/NNG+으로/JKB
내세워	내세우/VV+어/EC
다시	다시/MAG
회장에	회장/NNG+에/JKB
복귀했다.	복귀/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.3.1
이재용 부회장의 아버지 이건희 삼성그룹 회장은 1995년 ‘노태우 비자금 사건’으로 불구속 기소돼 징역 2년에 집행유예 3년을 선고받고 2년 뒤 사면됐다.

이재용	이재용/NNP
부회장의	부회장/NNG+의/JKG
아버지	아버지/NNG
이건희	이건희/NNP
삼성그룹	삼성그룹/NNP
회장은	회장/NNG+은/JX
1995년	1995/SN+년/NNB
‘노태우	‘/SS+노태우/NNP
비자금	비자금/NNG
사건’으로	사건/NNG+’/SS+으로/JKB
불구속	불/XPN+구속/NNG
기소돼	기소/NNG+되/XSV+어/EC
징역	징역/NNG
2년에	2/SN+년/NNB+에/JKB
집행유예	집행/NNG+유예/NNG
3년을	3/SN+년/NNB+을/JKO
선고받고	선고/NNG+받/XSV+고/EC
2년	2/SN+년/NNB
뒤	뒤/NNG
사면됐다.	사면/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.291.3.2
2007년 10월엔 삼성 구조조정본부 법무팀장 출신 김용철 변호사가 ‘이건희 비자금과 정·관계 로비 의혹’을 폭로했고, 조준웅 변호사가 ‘삼성 특검’으로 임명됐다.

2007년	2007/SN+년/NNB
10월엔	10/SN+월/NNB+에/JKB+ㄴ/JX
삼성	삼성/NNP
구조조정본부	구조/NNG+조정/NNG+본부/NNG
법무팀장	법무/NNG+팀장/NNG
출신	출신/NNG
김용철	김용철/NNP
변호사가	변호사/NNG+가/JKS
‘이건희	‘/SS+이건희/NNP
비자금과	비자금/NNG+과/JC
정·관계	정·관계/NNG
로비	로비/NNG
의혹’을	의혹/NNG+’/SS+을/JKO
폭로했고,	폭로/NNG+하/XSV+았/EP+고/EC+,/SP
조준웅	조준웅/NNP
‘삼성	‘/SS+삼성/NNP
특검’으로	특검/NNG+’/SS+으로/JKB
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.291.3.3
그러나 삼성 특검은 수사 기간 내내 이 회장에 대한 불구속 방침을 밝히는 등 ‘봐주기 수사’를 했다.

그러나	그러나/MAJ
삼성	삼성/NNP
특검은	특검/NNG+은/JX
수사	수사/NNG
기간	기간/NNG
내내	내내/MAG
이	이/NNP
회장에	회장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불구속	불/XPN+구속/NNG
방침을	방침/NNG+을/JKO
밝히는	밝히/VV+는/ETM
등	등/NNB
‘봐주기	‘/SS+봐주/VV+기/ETN
수사’를	수사/NNG+’/SS+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.3.4
법원도 징역 3년에 집행유예 5년이라는 ‘솜방망이 처벌’을 내렸다.

법원도	법원/NNG+도/JX
징역	징역/NNG
3년에	3/SN+년/NNB+에/JKB
집행유예	집행/NNG+유예/NNG
5년이라는	5/SN+년/NNB+이/VCP+라는/ETM
‘솜방망이	‘/SS+솜방망이/NNG
처벌’을	처벌/NNG+’/SS+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.291.3.5
엄정해야 할 특검의 수사와 재판이 되레 삼성의 불법 경영권 승계에 대해 면죄부를 줬다는 비판을 받았다.

엄정해야	엄정/NNG+하/XSA+아야/EC
할	하/VX+ㄹ/ETM
특검의	특검/NNG+의/JKG
수사와	수사/NNG+와/JC
재판이	재판/NNG+이/JKS
되레	되레/MAG
삼성의	삼성/NNP+의/JKG
불법	불법/NNG
경영권	경영/NNG+권/XSN
승계에	승계/NNG+에/JKB
대해	대하/VV+아/EC
면죄부를	면죄부/NNG+를/JKO
줬다는	주/VV+었/EP+다는/ETM
비판을	비판/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.3.6
이 회장은 2008년 4월 특검 수사 발표 직후 자신을 포함한 총수 일가의 경영 일선 퇴진, 전략기획실 해체, 1조원의 사재 출연 등을 약속했다.

이	이/NNP
회장은	회장/NNG+은/JX
2008년	2008/SN+년/NNB
4월	4/SN+월/NNB
특검	특검/NNG
수사	수사/NNG
발표	발표/NNG
직후	직후/NNG
자신을	자신/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
총수	총수/NNG
일가의	일가/NNG+의/JKG
경영	경영/NNG
일선	일선/NNG
퇴진,	퇴진/NNG+,/SP
전략기획실	전략/NNG+기획실/NNG
해체,	해체/NNG+,/SP
1조원의	1/SN+조/NR+원/NNB+의/JKG
사재	사재/NNG
출연	출연/NNG
등을	등/NNB+을/JKO
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.3.7
그러나 이 회장은 2009년 12월 말 이례적인 단독 특별사면을 받아 삼성전자 회장으로 복귀했고 전략기획실도 미래전략실로 이름을 바꿔 부활했다.

그러나	그러나/MAJ
이	이/NNP
회장은	회장/NNG+은/JX
2009년	2009/SN+년/NNB
12월	12/SN+월/NNB
말	말/NNB
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
단독	단독/NNG
특별사면을	특별/NNG+사면/NNG+을/JKO
받아	받/VV+아/EC
삼성전자	삼성전자/NNP
회장으로	회장/NNG+으로/JKB
복귀했고	복귀/NNG+하/XSV+았/EP+고/EC
전략기획실도	전략/NNG+기획실/NNG+도/JX
미래전략실로	미래/NNG+전략실/NNG+로/JKB
이름을	이름/NNG+을/JKO
바꿔	바꾸/VV+어/EC
부활했다.	부활/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.3.8
1조원의 사재 출연 약속은 지금까지도 지켜지지 않고 있다.

1조원의	1/SN+조/NR+원/NNB+의/JKG
사재	사재/NNG
출연	출연/NNG
약속은	약속/NNG+은/JX
지금까지도	지금/NNG+까지/JX+도/JX
지켜지지	지키/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.291.4.1
이재용 부회장의 구속영장이 19일 새벽 기각됐다.

이재용	이재용/NNP
부회장의	부회장/NNG+의/JKG
구속영장이	구속/NNG+영장/NNG+이/JKS
19일	19/SN+일/NNB
새벽	새벽/NNG
기각됐다.	기각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.291.4.2
433억원의 뇌물 공여, 97억원의 횡령, 국회 청문회에서의 위증 등 혐의의 중대성을 고려할 때 3대에 걸친 삼성 총수 가운데 첫 구속자가 나올 가능성이 큰 것으로 관측됐다.

433억원의	433/SN+억/NR+원/NNB+의/JKG
뇌물	뇌물/NNG
공여,	공여/NNG+,/SP
97억원의	97/SN+억/NR+원/NNB+의/JKG
횡령,	횡령/NNG+,/SP
국회	국회/NNG
청문회에서의	청문회/NNG+에서/JKB+의/JKG
위증	위증/NNG
등	등/NNB
혐의의	혐의/NNG+의/JKG
중대성을	중대/NNG+성/XSN+을/JKO
고려할	고려/NNG+하/XSV+ㄹ/ETM
때	때/NNG
3대에	3/SN+대/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
삼성	삼성/NNP
총수	총수/NNG
가운데	가운데/NNG
첫	첫/MMN
구속자가	구속자/NNG+가/JKS
나올	나오/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
관측됐다.	관측/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.291.4.3
하지만 결과는 정반대였다.

하지만	하지만/MAJ
결과는	결과/NNG+는/JX
정반대였다.	정반대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.291.4.4
구속영장 기각 직후 삼성은 “불구속 상태에서 진실을 가릴 수 있게 돼 다행”이라는 공식 입장을 내놨다.

구속영장	구속/NNG+영장/NNG
기각	기각/NNG
직후	직후/NNG
삼성은	삼성/NNP+은/JX
“불구속	“/SS+불/XPN+구속/NNG
상태에서	상태/NNG+에서/JKB
진실을	진실/NNG+을/JKO
가릴	가리/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼	되/VV+어/EC
다행”이라는	다행/NNG+”/SS+이/VCP+라는/ETM
공식	공식/NNG
입장을	입장/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.291.4.5
과연 다행일까?

과연	과연/MAG
다행일까?	다행/NNG+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000056.291.4.6
한겨울을 구치소에서 보내야 할 상황을 피하게 된 이 부회장에겐 다행일지 모르겠다.

한겨울을	한/XPN+겨울/NNG+을/JKO
구치소에서	구치소/NNG+에서/JKB
보내야	보내/VV+어야/EC
할	하/VX+ㄹ/ETM
상황을	상황/NNG+을/JKO
피하게	피하/VV+게/EC
된	되/VV+ㄴ/ETM
이	이/NNP
부회장에겐	부회장/NNG+에게/JKB+ㄴ/JX
다행일지	다행/NNG+이/VCP+ㄹ지/EC
모르겠다.	모르/VV+겠/EP+다/EF+./SF


# id : NWRW1800000056.291.4.7
하지만 이재용이 곧 삼성이 아닐진대 삼성에도 다행일 수 있을까?

하지만	하지만/MAJ
이재용이	이재용/NNP+이/JKS
곧	곧/MAG
삼성이	삼성/NNP+이/JKC
아닐진대	아니/VCN+ㄹ진대/EC
삼성에도	삼성/NNP+에/JKB+도/JX
다행일	다행/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있을까?	있/VA+을까/EF+?/SF


# id : NWRW1800000056.291.4.8
구속영장 기각이 삼성에 대한 비판 여론에 기름을 끼얹은 꼴이 됐다.

구속영장	구속/NNG+영장/NNG
기각이	기각/NNG+이/JKS
삼성에	삼성/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
비판	비판/NNG
여론에	여론/NNG+에/JKB
기름을	기름/NNG+을/JKO
끼얹은	끼얹/VV+은/ETM
꼴이	꼴/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.291.4.9
“박근혜도 최순실도 허수아비, 삼성이 대한민국 권력서열 1위” “진정한 법꾸라지 삼성” “돈이 실력임을 입증한 사법부” 등 비판과 함께 “박영수 특검 힘내라!” “촛불 시민 모여라, 국민은 끝까지 간다!” 등 응원이 쏟아지고 있다.

“박근혜도	“/SS+박근혜/NNP+도/JX
최순실도	최순실/NNP+도/JX
허수아비,	허수아비/NNG+,/SP
삼성이	삼성/NNP+이/JKS
대한민국	대한민국/NNP
권력서열	권력/NNG+서열/NNG
1위”	1/SN+위/NNB+”/SS
“진정한	“/SS+진정/MAG+하/XSA+ㄴ/ETM
법꾸라지	법꾸라지/NNG
삼성”	삼성/NNP+”/SS
“돈이	“/SS+돈/NNG+이/JKS
실력임을	실력/NNG+이/VCP+ㅁ/ETN+을/JKO
입증한	입증/NNG+하/XSV+ㄴ/ETM
사법부”	사법부/NNG+”/SS
등	등/NNB
비판과	비판/NNG+과/JKB
함께	함께/MAG
“박영수	“/SS+박영수/NNP
특검	특검/NNG
힘내라!”	힘내/VV+라/EC+!/SF+”/SS
“촛불	“/SS+촛불/NNG
시민	시민/NNG
모여라,	모이/VV+어라/EF+,/SP
국민은	국민/NNG+은/JX
끝까지	끝/NNG+까지/JX
간다!”	가/VV+ㄴ다/EF+!/SF+”/SS
응원이	응원/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.291.4.10
‘이재용 구속 → 삼성 경영 위기 → 한국 경제 위기’라는 흘러간 노래가 적어도 국민에게는 통하지 않은 것이다.

‘이재용	‘/SS+이재용/NNP
구속	구속/NNG
→	→/SW
삼성	삼성/NNP
경영	경영/NNG
위기	위기/NNG
한국	한국/NNP
경제	경제/NNG
위기’라는	위기/NNG+’/SS+이/VCP+라는/ETM
흘러간	흘러가/VV+ㄴ/ETM
노래가	노래/NNG+가/JKS
적어도	적어도/MAG
국민에게는	국민/NNG+에게/JKB+는/JX
통하지	통하/VV+지/EC
않은	않/VX+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.291.4.11
삼성은 이제 국민한테 사랑과 존경을 받는 기업이 되겠다는 꿈은 포기해야 할 것 같다.

삼성은	삼성/NNP+은/JX
이제	이제/MAG
국민한테	국민/NNG+한테/JKB
사랑과	사랑/NNG+과/JC
존경을	존경/NNG+을/JKO
받는	받/VV+는/ETM
기업이	기업/NNG+이/JKC
되겠다는	되/VV+겠/EP+다는/ETM
꿈은	꿈/NNG+은/JX
포기해야	포기/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000056.291.5.1
만약 이병철 창업주나 이건희 회장이 자신들이 저지른 범죄에 대해 상응하는 처벌을 제대로 받고 대국민 약속을 지켰다면 삼성이 또다시 ‘부도덕한 기업’으로 낙인찍히는 상황이 벌어졌을까?

만약	만약/MAG
이병철	이병철/NNP
창업주나	창업주/NNG+나/JC
이건희	이건희/NNP
회장이	회장/NNG+이/JKS
자신들이	자신/NNG+들/XSN+이/JKS
저지른	저지르/VV+ㄴ/ETM
범죄에	범죄/NNG+에/JKB
대해	대하/VV+아/EC
상응하는	상응/NNG+하/XSV+는/ETM
처벌을	처벌/NNG+을/JKO
제대로	제대로/MAG
받고	받/VV+고/EC
대국민	대국민/NNG
약속을	약속/NNG+을/JKO
지켰다면	지키/VV+었/EP+다면/EC
삼성이	삼성/NNP+이/JKS
또다시	또다시/MAG
‘부도덕한	‘/SS+부/XPN+도덕/NNG+하/XSA+ㄴ/ETM
기업’으로	기업/NNG+’/SS+으로/JKB
낙인찍히는	낙인찍히/VV+는/ETM
상황이	상황/NNG+이/JKS
벌어졌을까?	벌어지/VV+었/EP+을까/EF+?/SF


# id : NWRW1800000056.291.5.2
최소한 이건희 회장이 10년 전 눈물을 글썽이며 약속한 지배구조 개선을 실행했다면 ‘박근혜·최순실 게이트’에 이렇게까지 휘말렸을까?

최소한	최소한/MAG
이건희	이건희/NNP
회장이	회장/NNG+이/JKS
10년	10/SN+년/NNB
전	전/NNG
눈물을	눈물/NNG+을/JKO
글썽이며	글썽이/VV+며/EC
약속한	약속/NNG+하/XSV+ㄴ/ETM
지배구조	지배/NNG+구조/NNG
개선을	개선/NNG+을/JKO
실행했다면	실행/NNG+하/XSV+았/EP+다면/EC
‘박근혜·최순실	‘/SS+박근혜/NNP+·/SP+최순실/NNP
게이트’에	게이트/NNG+’/SS+에/JKB
이렇게까지	이렇/VA+게/EC+까지/JX
휘말렸을까?	휘말리/VV+었/EP+을까/EF+?/SF


# id : NWRW1800000056.291.5.3
아마도 삼성은 조만간 또 대국민 사과와 경영 쇄신안을 내놓을 것이다.

아마도	아마도/MAG
삼성은	삼성/NNP+은/JX
조만간	조만간/MAG
또	또/MAG
대국민	대국민/NNG
사과와	사과/NNG+와/JC
경영	경영/NNG
쇄신안을	쇄신안/NNG+을/JKO
내놓을	내놓/VV+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.291.5.4
그러나 이제 그 말을 믿을 국민은 거의 없을 듯하다.

그러나	그러나/MAJ
이제	이제/MAG
그	그/MMD
말을	말/NNG+을/JKO
믿을	믿/VV+을/ETM
국민은	국민/NNG+은/JX
거의	거의/MAG
없을	없/VA+을/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


