# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.168
metadata : {}


# id : NWRW1800000038.168.1.1
재판만 5차례… 만삭아내 살해한 의사, 징역 20년

재판만	재판/NNG+만/JX
남편 쪽은 아내가 실신해 욕조에서 넘어져 사망했을 가능성을 주장했지만 재판부는 "아내가 발견될 당시 자세의 특이성 등을 비춰 볼 때 목졸림이라고 충분히 인정된다"고 밝혔다.

남편	남편/NNG
쪽은	쪽/NNB+은/JX
아내가	아내/NNG+가/JKS
실신해	실신/NNG+하/XSV+아/EC
욕조에서	욕조/NNG+에서/JKB
넘어져	넘어지/VV+어/EC
사망했을	사망/NNG+하/XSV+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
주장했지만	주장/NNG+하/XSV+았/EP+지만/EC
재판부는	재판부/NNG+는/JX
"아내가	"/SS+아내/NNG+가/JKS
발견될	발견/NNG+되/XSV+ㄹ/ETM
당시	당시/NNG
자세의	자세/NNG+의/JKG
특이성	특이/NNG+성/XSN
등을	등/NNB+을/JKO
비춰	비추/VV+어/EC
볼	보/VV+ㄹ/ETM
때	때/NNG
목졸림이라고	목/NNG+졸리/VV+ㅁ/ETN+이/VCP+라고/EC
충분히	충분히/MAG
인정된다"고	인정/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.168.6.1
이 사건 1·2심은 "백씨가 우발적으로 아내의 목을 졸라 살해한 것으로 보인다"면서 징역 20년을 선고했지만 대법원은 작년 6월 상고심에서 "아내를 살해했다고 단정할 증거와 치밀한 논증이 없으므로 다시 심리하라"며 서울고법으로 파기환송했다.

이	이/MMD
사건	사건/NNG
1·2심은	1/SN+·/SP+2심/NNG+은/JX
"백씨가	"/SS+백/NNP+씨/NNB+가/JKS
우발적으로	우발/NNG+적/XSN+으로/JKB
아내의	아내/NNG+의/JKG
목을	목/NNG+을/JKO
졸라	조르/VV+아/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다"면서	보이/VV+ㄴ다/EF+"/SS+면서/EC
징역	징역/NNG
20년을	20/SN+년/NNB+을/JKO
선고했지만	선고/NNG+하/XSV+았/EP+지만/EC
대법원은	대/XPN+법원/NNG+은/JX
작년	작년/NNG
6월	6/SN+월/NNB
상고심에서	상고심/NNG+에서/JKB
"아내를	"/SS+아내/NNG+를/JKO
살해했다고	살해/NNG+하/XSV+았/EP+다고/EC
단정할	단정/NNG+하/XSV+ㄹ/ETM
증거와	증거/NNG+와/JC
치밀한	치밀하/VA+ㄴ/ETM
논증이	논증/NNG+이/JKS
없으므로	없/VA+으므로/EC
다시	다시/MAG
심리하라"며	심리/NNG+하/XSV+라/EF+"/SS+며/EC
서울고법으로	서울고법/NNP+으로/JKB
파기환송했다.	파기/NNG+환송/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.168.6.2
파기환송심에선 다시 징역 20년이 선고됐다.

파기환송심에선	파기/NNG+환송심/NNG+에서/JKB+ㄴ/JX
다시	다시/MAG
징역	징역/NNG
20년이	20/SN+년/NNB+이/JKS
선고됐다.	선고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.168.6.3
대법원은 재상고심에서 박씨의 목졸림 사망을 인정했다.

대법원은	대/XPN+법원/NNG+은/JX
재상고심에서	재/XPN+상고심/NNG+에서/JKB
박씨의	박/NNP+씨/NNB+의/JKG
목졸림	목/NNG+졸리/VV+ㅁ/ETN
사망을	사망/NNG+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.168.6.4
대법원은 △숨진 박씨의 목 부위 피부가 까진 점 △오른 턱뼈 주변에서 손으로 눌려 생긴 멍이 발견된 점 △오른 목 근육에서 액사에서 전형적으로 발견되는 출혈이 발생한 점 등을 들었다.

대법원은	대/XPN+법원/NNG+은/JX
△숨진	△/SW+숨지/VV+ㄴ/ETM
박씨의	박/NNP+씨/NNB+의/JKG
목	목/NNG
부위	부위/NNG
피부가	피부/NNG+가/JKS
까진	까지/VV+ㄴ/ETM
점	점/NNG
△오른	△/SW+오른/MMD
턱뼈	턱뼈/NNG
주변에서	주변/NNG+에서/JKB
손으로	손/NNG+으로/JKB
눌려	눌리/VV+어/EC
생긴	생기/VV+ㄴ/ETM
멍이	멍/NNG+이/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
근육에서	근육/NNG+에서/JKB
액사에서	액사/NNG+에서/JKB
전형적으로	전형/NNG+적/XSN+으로/JKB
발견되는	발견/NNG+되/XSV+는/ETM
출혈이	출혈/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
등을	등/NNB+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.168.6.5
사망 원인이 액사였다면, 과연 누가 박씨의 목을 졸랐는지도 중요했다.

사망	사망/NNG
원인이	원인/NNG+이/JKS
액사였다면,	액사/NNG+이/VCP+었/EP+다면/EC+,/SP
과연	과연/MAG
누가	누구/NP+가/JKS
박씨의	박/NNP+씨/NNB+의/JKG
목을	목/NNG+을/JKO
졸랐는지도	조르/VV+았/EP+는지/EF+도/JX
중요했다.	중요/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000038.168.6.6
남편 쪽은 '제3자가 침입했을 가능성'을 주장했다.

남편	남편/NNG
쪽은	쪽/NNB+은/JX
'제3자가	'/SS+제3자/NNG+가/JKS
침입했을	침입/NNG+하/XSV+았/EP+을/ETM
가능성'을	가능/NNG+성/XSN+'/SS+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.168.6.7
하지만 재판부는 △남편이 현장에 없었다고 증명하기 어렵고 △사건 당일과 이후 남편의 태도와 행적이 의심스러우며 △사건이 발생한 아파트의 구조와 보안시스템 등을 볼 때 제3자가 침입했다고 보기 어렵다고 판단했다.

하지만	하지만/MAJ
재판부는	재판부/NNG+는/JX
△남편이	△/SW+남편/NNG+이/JKS
현장에	현장/NNG+에/JKB
없었다고	없/VA+었/EP+다고/EC
증명하기	증명/NNG+하/XSV+기/ETN
어렵고	어렵/VA+고/EC
△사건	△/SW+사건/NNG
당일과	당일/NNG+과/JC
이후	이후/NNG
남편의	남편/NNG+의/JKG
태도와	태도/NNG+와/JC
행적이	행적/NNG+이/JKS
의심스러우며	의심/NNG+스럽/XSA+으며/EC
△사건이	△/SW+사건/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
아파트의	아파트/NNG+의/JKG
구조와	구조/NNG+와/JC
보안시스템	보안/NNG+시스템/NNG
등을	등/NNB+을/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
제3자가	제3자/NNG+가/JKS
침입했다고	침입/NNG+하/XSV+았/EP+다고/EC
보기	보/VV+기/ETN
어렵다고	어렵/VA+다고/EC
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.168.6.8
선고 직후 숨진 박씨 아버지는 "진실 규명을 위해 고통스러운 나날을 보냈다"며 "사건 실체를 재확인해준 점에 감사드린다"고 말했다.

선고	선고/NNG
직후	직후/NNG
숨진	숨지/VV+ㄴ/ETM
박씨	박/NNP+씨/NNB
아버지는	아버지/NNG+는/JX
"진실	"/SS+진실/NNG
규명을	규명/NNG+을/JKO
위해	위하/VV+아/EC
고통스러운	고통/NNG+스럽/XSA+ㄴ/ETM
나날을	나날/NNG+을/JKO
보냈다"며	보내/VV+었/EP+다/EF+"/SS+며/EC
"사건	"/SS+사건/NNG
실체를	실체/NNG+를/JKO
재확인해준	재/XPN+확인/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
점에	점/NNG+에/JKB
감사드린다"고	감사/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.168.6.9
남편 백씨는 소아청소년과 전문의 자격 1차 시험을 치른 다음 날인 지난 2011년 1월 14일 새벽 서울 마포구 도화동 집에서 출산을 한 달 앞둔 아내 박씨와 다투다 목을 졸라 숨지게 한 혐의로 구속 기소됐다.

남편	남편/NNG
백씨는	백/NNP+씨/NNB+는/JX
소아청소년과	소아/NNG+청소년과/NNG
전문의	전문의/NNG
자격	자격/NNG
1차	1/SN+차/NNB
시험을	시험/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
1월	1/SN+월/NNB
14일	14/SN+일/NNB
새벽	새벽/NNG
서울	서울/NNP
마포구	마포구/NNP
도화동	도화동/NNP
집에서	집/NNG+에서/JKB
출산을	출산/NNG+을/JKO
한	하/VX+ㄴ/ETM
달	달/NNB
앞둔	앞두/VV+ㄴ/ETM
아내	아내/NNG
박씨와	박/NNP+씨/NNB+와/JKB
다투다	다투/VV+다/EC
목을	목/NNG+을/JKO
졸라	조르/VV+아/EC
숨지게	숨지/VV+게/EC
혐의로	혐의/NNG+로/JKB
구속	구속/NNG
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.168.6.10
[그래픽] 대법원이 사망 원인을 질식사로 본 이유

[그래픽]	[/SS+그래픽/NNG+]/SS
대법원이	대/XPN+법원/NNG+이/JKS
사망	사망/NNG
원인을	원인/NNG+을/JKO
질식사로	질식사/NNG+로/JKB
본	보/VV+ㄴ/ETM
이유	이유/NNG


