# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.201
metadata : {}


# id : NWRW1800000049.201.1.1
지하주차장서 화물 싣고 내리라니…

지하주차장서	지하/NNG+주차장/NNG+서/JKB
1단계	1/SN+단계/NNG
사업으로	사업/NNG+으로/JKB
사업비	사업비/NNG
2806억	2806/SN+억/NR
원을	원/NNB+을/JKO
들여	들이/VV+어/EC
총면적	총면적/NNG
21만958m²	21/SN+만/NR+958/SN+m²/SW
규모의	규모/NNG+의/JKG
가락몰을	가락몰/NNP+을/JKO
올	올/NNG
1월	1/SN+월/NNB
완공했다.	완공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.201.5.1
농수산식품공사는 이곳에 기존 점포를 모두 옮겨 올 계획이었다.

농수산식품공사는	농수산식품공사/NNP+는/JX
이곳에	이곳/NP+에/JKB
기존	기존/NNG
점포를	점포/NNG+를/JKO
모두	모두/MAG
옮겨	옮기/VV+어/EC
올	오/VX+ㄹ/ETM
계획이었다.	계획/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.201.5.2
그러나 청과점포 660개 가운데 326개는 이전을 완강히 거부하고 있다.

그러나	그러나/MAJ
청과점포	청과/NNG+점포/NNG
660개	660/SN+개/NNB
가운데	가운데/NNG
326개는	326/SN+개/NNB+는/JX
이전을	이전/NNG+을/JKO
완강히	완강히/MAG
거부하고	거부/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.201.5.3
임 씨를 비롯한 청과상인들은 ‘가락몰 이전, 난 반댈세!’라는 문구가 적힌 초록색 조끼를 입은 채 옛 건물에서 장사를 계속하고 있다.

임	임/NNP
씨를	씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
청과상인들은	청과/NNG+상인/NNG+들/XSN+은/JX
‘가락몰	‘/SS+가락몰/NNP
이전,	이전/NNG+,/SP
난	나/NP+ㄴ/JX
반댈세!’라는	반대/NNG+이/VCP+ㄹ세/EF+!/SF+’/SS+이/VCP+라는/ETM
문구가	문구/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
초록색	초록색/NNG
조끼를	조끼/NNG+를/JKO
입은	입/VV+은/ETM
채	채/NNB
옛	옛/MMA
건물에서	건물/NNG+에서/JKB
장사를	장사/NNG+를/JKO
계속하고	계속/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.201.5.4
자칫 현대화 건물 입주 갈등으로 물리적 충돌까지 빚은 노량진수산시장 사태가 재연되는 것이 아니냐는 우려까지 낳고 있다.

자칫	자칫/MAG
현대화	현대/NNG+화/XSN
건물	건물/NNG
입주	입주/NNG
갈등으로	갈등/NNG+으로/JKB
물리적	물리/NNG+적/XSN
충돌까지	충돌/NNG+까지/JX
빚은	빚/VV+은/ETM
노량진수산시장	노량진수산시장/NNP
사태가	사태/NNG+가/JKS
재연되는	재연/NNG+되/XSV+는/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
우려까지	우려/NNG+까지/JX
낳고	낳/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.201.6.1
○ “상인들 무시한 일방적 설계”

○	○/SW
“상인들	“/SS+상인/NNG+들/XSN
무시한	무시/NNG+하/XSV+ㄴ/ETM
일방적	일방/NNG+적/XSN
설계”	설계/NNG+”/SS


# id : NWRW1800000049.201.7.1
상인들의 가장 큰 불만은 지하주차장.

상인들의	상인/NNG+들/XSN+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
불만은	불만/NNG+은/JX
지하주차장.	지하/NNG+주차장/NNG+./SF


# id : NWRW1800000049.201.7.2
가락몰 건립 전에는 상가가 4개 동으로 나뉘어 있었다.

가락몰	가락몰/NNP
건립	건립/NNG
전에는	전/NNG+에/JKB+는/JX
상가가	상가/NNG+가/JKS
4개	4/SN+개/NNB
동으로	동/NNB+으로/JKB
나뉘어	나뉘/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000049.201.7.3
건물마다 상인과 고객이 드나드는 출입구가 30개씩 있었다.

건물마다	건물/NNG+마다/JX
상인과	상인/NNG+과/JC
고객이	고객/NNG+이/JKS
드나드는	드나들/VV+는/ETM
출입구가	출입구/NNG+가/JKS
30개씩	30/SN+개/NNB+씩/XSN
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.201.7.4
가게 가까운 입구에 고객들이 차량을 주차하면 상인들이 바로 물건을 실어 줄 수 있었다.

가게	가게/NNG
가까운	가깝/VA+ㄴ/ETM
입구에	입구/NNG+에/JKB
고객들이	고객/NNG+들/XSN+이/JKS
차량을	차량/NNG+을/JKO
주차하면	주차/NNG+하/XSV+면/EC
상인들이	상인/NNG+들/XSN+이/JKS
바로	바로/MAG
물건을	물건/NNG+을/JKO
실어	싣/VV+어/EC
줄	주/VX+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.201.7.5
그러나 새로 가락몰을 지으면서 주변에 차량을 세워두는 대신 지하주차장을 이용토록 했다.

그러나	그러나/MAJ
새로	새로/MAG
가락몰을	가락몰/NNP+을/JKO
지으면서	짓/VV+으면서/EC
주변에	주변/NNG+에/JKB
차량을	차량/NNG+을/JKO
세워두는	세우/VV+어/EC+두/VX+는/ETM
대신	대신/NNG
지하주차장을	지하/NNG+주차장/NNG+을/JKO
이용토록	이용/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.201.7.6
지하주차장으로 드나드는 출입구는 단 두 곳.

지하주차장으로	지하/NNG+주차장/NNG+으로/JKB
드나드는	드나들/VV+는/ETM
출입구는	출입구/NNG+는/JX
단	단/MMA
두	두/MMN
곳.	곳/NNG+./SF


# id : NWRW1800000049.201.7.7
400대 안팎의 차량이 몰리는 새벽 시간에는 주차장 주변에서 큰 혼잡이 빚어질 수밖에 없다.

400대	400/SN+대/NNB
안팎의	안팎/NNG+의/JKG
차량이	차량/NNG+이/JKS
몰리는	몰리/VV+는/ETM
새벽	새벽/NNG
시간에는	시간/NNG+에/JKB+는/JX
주차장	주차장/NNG
주변에서	주변/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
혼잡이	혼잡/NNG+이/JKS
빚어질	빚어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.201.8.1
사정이 이렇다 보니 대부분의 차량은 지하주차장 사용을 꺼린다.

사정이	사정/NNG+이/JKS
이렇다	이렇/VA+다/EF
보니	보/VX+니/EC
대부분의	대/XPN+부분/NNG+의/JKG
차량은	차량/NNG+은/JX
지하주차장	지하/NNG+주차장/NNG
사용을	사용/NNG+을/JKO
꺼린다.	꺼리/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.201.8.2
그 대신 농산물을 가득 실은 화물차를 지상에 세워놓고 물건을 옮기고 있다.

그	그/MMD
대신	대신/NNG
농산물을	농산물/NNG+을/JKO
가득	가득/MAG
실은	싣/VV+은/ETM
화물차를	화물차/NNG+를/JKO
지상에	지상/NNG+에/JKB
세워놓고	세우/VV+어/EC+놓/VX+고/EC
물건을	물건/NNG+을/JKO
옮기고	옮기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.201.8.3
이 때문에 1층 화물용 엘리베이터는 항상 만원이다.

이	이/MMD
때문에	때문/NNB+에/JKB
1층	1/SN+층/NNG
화물용	화물/NNG+용/XSN
엘리베이터는	엘리베이터/NNG+는/JX
항상	항상/MAG
만원이다.	만원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.201.8.4
화물용 엘리베이터는 10대나 되지만 지하 1, 2층과 지상 1, 2층 상인들이 모두 사용하다 보니 물건 옮기는 시간이 과거 3분에서 30분 안팎으로 늘어났다.

화물용	화물/NNG+용/XSN
엘리베이터는	엘리베이터/NNG+는/JX
10대나	10/SN+대/NNB+나/JX
되지만	되/VV+지만/EC
지하	지하/NNG
1,	1/SN+,/SP
2층과	2/SN+층/NNG+과/JC
지상	지상/NNG
2층	2/SN+층/NNG
상인들이	상인/NNG+들/XSN+이/JKS
모두	모두/MAG
사용하다	사용/NNG+하/XSV+다/EC
보니	보/VX+니/EC
물건	물건/NNG
옮기는	옮기/VV+는/ETM
시간이	시간/NNG+이/JKS
과거	과거/NNG
3분에서	3/SN+분/NNB+에서/JKB
30분	30/SN+분/NNB
안팎으로	안팎/NNG+으로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.201.8.5
가락몰 1, 2층에는 청과를 제외한 축산, 수산, 건어물 상인들이 입주해 있다.

가락몰	가락몰/NNP
1,	1/SN+,/SP
2층에는	2/SN+층/NNG+에/JKB+는/JX
청과를	청과/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
축산,	축산/NNG+,/SP
수산,	수산/NNG+,/SP
건어물	건어물/NNG
상인들이	상인/NNG+들/XSN+이/JKS
입주해	입주/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.201.8.6
김이선 청과직판상인협의회장은 “물건을 대량으로 취급하는 시장 특성상 움직일 공간이 넓어야 하는데 가락몰은 업장을 층별로 배치해 비효율적”이라고 지적했다.

김이선	김이선/NNP
청과직판상인협의회장은	청과직판상인협의회장/NNG+은/JX
“물건을	“/SS+물건/NNG+을/JKO
대량으로	대량/NNG+으로/JKB
취급하는	취급/NNG+하/XSV+는/ETM
시장	시장/NNG
특성상	특성/NNG+상/XSN
움직일	움직이/VV+ㄹ/ETM
공간이	공간/NNG+이/JKS
넓어야	넓/VA+어야/EC
하는데	하/VX+는데/EC
가락몰은	가락몰/NNP+은/JX
업장을	업장/NNG+을/JKO
층별로	층/NNG+별/XSN+로/JKB
배치해	배치/NNG+하/XSV+아/EC
비효율적”이라고	비/XPN+효율/NNG+적/XSN+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.201.8.7
상인들은 “농수산식품공사에서 상인들의 의견을 제대로 수렴하지 않았다”고 주장했다.

상인들은	상인/NNG+들/XSN+은/JX
“농수산식품공사에서	“/SS+농수산식품공사/NNP+에서/JKB
상인들의	상인/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
제대로	제대로/MAG
수렴하지	수렴/NNG+하/XSV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.201.9.1
○ 쓰레기 하치장 옆에서 축산물 팔아라?

○	○/SW
쓰레기	쓰레기/NNG
하치장	하치장/NNG
옆에서	옆/NNG+에서/JKB
축산물	축산물/NNG
팔아라?	팔/VV+아라/EF+?/SF


# id : NWRW1800000049.201.10.1
소 돼지 등 가축 부산물을 취급하는 점포 25개의 위치도 문제다.

소	소/NNG
돼지	돼지/NNG
등	등/NNB
가축	가축/NNG
부산물을	부산물/NNG+을/JKO
취급하는	취급/NNG+하/XSV+는/ETM
점포	점포/NNG
25개의	25/SN+개/NNB+의/JKG
위치도	위치/NNG+도/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.201.10.2
지하 2층 부산물 상가 바로 옆에는 주차장뿐 아니라 쓰레기 하치장도 있다.

지하	지하/NNG
2층	2/SN+층/NNG
부산물	부산물/NNG
상가	상가/NNG
바로	바로/MAG
옆에는	옆/NNG+에/JKB+는/JX
주차장뿐	주차장/NNG+뿐/JX
아니라	아니/VCN+라/EC
쓰레기	쓰레기/NNG
하치장도	하치장/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.201.10.3
매연이나 쓰레기 문제 때문에 상인들은 물론이고 소비자들도 불편을 겪을 수밖에 없다.

매연이나	매연/NNG+이나/JC
쓰레기	쓰레기/NNG
문제	문제/NNG
때문에	때문/NNB+에/JKB
상인들은	상인/NNG+들/XSN+은/JX
물론이고	물론/NNG+이/VCP+고/EC
소비자들도	소비자/NNG+들/XSN+도/JX
불편을	불편/NNG+을/JKO
겪을	겪/VV+을/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.201.11.1
이전 반대 상인들은 임차권존속확인소송을 제기했지만 1심에서 졌다.

이전	이전/NNG
반대	반대/NNG
상인들은	상인/NNG+들/XSN+은/JX
임차권존속확인소송을	임차/NNG+권/XSN+존속/NNG+확인/NNG+소송/NNG+을/JKO
제기했지만	제기/NNG+하/XSV+았/EP+지만/EC
1심에서	1심/NNG+에서/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.201.11.2
28일 항소심 판결이 내려진다.

28일	28/SN+일/NNB
항소심	항소심/NNG
판결이	판결/NNG+이/JKS
내려진다.	내려지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.201.11.3
가락시장은 건물을 1개씩 차례대로 재건축하는 ‘순환재건축’ 방식을 채택했다.

가락시장은	가락시장/NNP+은/JX
건물을	건물/NNG+을/JKO
1개씩	1/SN+개/NNB+씩/XSN
차례대로	차례/NNG+대로/JX
재건축하는	재/XPN+건축/NNG+하/XSV+는/ETM
‘순환재건축’	‘/SS+순환/NNG+재/XPN+건축/NNG+’/SS
방식을	방식/NNG+을/JKO
채택했다.	채택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.201.11.4
기존 청과직판시장이 비워져야 다음 단계 재건축을 진행할 수 있다.

기존	기존/NNG
청과직판시장이	청과/NNG+직판/NNG+시장/NNG+이/JKS
비워져야	비우/VV+어/EC+지/VX+어야/EC
다음	다음/NNG
단계	단계/NNG
재건축을	재/XPN+건축/NNG+을/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.201.11.5
농수산식품공사는 최대한 빨리 남아 있는 상인들을 모두 이전시킬 계획이다.

농수산식품공사는	농수산식품공사/NNP+는/JX
최대한	최대한/MAG
빨리	빨리/MAG
남아	남/VV+아/EC
있는	있/VX+는/ETM
상인들을	상인/NNG+들/XSN+을/JKO
모두	모두/MAG
이전시킬	이전/NNG+시키/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.201.12.1
농수산식품공사 측은 “과거 시장 주변에 화물차가 수시로 주정차하는 탓에 근처 주민들의 민원이 잦았다”며 “상인들이 원하는 구조로 지으려면 땅이 훨씬 더 많이 필요하다. 현재의 건축 구조가 최선”이라고 설명했다.

농수산식품공사	농수산식품공사/NNP
측은	측/NNB+은/JX
“과거	“/SS+과거/NNG
시장	시장/NNG
주변에	주변/NNG+에/JKB
화물차가	화물차/NNG+가/JKS
수시로	수시로/MAG
주정차하는	주정차/NNG+하/XSV+는/ETM
탓에	탓/NNG+에/JKB
근처	근처/NNG
주민들의	주민/NNG+들/XSN+의/JKG
민원이	민원/NNG+이/JKS
잦았다”며	잦/VA+았/EP+다/EF+”/SS+며/EC
“상인들이	“/SS+상인/NNG+들/XSN+이/JKS
원하는	원/NNG+하/XSV+는/ETM
구조로	구조/NNG+로/JKB
지으려면	짓/VV+으려면/EC
땅이	땅/NNG+이/JKS
훨씬	훨씬/MAG
더	더/MAG
많이	많이/MAG
필요하다.	필요/NNG+하/XSA+다/EF+./SF
현재의	현재/NNG+의/JKG
건축	건축/NNG
구조가	구조/NNG+가/JKS
최선”이라고	최선/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.201.13.1
한편 현대화 건물 이전을 놓고 갈등을 빚고 있는 노량진수산시장의 경우 지금도 전체 소매상인 700여 명 중 300명 정도가 이전을 거부하고 있다.

한편	한편/MAG
현대화	현대/NNG+화/XSN
건물	건물/NNG
이전을	이전/NNG+을/JKO
놓고	놓/VV+고/EC
갈등을	갈등/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
노량진수산시장의	노량진수산시장/NNP+의/JKG
경우	경우/NNG
지금도	지금/NNG+도/JX
전체	전체/NNG
소매상인	소매/NNG+상인/NNG
700여	700/SN+여/XSN
명	명/NNB
중	중/NNB
300명	300/SN+명/NNB
정도가	정도/NNG+가/JKS
거부하고	거부/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


