# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.178
metadata : {}


# id : NWRW1800000038.178.1.1
현직 검사 책상에서 1000여만원 現金뭉치 발견

현직	현직/NNG
봉투	봉투/NNG
안에는	안/NNG+에/JKB+는/JX
현금	현금/NNG
5만원권으로	5/SN+만/NR+원/NNB+권/XSN+으로/JKB
1000여만원	1000/SN+여/XSN+만/NR+원/NNB
정도가	정도/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.178.6.2
통상적으로 사무실 서랍 안에 갖고 있을 정도의 돈은 아니었다.

통상적으로	통상/NNG+적/XSN+으로/JKB
사무실	사무실/NNG
서랍	서랍/NNG
안에	안/NNG+에/JKB
갖고	갖/VV+고/EC
있을	있/VX+을/ETM
정도의	정도/NNG+의/JKG
돈은	돈/NNG+은/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000038.178.7.1
감찰본부는 A검사에게 돈의 출처를 물었고, A검사는 "평소에 모아둔 돈일 뿐 부정한 돈은 아니다"라는 취지로 진술한 것으로 전해졌다.

감찰본부는	감찰/NNG+본부/NNG+는/JX
A검사에게	A/SL+검사/NNG+에게/JKB
돈의	돈/NNG+의/JKG
출처를	출처/NNG+를/JKO
물었고,	묻/VV+었/EP+고/EC+,/SP
A검사는	A/SL+검사/NNG+는/JX
"평소에	"/SS+평소/NNG+에/JKB
모아둔	모으/VV+아/EC+두/VX+ㄴ/ETM
돈일	돈/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
부정한	부정/NNG+하/XSA+ㄴ/ETM
돈은	돈/NNG+은/JX
아니다"라는	아니/VCN+다/EF+"/SS+이/VCP+라는/ETM
취지로	취지/NNG+로/JKB
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.178.7.2
하지만 감찰본부가 발견한 돈뭉치가 든 봉투에는 한 기업의 이름이 적혀 있었고, 파악 결과 A검사가 작년 2월에 현재 검찰청으로 오기 전에 근무했던 전 소속청 관할에 있는 기업이었다고 한다.

하지만	하지만/MAJ
감찰본부가	감찰/NNG+본부/NNG+가/JKS
발견한	발견/NNG+하/XSV+ㄴ/ETM
돈뭉치가	돈뭉치/NNG+가/JKS
든	들/VV+ㄴ/ETM
봉투에는	봉투/NNG+에/JKB+는/JX
한	한/MMN
기업의	기업/NNG+의/JKG
이름이	이름/NNG+이/JKS
적혀	적히/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
파악	파악/NNG
결과	결과/NNG
A검사가	A/SL+검사/NNG+가/JKS
작년	작년/NNG
2월에	2/SN+월/NNB+에/JKB
현재	현재/MAG
검찰청으로	검찰청/NNG+으로/JKB
오기	오/VV+기/ETN
전에	전/NNG+에/JKB
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
전	전/MMD
소속청	소속청/NNG
관할에	관할/NNG+에/JKB
있는	있/VA+는/ETM
기업이었다고	기업/NNG+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.178.7.3
감찰본부 측은 A검사에게 "전별금(餞別金·떠나는 사람에게 주는 위로금)으로 받은 것이냐"고 물었지만, 해당 검사는 이것도 부인했다.

감찰본부	감찰/NNG+본부/NNG
측은	측/NNB+은/JX
A검사에게	A/SL+검사/NNG+에게/JKB
"전별금(餞別金·떠나는	"/SS+전별금/NNG+(/SS+餞別金/SH+·/SP+떠나/VV+는/ETM
사람에게	사람/NNG+에게/JKB
주는	주/VV+는/ETM
위로금)으로	위로금/NNG+)/SS+으로/JKB
받은	받/VV+은/ETM
것이냐"고	것/NNB+이/VCP+냐/EF+"/SS+고/JKQ
물었지만,	묻/VV+었/EP+지만/EC+,/SP
해당	해당/NNG
검사는	검사/NNG+는/JX
이것도	이것/NP+도/JX
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.178.8.1
현재 검찰은 A검사 처리를 놓고 고심 중인 것으로 알려졌다.

현재	현재/MAG
검찰은	검찰/NNG+은/JX
A검사	A/SL+검사/NNG
처리를	처리/NNG+를/JKO
놓고	놓/VV+고/EC
고심	고심/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.178.8.2
평소 돈을 뭉칫돈 형태로 사무실 책상 안에 두고 쓰는 것은 일반적인 방법은 아니고, 봉투 겉면에 기업 이름이 적혀 있는 것도 의심을 살 만한 정황이 되지만, 발견된 돈이 추적이 어려운 현금이기 때문에 출처를 추궁하기 쉽지 않기 때문이다.

평소	평소/NNG
돈을	돈/NNG+을/JKO
뭉칫돈	뭉칫돈/NNG
형태로	형태/NNG+로/JKB
사무실	사무실/NNG
책상	책상/NNG
안에	안/NNG+에/JKB
두고	두/VV+고/EC
쓰는	쓰/VV+는/ETM
것은	것/NNB+은/JX
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
방법은	방법/NNG+은/JX
아니고,	아니/VCN+고/EC+,/SP
봉투	봉투/NNG
겉면에	겉면/NNG+에/JKB
기업	기업/NNG
이름이	이름/NNG+이/JKS
적혀	적히/VV+어/EC
있는	있/VX+는/ETM
것도	것/NNB+도/JX
의심을	의심/NNG+을/JKO
살	사/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
정황이	정황/NNG+이/JKC
되지만,	되/VV+지만/EC+,/SP
발견된	발견/NNG+되/XSV+ㄴ/ETM
돈이	돈/NNG+이/JKS
추적이	추적/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
현금이기	현금/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
출처를	출처/NNG+를/JKO
추궁하기	추궁/NNG+하/XSV+기/ETN
쉽지	쉽/VA+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.178.8.3
검찰 관계자는 "현재 강도 높은 감찰을 하고 있고 상당 부분 진척이 이뤄진 상태"라고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"현재	"/SS+현재/MAG
강도	강도/NNG
높은	높/VA+은/ETM
감찰을	감찰/NNG+을/JKO
하고	하/VV+고/EC
있고	있/VX+고/EC
상당	상당/NNG
부분	부분/NNG
진척이	진척/NNG+이/JKS
이뤄진	이뤄지/VV+ㄴ/ETM
상태"라고	상태/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.178.9.1
채동욱 검찰총장은 이달 중순 대검에서 열린 전국 감찰부장검사 회의에서 "내부 비리 척결을 위한 실천 방안으로 검사 비리 수사를 전담할 특별감찰과를 신설하고, 수사력을 집중시켜 비리 검사를 신속히 퇴출시키겠다"고 밝힌 바 있다.

채동욱	채동욱/NNP
검찰총장은	검찰/NNG+총장/NNG+은/JX
이달	이달/NNG
중순	중순/NNG
대검에서	대검/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
전국	전국/NNG
감찰부장검사	감찰부장/NNG+검사/NNG
회의에서	회의/NNG+에서/JKB
"내부	"/SS+내부/NNG
비리	비리/NNG
척결을	척결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
실천	실천/NNG
방안으로	방안/NNG+으로/JKB
검사	검사/NNG
수사를	수사/NNG+를/JKO
전담할	전담/NNG+하/XSV+ㄹ/ETM
특별감찰과를	특별/NNG+감찰과/NNG+를/JKO
신설하고,	신설/NNG+하/XSV+고/EC+,/SP
수사력을	수사력/NNG+을/JKO
집중시켜	집중/NNG+시키/XSV+어/EC
검사를	검사/NNG+를/JKO
신속히	신속히/MAG
퇴출시키겠다"고	퇴출/NNG+시키/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


