# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.74
metadata : {}


# id : NWRW1800000048.74.1.1
책·꽃 온라인 쇼핑 계속 ‘시들’

책·꽃	책/NNG+·/SP+꽃/NNG
20.1%	20/SN+./SP+1/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.74.7.3
온라인 꽃 판매는 지난해 9월부터 13개월 연속 감소세다.

온라인	온라인/NNG
꽃	꽃/NNG
판매는	판매/NNG+는/JX
지난해	지난해/NNG
9월부터	9/SN+월/NNB+부터/JX
13개월	13/SN+개월/NNB
연속	연속/NNG
감소세다.	감소세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.74.7.4
통계청 담당자는 “기념일이나, 축하 선물을 할 때 꽃보다는 비누, 케익, 초 등 보다 실용적인 물건으로 대체되고 있는 것 같다”고 말했다.

통계청	통계청/NNG
담당자는	담당자/NNG+는/JX
“기념일이나,	“/SS+기념일/NNG+이나/JC+,/SP
축하	축하/NNG
선물을	선물/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
꽃보다는	꽃/NNG+보다/JKB+는/JX
비누,	비누/NNG+,/SP
케익,	케익/NNG+,/SP
초	초/NNG
등	등/NNB
보다	보다/MAG
실용적인	실용/NNG+적/XSN+이/VCP+ㄴ/ETM
물건으로	물건/NNG+으로/JKB
대체되고	대체/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.74.8.1
올해 담뱃값이 2000원 오른 영향으로 편의점 매출은 크게 늘었다.

올해	올해/NNG
담뱃값이	담뱃값/NNG+이/JKS
2000원	2000/SN+원/NNB
오른	오르/VV+ㄴ/ETM
영향으로	영향/NNG+으로/JKB
편의점	편의점/NNG
매출은	매출/NNG+은/JX
크게	크/VA+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.74.8.2
올 3분기(7~9월) 편의점 판매액은 4조6080억원으로 지난해 같은 기간(3조4280억)보다 34.4%나 늘었다.

올	올/NNG
3분기(7~9월)	3/SN+분기/NNG+(/SS+7/SN+~/SO+9/SN+월/NNB+)/SS
편의점	편의점/NNG
판매액은	판매액/NNG+은/JX
4조6080억원으로	4/SN+조/NR+6080/SN+억/NR+원/NNB+으로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간(3조4280억)보다	기간/NNG+(/SS+3/SN+조/NR+4280/SN+억/NR+)/SS+보다/JKB
34.4%나	34/SN+./SP+4/SN+%/SW+나/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.74.8.3
1분기 16.9%, 2분기 33.1%로 판매액 증가 폭도 커지고 있다.

1분기	1/SN+분기/NNG
16.9%,	16/SN+./SP+9/SN+%/SW+,/SP
2분기	2/SN+분기/NNG
33.1%로	33/SN+./SP+1/SN+%/SW+로/JKB
판매액	판매액/NNG
증가	증가/NNG
폭도	폭/NNG+도/JX
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


