# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.183
metadata : {}


# id : NWRW1800000028.183.1.1
삼라만상 소리 내는 ‘절창’ 여깄소

삼라만상	삼라만상/NNG
명창은	명창/NNG+은/JX
“득음의	“/SS+득음/NNG+의/JKG
경지는	경지/NNG+는/JX
나	나/NP
자신도	자신/NNG+도/JX
60년	60/SN+년/NNB
동안	동안/NNG
두어	두어/MMN
번밖에	번/NNB+밖에/JX
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.183.4.1
득음의 경지에 오르기 위해 소리꾼들은 깊은 산, 폭포 밑, 동굴 등에서 여러 해에 걸쳐 목에서 피가 나도록 소리를 질러서 수련을 했다.

득음의	득음/NNG+의/JKG
경지에	경지/NNG+에/JKB
오르기	오르/VV+기/ETN
위해	위하/VV+아/EC
소리꾼들은	소리/NNG+꾼/XSN+들/XSN+은/JX
깊은	깊/VA+은/ETM
산,	산/NNG+,/SP
폭포	폭포/NNG
밑,	밑/NNG+,/SP
동굴	동굴/NNG
등에서	등/NNB+에서/JKB
여러	여러/MMN
해에	해/NNB+에/JKB
걸쳐	걸치/VV+어/EC
목에서	목/NNG+에서/JKB
피가	피/NNG+가/JKS
나도록	나/VV+도록/EC
소리를	소리/NNG+를/JKO
질러서	지르/VV+어서/EC
수련을	수련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.183.4.2
이 과정에서 목이 쉬었다가 풀리기를 반복하는데 상한 목을 치료하려고 여러 해 삭힌 똥물을 마시는 일도 마다하지 않았을 정도였다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
목이	목/NNG+이/JKS
쉬었다가	쉬/VV+었/EP+다가/EC
풀리기를	풀리/VV+기/ETN+를/JKO
반복하는데	반복/NNG+하/XSV+는데/EC
상한	상하/VV+ㄴ/ETM
목을	목/NNG+을/JKO
치료하려고	치료/NNG+하/XSV+려고/EC
여러	여러/MMN
해	해/NNB
삭힌	삭히/VV+ㄴ/ETM
똥물을	똥물/NNG+을/JKO
마시는	마시/VV+는/ETM
일도	일/NNG+도/JX
마다하지	마다하/VV+지/EC
않았을	않/VX+았/EP+을/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.183.5.1
송순섭(74·<적벽가> 예능보유자) 명창은 “손가락으로 바위를 뚫는 마음가짐으로 피나는 노력을 해야 한다”고 득음의 어려움을 강조했다.

송순섭(74·<적벽가>	송순섭/NNP+(/SS+74/SN+·/SP+</SS+적벽가/NNP+>/SS
예능보유자)	예능/NNG+보유자/NNG+)/SS
명창은	명창/NNG+은/JX
“손가락으로	“/SS+손가락/NNG+으로/JKB
바위를	바위/NNG+를/JKO
뚫는	뚫/VV+는/ETM
마음가짐으로	마음가짐/NNG+으로/JKB
피나는	피나/VV+는/ETM
노력을	노력/NNG+을/JKO
해야	하/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
득음의	득음/NNG+의/JKG
어려움을	어려움/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.183.5.2
성우향 (78·<춘향가> 예능보유자) 명창은 “득음을 이루려고 호랑이 꼬랑지를 놓지 못하는 절박한 심정으로 평생 소리를 붙잡고 살았다”고 털어놓았다.

성우향	성우향/NNP
(78·<춘향가>	(/SS+78/SN+·/SP+</SS+춘향가/NNP+>/SS
예능보유자)	예능/NNG+보유자/NNG+)/SS
명창은	명창/NNG+은/JX
“득음을	“/SS+득음/NNG+을/JKO
이루려고	이루/VV+려고/EC
호랑이	호랑이/NNG
꼬랑지를	꼬랑지/NNG+를/JKO
놓지	놓/VV+지/EC
못하는	못하/VX+는/ETM
절박한	절박하/VA+ㄴ/ETM
심정으로	심정/NNG+으로/JKB
평생	평생/NNG
소리를	소리/NNG+를/JKO
붙잡고	붙잡/VV+고/EC
살았다”고	살/VV+았/EP+다/EF+”/SS+고/JKQ
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.183.5.3
안숙선(61·중요무형문화재 제23호 가야금병창 예능보유자) 명창도 “이제 득음을 했다 싶으면 소리가 저만치 가 있더라”며 “옛 어른들 말씀대로 하루 세 끼 먹는 밥처럼 소리를 입에 붙여두고 살았다”고 말했다.

안숙선(61·중요무형문화재	안숙선/NNP+(/SS+61/SN+·/SP+중요/NNG+무형/NNG+문화재/NNG
제23호	제/XPN+23/SN+호/NNB
가야금병창	가야금/NNG+병창/NNG
예능보유자)	예능/NNG+보유자/NNG+)/SS
명창도	명창/NNG+도/JX
“이제	“/SS+이제/MAG
득음을	득음/NNG+을/JKO
했다	하/VV+았/EP+다/EF
싶으면	싶/VX+으면/EC
소리가	소리/NNG+가/JKS
저만치	저만치/MAG
가	가/VV+아/EC
있더라”며	있/VX+더라/EF+”/SS+며/EC
“옛	“/SS+옛/MMA
어른들	어른/NNG+들/XSN
말씀대로	말씀/NNG+대로/JX
하루	하루/NNG
세	세/MMN
끼	끼/NNG
먹는	먹/VV+는/ETM
밥처럼	밥/NNG+처럼/JKB
소리를	소리/NNG+를/JKO
입에	입/NNG+에/JKB
붙여두고	붙이/VV+어/EC+두/VX+고/EC
살았다”고	살/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.183.6.1
한국문화재보호재단이 판소리의 최고 경지인 득음에 오른 5대 명창을 초청해 오는 7일부터 11일까지 닷새간 매일 저녁 8시 서울 삼성동 중요무형문화재전수회관에서 ‘득음-5대 명창 눈대목’ 특별 공연을 마련한다.

한국문화재보호재단이	한국문화재보호재단/NNP+이/JKS
판소리의	판소리/NNG+의/JKG
최고	최고/NNG
경지인	경지/NNG+이/VCP+ㄴ/ETM
득음에	득음/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
5대	5/SN+대/NNG
명창을	명창/NNG+을/JKO
초청해	초청/NNG+하/XSV+아/EC
오는	오/VV+는/ETM
7일부터	7/SN+일/NNB+부터/JX
11일까지	11/SN+일/NNB+까지/JX
닷새간	닷새/NNG+간/XSN
매일	매일/MAG
저녁	저녁/NNG
8시	8/SN+시/NNB
서울	서울/NNP
삼성동	삼성동/NNP
중요무형문화재전수회관에서	중요/NNG+무형/NNG+문화재/NNG+전수/NNG+회관/NNG+에서/JKB
‘득음-5대	‘/SS+득음/NNG+-/SO+5/SN+대/NNG
명창	명창/NNG
눈대목’	눈대목/NNG+’/SS
특별	특별/NNG
공연을	공연/NNG+을/JKO
마련한다.	마련/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.183.7.1
7일 성우향 명창을 시작으로, 8일 성창순 명창, 9일 박송희(83·<흥보가> 예능보유자) 명창, 10일 송순섭 명창, 11일 안숙선 명창의 판소리 다섯 바탕이 이어진다.

7일	7/SN+일/NNB
성우향	성우향/NNP
명창을	명창/NNG+을/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
8일	8/SN+일/NNB
성창순	성창순/NNP
명창,	명창/NNG+,/SP
9일	9/SN+일/NNB
박송희(83·<흥보가>	박송희/NNP+(/SS+83/SN+·/SP+</SS+흥보가/NNP+>/SS
예능보유자)	예능/NNG+보유자/NNG+)/SS
10일	10/SN+일/NNB
송순섭	송순섭/NNP
11일	11/SN+일/NNB
안숙선	안숙선/NNP
명창의	명창/NNG+의/JKG
판소리	판소리/NNG
다섯	다섯/NR
바탕이	바탕/NNB+이/JKS
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.183.7.2
안숙선 명창은 2003년 타계한 판소리 <수궁가> 전 예능보유자 고 정광수 명창을 잇는 동편제 소리의 맛을 보여준다.

안숙선	안숙선/NNP
명창은	명창/NNG+은/JX
2003년	2003/SN+년/NNB
타계한	타계/NNG+하/XSV+ㄴ/ETM
판소리	판소리/NNG
<수궁가>	</SS+수궁가/NNP+>/SS
전	전/MMD
예능보유자	예능/NNG+보유자/NNG
고	고/MMA
정광수	정광수/NNP
명창을	명창/NNG+을/JKO
잇는	잇/VV+는/ETM
동편제	동편제/NNG
소리의	소리/NNG+의/JKG
맛을	맛/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.183.8.1
한국 판소리를 대표하는 문화재 다섯 명창이 같은 무대에 잇따라 서는 것은 좀처럼 보기 드문 일이다.

한국	한국/NNP
판소리를	판소리/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
문화재	문화재/NNG
다섯	다섯/NR
명창이	명창/NNG+이/JKS
같은	같/VA+은/ETM
무대에	무대/NNG+에/JKB
잇따라	잇따르/VV+아/EC
서는	서/VV+는/ETM
것은	것/NNB+은/JX
좀처럼	좀처럼/MAG
보기	보/VV+기/ETN
드문	드물/VA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.183.8.2
유네스코 선정 세계문화유산이지만 정작 국내에서는 관심도가 떨어지고 있는 판소리의 대중화를 위해 발벗고 나선 것.

유네스코	유네스코/NNP
선정	선정/NNG
세계문화유산이지만	세계/NNG+문화유산/NNG+이/VCP+지만/EC
정작	정작/MAG
국내에서는	국내/NNG+에서/JKB+는/JX
관심도가	관심도/NNG+가/JKS
떨어지고	떨어지/VV+고/EC
있는	있/VX+는/ETM
판소리의	판소리/NNG+의/JKG
대중화를	대중/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
발벗고	발/NNG+벗/VV+고/EC
나선	나서/VV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000028.183.8.3
그래서 일반 관객들이 부담 없이 공연을 즐길 수 있도록 3~5시간씩 걸리는 완창이 아니라 주요 대목만을 골라 제자들과 번갈아 1시간30분간 선보이는 눈대목 공연으로 기획했다.

그래서	그래서/MAJ
일반	일반/NNG
관객들이	관객/NNG+들/XSN+이/JKS
부담	부담/NNG
없이	없이/MAG
공연을	공연/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
3~5시간씩	3/SN+~/SO+5/SN+시간/NNB+씩/XSN
걸리는	걸리/VV+는/ETM
완창이	완창/NNG+이/JKC
아니라	아니/VCN+라/EC
주요	주요/NNG
대목만을	대목/NNG+만/JX+을/JKO
골라	고르/VV+아/EC
제자들과	제자/NNG+들/XSN+과/JKB
번갈아	번갈/VV+아/EC
1시간30분간	1/SN+시간/NNB+30/SN+분/NNB+간/XSN
선보이는	선보이/VV+는/ETM
눈대목	눈대목/NNG
공연으로	공연/NNG+으로/JKB
기획했다.	기획/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.183.9.1
‘일 고수 이 명창’의 판소리 격식답게 중요무형문화재 제5호 판소리 고법 예능보유자 정철호, 송원조 고수를 비롯해 김청만, 조영제, 조용수씨 등 유명 고수 10명이 소리북을 잡는다.

‘일	‘/SS+일/NR
고수	고수/NNG
이	이/NR
명창’의	명창/NNG+’/SS+의/JKG
판소리	판소리/NNG
격식답게	격식/NNG+답/XSA+게/EC
중요무형문화재	중요/NNG+무형/NNG+문화재/NNG
제5호	제/XPN+5/SN+호/NNB
고법	고법/NNG
예능보유자	예능/NNG+보유자/NNG
정철호,	정철호/NNP+,/SP
송원조	송원조/NNP
고수를	고수/NNG+를/JKO
비롯해	비롯하/VV+아/EC
김청만,	김청만/NNP+,/SP
조영제,	조영제/NNP+,/SP
조용수씨	조용수/NNP+씨/NNB
등	등/NNB
유명	유명/NNG
10명이	10/SN+명/NNB+이/JKS
소리북을	소리북/NNG+을/JKO
잡는다.	잡/VV+는다/EF+./SF


# id : NWRW1800000028.183.9.2
국립창극단 소속 박애리(33·<춘향가> 이수자)씨와 ‘예솔이’로 유명했던 소리꾼 이자람(31·<심청가> 이수자)씨가 사회를 맡는다.

국립창극단	국립창극단/NNP
소속	소속/NNG
박애리(33·<춘향가>	박애리/NNP+(/SS+33/SN+·/SP+</SS+춘향가/NNP+>/SS
이수자)씨와	이수자/NNG+)/SS+씨/NNB+와/JC
‘예솔이’로	‘/SS+예솔이/NNP+’/SS+로/JKB
유명했던	유명/NNG+하/XSA+았/EP+던/ETM
소리꾼	소리/NNG+꾼/XSN
이자람(31·<심청가>	이자람/NNP+(/SS+31/SN+·/SP+</SS+심청가/NNP+>/SS
이수자)씨가	이수자/NNG+)/SS+씨/NNB+가/JKS
사회를	사회/NNG+를/JKO
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000028.183.9.3
(02)3011-2178~9.

(02)3011-2178~9.	(/SS+02/SN+)/SS+3011/SN+-/SO+2178/SN+~/SO+9/SN+./SF


