# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.374
metadata : {}


# id : NWRW1800000054.374.1.1
419:1

419:1	419/SN+:/SP+1/SN
로이스	로이스/NNP
외교위원장(공화)이	외교/NNG+위원장/NNG+(/SS+공화/NNP+)/SS+이/JKS
대표	대표/NNG
발의한	발의/NNG+하/XSV+ㄴ/ETM
'대북	'/SS+대북/NNG
차단	차단/NNG
및	및/MAG
제재	제재/NNG
현대화법'을	현대/NNG+화/XSN+법/NNG+'/SS+을/JKO
찬성	찬성/NNG
419명,	419/SN+명/NNB+,/SP
반대	반대/NNG
1명으로	1/SN+명/NNB+으로/JKB
의결했다.	의결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.374.4.2
작년 2월 북한제재법이 발효된 지 1년여 만에 한층 강력한 추가 제재 법안이 하원을 통과한 것이다.

작년	작년/NNG
2월	2/SN+월/NNB
북한제재법이	북한/NNP+제재법/NNG+이/JKS
발효된	발효/NNG+되/XSV+ㄴ/ETM
지	지/NNB
1년여	1/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
한층	한층/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
추가	추가/NNG
제재	제재/NNG
법안이	법안/NNG+이/JKS
하원을	하원/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.374.4.3
외교 소식통은 "대북 제재 현대화법은 지난 3월 21일 발의돼 한 달 보름 만에 초고속으로 본회의를 통과했다"며 "북핵 문제엔 미 의회가 초당적으로 강력히 대응하겠다는 의지를 표현한 것"이라고 했다.

외교	외교/NNG
소식통은	소식통/NNG+은/JX
"대북	"/SS+대북/NNG
제재	제재/NNG
현대화법은	현대/NNG+화/XSN+법/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
21일	21/SN+일/NNB
발의돼	발의/NNG+되/XSV+어/EC
한	한/MMN
달	달/NNB
보름	보름/NNG
만에	만/NNB+에/JKB
초고속으로	초/XPN+고속/NNG+으로/JKB
본회의를	본회의/NNG+를/JKO
통과했다"며	통과/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"북핵	"/SS+북핵/NNG
문제엔	문제/NNG+에/JKB+ㄴ/JX
미	미/NNP
의회가	의회/NNG+가/JKS
초당적으로	초당/NNG+적/XSN+으로/JKB
강력히	강력히/MAG
대응하겠다는	대응/NNG+하/XSV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.374.5.1
이 법안은 북한에 원유와 석유 제품을 판매할 수 없도록 하고 이를 어기는 기업을 제재하도록 했다.

이	이/MMD
법안은	법안/NNG+은/JX
북한에	북한/NNP+에/JKB
원유와	원유/NNG+와/JC
석유	석유/NNG
제품을	제품/NNG+을/JKO
판매할	판매/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
하고	하/VX+고/EC
이를	이/NP+를/JKO
어기는	어기/VV+는/ETM
기업을	기업/NNG+을/JKO
제재하도록	제재/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.374.5.2
만일 북한이 6차 핵실험 등 중대한 추가 도발을 하면 중국을 압박해 원유 공급을 차단하고, 이를 통해 북한의 군사·경제적 동력을 끊을 수 있도록 한 것이다.

만일	만일/MAG
북한이	북한/NNP+이/JKS
6차	6/SN+차/NNB
핵실험	핵/NNG+실험/NNG
등	등/NNB
중대한	중대/NNG+하/XSA+ㄴ/ETM
추가	추가/NNG
도발을	도발/NNG+을/JKO
하면	하/VV+면/EC
중국을	중국/NNP+을/JKO
압박해	압박/NNG+하/XSV+아/EC
원유	원유/NNG
공급을	공급/NNG+을/JKO
차단하고,	차단/NNG+하/XSV+고/EC+,/SP
이를	이/NP+를/JKO
통해	통하/VV+아/EC
북한의	북한/NNP+의/JKG
군사·경제적	군사/NNG+·/SP+경제/NNG+적/XSN
동력을	동력/NNG+을/JKO
끊을	끊/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.374.5.3
대북 제재 법안에 원유·석유 수출 금지가 들어간 것은 처음이다.

대북	대북/NNG
제재	제재/NNG
법안에	법안/NNG+에/JKB
원유·석유	원유/NNG+·/SP+석유/NNG
수출	수출/NNG
금지가	금지/NNG+가/JKS
들어간	들어가/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.374.6.1
또 김정은 정권의 주요 외화벌이 창구인 해외 송출 노동자를 고용하는 제3국 기업을 제재 대상으로 공식 지정해 미국 관할권 내 모든 자산 거래를 금지하도록 했다.

또	또/MAG
김정은	김정은/NNP
정권의	정권/NNG+의/JKG
주요	주요/NNG
외화벌이	외화벌이/NNG
창구인	창구/NNG+이/VCP+ㄴ/ETM
해외	해외/NNG
송출	송출/NNG
노동자를	노동자/NNG+를/JKO
고용하는	고용/NNG+하/XSV+는/ETM
제3국	제3국/NNG
기업을	기업/NNG+을/JKO
제재	제재/NNG
대상으로	대상/NNG+으로/JKB
공식	공식/NNG
지정해	지정/NNG+하/XSV+아/EC
미국	미국/NNP
관할권	관할/NNG+권/XSN
내	내/NNB
모든	모든/MMN
자산	자산/NNG
거래를	거래/NNG+를/JKO
금지하도록	금지/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.374.7.1
법안은 북한의 도박·음란 인터넷 사이트 운영 등 온라인 상거래 행위 지원을 막고, 북한산 식품·농산품·직물·어업권·광업권 거래도 금지시킬 수 있도록 했다.

법안은	법안/NNG+은/JX
북한의	북한/NNP+의/JKG
도박·음란	도박/NNG+·/SP+음란/NNG
인터넷	인터넷/NNG
사이트	사이트/NNG
운영	운영/NNG
등	등/NNB
온라인	온라인/NNG
상거래	상거래/NNG
행위	행위/NNG
지원을	지원/NNG+을/JKO
막고,	막/VV+고/EC+,/SP
북한산	북한/NNP+산/XSN
식품·농산품·직물·어업권·광업권	식품/NNG+·/SP+농산품/NNG+·/SP+직물/NNG+·/SP+어업/NNG+권/XSN+·/SP+광업/NNG+권/XSN
거래도	거래/NNG+도/JX
금지시킬	금지/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.374.7.2
또 미국 정부에 조선중앙은행 등 6개 북한 기업·단체를 제재 명단에 추가하는 것을 검토하도록 요구하고, 법안 발효 90일 내에 북한에 대한 테러지원국 재지정 여부를 결정해 의회에 통보하도록 했다.

또	또/MAG
미국	미국/NNP
정부에	정부/NNG+에/JKB
조선중앙은행	조선중앙은행/NNP
등	등/NNB
6개	6/SN+개/NNB
북한	북한/NNP
기업·단체를	기업/NNG+·/SP+단체/NNG+를/JKO
제재	제재/NNG
명단에	명단/NNG+에/JKB
추가하는	추가/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
검토하도록	검토/NNG+하/XSV+도록/EC
요구하고,	요구/NNG+하/XSV+고/EC+,/SP
법안	법안/NNG
발효	발효/NNG
90일	90/SN+일/NNB
내에	내/NNB+에/JKB
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
테러지원국	테러/NNG+지원국/NNG
재지정	재/XPN+지정/NNG
여부를	여부/NNG+를/JKO
결정해	결정/NNG+하/XSV+아/EC
의회에	의회/NNG+에/JKB
통보하도록	통보/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


